date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,ABNB,113.87,115.43,111.59,114.54,114.54,4817600,tiingo
2025-04-14,ABNB,117.3,118.29,112.55,113.22,113.22,4338183,tiingo
2025-04-15,ABNB,114.225,115.71,113.52,114.64,114.64,5182448,tiingo
2025-04-16,ABNB,113.58,115.62,111.03,112.64,112.64,5026557,tiingo
2025-04-17,ABNB,113.75,114.0,111.86,112.7,112.7,4454738,tiingo
2025-04-21,ABNB,111.32,113.4,109.79,111.61,111.61,5695003,tiingo
2025-04-22,ABNB,112.59,115.8,112.05,114.91,114.91,4827240,tiingo
2025-04-23,ABNB,119.7,122.32,116.72,118.28,118.28,5183356,tiingo
2025-04-24,ABNB,118.86,121.89,118.0,121.71,121.71,3690309,tiingo
2025-04-25,ABNB,121.43,123.09,120.8301,122.51,122.51,2905028,tiingo
2025-04-28,ABNB,122.51,125.23,122.1099,123.3,123.3,5608777,tiingo
2025-04-29,ABNB,123.28,125.99,123.16,125.49,125.49,6525371,tiingo
2025-04-30,ABNB,121.055,122.25,118.05,121.92,121.92,7534188,tiingo
2025-05-01,ABNB,121.92,125.08,121.9,124.01,124.01,9431762,tiingo
2025-05-02,ABNB,121.1,126.56,120.1335,125.26,125.26,11301618,tiingo
2025-05-05,ABNB,123.355,127.59,122.3,124.89,124.89,6761722,tiingo
2025-05-06,ABNB,123.145,124.5,121.57,121.67,121.67,5229296,tiingo
2025-05-07,ABNB,121.335,123.65,120.41,123.12,123.12,3424249,tiingo
2025-05-08,ABNB,124.625,127.63,123.62,126.39,126.39,3819882,tiingo
2025-05-09,ABNB,124.96,127.33,123.4,127.04,127.04,6145152,tiingo
2025-05-12,ABNB,133.16,134.85,132.14,134.21,134.21,7198291,tiingo
2025-05-13,ABNB,134.62,138.53,133.75,138.05,138.05,6890732,tiingo
2025-05-14,ABNB,138.35,139.835,137.1,137.45,137.45,6148712,tiingo
2025-05-15,ABNB,137.08,137.78,135.27,136.79,136.79,3463732,tiingo
2025-05-16,ABNB,137.55,138.45,136.21,138.0,138.0,3690187,tiingo
2025-05-19,ABNB,135.31,137.37,135.03,136.6,136.6,4904672,tiingo
2025-05-20,ABNB,133.755,134.6,131.39,132.13,132.13,6607933,tiingo
2025-05-21,ABNB,130.68,130.79,126.97,127.52,127.52,6687377,tiingo
2025-05-22,ABNB,126.79,128.329,125.94,127.65,127.65,6451798,tiingo
2025-05-23,ABNB,125.09,127.375,125.0,126.72,126.72,4371484,tiingo
2025-05-27,ABNB,128.67999,130.39999,128.345,129.39999,129.39999,7243800,twelve_data
2025-05-28,ABNB,129.45,129.55,127.665,128.67,128.67,4752200,twelve_data
2025-05-29,ABNB,130.0,130.0,126.96,128.36,128.36,4681100,twelve_data
2025-05-30,ABNB,125.5,129.25,125.0,129.0,129.0,9562900,twelve_data
2025-06-02,ABNB,128.85,129.77,127.985,129.62,129.62,5223064,tiingo
2025-06-03,ABNB,129.5,133.49001,128.95,132.89999,132.89999,5809300,twelve_data
2025-06-04,ABNB,132.28,134.855,131.64,133.51,133.51,4501382,tiingo
2025-06-05,ABNB,133.5,137.80299,133.5,137.28999,137.28999,5858000,twelve_data
2025-06-06,ABNB,139.18,143.8799,138.95,140.64,140.64,9053459,tiingo
2025-06-09,ABNB,141.47,141.526,138.34,139.0099945,139.0099945,3990000,twelve_data
2025-06-10,ABNB,139.22,140.605,138.13499,138.56,138.56,4138000,twelve_data
2025-06-11,ABNB,140.24001,140.37,137.11501,138.059998,138.059998,4020200,twelve_data
2025-06-12,ABNB,137.13,139.405,136.7,138.81,138.81,3461000,twelve_data
2025-06-13,ABNB,136.080002,136.63,134.67999,135.53999,135.53999,5090900,twelve_data
2025-06-16,ABNB,138.56,139.28999,136.83,137.21001,137.21001,3406800,twelve_data
2025-06-17,ABNB,136.089996,136.16,132.89,133.37,133.37,4773800,twelve_data
2025-06-18,ABNB,132.71001,133.815,131.69,132.17,132.17,3702500,twelve_data
2025-06-20,ABNB,132.0,132.64,131.39,131.73,131.73,7968000,twelve_data
2025-06-23,ABNB,131.53,131.53,127.040001,130.53,130.53,4250200,twelve_data
2025-06-24,ABNB,131.92,132.725,130.36,132.15,132.15,5045554,tiingo
2025-06-25,ABNB,132.8,133.029999,128.77,129.67,129.67,3765600,twelve_data
2025-06-26,ABNB,130.33,134.17999,128.315,133.72,133.72,5138300,twelve_data
2025-06-27,ABNB,134.0099945,134.58,132.10001,134.52,134.52,4930600,twelve_data
2025-06-30,ABNB,135.059998,135.059998,131.94501,132.34,132.34,3665900,twelve_data
2025-07-01,ABNB,132.225,136.69,132.12,135.41,135.41,3919565,tiingo
2025-07-02,ABNB,135.22,136.09,134.39,135.39,135.39,2668019,tiingo
2025-07-03,ABNB,136.27,138.19,136.23,136.49001,136.49001,2628600,twelve_data
2025-07-07,ABNB,135.86,137.63,135.2,137.0,137.0,3550400,twelve_data
2025-07-08,ABNB,137.5,138.55,136.55,136.99,136.99,3144542,tiingo
2025-07-09,ABNB,137.45,138.27,136.5,136.85001,136.85001,4311200,twelve_data
2025-07-10,ABNB,137.054993,138.41499,136.050003,137.0,137.0,4933600,twelve_data
2025-07-11,ABNB,136.12,137.0,135.2,135.35,135.35,3123574,tiingo
2025-07-14,ABNB,135.0,139.468,134.7,138.57001,138.57001,4575000,twelve_data
2025-07-15,ABNB,139.46001,140.14,136.48,136.53999,136.53999,3315600,twelve_data
2025-07-16,ABNB,136.94,137.14999,135.42,136.71001,136.71001,3319300,twelve_data
2025-07-17,ABNB,137.58,139.57001,137.25999,139.3,139.3,3495900,twelve_data
2025-07-18,ABNB,139.99001,140.74001,138.92,139.34,139.34,2983100,twelve_data
2025-07-21,ABNB,139.32001,139.8,137.96001,138.070007,138.070007,2697600,twelve_data
2025-07-22,ABNB,138.64,140.020004,136.86,139.42999,139.42999,2787200,twelve_data
2025-07-23,ABNB,139.62,140.92999,138.10001,139.83,139.83,3003800,twelve_data
2025-07-24,ABNB,139.46001,142.63,138.82001,141.62,141.62,3067400,twelve_data
2025-07-25,ABNB,142.46001,142.53,141.17999,141.31,141.31,2499200,twelve_data
2025-07-28,ABNB,141.3,143.3,141.020004,142.16,142.16,2808600,twelve_data
2025-07-29,ABNB,142.17,143.089996,136.38,136.84,136.84,4143400,twelve_data
2025-07-30,ABNB,135.9,136.525,133.92,134.75,134.75,3502159,tiingo
2025-07-31,ABNB,134.75,135.8,132.12,132.41,132.41,3876500,twelve_data
2025-08-01,ABNB,130.039993,130.36,126.92,128.020004,128.020004,5100400,twelve_data
2025-08-04,ABNB,129.10001,131.13,128.83,130.96001,130.96001,5277200,twelve_data
2025-08-05,ABNB,131.12,132.16,129.28,129.96,129.96,7679968,tiingo
2025-08-06,ABNB,130.675,131.28999,128.3,130.5,130.5,11212800,twelve_data
2025-08-07,ABNB,120.38,123.39,117.28,120.029999,120.029999,17502100,twelve_data
2025-08-08,ABNB,120.57,122.0,119.3,121.019997,121.019997,5791300,twelve_data
2025-08-11,ABNB,120.010002,121.3,118.14,118.3,118.3,6577800,twelve_data
2025-08-12,ABNB,118.96,122.19,118.15,121.61,121.61,6278900,twelve_data
2025-08-13,ABNB,122.3,124.768,121.7,124.55,124.55,6651486,tiingo
2025-08-14,ABNB,123.495,125.58,122.436,124.64,124.64,4706500,twelve_data
2025-08-15,ABNB,125.0,126.345,124.33,125.099998,125.099998,4309800,twelve_data
2025-08-18,ABNB,124.625,125.89,124.46,125.49,125.49,3985000,twelve_data
2025-08-19,ABNB,125.35,128.080002,125.27,126.0,126.0,3739800,twelve_data
2025-08-20,ABNB,125.040001,126.6,123.815,124.96,124.96,4097900,twelve_data
2025-08-21,ABNB,124.96,126.49,124.47,126.43,126.43,3115800,twelve_data
2025-08-22,ABNB,127.17,130.425,126.32,129.92,129.92,4563100,twelve_data
2025-08-25,ABNB,129.44,130.029999,128.089996,128.14999,128.14999,2960500,twelve_data
2025-08-26,ABNB,127.715,128.8,126.4,126.89,126.89,4355500,twelve_data
2025-08-27,ABNB,127.0,130.14999,126.92,129.85001,129.85001,3830600,twelve_data
2025-08-28,ABNB,130.19,130.59,128.82001,130.46001,130.46001,3657100,twelve_data
2025-08-29,ABNB,129.92,131.11,129.21,130.53,130.53,4159392,tiingo
2025-09-02,ABNB,128.42,129.23,126.46,127.59,127.59,4195500,twelve_data
2025-09-03,ABNB,127.42,127.75,124.46,124.9,124.9,6189808,tiingo
2025-09-04,ABNB,124.65,125.65,123.18,125.37,125.37,6194499,tiingo
2025-09-05,ABNB,125.37,127.385,122.82,123.81,123.81,4327200,twelve_data
2025-09-08,ABNB,124.24,126.080002,123.059998,124.62,124.62,4765200,twelve_data
2025-09-09,ABNB,124.12,124.78,123.6,123.81,123.81,3607600,twelve_data
2025-09-10,ABNB,123.81,124.44,122.63,123.41,123.41,4772600,twelve_data
2025-09-11,ABNB,123.695,124.5,122.65,123.05,123.05,5241465,tiingo
2025-09-12,ABNB,123.07,123.45,121.84,122.55,122.55,5263923,tiingo
2025-09-15,ABNB,122.91,122.98,119.76,120.37,120.37,7060401,tiingo
2025-09-16,ABNB,120.71,121.99,119.765,121.66,121.66,5072200,twelve_data
2025-09-17,ABNB,121.98,124.45,121.52,123.2,123.2,4973300,twelve_data
2025-09-18,ABNB,123.74,125.72,123.6,125.47,125.47,4235741,tiingo
2025-09-19,ABNB,126.33,127.85,125.19,127.040001,127.040001,9144300,twelve_data
2025-09-22,ABNB,125.65,126.64,123.35,125.44,125.44,5591100,twelve_data
2025-09-23,ABNB,125.44,126.855,123.050003,123.5,123.5,5634700,twelve_data
2025-09-24,ABNB,123.5,125.59,122.080002,123.080002,123.080002,4060500,twelve_data
2025-09-25,ABNB,122.91,122.91,121.118,121.75,121.75,3632000,twelve_data
