date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,ADBE,351.44,353.1,342.35,352.47,352.47,3941817,tiingo
2025-04-14,ADBE,359.51,362.05,348.5,350.91,350.91,3285950,tiingo
2025-04-15,ADBE,351.05,356.49,349.185,350.38,350.38,3030407,tiingo
2025-04-16,ADBE,345.0,350.38,341.3101,344.19,344.19,3687874,tiingo
2025-04-17,ADBE,349.75,351.875,345.09,348.8,348.8,5229675,tiingo
2025-04-21,ADBE,344.565,346.68,338.64,343.22,343.22,3691241,tiingo
2025-04-22,ADBE,349.14,352.08,344.3687,349.91,349.91,3250424,tiingo
2025-04-23,ADBE,358.12,363.0,349.8,351.96,351.96,3167958,tiingo
2025-04-24,ADBE,353.59,361.12,353.245,360.91,360.91,3085149,tiingo
2025-04-25,ADBE,361.695,369.31,359.99,367.72,367.72,3499345,tiingo
2025-04-28,ADBE,368.05,370.99,364.58,368.62,368.62,3163425,tiingo
2025-04-29,ADBE,367.21,373.88,366.88,370.98,370.98,2198291,tiingo
2025-04-30,ADBE,366.87,376.0,363.56,374.98,374.98,3305481,tiingo
2025-05-01,ADBE,378.3,380.44,374.07,374.63,374.63,2848778,tiingo
2025-05-02,ADBE,380.09,383.5615,379.19,380.87,380.87,2340739,tiingo
2025-05-05,ADBE,379.29,384.54,378.4,381.06,381.06,2095559,tiingo
2025-05-06,ADBE,376.565,386.52,375.05,382.98,382.98,2970086,tiingo
2025-05-07,ADBE,384.7,387.83,380.945,384.97,384.97,2153771,tiingo
2025-05-08,ADBE,388.3,388.731,383.4,383.99,383.99,3383867,tiingo
2025-05-09,ADBE,386.18,388.77,382.33,383.28,383.28,2031324,tiingo
2025-05-12,ADBE,394.33,397.82,392.755,395.94,395.94,3157670,tiingo
2025-05-13,ADBE,395.9,399.67,394.71,397.4,397.4,2664142,tiingo
2025-05-14,ADBE,396.85,400.12,396.42,399.47,399.47,2409217,tiingo
2025-05-15,ADBE,399.35,404.85,399.35,404.69,404.69,2763813,tiingo
2025-05-16,ADBE,414.62,421.765,412.06,417.125,417.125,5391532,tiingo
2025-05-19,ADBE,413.53,421.27,413.1993,420.68,420.68,3007984,tiingo
2025-05-20,ADBE,417.87,419.13,414.29,417.61,417.61,2453377,tiingo
2025-05-21,ADBE,414.855,422.95,412.59,414.03,414.03,2495783,tiingo
2025-05-22,ADBE,412.51,417.8984,412.51,414.33,414.33,1889487,tiingo
2025-05-23,ADBE,409.11,411.45,407.15,407.69,407.69,2087674,tiingo
2025-05-27,ADBE,412.76,414.95,411.6,413.1,413.1,2680356,tiingo
2025-05-28,ADBE,413.81,416.37,411.42,412.23,412.23,2246508,tiingo
2025-05-29,ADBE,414.0,415.4203,410.47,413.36,413.36,1781393,tiingo
2025-05-30,ADBE,414.14,417.86,411.53,415.09,415.09,4231334,tiingo
2025-06-02,ADBE,408.88,410.0,396.73,403.4,403.4,4153688,tiingo
2025-06-03,ADBE,403.455,412.64,402.476,412.49,412.49,2737513,tiingo
2025-06-04,ADBE,411.54,415.94,410.08,413.91,413.91,1843425,tiingo
2025-06-05,ADBE,415.0,421.48,413.98,415.2,415.2,2276924,tiingo
2025-06-06,ADBE,417.54,419.645,415.28,416.92,416.92,2146908,tiingo
2025-06-09,ADBE,417.295,419.0,415.15,416.26,416.26,3034210,tiingo
2025-06-10,ADBE,416.605,419.82,414.42,416.06,416.06,2627431,tiingo
2025-06-11,ADBE,415.2,416.0432,410.42,412.84,412.84,3385416,tiingo
2025-06-12,ADBE,411.43,416.39,410.77,413.68,413.68,6313316,tiingo
2025-06-13,ADBE,392.5,399.85,383.75,391.68,391.68,10629682,tiingo
2025-06-16,ADBE,392.985,405.0,391.11,401.73,401.73,6798251,tiingo
2025-06-17,ADBE,397.275,399.67,381.8,382.68,382.68,6866253,tiingo
2025-06-18,ADBE,383.985,385.2729,377.54,378.04,378.04,4808869,tiingo
2025-06-20,ADBE,380.48,382.29,373.76,376.92,376.92,8126939,tiingo
2025-06-23,ADBE,377.59,380.21,374.24,380.12,380.12,3841754,tiingo
2025-06-24,ADBE,384.96,385.0,378.51,382.34,382.34,4797074,tiingo
2025-06-25,ADBE,383.6,388.05,382.0,387.55,387.55,3718763,tiingo
2025-06-26,ADBE,387.2,389.985,382.87,384.95,384.95,3139666,tiingo
2025-06-27,ADBE,385.44,390.31,384.405,385.83,385.83,5083803,tiingo
2025-06-30,ADBE,387.3,390.98,384.63,386.88,386.88,4645498,tiingo
2025-07-01,ADBE,385.1,392.58,381.5172,392.1,392.1,4516381,tiingo
2025-07-02,ADBE,384.64,386.88,372.73,378.47,378.47,6912202,tiingo
2025-07-03,ADBE,378.0,383.2,377.8,379.31,379.31,2863680,tiingo
2025-07-07,ADBE,378.9,382.22,375.52,376.93,376.93,3545108,tiingo
2025-07-08,ADBE,378.5,386.6011,377.18,382.24,382.24,3708199,tiingo
2025-07-09,ADBE,383.5,384.7451,370.91,373.38,373.38,4726562,tiingo
2025-07-10,ADBE,371.99,373.5,365.51,371.43,371.43,4023925,tiingo
2025-07-11,ADBE,368.0,371.15,362.7,363.35,363.35,3548721,tiingo
2025-07-14,ADBE,363.185,367.68,360.18,366.99,366.99,2898705,tiingo
2025-07-15,ADBE,367.0,368.32,363.88,364.18,364.18,2550992,tiingo
2025-07-16,ADBE,364.585,365.5524,358.71,361.77,361.77,3592883,tiingo
2025-07-17,ADBE,360.6,366.96,359.28,366.45,366.45,3340455,tiingo
2025-07-18,ADBE,367.065,367.79,364.0,365.79,365.79,2459234,tiingo
2025-07-21,ADBE,366.49,368.28,363.13,367.68,367.68,2770433,tiingo
2025-07-22,ADBE,368.0,374.5,368.0,372.87,372.87,2448998,tiingo
2025-07-23,ADBE,373.49,373.99,369.26,372.46,372.46,1994599,tiingo
2025-07-24,ADBE,371.9,375.9974,370.61,371.69,371.69,2692132,tiingo
2025-07-25,ADBE,372.31,372.405,369.51,370.74,370.74,2053161,tiingo
2025-07-28,ADBE,371.03,372.59,368.72,369.47,369.47,2984225,tiingo
2025-07-29,ADBE,370.45,376.16,369.7101,370.7,370.7,4234200,tiingo
2025-07-30,ADBE,370.68,370.72,363.48,364.0,364.0,3295204,tiingo
2025-07-31,ADBE,362.26,362.5,354.27,357.69,357.69,4513089,tiingo
2025-08-01,ADBE,355.95,356.29,347.46,347.8,347.8,4307890,tiingo
2025-08-04,ADBE,351.16,351.21,338.04,338.85,338.85,6449344,tiingo
2025-08-05,ADBE,339.305,342.735,337.35,338.74,338.74,3908970,tiingo
2025-08-06,ADBE,341.65,345.66,339.19,345.62,345.62,3347165,tiingo
2025-08-07,ADBE,344.04,347.38,332.65,338.27,338.27,4661824,tiingo
2025-08-08,ADBE,338.675,341.5684,336.37,341.05,341.05,3507764,tiingo
2025-08-11,ADBE,334.53,343.4035,332.465,333.65,333.65,4366242,tiingo
2025-08-12,ADBE,333.52,338.76,330.04,338.43,338.43,3572414,tiingo
2025-08-13,ADBE,339.54,351.76,337.55,351.07,351.07,4375105,tiingo
2025-08-14,ADBE,349.5,351.5599,346.1,348.58,348.58,3745646,tiingo
2025-08-15,ADBE,348.33,357.29,348.0,354.85,354.85,3718652,tiingo
2025-08-18,ADBE,355.68,358.39,353.0,357.24,357.24,2922973,tiingo
2025-08-19,ADBE,359.215,364.24,358.12,361.03,361.03,2808040,tiingo
2025-08-20,ADBE,361.68,363.0,353.2,353.43,353.43,3727897,tiingo
2025-08-21,ADBE,349.91,353.82,347.0,353.43,353.43,2363230,tiingo
2025-08-22,ADBE,355.8,362.65,354.0,362.09,362.09,3058636,tiingo
2025-08-25,ADBE,362.56,364.65,361.4,363.21,363.21,2259516,tiingo
2025-08-26,ADBE,363.03,363.23,353.695,354.91,354.91,4067395,tiingo
2025-08-27,ADBE,355.98,360.37,355.16,356.35,356.35,2353776,tiingo
2025-08-28,ADBE,357.63,358.26,349.11,353.96,353.96,3803095,tiingo
2025-08-29,ADBE,353.995,357.25,352.455,356.7,356.7,2639259,tiingo
2025-09-02,ADBE,350.24,352.7131,341.28,345.63,345.63,4229423,tiingo
2025-09-03,ADBE,345.72,348.51,343.36,348.5,348.5,3004697,tiingo
2025-09-04,ADBE,342.24,344.405,331.5,344.31,344.31,4918293,tiingo
2025-09-05,ADBE,345.805,354.67,345.1013,348.97,348.97,4662587,tiingo
2025-09-08,ADBE,348.855,358.82,343.59,358.66,358.66,5043305,tiingo
2025-09-09,ADBE,362.75,362.75,353.03,354.06,354.06,4324857,tiingo
2025-09-10,ADBE,356.29,359.19,348.12,350.16,350.16,4552514,tiingo
2025-09-11,ADBE,354.685,355.25,347.16,350.55,350.55,11804184,tiingo
2025-09-12,ADBE,361.1,366.5,341.61,349.36,349.36,14146624,tiingo
2025-09-15,ADBE,350.5,358.0,345.05,347.1,347.1,6768570,tiingo
2025-09-16,ADBE,350.155,356.94,348.3173,352.73,352.73,6696990,tiingo
2025-09-17,ADBE,353.18,365.0,353.18,362.07,362.07,6449922,tiingo
2025-09-18,ADBE,366.86,370.86,365.85,367.46,367.46,4752377,tiingo
2025-09-19,ADBE,368.94,370.31,362.54,365.9,365.9,7693030,tiingo
2025-09-22,ADBE,364.16,365.38,359.36,364.08,364.08,4709584,tiingo
2025-09-23,ADBE,364.175,368.73,361.295,361.78,361.78,3831134,tiingo
2025-09-24,ADBE,355.595,355.595,347.8,353.27,353.27,6140007,tiingo
2025-09-25,ADBE,351.91,357.0,351.5,354.16,354.16,3336731,tiingo
2025-09-26,ADBE,353.71,360.715,352.775,360.37,360.37,3072990,tiingo
