date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,ADSK,256.92,260.7932,251.415,258.45,258.45,1274688,tiingo
2025-04-14,ADSK,263.0,263.64,258.2,260.71,260.71,1261670,tiingo
2025-04-15,ADSK,262.4,266.55,262.0,265.34,265.34,1082257,tiingo
2025-04-16,ADSK,261.79,266.145,257.91,260.16,260.16,1323199,tiingo
2025-04-17,ADSK,262.3,262.385,258.14,259.47,259.47,1053435,tiingo
2025-04-21,ADSK,255.92,256.52,250.46,254.27,254.27,1277332,tiingo
2025-04-22,ADSK,257.81,263.14,256.0404,261.14,261.14,1073030,tiingo
2025-04-23,ADSK,265.49,270.8,263.58,264.44,264.44,1021885,tiingo
2025-04-24,ADSK,265.54,272.77,265.025,271.71,271.71,1303510,tiingo
2025-04-25,ADSK,271.3,272.2675,268.77,269.93,269.93,1308109,tiingo
2025-04-28,ADSK,269.79,273.5564,269.42,271.47,271.47,1171975,tiingo
2025-04-29,ADSK,270.8,273.18,270.4,272.89,272.89,820619,tiingo
2025-04-30,ADSK,270.405,274.87,267.61,274.25,274.25,1226321,tiingo
2025-05-01,ADSK,276.14,278.57,273.135,273.49,273.49,1303907,tiingo
2025-05-02,ADSK,278.3,281.19,276.32,279.99,279.99,959634,tiingo
2025-05-05,ADSK,278.19,283.27,278.19,280.07,280.07,894591,tiingo
2025-05-06,ADSK,277.88,281.3,276.21,278.64,278.64,678259,tiingo
2025-05-07,ADSK,279.38,284.77,279.37,283.36,283.36,1271178,tiingo
2025-05-08,ADSK,284.89,291.35,284.06,289.62,289.62,1148983,tiingo
2025-05-09,ADSK,289.8,291.99,285.77,287.48,287.48,906924,tiingo
2025-05-12,ADSK,295.95,297.86,292.5159,293.2,293.2,1500040,tiingo
2025-05-13,ADSK,294.18,298.83,292.95,297.01,297.01,1220271,tiingo
2025-05-14,ADSK,295.85,297.99,294.65,295.54,295.54,1353254,tiingo
2025-05-15,ADSK,294.97,297.18,294.4,295.78,295.78,1780917,tiingo
2025-05-16,ADSK,296.1,298.21,294.82,298.08,298.08,1901746,tiingo
2025-05-19,ADSK,294.59,297.25,293.0,295.9,295.9,1635597,tiingo
2025-05-20,ADSK,294.59,295.9,292.27,295.84,295.84,1388343,tiingo
2025-05-21,ADSK,292.77,297.79,291.8,292.93,292.93,1831367,tiingo
2025-05-22,ADSK,292.39,296.44,292.37,295.0,295.0,2366754,tiingo
2025-05-23,ADSK,295.0,304.8,291.5301,295.35,295.35,3197268,tiingo
2025-05-27,ADSK,297.51999,301.17999,294.79001,300.35999,300.35999,2132600,twelve_data
2025-05-28,ADSK,301.0,303.10001,298.85999,299.23001,299.23001,1477600,twelve_data
2025-05-29,ADSK,300.48001,301.17999,294.79999,297.0,297.0,1250600,twelve_data
2025-05-30,ADSK,297.48999,298.0,293.70999,296.12,296.12,4533900,twelve_data
2025-06-02,ADSK,294.41,295.88,291.24,295.26,295.26,1023810,tiingo
2025-06-03,ADSK,295.12,299.72,294.48001,299.51999,299.51999,1525700,twelve_data
2025-06-04,ADSK,299.1,301.43,298.04,298.36,298.36,1031342,tiingo
2025-06-05,ADSK,298.35999,300.67001,297.22,298.22,298.22,1091100,twelve_data
2025-06-06,ADSK,300.17,300.18,297.405,297.86,297.86,941748,tiingo
2025-06-09,ADSK,297.0,298.79001,290.63,297.20999,297.20999,1316600,twelve_data
2025-06-10,ADSK,298.41,298.51999,295.97,297.54001,297.54001,896700,twelve_data
2025-06-11,ADSK,298.0,299.12,295.98001,296.76999,296.76999,1198600,twelve_data
2025-06-12,ADSK,296.92001,299.67001,296.10999,298.57001,298.57001,1054300,twelve_data
2025-06-13,ADSK,294.089996,296.69,291.14001,292.16,292.16,1129700,twelve_data
2025-06-16,ADSK,293.35001,299.39001,292.89999,299.29999,299.29999,1384900,twelve_data
2025-06-17,ADSK,298.39999,300.51999,295.81,296.85001,296.85001,1070000,twelve_data
2025-06-18,ADSK,296.85001,297.57001,293.76001,295.19,295.19,1110700,twelve_data
2025-06-20,ADSK,297.75,299.70001,295.079987,297.20999,297.20999,2874600,twelve_data
2025-06-23,ADSK,297.82001,301.17999,293.48999,300.95001,300.95001,1828900,twelve_data
2025-06-24,ADSK,304.02,306.06,301.92,304.19,304.19,1470094,tiingo
2025-06-25,ADSK,304.38,305.0,302.019989,302.37,302.37,1226400,twelve_data
2025-06-26,ADSK,303.48999,305.76001,300.70999,304.92999,304.92999,1159900,twelve_data
2025-06-27,ADSK,307.47,309.84,304.85999,305.13,305.13,1703000,twelve_data
2025-06-30,ADSK,307.45999,310.23001,305.76001,309.57001,309.57001,1570500,twelve_data
2025-07-01,ADSK,308.41,312.51,306.15,311.67,311.67,2001276,tiingo
2025-07-02,ADSK,309.88,310.82,306.32,310.34,310.34,1139562,tiingo
2025-07-03,ADSK,312.17999,318.25,310.34,316.66,316.66,836400,twelve_data
2025-07-07,ADSK,317.73001,319.48999,313.81,315.31,315.31,1409800,twelve_data
2025-07-08,ADSK,317.21,319.13,314.71,314.91,314.91,1457680,tiingo
2025-07-09,ADSK,316.070007,316.60001,300.0,307.26999,307.26999,2562700,twelve_data
2025-07-10,ADSK,300.0,300.48001,281.64999,286.10999,286.10999,4698700,twelve_data
2025-07-11,ADSK,285.61,286.16,279.9,280.39,280.39,2442001,tiingo
2025-07-14,ADSK,298.37,298.37,286.69,294.54999,294.54999,3744800,twelve_data
2025-07-15,ADSK,293.26001,294.73001,288.64999,288.95999,288.95999,1830900,twelve_data
2025-07-16,ADSK,289.79001,290.92999,286.51999,289.47,289.47,1350000,twelve_data
2025-07-17,ADSK,289.67001,292.38,288.85999,292.16,292.16,1639200,twelve_data
2025-07-18,ADSK,293.70999,297.70001,292.29999,297.029999,297.029999,2421100,twelve_data
2025-07-21,ADSK,296.089996,298.76999,294.81,295.16,295.16,1592100,twelve_data
2025-07-22,ADSK,296.45001,300.60001,295.57999,299.42999,299.42999,1198200,twelve_data
2025-07-23,ADSK,300.89999,302.39999,298.48999,300.98001,300.98001,1683100,twelve_data
2025-07-24,ADSK,301.01001,302.29001,299.040009,301.10001,301.10001,1286900,twelve_data
2025-07-25,ADSK,301.70999,304.35999,300.070007,303.28,303.28,1025300,twelve_data
