date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,AEP,103.64,105.17,101.86,104.63,100.5397554452,3582805,tiingo
2025-04-14,AEP,104.45,106.94,103.73,106.58,102.4135251396,3224765,tiingo
2025-04-15,AEP,107.05,107.505,106.21,106.68,102.5096158931,2599692,tiingo
2025-04-16,AEP,106.94,107.46,105.65,105.92,101.7793261661,2786867,tiingo
2025-04-17,AEP,106.75,109.03,106.67,107.71,103.4993506547,3156828,tiingo
2025-04-21,AEP,107.77,107.77,104.72,105.53,101.4045722272,3608944,tiingo
2025-04-22,AEP,106.26,108.31,106.13,108.15,103.9221499704,2304730,tiingo
2025-04-23,AEP,107.58,108.125,105.565,107.02,102.8363244552,3202133,tiingo
2025-04-24,AEP,106.965,107.625,105.695,106.7,102.5288340438,3676753,tiingo
2025-04-25,AEP,106.77,106.875,105.58,106.74,102.5672703452,2853480,tiingo
2025-04-28,AEP,106.77,107.5598,105.7,107.06,102.8747607566,3303394,tiingo
2025-04-29,AEP,107.2,108.58,106.29,108.5,104.2584676078,2950675,tiingo
2025-04-30,AEP,108.97,109.08,106.34,108.34,104.1047224021,5418924,tiingo
2025-05-01,AEP,107.88,108.76,107.125,107.54,103.3359963737,3107186,tiingo
2025-05-02,AEP,108.27,108.335,107.16,107.69,103.480132504,1984665,tiingo
2025-05-05,AEP,107.75,108.0399,106.27,107.44,103.2399056201,2616262,tiingo
2025-05-06,AEP,108.24,109.03,107.0,107.44,103.2399056201,3309249,tiingo
2025-05-07,AEP,107.43,108.16,106.5,107.48,103.2783419216,3249112,tiingo
2025-05-08,AEP,107.07,107.32,104.53,105.19,101.0778636651,3598765,tiingo
2025-05-09,AEP,104.43,104.84,103.725,104.68,101.4814448301,3056956,tiingo
2025-05-12,AEP,103.14,103.61,100.57,100.99,97.9041948165,4449894,tiingo
2025-05-13,AEP,100.99,101.28,99.38,99.56,96.5178892557,4607400,tiingo
2025-05-14,AEP,99.27,99.29,97.46,98.59,95.577528141,5207425,tiingo
2025-05-15,AEP,99.37,101.7,99.35,101.61,98.5052503743,5823998,tiingo
2025-05-16,AEP,101.58,103.09,101.25,103.04,99.8915559351,2868876,tiingo
