date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,ALNY,241.83,241.83,234.1821,240.01,240.01,926566,tiingo
2025-04-15,ALNY,241.37,242.15,228.055,230.93,230.93,1025890,tiingo
2025-04-16,ALNY,230.98,234.5,225.8448,230.5,230.5,1010678,tiingo
2025-04-17,ALNY,230.48,235.12,228.96,234.56,234.56,601350,tiingo
2025-04-21,ALNY,230.36,237.77,228.28,232.75,232.75,796450,tiingo
2025-04-22,ALNY,234.32,238.63,231.7553,236.75,236.75,885957,tiingo
2025-04-23,ALNY,243.92,248.59,240.01,241.97,241.97,752903,tiingo
2025-04-24,ALNY,241.74,243.685,238.62,242.61,242.61,678928,tiingo
2025-04-25,ALNY,241.9,253.25,240.0,251.56,251.56,836371,tiingo
2025-04-28,ALNY,252.83,256.565,252.26,254.85,254.85,510782,tiingo
2025-04-29,ALNY,256.14,260.535,253.828,257.19,257.19,941581,tiingo
2025-04-30,ALNY,256.99,263.68,253.47,263.24,263.24,949410,tiingo
2025-05-01,ALNY,257.14,265.91,247.705,255.13,255.13,1519744,tiingo
2025-05-02,ALNY,259.5,265.0,257.12,259.39,259.39,729712,tiingo
2025-05-05,ALNY,259.09,273.97,257.23,273.55,273.55,1233432,tiingo
2025-05-06,ALNY,269.89,276.47,267.62,269.81,269.81,1564154,tiingo
2025-05-07,ALNY,270.0,277.845,269.72,276.55,276.55,763334,tiingo
2025-05-08,ALNY,267.63,270.0,245.96,258.35,258.35,1704382,tiingo
2025-05-09,ALNY,259.92,260.0,250.35,251.15,251.15,656363,tiingo
2025-05-12,ALNY,255.48,270.2,252.7875,270.19,270.19,1252040,tiingo
2025-05-13,ALNY,267.4,268.07,261.45,266.86,266.86,723504,tiingo
2025-05-14,ALNY,267.27,270.0,261.85,267.55,267.55,700397,tiingo
2025-05-15,ALNY,269.53,285.0,266.18,283.4,283.4,1264454,tiingo
2025-05-16,ALNY,281.02,289.75,280.595,285.31,285.31,1193506,tiingo
2025-05-19,ALNY,287.44,296.8,285.41,291.86,291.86,929467,tiingo
2025-05-20,ALNY,292.28,292.99,288.25,291.68,291.68,627259,tiingo
2025-05-21,ALNY,291.5,298.23,288.74,292.58,292.58,930234,tiingo
2025-05-22,ALNY,290.73,291.54,284.425,289.0,289.0,614991,tiingo
2025-05-23,ALNY,286.385,291.22,284.19,289.96,289.96,757018,tiingo
2025-05-27,ALNY,295.44,295.44,289.225,290.1,290.1,737929,tiingo
2025-05-28,ALNY,291.07,291.54,285.55,285.56,285.56,905329,tiingo
2025-05-29,ALNY,287.65,293.22,284.73,292.9,292.9,965795,tiingo
2025-05-30,ALNY,292.45,306.0,287.2,304.56,304.56,3116163,tiingo
2025-06-02,ALNY,303.095,307.19,299.52,306.09,306.09,1132004,tiingo
2025-06-03,ALNY,306.0,307.845,301.515,303.77,303.77,965349,tiingo
2025-06-04,ALNY,303.22,308.93,302.335,305.31,305.31,563089,tiingo
2025-06-05,ALNY,304.55,308.53,300.75,308.0,308.0,762007,tiingo
2025-06-06,ALNY,309.0,310.22,300.27,300.83,300.83,954848,tiingo
2025-06-09,ALNY,303.8,306.17,297.67,304.0,304.0,609653,tiingo
2025-06-10,ALNY,303.81,308.89,301.34,302.46,302.46,515086,tiingo
2025-06-11,ALNY,303.18,303.85,298.25,298.58,298.58,456351,tiingo
2025-06-12,ALNY,300.48,307.48,295.82,304.67,304.67,874902,tiingo
2025-06-13,ALNY,300.97,308.02,300.97,307.99,307.99,571872,tiingo
2025-06-16,ALNY,306.45,309.63,302.32,308.78,308.78,520205,tiingo
2025-06-17,ALNY,305.12,309.06,303.31,308.71,308.71,570558,tiingo
2025-06-18,ALNY,309.17,317.54,306.7,312.32,312.32,981185,tiingo
2025-06-20,ALNY,312.995,314.5,308.78,309.7,309.7,1336971,tiingo
2025-06-23,ALNY,310.6,314.7775,308.46,313.13,313.13,503130,tiingo
2025-06-24,ALNY,316.51,326.03,309.96,325.0,325.0,1000030,tiingo
2025-06-25,ALNY,323.51,324.32,320.71,321.94,321.94,632571,tiingo
2025-06-26,ALNY,324.93,324.9999,315.0,318.25,318.25,663904,tiingo
2025-06-27,ALNY,317.33,323.2,315.14,322.83,322.83,2052212,tiingo
2025-06-30,ALNY,324.77,327.21,320.57,326.09,326.09,943623,tiingo
2025-07-01,ALNY,324.77,326.64,315.03,322.06,322.06,1240081,tiingo
2025-07-02,ALNY,319.62,330.0,319.4,329.77,329.77,967743,tiingo
2025-07-03,ALNY,330.0,333.7,327.88,331.91,331.91,431157,tiingo
2025-07-07,ALNY,328.24,328.24,314.1,324.13,324.13,1294593,tiingo
2025-07-08,ALNY,324.13,328.99,315.81,317.5,317.5,972969,tiingo
2025-07-09,ALNY,316.87,322.68,313.74,320.87,320.87,1039484,tiingo
2025-07-10,ALNY,322.47,324.82,319.15,322.64,322.64,489398,tiingo
2025-07-11,ALNY,321.12,321.12,312.96,314.94,314.94,1081910,tiingo
2025-07-14,ALNY,314.94,319.18,313.76,315.75,315.75,629609,tiingo
2025-07-15,ALNY,316.9,316.9,309.57,311.12,311.12,927335,tiingo
2025-07-16,ALNY,314.52,323.41,311.255,322.81,322.81,1234188,tiingo
2025-07-17,ALNY,321.2,329.87,321.06,324.69,324.69,744566,tiingo
2025-07-18,ALNY,325.62,325.62,317.88,320.53,320.53,581322,tiingo
2025-07-21,ALNY,324.98,328.695,320.26,320.52,320.52,744530,tiingo
2025-07-22,ALNY,321.57,326.295,320.18,325.28,325.28,1273708,tiingo
2025-07-23,ALNY,325.28,329.335,322.3,325.64,325.64,912188,tiingo
