date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,AMD,97.11,97.3699,93.45,94.5,94.5,36002970,tiingo
2025-04-15,AMD,94.66,96.85,94.62,95.29,95.29,28116536,tiingo
2025-04-16,AMD,87.61,90.47,85.295,88.29,88.29,62109016,tiingo
2025-04-17,AMD,88.84,89.03,86.515,87.5,87.5,34801437,tiingo
2025-04-21,AMD,86.015,86.14,83.75,85.56,85.56,33855392,tiingo
2025-04-22,AMD,86.12,87.17,85.17,86.26,86.26,35236735,tiingo
2025-04-23,AMD,91.875,93.74,90.12,90.39,90.39,41102589,tiingo
2025-04-24,AMD,91.59,94.75,90.37,94.47,94.47,33681919,tiingo
2025-04-25,AMD,93.275,97.1,92.85,96.645,96.645,28575343,tiingo
2025-04-28,AMD,95.575,97.4865,94.27,96.39,96.39,30456683,tiingo
2025-04-29,AMD,95.755,97.1767,95.33,96.06,96.06,20700637,tiingo
2025-04-30,AMD,92.81,97.55,91.87,97.35,97.35,29730729,tiingo
2025-05-01,AMD,99.265,100.1,96.45,96.65,96.65,29591507,tiingo
2025-05-02,AMD,98.4,99.88,98.3,98.8,98.8,29957888,tiingo
2025-05-05,AMD,99.0,102.05,98.76,100.59,100.59,41268886,tiingo
2025-05-06,AMD,98.41,100.07,97.44,98.62,98.62,54264254,tiingo
2025-05-07,AMD,100.75,103.42,96.88,100.36,100.36,86648749,tiingo
2025-05-08,AMD,101.92,105.44,101.56,101.7,101.7,54231362,tiingo
2025-05-09,AMD,102.585,103.54,101.6,102.84,102.84,31704261,tiingo
2025-05-12,AMD,110.415,110.667,106.98,108.12,108.12,50543396,tiingo
2025-05-13,AMD,109.6,113.1277,109.0,112.46,112.46,55659513,tiingo
2025-05-14,AMD,119.83,122.52,116.59,117.72,117.72,86743700,tiingo
2025-05-15,AMD,117.02,117.5,114.01,114.99,114.99,43843235,tiingo
2025-05-16,AMD,118.07,118.24,116.01,117.17,117.17,43419695,tiingo
2025-05-19,AMD,115.015,115.53,114.06,114.74,114.74,37737373,tiingo
2025-05-20,AMD,114.35,114.51,112.08,113.51,113.51,29030815,tiingo
2025-05-21,AMD,113.85,116.1,111.09,112.06,112.06,43594606,tiingo
2025-05-22,AMD,111.9,112.64,110.61,110.71,110.71,29251957,tiingo
2025-05-23,AMD,108.085,111.015,107.6671,110.31,110.31,30867274,tiingo
2025-05-27,AMD,113.175,115.395,112.27,114.56,114.56,37885019,tiingo
2025-05-28,AMD,114.915,114.948,112.66,112.86,112.86,27483741,tiingo
2025-05-29,AMD,115.485,115.54,112.13,113.03,113.03,30572131,tiingo
2025-05-30,AMD,111.58,112.11,108.62,110.73,110.73,36088500,twelve_data
2025-06-02,AMD,111.06,114.86,111.01,114.63,114.63,34078358,tiingo
2025-06-03,AMD,114.5,117.68,113.28,117.31,117.31,37161484,tiingo
2025-06-04,AMD,117.41,119.295,115.73,118.58,118.58,31024986,tiingo
2025-06-05,AMD,118.95,119.2448,114.71,115.69,115.69,34182902,tiingo
2025-06-06,AMD,117.685,118.38,115.88,116.19,116.19,27042083,tiingo
2025-06-09,AMD,119.18,122.3699,119.04,121.73,121.73,55437652,tiingo
2025-06-10,AMD,121.105,124.09,120.8,123.24,123.24,41691908,tiingo
2025-06-11,AMD,124.44,124.47,119.88,121.14,121.14,32261863,tiingo
2025-06-12,AMD,120.615,122.25,118.03,118.5,118.5,44718365,tiingo
2025-06-13,AMD,116.045,117.883,115.06,116.16,116.16,39702742,tiingo
2025-06-16,AMD,118.64,128.14,117.78,126.39,126.39,100968500,twelve_data
2025-06-17,AMD,127.93,130.7,126.58,127.099998,127.099998,86623900,twelve_data
2025-06-18,AMD,128.01,129.21,125.77,126.79,126.79,49627112,tiingo
2025-06-20,AMD,129.0,132.805,127.55,128.24,128.24,79930980,tiingo
2025-06-23,AMD,130.47,133.25,126.82,129.58,129.58,65152874,tiingo
2025-06-24,AMD,133.43,138.79,132.93,138.43,138.43,78571997,tiingo
2025-06-25,AMD,140.94,144.17999,139.46001,143.39999,143.39999,74607200,twelve_data
2025-06-26,AMD,145.97,146.0,141.91,143.68,143.68,58180081,tiingo
2025-06-27,AMD,144.17999,147.75,141.63,143.81,143.81,61937900,twelve_data
2025-06-30,AMD,144.0,146.0,141.0099945,141.89999,141.89999,42972500,twelve_data
2025-07-01,AMD,138.77,140.23,135.1202,136.11,136.11,55257237,tiingo
2025-07-02,AMD,135.53,139.78,135.22,138.52,138.52,39228000,twelve_data
2025-07-03,AMD,139.11,139.5,137.32001,137.91,137.91,28646000,twelve_data
2025-07-07,AMD,136.56,137.44,133.5,134.8,134.8,37395010,tiingo
2025-07-08,AMD,137.32,139.15,135.91,137.82,137.82,36124612,tiingo
2025-07-09,AMD,138.69,140.65,137.59,138.41,138.41,37013130,tiingo
2025-07-10,AMD,143.0,145.82,141.85,144.16,144.16,61101465,tiingo
2025-07-11,AMD,142.6,147.4,141.6,146.42,146.42,50049179,tiingo
2025-07-14,AMD,145.089996,147.58,141.89999,146.24001,146.24001,44718600,twelve_data
2025-07-15,AMD,153.75,158.67999,153.56,155.61,155.61,93370100,twelve_data
2025-07-16,AMD,155.31,160.36,152.85001,160.080002,160.080002,59492800,twelve_data
2025-07-17,AMD,161.81,161.96001,158.67999,160.41,160.41,50605100,twelve_data
2025-07-18,AMD,159.59,160.83,155.81,156.99001,156.99001,48859800,twelve_data
2025-07-21,AMD,157.62,160.34,156.92,157.0,157.0,39021130,tiingo
2025-07-22,AMD,156.2,156.23,149.34,154.72,154.72,49028000,twelve_data
2025-07-23,AMD,156.32001,159.45,156.0,158.64999,158.64999,41510900,twelve_data
2025-07-24,AMD,159.12,163.93,158.36,162.12,162.12,48440112,tiingo
2025-07-25,AMD,163.50999,167.17999,162.36,166.47,166.47,53432300,twelve_data
2025-07-28,AMD,169.08,174.7,168.67,173.66,173.66,68267835,tiingo
2025-07-29,AMD,175.205,182.31,174.68,177.44,177.44,108154838,tiingo
2025-07-30,AMD,175.605,180.37,173.8,179.51,179.51,64820291,tiingo
2025-07-31,AMD,182.020004,182.5,173.0,176.31,176.31,71765300,twelve_data
2025-08-01,AMD,170.16,174.39999,166.82001,171.7,171.7,75396100,twelve_data
2025-08-04,AMD,174.61,177.86,173.56,176.78,176.78,52951000,twelve_data
2025-08-05,AMD,177.57001,177.99001,171.8,174.31,174.31,88808500,twelve_data
2025-08-06,AMD,165.050003,166.17999,157.8,163.12,163.12,133641800,twelve_data
2025-08-07,AMD,166.835,175.75,166.7,172.4,172.4,95448310,tiingo
2025-08-08,AMD,174.039993,176.48,170.52,172.75999,172.75999,68866700,twelve_data
2025-08-11,AMD,170.04,178.82,169.38,172.28,172.28,70651033,tiingo
2025-08-12,AMD,173.32,175.16,168.5,174.95,174.95,52335746,tiingo
2025-08-13,AMD,179.91,186.65,179.38,184.42,184.42,108305129,tiingo
2025-08-14,AMD,179.83,185.44,179.56,180.95,180.95,66308821,tiingo
2025-08-15,AMD,180.06,180.14,176.25,177.51,177.51,51543136,tiingo
2025-08-18,AMD,176.75999,178.8,174.36,176.14,176.14,35937500,twelve_data
2025-08-19,AMD,173.10001,173.17,166.10001,166.55,166.55,64455000,twelve_data
2025-08-20,AMD,164.10001,166.64999,158.25,165.2,165.2,60233200,twelve_data
2025-08-21,AMD,165.86,165.88,162.25999,163.71001,163.71001,37880500,twelve_data
2025-08-22,AMD,162.17,168.53,161.8,167.76,167.76,43998605,tiingo
2025-08-25,AMD,165.55,165.59,161.72,163.36,163.36,36134684,tiingo
2025-08-26,AMD,168.65,169.77,164.91,166.62,166.62,52138562,tiingo
2025-08-27,AMD,166.04,167.68,164.65,167.13,167.13,37031044,tiingo
2025-08-28,AMD,168.5,170.99,166.65,168.58,168.58,36285192,tiingo
2025-08-29,AMD,166.81,168.57001,161.89999,162.63,162.63,37516800,twelve_data
2025-09-02,AMD,158.42,162.39,156.62,162.32001,162.32001,38656100,twelve_data
2025-09-03,AMD,161.81,164.75,160.58,162.13,162.13,30070421,tiingo
2025-09-04,AMD,159.935,162.05,157.79,161.79,161.79,32103496,tiingo
2025-09-05,AMD,157.12,157.14,150.18,151.14,151.14,78255950,tiingo
2025-09-08,AMD,151.8,152.6388,149.22,151.41,151.41,41848995,tiingo
2025-09-09,AMD,151.99001,156.66,151.92999,155.82001,155.82001,42802500,twelve_data
2025-09-10,AMD,163.53999,164.53,158.0,159.53999,159.53999,52465300,twelve_data
2025-09-11,AMD,158.62,160.21001,154.99001,155.67,155.67,48817700,twelve_data
2025-09-12,AMD,157.0,160.41,154.92,158.57001,158.57001,42232800,twelve_data
2025-09-15,AMD,160.01,162.3,157.6012,161.16,161.16,36808726,tiingo
2025-09-16,AMD,161.37,161.95,159.22,160.46001,160.46001,27946500,twelve_data
2025-09-17,AMD,159.28,161.63,155.76,159.16,159.16,41823842,tiingo
2025-09-18,AMD,150.96,158.7699,149.85,157.92,157.92,84549468,tiingo
2025-09-19,AMD,157.38,159.84,155.89999,157.39,157.39,55448100,twelve_data
2025-09-22,AMD,157.42,162.67999,157.42,159.78999,159.78999,46505500,twelve_data
2025-09-23,AMD,160.52,163.39,159.21,160.9,160.9,39448320,tiingo
2025-09-24,AMD,162.98,165.10001,158.42999,160.88,160.88,38464100,twelve_data
2025-09-25,AMD,157.14,161.63,154.78,161.27,161.27,36809900,twelve_data
2025-09-26,AMD,160.52,162.11,157.050003,159.46001,159.46001,30316900,twelve_data
2025-09-29,AMD,160.12,164.3,159.89999,161.36,161.36,39828800,twelve_data
