date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,AXON,578.0,590.0,571.715,574.83,574.83,666157,tiingo
2025-04-15,AXON,575.1,584.17,572.82,578.42,578.42,330872,tiingo
2025-04-16,AXON,572.01,581.105,564.68,571.85,571.85,368438,tiingo
2025-04-17,AXON,578.2,578.2,556.39,559.53,559.53,519731,tiingo
2025-04-21,AXON,550.0,556.63,531.22,541.93,541.93,478945,tiingo
2025-04-22,AXON,551.32,561.8112,546.0,555.52,555.52,440802,tiingo
2025-04-23,AXON,576.4,594.4624,574.2,576.9,576.9,492948,tiingo
2025-04-24,AXON,576.15,593.8359,571.0,590.67,590.67,493331,tiingo
2025-04-25,AXON,590.72,603.98,590.72,603.78,603.78,556455,tiingo
2025-04-28,AXON,605.66,614.0,594.54,602.46,602.46,456126,tiingo
2025-04-29,AXON,603.57,612.03,598.81,611.13,611.13,399687,tiingo
2025-04-30,AXON,591.59,614.76,585.49,613.3,613.3,519821,tiingo
2025-05-01,AXON,617.96,627.7299,613.02,621.1,621.1,450462,tiingo
2025-05-02,AXON,632.18,638.35,626.46,628.16,628.16,507953,tiingo
2025-05-05,AXON,624.99,631.1581,620.9901,621.4,621.4,358190,tiingo
2025-05-06,AXON,608.97,612.775,597.5614,601.67,601.67,759283,tiingo
2025-05-07,AXON,602.01,607.5992,594.52,601.82,601.82,887360,tiingo
2025-05-08,AXON,646.38,698.265,644.605,686.83,686.83,1692978,tiingo
2025-05-09,AXON,684.01,697.39,677.61,684.59,684.59,642574,tiingo
2025-05-12,AXON,700.0,703.0,667.0,693.1,693.1,878357,tiingo
2025-05-13,AXON,695.0,732.1662,694.71,724.77,724.77,868804,tiingo
2025-05-14,AXON,725.0,730.76,715.5886,728.53,728.53,566253,tiingo
2025-05-15,AXON,725.495,732.222,722.0,728.39,728.39,570241,tiingo
2025-05-16,AXON,732.0,735.68,724.7408,733.18,733.18,420469,tiingo
2025-05-19,AXON,721.99,742.34,721.0492,742.32,742.32,425566,tiingo
2025-05-20,AXON,741.41,744.51,734.89,742.75,742.75,383702,tiingo
2025-05-21,AXON,738.0,748.8,730.01,735.38,735.38,570731,tiingo
2025-05-22,AXON,734.07,735.0,722.03,723.75,723.75,510375,tiingo
2025-05-23,AXON,717.98,735.4259,714.0,731.37,731.37,422654,tiingo
2025-05-27,AXON,740.58,748.14,736.63,746.08,746.08,477573,tiingo
2025-05-28,AXON,748.81,755.05,743.6277,751.0,751.0,524938,tiingo
2025-05-29,AXON,753.19,754.8083,729.16,730.29,730.29,536596,tiingo
2025-05-30,AXON,731.01,751.99,729.14,750.36,750.36,1121126,tiingo
2025-06-02,AXON,755.0,765.0,742.8,758.57,758.57,521175,tiingo
2025-06-03,AXON,761.0,766.26,750.0,759.07,759.07,503574,tiingo
2025-06-04,AXON,760.0,780.62,757.45,780.0,780.0,558064,tiingo
2025-06-05,AXON,780.53,793.2399,773.9901,788.36,788.36,683795,tiingo
2025-06-06,AXON,794.92,798.16,784.6357,791.85,791.85,443740,tiingo
2025-06-09,AXON,795.83,806.64,775.8553,783.8,783.8,537362,tiingo
2025-06-10,AXON,778.54,787.61,751.25,762.66,762.66,600557,tiingo
2025-06-11,AXON,764.67,782.785,746.9,778.36,778.36,487781,tiingo
2025-06-12,AXON,773.16,781.12,772.605,775.2,775.2,350325,tiingo
2025-06-13,AXON,771.81,786.7749,767.6,780.63,780.63,359099,tiingo
2025-06-16,AXON,786.37,797.5,779.28,780.61,780.61,470995,tiingo
2025-06-17,AXON,776.39,782.7514,770.201,777.54,777.54,445749,tiingo
2025-06-18,AXON,775.85,779.8899,761.9,770.79,770.79,482933,tiingo
2025-06-20,AXON,780.28,781.0,767.0803,777.32,777.32,1182182,tiingo
2025-06-23,AXON,773.48,791.38,767.3175,783.24,783.24,391501,tiingo
2025-06-24,AXON,785.0,799.66,758.24,794.25,794.25,743572,tiingo
2025-06-25,AXON,800.0,801.0,780.66,785.07,785.07,440465,tiingo
2025-06-26,AXON,791.81,805.48,791.81,803.95,803.95,484379,tiingo
2025-06-27,AXON,804.85,820.83,802.2836,818.6,818.6,1010936,tiingo
2025-06-30,AXON,818.75,830.21,816.855,827.94,827.94,530137,tiingo
2025-07-01,AXON,825.89,829.5,765.5,775.38,775.38,997650,tiingo
2025-07-02,AXON,774.68,782.9813,756.72,774.55,774.55,574326,tiingo
2025-07-03,AXON,781.77,797.89,780.0,795.48,795.48,268670,tiingo
2025-07-07,AXON,796.02,804.4375,790.0,802.16,802.16,453034,tiingo
2025-07-08,AXON,802.72,815.0,774.0957,790.22,790.22,507791,tiingo
2025-07-09,AXON,794.3,809.99,785.0,805.86,805.86,339967,tiingo
2025-07-10,AXON,802.11,803.0,728.43,732.99,732.99,1227628,tiingo
2025-07-11,AXON,740.33,753.018,723.001,729.62,729.62,1121522,tiingo
2025-07-14,AXON,727.1,752.97,723.99,750.26,750.26,538912,tiingo
2025-07-15,AXON,752.74,753.57,740.16,745.87,745.87,373471,tiingo
2025-07-16,AXON,743.56,748.27,725.05,742.77,742.77,516134,tiingo
2025-07-17,AXON,744.8,753.25,739.79,745.86,745.86,341234,tiingo
2025-07-18,AXON,747.83,757.9799,741.07,756.09,756.09,404325,tiingo
2025-07-21,AXON,755.92,758.25,741.91,751.55,751.55,377483,tiingo
2025-07-22,AXON,749.01,749.01,720.18,720.74,720.74,759573,tiingo
2025-07-23,AXON,725.8,728.95,694.72,705.22,705.22,1098487,tiingo
2025-07-24,AXON,705.22,715.745,695.0001,709.26,709.26,1105053,tiingo
2025-07-25,AXON,711.39,742.23,709.82,735.01,735.01,723678,tiingo
2025-07-28,AXON,740.36,747.3,722.07,736.29,736.29,627694,tiingo
2025-07-29,AXON,742.19,742.19,725.79,728.74,728.74,383542,tiingo
2025-07-30,AXON,728.74,749.8,725.0,748.6,748.6,448258,tiingo
2025-07-31,AXON,752.62,762.05,747.24,755.49,755.49,513614,tiingo
2025-08-01,AXON,739.46,747.4081,728.0,742.47,742.47,457681,tiingo
2025-08-04,AXON,751.04,755.0,736.95,744.88,744.88,769837,tiingo
2025-08-05,AXON,818.0,885.915,802.9601,867.12,867.12,2534971,tiingo
2025-08-06,AXON,859.76,879.22,843.0227,863.65,863.65,842126,tiingo
2025-08-07,AXON,867.23,885.0,860.98,870.97,870.97,700950,tiingo
2025-08-08,AXON,872.47,878.6169,835.7,842.5,842.5,667561,tiingo
2025-08-11,AXON,842.89,844.15,817.36,818.69,818.69,616018,tiingo
2025-08-12,AXON,819.64,824.66,767.51,768.57,768.57,999533,tiingo
2025-08-13,AXON,776.98,780.0,731.7421,765.52,765.52,1129168,tiingo
2025-08-14,AXON,764.26,764.26,745.0,749.83,749.83,517787,tiingo
2025-08-15,AXON,750.21,762.0,739.01,754.24,754.24,583413,tiingo
2025-08-18,AXON,755.18,792.64,753.77,791.62,791.62,848300,tiingo
2025-08-19,AXON,779.83,783.995,755.0,758.29,758.29,654278,tiingo
2025-08-20,AXON,754.17,763.71,740.5,760.89,760.89,409959,tiingo
2025-08-21,AXON,763.0,768.0,752.5,763.51,763.51,367048,tiingo
2025-08-22,AXON,764.37,784.14,757.5,766.24,766.24,395921,tiingo
2025-08-25,AXON,766.22,777.54,762.27,763.52,763.52,301529,tiingo
2025-08-26,AXON,764.2,775.0,761.05,769.02,769.02,413957,tiingo
2025-08-27,AXON,774.76,779.79,767.0,769.68,769.68,327223,tiingo
2025-08-28,AXON,772.83,794.29,771.5001,781.9,781.9,553782,tiingo
2025-08-29,AXON,784.32,785.8399,745.46,747.29,747.29,583592,tiingo
2025-09-02,AXON,733.81,748.83,726.0001,743.59,743.59,494339,tiingo
2025-09-03,AXON,737.26,738.0,713.2051,725.29,725.29,634592,tiingo
2025-09-04,AXON,725.78,731.19,719.0,730.16,730.16,383753,tiingo
2025-09-05,AXON,731.0,738.77,708.7592,728.41,728.41,398299,tiingo
2025-09-08,AXON,736.37,750.0,733.875,740.61,740.61,608947,tiingo
2025-09-09,AXON,734.09,739.9999,718.0,731.98,731.98,312183,tiingo
2025-09-10,AXON,736.66,750.955,734.26,747.55,747.55,481584,tiingo
2025-09-11,AXON,751.61,765.005,745.4284,751.11,751.11,466950,tiingo
2025-09-12,AXON,756.66,765.44,754.46,756.13,756.13,304070,tiingo
2025-09-15,AXON,760.0,774.32,756.2,760.79,760.79,393820,tiingo
2025-09-16,AXON,760.79,766.63,750.65,750.67,750.67,484865,tiingo
2025-09-17,AXON,750.67,762.175,748.3,751.81,751.81,504493,tiingo
2025-09-18,AXON,756.35,771.9999,753.0,766.47,766.47,436875,tiingo
2025-09-19,AXON,771.77,779.09,760.01,774.53,774.53,1740459,tiingo
2025-09-22,AXON,766.33,778.9419,761.5501,775.92,775.92,406984,tiingo
2025-09-23,AXON,769.16,792.155,768.2236,777.58,777.58,449310,tiingo
2025-09-24,AXON,789.29,789.29,697.8,698.02,698.02,1192499,tiingo
2025-09-25,AXON,696.97,723.1522,694.54,712.15,712.15,974686,tiingo
2025-09-26,AXON,718.0,722.0,697.455,708.84,708.84,442853,tiingo
2025-09-29,AXON,716.335,722.84,703.0,716.02,716.02,719263,tiingo
2025-09-30,AXON,716.04,724.88,700.245,717.64,717.64,608857,tiingo
2025-10-01,AXON,708.64,720.075,697.0,711.34,711.34,520473,tiingo
2025-10-02,AXON,719.91,725.16,703.24,720.53,720.53,453008,tiingo
2025-10-03,AXON,721.51,726.76,712.76,715.51,715.51,379176,tiingo
2025-10-06,AXON,719.2,724.27,705.0,721.59,721.59,431910,tiingo
2025-10-07,AXON,720.88,728.34,706.61,714.6,714.6,376452,tiingo
2025-10-08,AXON,715.64,732.86,708.04,727.41,727.41,501128,tiingo
2025-10-09,AXON,726.02,753.16,722.51,734.04,734.04,512420,tiingo
2025-10-10,AXON,733.18,739.9999,702.27,703.03,703.03,456164,tiingo
2025-10-13,AXON,705.53,717.9999,699.13,710.0,710.0,395711,tiingo
2025-10-14,AXON,698.68,717.5298,690.46,704.67,704.67,363186,tiingo
2025-10-15,AXON,708.53,714.0499,638.5,644.99,644.99,1360343,tiingo
2025-10-16,AXON,648.5,663.25,642.3601,652.17,652.17,800451,tiingo
2025-10-17,AXON,645.51,677.06,639.5,670.68,670.68,675311,tiingo
2025-10-20,AXON,675.14,686.97,673.0,683.13,683.13,453755,tiingo
2025-10-21,AXON,687.99,708.02,685.0,707.04,707.04,498723,tiingo
2025-10-22,AXON,709.77,709.95,683.35,701.09,701.09,576210,tiingo
2025-10-23,AXON,704.41,718.19,704.01,716.39,716.39,343591,tiingo
2025-10-24,AXON,726.44,737.5325,724.21,735.95,735.95,383751,tiingo
2025-10-27,AXON,746.59,756.04,741.57,749.0,749.0,489691,tiingo
2025-10-28,AXON,746.12,764.02,745.0,755.0,755.0,566298,tiingo
2025-10-29,AXON,750.48,762.075,742.0,759.44,759.44,445761,tiingo
2025-10-30,AXON,760.85,760.85,737.63,738.88,738.88,491209,tiingo
2025-10-31,AXON,745.0,749.955,731.0,732.23,732.23,533371,tiingo
2025-11-03,AXON,737.06,738.23,720.7356,724.1,724.1,603756,tiingo
2025-11-04,AXON,715.46,719.92,698.315,706.13,706.13,1132911,tiingo
2025-11-05,AXON,563.84,657.3564,560.0,639.53,639.53,4855343,tiingo
2025-11-06,AXON,628.6,631.9899,584.21,587.14,587.14,1891456,tiingo
2025-11-07,AXON,587.0,611.21,577.8,602.51,602.51,1049882,tiingo
2025-11-10,AXON,611.35,611.35,580.39,584.69,584.69,1118632,tiingo
2025-11-11,AXON,583.16,585.0,561.915,572.18,572.18,1239975,tiingo
2025-11-12,AXON,570.35,575.92,565.37,569.51,569.51,1048887,tiingo
2025-11-13,AXON,565.88,580.0,556.6,557.29,557.29,1285465,tiingo
2025-11-14,AXON,548.9,569.04,546.64,554.37,554.37,823617,tiingo
2025-11-17,AXON,554.56,554.65,538.36,543.23,543.23,812194,tiingo
2025-11-18,AXON,541.27,549.2229,528.95,533.77,533.77,841197,tiingo
2025-11-19,AXON,533.0,533.51,521.19,531.09,531.09,1059480,tiingo
2025-11-20,AXON,541.85,553.19,519.12,519.61,519.61,787189,tiingo
2025-11-21,AXON,519.61,527.9,508.72,521.99,521.99,902329,tiingo
2025-11-24,AXON,521.46,525.3,515.83,524.6,524.6,1024220,tiingo
2025-11-25,AXON,523.5,539.8,514.25,528.89,528.89,914594,tiingo
2025-11-26,AXON,533.59,537.665,527.2175,533.17,533.17,445332,tiingo
2025-11-28,AXON,538.74,542.7,533.18,540.14,540.14,294893,tiingo
2025-12-01,AXON,531.52,540.45,525.0,533.21,533.21,770124,tiingo
2025-12-02,AXON,534.81,542.53,532.6201,537.75,537.75,584270,tiingo
2025-12-03,AXON,536.75,544.6,531.0,543.55,543.55,552156,tiingo
