date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,BKR,36.87,38.105,36.01,37.93,37.0398820041,9066414,tiingo
2025-04-14,BKR,38.535,38.55,37.35,37.81,36.9226980906,6014601,tiingo
2025-04-15,BKR,37.78,38.5123,37.73,38.16,37.264484505,5100271,tiingo
2025-04-16,BKR,37.99,38.815,37.755,38.13,37.2351885267,6154382,tiingo
2025-04-17,BKR,38.77,39.48,38.64,38.91,37.9968839647,5548886,tiingo
2025-04-21,BKR,38.32,38.515,37.39,37.8,36.9129327644,6139079,tiingo
2025-04-22,BKR,37.88,38.76,37.23,38.36,37.4597910276,10034590,tiingo
2025-04-23,BKR,36.8,38.16,35.72,35.89,35.047755474,13337748,tiingo
2025-04-24,BKR,36.25,36.45,35.5,36.38,35.5262564542,9679187,tiingo
2025-04-25,BKR,35.94,36.495,35.63,36.45,35.5946137371,7103075,tiingo
2025-04-28,BKR,36.5,36.68,35.93,36.21,35.3602459101,6833355,tiingo
2025-04-29,BKR,36.03,36.16,35.485,35.92,35.0770514523,7427987,tiingo
2025-04-30,BKR,35.43,35.53,34.56,35.4,34.5692544937,10530942,tiingo
2025-05-01,BKR,35.11,36.63,35.1,36.19,35.3407152578,8903649,tiingo
2025-05-02,BKR,36.74,37.15,36.18,37.1,36.2293599355,7294623,tiingo
2025-05-05,BKR,36.43,36.925,36.1303,36.75,35.887573521,6809911,tiingo
2025-05-06,BKR,36.8,36.9,36.22,36.4,35.7703896074,9078297,tiingo
2025-05-07,BKR,36.61,36.79,36.15,36.31,35.6819463364,7172253,tiingo
2025-05-08,BKR,36.76,37.35,36.19,36.25,35.6229841558,15274171,tiingo
2025-05-09,BKR,36.88,36.88,36.37,36.49,35.8588328784,8993917,tiingo
2025-05-12,BKR,38.19,38.36,37.16,37.62,36.9692872811,7868799,tiingo
2025-05-13,BKR,37.94,38.325,37.47,38.18,37.5196009674,6701265,tiingo
2025-05-14,BKR,37.96,38.35,37.77,37.84,37.1854819436,5939019,tiingo
2025-05-15,BKR,37.36,37.75,36.985,37.73,37.0773846123,6493664,tiingo
2025-05-16,BKR,37.845,38.5,37.23,37.79,37.136346793,6160894,tiingo
2025-05-19,BKR,37.545,38.03,37.29,37.91,37.2542711543,5296001,tiingo
2025-05-20,BKR,37.74,37.89,37.18,37.34,36.694130438,7102829,tiingo
2025-05-21,BKR,37.28,37.28,36.6,36.65,36.0160653602,7133548,tiingo
2025-05-22,BKR,36.56,36.805,35.83,36.59,35.9571031796,9175076,tiingo
2025-05-23,BKR,36.07,36.815,36.03,36.74,36.1045086312,4631992,tiingo
2025-05-27,BKR,36.95,37.25,36.36,37.23,37.23,6790200,twelve_data
2025-05-28,BKR,37.6,37.65,36.57,36.68,36.68,4856400,twelve_data
2025-05-29,BKR,37.029999,37.41,36.62,37.36,37.36,5824400,twelve_data
2025-05-30,BKR,37.11,37.17,36.53,37.049999,37.049999,11354600,twelve_data
2025-06-02,BKR,37.6,37.76,36.82,37.32,36.6744763777,6046362,tiingo
