date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,CCEP,86.91,88.16,86.9,87.96,84.8049404394,1650412,tiingo
2025-04-15,CCEP,88.24,89.17,88.07,88.32,85.152027508,1788394,tiingo
2025-04-16,CCEP,90.07,90.67,87.39,87.9,84.7470925946,2943982,tiingo
2025-04-17,CCEP,88.09,89.7599,88.04,89.31,86.1065169468,1472082,tiingo
2025-04-21,CCEP,89.02,89.37,87.56,88.47,85.2966471199,1756994,tiingo
2025-04-22,CCEP,89.69,91.04,89.63,90.71,87.4562999915,1769155,tiingo
2025-04-23,CCEP,90.47,90.47,87.95,88.84,85.653375496,3464805,tiingo
2025-04-24,CCEP,89.48,89.55,88.045,88.15,84.9881252811,1871341,tiingo
2025-04-25,CCEP,88.04,88.46,87.06,87.88,84.7278099797,1546415,tiingo
2025-04-28,CCEP,87.91,88.25,87.32,88.02,84.8627882841,1665177,tiingo
2025-04-29,CCEP,88.06,89.0,87.06,88.93,85.7401472632,1429082,tiingo
2025-04-30,CCEP,89.73,90.92,88.88,90.74,87.4852239139,2047036,tiingo
2025-05-01,CCEP,90.27,90.27,89.31,89.54,86.3282670184,1538653,tiingo
2025-05-02,CCEP,90.645,90.65,89.61,89.71,86.4921692453,1704270,tiingo
2025-05-05,CCEP,89.36,90.03,88.29,89.86,86.6367888572,912117,tiingo
2025-05-06,CCEP,90.52,90.92,89.795,90.51,87.2634738423,1766392,tiingo
2025-05-07,CCEP,90.625,91.36,90.23,91.05,87.7841044452,1524157,tiingo
2025-05-08,CCEP,91.08,91.37,89.71,89.78,86.5596583975,1515595,tiingo
2025-05-09,CCEP,89.8,90.05,89.345,89.5,86.2897017886,1500672,tiingo
2025-05-12,CCEP,88.84,88.865,86.82,87.67,84.5253425229,1632019,tiingo
2025-05-13,CCEP,87.4,88.14,87.28,87.39,84.255385914,1455388,tiingo
2025-05-14,CCEP,87.13,87.27,85.65,86.62,83.5130052394,1910090,tiingo
2025-05-15,CCEP,86.91,88.11,86.89,87.81,84.6603208274,2142633,tiingo
2025-05-16,CCEP,86.81,88.44,86.075,88.3,86.0004625647,1662575,tiingo
2025-05-19,CCEP,88.01,89.12,87.835,88.69,86.3803060573,1183998,tiingo
2025-05-20,CCEP,88.69,88.95,88.11,88.56,86.2536915598,1054402,tiingo
2025-05-21,CCEP,88.49,89.155,88.32,88.94,86.6237954757,1286043,tiingo
2025-05-22,CCEP,88.77,89.27,88.31,88.59,86.28291029,1138683,tiingo
2025-05-23,CCEP,88.45,89.65,88.06,89.45,87.1205138891,1387734,tiingo
2025-05-27,CCEP,90.84,91.2,88.6,88.79,88.79,2660200,twelve_data
2025-05-28,CCEP,89.099998,89.72,88.75,89.42,89.42,3227800,twelve_data
2025-05-29,CCEP,89.52,90.74,88.75,90.65,90.65,1367400,twelve_data
2025-05-30,CCEP,91.0,92.73,90.91,91.79,91.79,6680700,twelve_data
2025-06-02,CCEP,91.32,91.57,90.04,91.56,89.1755645801,1701017,tiingo
2025-06-03,CCEP,91.65,91.85,90.010002,90.84,90.84,1806500,twelve_data
2025-06-04,CCEP,91.099998,91.5,90.49,90.97,90.97,1417200,twelve_data
2025-06-05,CCEP,91.07,92.38,90.5,92.019997,92.019997,2017800,twelve_data
2025-06-06,CCEP,92.07,93.49,92.010002,93.31,93.31,1415200,twelve_data
2025-06-09,CCEP,92.61,92.8,91.48,92.059998,92.059998,1494100,twelve_data
2025-06-10,CCEP,92.16,92.96,91.95,92.89,92.89,1149100,twelve_data
2025-06-11,CCEP,92.66,93.23,92.059998,92.86,92.86,1159100,twelve_data
2025-06-12,CCEP,93.21,93.61,92.62,93.53,93.53,1514600,twelve_data
2025-06-13,CCEP,93.19,93.75,92.69,92.85,92.85,1250400,twelve_data
2025-06-16,CCEP,93.5,94.74,92.51,92.79,92.79,1827900,twelve_data
2025-06-17,CCEP,92.51,93.14,91.94,92.2,92.2,1410200,twelve_data
2025-06-18,CCEP,92.37,93.53,92.35,92.71,92.71,1249100,twelve_data
2025-06-20,CCEP,93.57,94.7,92.19,92.57,92.57,3154900,twelve_data
