date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-11,208.25,208.53,198.0,204.49,2960744,206.8819605031,207.1601211223,196.6992949801,203.14666076,2960744,0.0,1.0,CEG,tiingo
2025-04-14,206.7,217.21,203.87,214.97,3427483,205.3421427899,215.7831003163,202.5307336747,213.557815363,3427483,0.0,1.0,CEG,tiingo
2025-04-15,208.42,212.0,206.35,206.6,1985995,207.0508437362,210.6073259383,204.9944420159,205.2427997116,1985995,0.0,1.0,CEG,tiingo
2025-04-16,204.19,207.4,201.44,205.05,2433624,202.8486315252,206.0375443378,200.1166968727,203.7029819984,2433624,0.0,1.0,CEG,tiingo
2025-04-17,206.68,208.82,203.6038,208.35,1963104,205.3222741742,207.4482160493,202.2662824004,206.9813035814,1963104,0.0,1.0,CEG,tiingo
2025-04-21,192.61,204.87,188.0057,203.49,3290911,191.3447030612,203.5241644575,186.7706497083,202.1532299773,3290911,0.0,1.0,CEG,tiingo
2025-04-22,200.88,202.42,195.85,197.55,2457830,199.5603756344,201.0902590398,194.5634187973,196.2522511279,2457830,0.0,1.0,CEG,tiingo
2025-04-23,209.8,217.34,208.27,213.25,2976074,208.4217782163,215.9122463181,206.9018291188,211.8491144167,2976074,0.0,1.0,CEG,tiingo
2025-04-24,218.07,220.19,209.57,209.57,2336499,216.6374507895,218.7435240489,208.1932891363,208.1932891363,2336499,0.0,1.0,CEG,tiingo
2025-04-25,222.99,223.945,216.5,218.11,2710833,221.5251302405,222.473856638,215.0777644606,216.6771880208,2710833,0.0,1.0,CEG,tiingo
2025-04-28,224.82,225.49,219.69,222.34,2396738,223.3431085729,224.0087071973,218.2468086575,220.8794002317,2396738,0.0,1.0,CEG,tiingo
2025-04-29,226.45,227.36,220.5,224.31,2038928,224.9624007487,225.866422761,219.0514875915,222.8364588737,2038928,0.0,1.0,CEG,tiingo
2025-04-30,223.44,223.875,216.75,219.55,2185227,221.9721740927,222.4043164832,215.3261221563,218.1077283479,2185227,0.0,1.0,CEG,tiingo
2025-05-01,240.615,243.98,230.31,232.2,4557755,239.0343477861,242.37724237,228.7970435701,230.6746277494,4557755,0.0,1.0,CEG,tiingo
2025-05-02,247.26,250.64,241.5634,244.28,3316025,245.6356953373,248.9934913829,239.9765175404,242.6752716048,3316025,0.0,1.0,CEG,tiingo
2025-05-05,248.27,250.0,241.46,243.27,3117814,246.6390604279,248.357695682,239.8737967975,241.6719065142,3117814,0.0,1.0,CEG,tiingo
2025-05-06,273.82,279.89,256.12,258.83,7195571,272.0212169266,278.0513417777,254.4374920723,257.1296894935,7195571,0.0,1.0,CEG,tiingo
2025-05-07,268.12,278.52,264.66,277.36,5168127,266.358661465,276.6903416054,262.9213909568,275.5379618974,5168127,0.0,1.0,CEG,tiingo
2025-05-08,270.59,273.98,265.0701,271.75,2862261,268.8124354984,272.1801658518,263.3287969208,269.9648152063,2862261,0.0,1.0,CEG,tiingo
2025-05-09,271.37,274.95,266.06,272.07,3245909,269.5873115089,273.1437937111,264.3121940526,270.2827130568,3245909,0.0,1.0,CEG,tiingo
2025-05-12,285.28,291.99,283.45,286.36,4744922,283.4059336966,290.0718542487,281.5879553642,284.478838942,4744922,0.0,1.0,CEG,tiingo
2025-05-13,291.52,296.17,279.19,280.47,3651083,289.6049417809,294.2243949205,277.3559402298,278.6275316317,3651083,0.0,1.0,CEG,tiingo
2025-05-14,288.15,292.0,282.93,291.52,3129278,286.2570800431,290.0817885566,281.0713713572,289.6049417809,3129278,0.0,1.0,CEG,tiingo
2025-05-15,284.4,288.72,283.28,284.61,2187286,282.5317146078,286.8233355892,281.4190721312,282.7403350722,2187286,0.0,1.0,CEG,tiingo
2025-05-16,291.12,291.17,284.2,286.59,2104914,289.5928219253,289.6425596317,282.7091233552,285.0865857226,2104914,0.3878,1.0,CEG,tiingo
2025-05-19,294.02,294.37,282.0,283.35,1972673,292.4776088983,292.8257728433,280.5206642722,281.8635823459,1972673,0.0,1.0,CEG,tiingo
2025-05-20,292.4,293.03,289.67,292.56,1481307,290.8661072099,291.492802311,288.1504284388,291.0252678705,1481307,0.0,1.0,CEG,tiingo
