date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,CPRT,60.21,60.49,59.31,59.83,59.83,4296089,tiingo
2025-04-15,CPRT,60.0,60.72,59.86,60.45,60.45,4785448,tiingo
2025-04-16,CPRT,60.36,60.68,58.97,59.44,59.44,4507982,tiingo
2025-04-17,CPRT,59.64,60.31,59.44,59.68,59.68,7559603,tiingo
2025-04-21,CPRT,59.45,59.56,58.055,58.73,58.73,3654270,tiingo
2025-04-22,CPRT,59.22,60.56,59.125,60.41,60.41,3413767,tiingo
2025-04-23,CPRT,61.215,61.95,60.63,61.045,61.045,4049619,tiingo
2025-04-24,CPRT,61.2,62.09,60.24,61.97,61.97,3596605,tiingo
2025-04-25,CPRT,61.58,61.94,60.5,60.9,60.9,4381248,tiingo
2025-04-28,CPRT,60.88,61.08,59.25,59.81,59.81,4654253,tiingo
2025-04-29,CPRT,59.53,60.6,59.5,60.51,60.51,3139715,tiingo
2025-04-30,CPRT,60.12,61.19,59.455,61.03,61.03,4203704,tiingo
2025-05-01,CPRT,60.76,61.19,60.06,60.5,60.5,5007160,tiingo
2025-05-02,CPRT,61.04,61.74,60.48,61.22,61.22,3152142,tiingo
2025-05-05,CPRT,61.18,61.41,60.65,61.05,61.05,2425698,tiingo
2025-05-06,CPRT,60.63,60.98,60.36,60.8,60.8,2726377,tiingo
2025-05-07,CPRT,60.94,61.73,60.79,61.24,61.24,3403327,tiingo
2025-05-08,CPRT,61.45,62.3489,61.225,61.78,61.78,3671847,tiingo
2025-05-09,CPRT,61.82,62.06,61.22,61.52,61.52,2553666,tiingo
2025-05-12,CPRT,62.66,62.71,61.375,62.16,62.16,4203290,tiingo
2025-05-13,CPRT,62.33,62.93,62.04,62.39,62.39,4002123,tiingo
2025-05-14,CPRT,62.11,62.54,61.655,62.42,62.42,3745008,tiingo
2025-05-15,CPRT,62.42,63.07,62.24,62.97,62.97,4601460,tiingo
2025-05-16,CPRT,63.48,63.85,62.74,63.84,63.84,4626157,tiingo
2025-05-19,CPRT,63.46,63.765,63.2,63.43,63.43,5970117,tiingo
2025-05-20,CPRT,63.09,63.3,61.415,61.62,61.62,6823976,tiingo
2025-05-21,CPRT,61.255,61.66,60.88,61.09,61.09,5440230,tiingo
2025-05-22,CPRT,60.93,61.235,60.39,60.66,60.66,6517090,tiingo
2025-05-23,CPRT,57.44,58.068,53.33,53.67,53.67,20812410,tiingo
2025-05-27,CPRT,54.31,54.35,52.51,52.82,52.82,14141200,twelve_data
2025-05-28,CPRT,52.82,53.09,51.99,52.049999,52.049999,10025900,twelve_data
2025-05-29,CPRT,52.12,52.23,51.14,51.42,51.42,7665200,twelve_data
2025-05-30,CPRT,51.35,51.71,50.7632,51.48,51.48,16258252,tiingo
2025-06-02,CPRT,51.19,51.4,50.22,50.8,50.8,7199148,tiingo
2025-06-03,CPRT,50.6,51.15,50.18,51.0099983,51.0099983,6664800,twelve_data
2025-06-04,CPRT,50.9,51.005,50.32,50.38,50.38,6313476,tiingo
2025-06-05,CPRT,50.46,50.52,49.95,50.14,50.14,6127300,twelve_data
2025-06-06,CPRT,50.6,50.915,50.045,50.13,50.13,4982774,tiingo
2025-06-09,CPRT,50.2,50.6,49.98,50.15,50.15,8653300,twelve_data
2025-06-10,CPRT,50.099998,50.33,49.54,50.28,50.28,7732000,twelve_data
2025-06-11,CPRT,50.21,50.91,50.07,50.5,50.5,5733800,twelve_data
2025-06-12,CPRT,50.43,50.73,49.77,49.99,49.99,6668200,twelve_data
2025-06-13,CPRT,49.26,49.58,48.31,48.59,48.59,8554700,twelve_data
2025-06-16,CPRT,48.8,49.26,48.23,48.39,48.39,13257000,twelve_data
2025-06-17,CPRT,48.21,48.48,47.7,48.0,48.0,10554400,twelve_data
2025-06-18,CPRT,48.080002,48.28,47.7,47.88,47.88,6820200,twelve_data
2025-06-20,CPRT,48.34,49.15,47.83,47.97,47.97,14397400,twelve_data
2025-06-23,CPRT,47.98,48.099998,47.33,47.72,47.72,7425700,twelve_data
2025-06-24,CPRT,48.16,48.68,47.82,48.65,48.65,6268156,tiingo
2025-06-25,CPRT,48.9,48.9,48.07,48.14,48.14,4288100,twelve_data
2025-06-26,CPRT,48.14,48.36,47.48,48.24,48.24,7103200,twelve_data
2025-06-27,CPRT,48.4,48.98,48.060001,48.18,48.18,8319900,twelve_data
2025-06-30,CPRT,48.29,49.099998,47.86,49.07,49.07,7675300,twelve_data
2025-07-01,CPRT,49.07,49.86,49.060001,49.64,49.64,5927500,twelve_data
