date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,CSX,27.745,28.08,27.35,28.01,27.5067581929,15001963,tiingo
2025-04-14,CSX,28.2,28.45,27.96,28.27,27.7620869016,17079735,tiingo
2025-04-15,CSX,28.22,28.445,27.835,27.9,27.3987345085,15163551,tiingo
2025-04-16,CSX,27.595,27.96,27.16,27.35,26.8586160863,25311463,tiingo
2025-04-17,CSX,27.29,28.02,27.27,27.68,27.1826871396,21437658,tiingo
2025-04-21,CSX,27.39,27.535,27.0,27.46,26.9666397707,28499453,tiingo
2025-04-22,CSX,27.62,27.91,27.47,27.78,27.2808904891,16208586,tiingo
2025-04-23,CSX,28.275,28.51,27.46,27.59,27.0943041251,15917932,tiingo
2025-04-24,CSX,27.4,28.18,27.18,28.14,27.6344225473,13572782,tiingo
2025-04-25,CSX,27.9,28.07,27.67,27.84,27.3398124988,14351477,tiingo
2025-04-28,CSX,27.845,28.02,27.59,27.87,27.3692735037,12632506,tiingo
2025-04-29,CSX,27.75,28.11,27.7,28.05,27.5460395327,9907327,tiingo
2025-04-30,CSX,27.89,28.116,27.515,28.07,27.5656802026,12723548,tiingo
2025-05-01,CSX,28.005,28.24,27.74,28.11,27.6049615424,13020861,tiingo
2025-05-02,CSX,28.37,28.8,28.365,28.7,28.1843613044,11526564,tiingo
2025-05-05,CSX,28.54,28.775,28.39,28.47,27.9584936006,9480956,tiingo
2025-05-06,CSX,28.325,28.43,28.045,28.09,27.5853208725,8753712,tiingo
2025-05-07,CSX,28.25,28.495,28.13,28.37,27.8602902511,11504064,tiingo
2025-05-08,CSX,28.57,29.19,28.3311,28.96,28.4396900131,13770267,tiingo
2025-05-09,CSX,28.92,29.17,28.655,28.74,28.2236426442,9630192,tiingo
2025-05-12,CSX,29.98,30.56,29.75,30.31,29.7654352313,15707678,tiingo
2025-05-13,CSX,30.33,30.72,30.25,30.54,29.9913029351,16825346,tiingo
2025-05-14,CSX,30.43,31.12,30.32,31.03,30.4724993476,21883792,tiingo
2025-05-15,CSX,30.96,31.42,30.86,31.3,30.7376483913,15563370,tiingo
2025-05-16,CSX,31.265,31.4,31.03,31.32,30.7572890612,11394258,tiingo
2025-05-19,CSX,31.09,31.23,30.98,31.21,30.6492653767,10553640,tiingo
2025-05-20,CSX,31.02,31.35,31.02,31.23,30.6689060466,14966209,tiingo
2025-05-21,CSX,31.12,31.12,30.43,30.49,29.9422012604,13769291,tiingo
2025-05-22,CSX,30.52,30.88,30.32,30.64,30.0895062846,18430537,tiingo
2025-05-23,CSX,30.26,30.96,30.17,30.82,30.2662723137,21149214,tiingo
2025-05-27,CSX,31.1,31.58,30.93,31.43,31.43,17934900,twelve_data
2025-05-28,CSX,31.5,31.67,31.32,31.34,31.34,13834500,twelve_data
2025-05-29,CSX,31.47,31.66,31.21,31.42,31.42,15013300,twelve_data
2025-05-30,CSX,31.26,31.77,31.18,31.59,31.59,22998700,twelve_data
2025-06-02,CSX,31.38,31.4225,30.85,31.24,30.8049762844,25167762,tiingo
2025-06-03,CSX,31.24,31.91,31.15,31.86,31.86,18163200,twelve_data
2025-06-04,CSX,31.84,32.06,31.655,31.93,31.485367886,13669376,tiingo
2025-06-05,CSX,31.91,31.92,31.64,31.74,31.74,11819500,twelve_data
2025-06-06,CSX,31.97,32.35,31.97,32.23,31.7811903215,16163901,tiingo
2025-06-09,CSX,32.34,32.38,31.91,31.98,31.98,14841700,twelve_data
2025-06-10,CSX,32.12,33.09,31.92,32.61,32.61,24562700,twelve_data
2025-06-11,CSX,32.59,32.65,32.16,32.32,32.32,12114200,twelve_data
2025-06-12,CSX,32.24,32.4,31.99,32.39,32.39,9380500,twelve_data
2025-06-13,CSX,32.28,32.48,32.029999,32.12,32.12,9032700,twelve_data
2025-06-16,CSX,32.24,32.62,32.16,32.56,32.56,11703600,twelve_data
2025-06-17,CSX,32.49,32.52,32.040001,32.12,32.12,12951300,twelve_data
2025-06-18,CSX,32.19,32.52,32.080002,32.24,32.24,12808100,twelve_data
2025-06-20,CSX,32.43,32.48,31.84,32.060001,32.060001,31011100,twelve_data
2025-06-23,CSX,32.19,32.48,31.94,32.42,32.42,12350200,twelve_data
2025-06-24,CSX,32.415,32.6,32.29,32.48,32.0277090178,12913898,tiingo
2025-06-25,CSX,32.46,32.52,32.099998,32.49,32.49,11235100,twelve_data
2025-06-26,CSX,32.6,32.8,32.45,32.57,32.57,12447700,twelve_data
2025-06-27,CSX,32.58,32.98,32.46,32.91,32.91,20445500,twelve_data
2025-06-30,CSX,32.8,32.81,32.56,32.63,32.63,12112500,twelve_data
2025-07-01,CSX,32.74,33.82,32.63,33.47,33.003923055,12863090,tiingo
2025-07-02,CSX,33.445,33.7,33.32,33.61,33.1419735249,8596867,tiingo
2025-07-03,CSX,33.61,33.77,33.53,33.6,33.6,5638800,twelve_data
2025-07-07,CSX,33.49,33.59,32.97,33.049999,33.049999,11868800,twelve_data
2025-07-08,CSX,33.11,33.62,32.98,33.39,32.9250370722,11249678,tiingo
2025-07-09,CSX,33.43,33.48,33.16,33.33,33.33,9174600,twelve_data
2025-07-10,CSX,33.28,33.98,33.21,33.54,33.54,9782600,twelve_data
2025-07-11,CSX,33.4,34.59,33.28,34.1,33.6251501696,27261965,tiingo
2025-07-14,CSX,33.94,34.17,33.65,33.98,33.98,15303800,twelve_data
2025-07-15,CSX,33.92,34.060001,33.45,33.48,33.48,16506000,twelve_data
2025-07-16,CSX,33.59,33.7,33.12,33.26,33.26,11556300,twelve_data
2025-07-17,CSX,34.37,34.8,34.040001,34.5,34.5,28892700,twelve_data
2025-07-18,CSX,35.34,35.62,34.24,34.39,34.39,24854000,twelve_data
2025-07-21,CSX,34.74,34.74,34.27,34.36,34.36,12531900,twelve_data
2025-07-22,CSX,34.84,35.26,34.68,35.23,35.23,20967000,twelve_data
2025-07-23,CSX,35.29,35.34,34.91,34.97,34.97,32168300,twelve_data
2025-07-24,CSX,36.37,36.38,34.94,35.0,35.0,34910300,twelve_data
2025-07-25,CSX,35.38,36.0,35.040001,35.76,35.76,31707900,twelve_data
2025-07-28,CSX,35.76,36.16,35.51,35.71,35.71,21514400,twelve_data
2025-07-29,CSX,35.99,36.040001,34.68,35.42,35.42,42665900,twelve_data
2025-07-30,CSX,35.485,35.6498,35.125,35.29,34.7985791637,12823638,tiingo
2025-07-31,CSX,35.099998,36.049999,35.0099983,35.54,35.54,26361300,twelve_data
2025-08-01,CSX,35.27,35.31,34.66,35.0099983,35.0099983,19266500,twelve_data
2025-08-04,CSX,35.099998,35.67,35.07,35.46,35.46,13546400,twelve_data
2025-08-05,CSX,35.5,35.665,35.325,35.65,35.1535660864,11480935,tiingo
2025-08-06,CSX,35.62,36.099998,35.51,36.0099983,36.0099983,12126100,twelve_data
2025-08-07,CSX,36.099998,36.19,35.17,35.25,35.25,14530800,twelve_data
2025-08-08,CSX,35.4,35.82,35.31,35.43,35.43,10864400,twelve_data
2025-08-11,CSX,35.43,35.6,34.89,35.23,35.23,14318300,twelve_data
2025-08-12,CSX,35.49,36.029999,34.86,35.82,35.82,20809900,twelve_data
2025-08-13,CSX,35.975,36.11,35.66,36.08,35.5775782439,21515193,tiingo
2025-08-14,CSX,35.92,36.53,35.73,36.35,36.35,23862100,twelve_data
2025-08-15,CSX,36.42,36.45,36.0099983,36.32,36.32,17898100,twelve_data
2025-08-18,CSX,36.15,36.31,35.72,35.99,35.99,19415400,twelve_data
2025-08-19,CSX,35.96,37.25,35.96,36.52,36.52,42854400,twelve_data
2025-08-20,CSX,36.46,36.74,35.97,35.99,35.99,16379300,twelve_data
2025-08-21,CSX,35.87,36.15,35.7,35.87,35.87,9251800,twelve_data
2025-08-22,CSX,36.13,37.21,33.58,34.58,34.58,81210900,twelve_data
2025-08-25,CSX,34.79,34.92,32.28,32.81,32.81,64361400,twelve_data
2025-08-26,CSX,32.31,32.6,32.040001,32.41,32.41,34655300,twelve_data
2025-08-27,CSX,32.28,32.57,32.07,32.54,32.54,25271100,twelve_data
2025-08-28,CSX,32.79,33.2,32.51,32.66,32.66,19026400,twelve_data
2025-08-29,CSX,32.59,32.77,32.26,32.51,32.1854809834,13465742,tiingo
2025-09-02,CSX,32.16,32.3,31.96,32.19,32.19,10978700,twelve_data
2025-09-03,CSX,32.15,32.28,31.91,32.28,31.9577768731,17377088,tiingo
2025-09-04,CSX,32.23,32.7,32.05,32.66,32.333983664,10947571,tiingo
2025-09-05,CSX,32.61,32.76,32.17,32.53,32.53,9677400,twelve_data
2025-09-08,CSX,32.5,32.58,32.0,32.43,32.43,16025700,twelve_data
2025-09-09,CSX,32.37,32.52,32.19,32.2,32.2,9822600,twelve_data
2025-09-10,CSX,32.07,32.34,31.8,32.049999,32.049999,8497200,twelve_data
2025-09-11,CSX,32.03,32.89,31.96,32.85,32.5220870595,10280586,tiingo
2025-09-12,CSX,32.74,32.9,32.45,32.47,32.1458802686,9255257,tiingo
2025-09-15,CSX,32.56,32.71,32.18,32.5,32.1755808047,7725240,tiingo
2025-09-16,CSX,32.59,32.81,32.41,32.47,32.47,12186400,twelve_data
2025-09-17,CSX,32.54,33.07,32.48,32.77,32.77,11842700,twelve_data
2025-09-18,CSX,33.11,33.565,32.71,33.43,33.0962974247,14664456,tiingo
2025-09-19,CSX,33.51,33.59,32.89,32.98,32.98,27076300,twelve_data
2025-09-22,CSX,32.98,33.46,32.84,33.2,33.2,22445000,twelve_data
2025-09-23,CSX,33.35,34.32,33.3,34.07,34.07,27739500,twelve_data
2025-09-24,CSX,33.91,34.3,33.46,33.82,33.82,13993500,twelve_data
2025-09-25,CSX,34.040001,34.22,33.71,33.78,33.78,20535900,twelve_data
2025-09-26,CSX,33.78,34.11,33.58,34.0099983,34.0099983,12939900,twelve_data
2025-09-29,CSX,34.93,35.92,34.85,35.83,35.83,34268100,twelve_data
2025-09-30,CSX,35.74,35.75,35.26,35.51,35.51,17212000,twelve_data
2025-10-01,CSX,34.92,35.17,34.46,35.0,35.0,19306400,twelve_data
2025-10-02,CSX,34.84,35.59,34.84,35.57,35.57,15787500,twelve_data
2025-10-03,CSX,35.59,36.060001,35.41,36.0099983,36.0099983,13726800,twelve_data
2025-10-06,CSX,36.05,36.27,35.89,36.25,35.8881478206,13126326,tiingo
2025-10-07,CSX,36.21,36.47,35.73,35.99,35.99,13839300,twelve_data
2025-10-08,CSX,35.78,36.055,35.6,35.95,35.5911424594,13221461,tiingo
2025-10-09,CSX,36.0,36.56,35.81,36.049999,36.049999,14202000,twelve_data
2025-10-10,CSX,36.23,36.43,35.43,35.49,35.49,18129400,twelve_data
2025-10-13,CSX,35.5,35.84,35.4,35.57,35.57,10040000,twelve_data
2025-10-14,CSX,35.32,36.17,35.18,36.13,36.13,12399300,twelve_data
2025-10-15,CSX,36.21,36.34,35.89,36.24,36.24,10636400,twelve_data
2025-10-16,CSX,36.67,36.67,35.93,35.99,35.99,19802300,twelve_data
2025-10-17,CSX,36.88,37.19,36.43,36.6,36.6,24137300,twelve_data
2025-10-20,CSX,36.86,36.95,36.53,36.67,36.67,14729300,twelve_data
2025-10-21,CSX,36.62,36.65,35.7,35.73,35.73,20938200,twelve_data
2025-10-22,CSX,36.049999,36.44,35.84,35.92,35.92,12466300,twelve_data
2025-10-23,CSX,35.87,35.95,35.41,35.53,35.1753349536,10268199,tiingo
2025-10-24,CSX,35.63,36.2,35.53,36.13,36.13,11235200,twelve_data
2025-10-27,CSX,36.33,36.34,35.655,36.0,35.6406433529,10314872,tiingo
2025-10-28,CSX,35.94,35.98,35.365,35.68,35.3238376342,9642578,tiingo
2025-10-29,CSX,35.435,35.625,35.055,35.3,34.9476308433,9817616,tiingo
2025-10-30,CSX,35.37,35.88,35.14,35.64,35.64,8405100,twelve_data
2025-10-31,CSX,35.53,36.12,35.31,36.02,36.02,13209400,twelve_data
2025-11-03,CSX,35.88,35.94,35.41,35.83,35.83,13064700,twelve_data
2025-11-04,CSX,35.62,35.91,35.2,35.84,35.84,12453900,twelve_data
2025-11-05,CSX,35.73,35.99,35.25,35.32,35.32,13966400,twelve_data
2025-11-06,CSX,35.28,35.41,35.099998,35.16,35.16,9007000,twelve_data
2025-11-07,CSX,35.16,35.35,34.92,35.34,35.34,11267300,twelve_data
2025-11-10,CSX,35.2,35.48,34.78,35.12,35.12,13101100,twelve_data
2025-11-11,CSX,35.18,35.3,34.89,34.98,34.98,8099000,twelve_data
2025-11-12,CSX,34.98,35.45,34.9,35.39,35.39,11818400,twelve_data
2025-11-13,CSX,35.31,35.42,34.74,34.88,34.5318233375,13447003,tiingo
2025-11-14,CSX,34.89,35.049999,34.52,34.9,34.9,12120700,twelve_data
2025-11-17,CSX,34.9,34.92,33.98,34.0099983,34.0099983,17850900,twelve_data
2025-11-18,CSX,34.0099983,34.46,33.92,33.99,33.99,21187100,twelve_data
2025-11-19,CSX,34.02,34.32,33.92,33.96,33.96,15198900,twelve_data
2025-11-20,CSX,34.23,34.57,33.63,33.68,33.68,14228000,twelve_data
2025-11-21,CSX,33.76,34.51,33.74,34.28,33.9378126149,17221015,tiingo
2025-11-24,CSX,34.26,34.44,33.97,34.39,34.39,19363300,twelve_data
2025-11-25,CSX,34.45,34.99,34.33,34.9,34.9,12472600,twelve_data
2025-11-26,CSX,34.89,35.55,34.81,35.3,35.3,10105700,twelve_data
2025-11-28,CSX,35.14,35.42,35.049999,35.36,35.36,4953300,twelve_data
2025-12-01,CSX,35.099998,35.34,34.79,34.85,34.85,15959400,twelve_data
2025-12-02,CSX,34.63,35.0099983,34.33,34.97,34.97,11803400,twelve_data
2025-12-03,CSX,35.0099983,35.96,34.97,35.95,35.95,14605900,twelve_data
2025-12-04,CSX,36.0,36.3258,35.85,36.18,35.9505335056,15587641,tiingo
2025-12-05,CSX,36.13,36.56,36.09,36.3,36.3,10499800,twelve_data
2025-12-08,CSX,36.32,36.845,36.29,36.35,36.1194553048,8829947,tiingo
2025-12-09,CSX,36.23,36.48,36.15,36.37,36.37,8389400,twelve_data
2025-12-10,CSX,36.39,37.28,36.37,37.09,37.09,11325700,twelve_data
2025-12-11,CSX,37.11,37.18,36.73,37.15,37.15,10058400,twelve_data
2025-12-12,CSX,37.38,37.39,37.040001,37.39,37.39,9394700,twelve_data
2025-12-15,CSX,37.52,37.54,36.82,37.18,37.18,19986600,twelve_data
2025-12-16,CSX,37.29,37.36,36.78,36.8,36.8,9268400,twelve_data
2025-12-17,CSX,36.68,36.86,36.32,36.5,36.5,12040600,twelve_data
2025-12-18,CSX,36.61,36.8,36.44,36.61,36.61,13115300,twelve_data
2025-12-19,CSX,36.63,36.75,36.42,36.5,36.5,27163100,twelve_data
2025-12-22,CSX,36.67,36.77,36.2,36.54,36.54,11488100,twelve_data
2025-12-23,CSX,36.54,36.62,36.35,36.59,36.59,7413000,twelve_data
2025-12-24,CSX,36.58,36.85,36.53,36.78,36.78,5294800,twelve_data
2025-12-26,CSX,36.78,36.86,36.57,36.62,36.62,5008400,twelve_data
2025-12-29,CSX,36.65,36.76,36.53,36.72,36.72,7667000,twelve_data
2025-12-30,CSX,36.62,36.71,36.08,36.42,36.1890113398,9548687,tiingo
2025-12-31,CSX,36.46,36.52,36.24,36.25,36.25,7161400,twelve_data
2026-01-02,CSX,36.4,36.44,35.94,36.27,36.27,10167400,twelve_data
2026-01-05,CSX,36.09,36.36,35.61,35.91,35.91,18680200,twelve_data
2026-01-06,CSX,35.77,36.14,35.64,36.07,36.07,18494800,twelve_data
2026-01-07,CSX,36.0099983,36.18,34.87,35.049999,35.049999,16600200,twelve_data
2026-01-08,CSX,34.84,35.58,34.81,35.32,35.32,15216600,twelve_data
2026-01-09,CSX,35.16,35.37,34.97,35.2,35.2,14253700,twelve_data
2026-01-12,CSX,34.88,35.24,34.79,35.22,35.22,12812400,twelve_data
