date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,DASH,178.52,180.7631,173.81,180.49,180.49,3451712,tiingo
2025-04-14,DASH,185.0,186.1836,179.415,181.85,181.85,3174882,tiingo
2025-04-15,DASH,181.33,185.69,180.5101,181.55,181.55,2744984,tiingo
2025-04-16,DASH,177.41,182.64,176.6,179.39,179.39,3806731,tiingo
2025-04-17,DASH,181.25,182.89,177.98,181.24,181.24,2496124,tiingo
2025-04-21,DASH,178.23,180.105,168.95,171.82,171.82,3666758,tiingo
2025-04-22,DASH,175.135,179.0,173.51,176.61,176.61,3329038,tiingo
2025-04-23,DASH,183.36,187.0,180.44,181.19,181.19,2589949,tiingo
2025-04-24,DASH,181.12,187.6,180.06,187.22,187.22,3327899,tiingo
2025-04-25,DASH,187.22,191.1,183.2,187.76,187.76,4515222,tiingo
2025-04-28,DASH,188.81,190.69,186.55,187.88,187.88,3083900,tiingo
2025-04-29,DASH,186.15,191.8529,185.85,191.23,191.23,2853494,tiingo
2025-04-30,DASH,186.19,193.3,183.755,192.89,192.89,3169881,tiingo
2025-05-01,DASH,194.405,197.75,192.6629,196.2,196.2,4151610,tiingo
2025-05-02,DASH,200.07,205.89,199.43,205.09,205.09,4256469,tiingo
2025-05-05,DASH,203.215,207.23,201.05,205.4,205.4,5617470,tiingo
2025-05-06,DASH,193.75,195.415,185.25,190.11,190.11,9580786,tiingo
2025-05-07,DASH,189.76,190.09,175.5,176.99,176.99,8627906,tiingo
2025-05-08,DASH,180.4607,183.7525,178.36,182.96,182.96,4158763,tiingo
2025-05-09,DASH,183.19,185.59,180.58,183.52,183.52,3423236,tiingo
2025-05-12,DASH,191.61,192.8299,185.9001,192.1,192.1,4918097,tiingo
2025-05-13,DASH,192.09,198.45,191.78,197.8,197.8,3844543,tiingo
2025-05-14,DASH,197.17,199.27,195.95,196.84,196.84,3505346,tiingo
2025-05-15,DASH,195.58,199.47,194.96,197.1,197.1,3558528,tiingo
2025-05-16,DASH,197.995,202.63,196.83,202.0,202.0,4188463,tiingo
2025-05-19,DASH,198.775,203.42,198.75,202.18,202.18,3337130,tiingo
2025-05-20,DASH,200.9,206.0,198.51,205.18,205.18,6046526,tiingo
2025-05-21,DASH,202.49,209.64,201.5,204.77,204.77,5674308,tiingo
2025-05-22,DASH,204.5,206.535,200.66,200.87,200.87,3169735,tiingo
2025-05-23,DASH,197.615,207.22,197.25,206.15,206.15,4365898,tiingo
2025-05-27,DASH,205.44,208.56,202.5215,204.89,204.89,5325169,tiingo
2025-05-28,DASH,204.75,210.71,204.24,206.59,206.59,6635010,tiingo
2025-05-29,DASH,208.8,209.2,202.6827,204.58,204.58,3080832,tiingo
2025-05-30,DASH,204.1,209.39,202.7,208.65,208.65,4853711,tiingo
2025-06-02,DASH,209.22,213.4,207.61,212.79,212.79,4527633,tiingo
2025-06-03,DASH,213.43,215.2,211.3,213.7,213.7,4272345,tiingo
2025-06-04,DASH,213.29,220.64,212.4,220.23,220.23,5140447,tiingo
2025-06-05,DASH,219.37,220.59,213.85,215.84,215.84,3647727,tiingo
2025-06-06,DASH,218.81,220.88,217.75,218.45,218.45,2587018,tiingo
2025-06-09,DASH,218.03,219.83,216.955,217.49,217.49,2710304,tiingo
2025-06-10,DASH,216.59,219.21,210.9266,214.97,214.97,3916697,tiingo
2025-06-11,DASH,214.185,219.5299,212.24,217.8,217.8,3091839,tiingo
2025-06-12,DASH,218.08,219.42,215.675,216.6,216.6,2511292,tiingo
2025-06-13,DASH,214.19,220.17,213.0,218.96,218.96,2955909,tiingo
2025-06-16,DASH,220.0,223.29,219.63,221.73,221.73,3919973,tiingo
2025-06-17,DASH,221.29,222.18,218.24,219.39,219.39,3157057,tiingo
2025-06-18,DASH,216.98,221.31,214.94,220.58,220.58,5072177,tiingo
2025-06-20,DASH,222.0,223.81,219.82,220.46,220.46,6879112,tiingo
2025-06-23,DASH,225.255,230.87,222.482,230.32,230.32,5159763,tiingo
2025-06-24,DASH,231.75,237.42,231.39,236.17,236.17,5602777,tiingo
2025-06-25,DASH,236.66,238.47,231.75,232.68,232.68,3070348,tiingo
2025-06-26,DASH,232.65,239.8325,231.75,239.64,239.64,3202390,tiingo
2025-06-27,DASH,239.705,242.63,235.68,242.315,242.315,7324620,tiingo
2025-06-30,DASH,244.3,247.08,241.9583,246.51,246.51,8089915,tiingo
2025-07-01,DASH,247.62,248.74,236.54,238.01,238.01,5776945,tiingo
2025-07-02,DASH,237.71,242.2799,236.7,238.8,238.8,3968307,tiingo
2025-07-03,DASH,239.41,242.15,237.83,238.79,238.79,1699692,tiingo
2025-07-07,DASH,239.34,246.94,236.57,246.89,246.89,5710030,tiingo
2025-07-08,DASH,247.47,248.38,238.7,241.47,241.47,2888573,tiingo
2025-07-09,DASH,244.99,246.39,240.98,246.06,246.06,2763624,tiingo
2025-07-10,DASH,245.61,247.26,237.76,238.24,238.24,3253250,tiingo
2025-07-11,DASH,238.29,241.96,237.0,240.44,240.44,2842994,tiingo
2025-07-14,DASH,240.15,243.6,238.79,242.85,242.85,2600880,tiingo
2025-07-15,DASH,239.39,239.57,234.6,236.77,236.77,3484561,tiingo
2025-07-16,DASH,236.94,237.845,233.92,234.5,234.5,2614146,tiingo
2025-07-17,DASH,235.45,236.055,232.1,235.02,235.02,3013134,tiingo
2025-07-18,DASH,235.715,239.2,233.5,239.17,239.17,3408480,tiingo
2025-07-21,DASH,240.44,242.655,237.68,240.53,240.53,2465200,tiingo
2025-07-22,DASH,240.33,240.485,234.45,239.82,239.82,1725281,tiingo
2025-07-23,DASH,240.03,241.57,236.0,240.56,240.56,2558632,tiingo
