date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,DDOG,94.0,94.2,90.65,92.02,92.02,5661829,tiingo
2025-04-14,DDOG,94.1,95.88,90.5,91.88,91.88,6111529,tiingo
2025-04-15,DDOG,91.74,93.43,91.475,92.55,92.55,3824432,tiingo
2025-04-16,DDOG,91.26,93.5076,90.76,91.88,91.88,3467830,tiingo
2025-04-17,DDOG,91.51,92.05,90.06,91.18,91.18,3477932,tiingo
2025-04-21,DDOG,90.185,90.63,87.695,88.92,88.92,4701352,tiingo
2025-04-22,DDOG,90.5,92.11,89.74,91.42,91.42,4397999,tiingo
2025-04-23,DDOG,95.24,97.26,93.92,94.58,94.58,5871037,tiingo
2025-04-24,DDOG,94.9,99.73,94.9,99.6,99.6,4943026,tiingo
2025-04-25,DDOG,99.11,101.67,99.11,101.52,101.52,3025711,tiingo
2025-04-28,DDOG,101.4,102.04,100.3,101.74,101.74,2730691,tiingo
2025-04-29,DDOG,101.94,102.86,101.05,102.31,102.31,2616290,tiingo
2025-04-30,DDOG,100.065,102.29,99.27,102.16,102.16,3566677,tiingo
2025-05-01,DDOG,106.66,106.8,103.5,106.32,106.32,7760572,tiingo
2025-05-02,DDOG,107.12,108.13,104.8,105.0,105.0,5147524,tiingo
2025-05-05,DDOG,104.52,106.84,104.05,105.7,105.7,7473486,tiingo
2025-05-06,DDOG,104.67,108.45,101.06,106.06,106.06,13052954,tiingo
2025-05-07,DDOG,105.71,108.0,104.28,106.02,106.02,5926287,tiingo
2025-05-08,DDOG,107.375,110.18,106.38,109.22,109.22,5469557,tiingo
2025-05-09,DDOG,110.12,110.45,106.8418,107.88,107.88,3603893,tiingo
2025-05-12,DDOG,112.13,113.52,111.03,113.42,113.42,4174720,tiingo
2025-05-13,DDOG,113.49,118.08,113.395,117.31,117.31,6364383,tiingo
2025-05-14,DDOG,118.04,119.36,117.08,119.09,119.09,6332122,tiingo
2025-05-15,DDOG,117.805,118.5,115.94,117.14,117.14,4196849,tiingo
2025-05-16,DDOG,117.92,118.51,116.52,117.67,117.67,3143153,tiingo
2025-05-19,DDOG,115.29,116.98,114.73,116.46,116.46,4864820,tiingo
2025-05-20,DDOG,115.37,116.34,114.66,116.29,116.29,2995534,tiingo
2025-05-21,DDOG,114.93,116.08,113.55,113.69,113.69,3701950,tiingo
2025-05-22,DDOG,114.175,117.1289,114.02,115.67,115.67,3671877,tiingo
2025-05-23,DDOG,113.61,115.58,113.3,114.46,114.46,2888753,tiingo
2025-05-27,DDOG,116.435,118.040001,115.215,117.6,117.6,3317800,twelve_data
2025-05-28,DDOG,117.61,118.717,116.059998,116.3,116.3,2518600,twelve_data
2025-05-29,DDOG,116.64,118.24,115.62,117.0,117.0,3556200,twelve_data
2025-05-30,DDOG,116.31,118.2,115.18,117.88,117.88,7310500,twelve_data
2025-06-02,DDOG,117.43,118.35,114.74,117.74,117.74,4103660,tiingo
2025-06-03,DDOG,117.37,119.089996,116.12,118.66,118.66,3884800,twelve_data
2025-06-04,DDOG,119.225,121.39,118.99,119.7,119.7,6012245,tiingo
2025-06-05,DDOG,121.19,123.77,120.58,121.75,121.75,5306200,twelve_data
2025-06-06,DDOG,122.64,123.15,121.54,122.16,122.16,4539401,tiingo
2025-06-09,DDOG,122.39,122.89,118.77,121.17,121.17,4810700,twelve_data
2025-06-10,DDOG,122.43,123.78,119.52,119.91,119.91,5769400,twelve_data
2025-06-11,DDOG,119.99,120.58,118.14,118.63,118.63,3480800,twelve_data
2025-06-12,DDOG,120.11,123.69,120.0,122.68,122.68,4963500,twelve_data
2025-06-13,DDOG,120.54,123.16,119.81,120.45,120.45,4029400,twelve_data
2025-06-16,DDOG,120.86,122.395,120.86,121.93,121.93,3304900,twelve_data
2025-06-17,DDOG,120.97,125.32,119.56,124.84,124.84,5518400,twelve_data
2025-06-18,DDOG,125.0,130.49001,124.88,130.039993,130.039993,7582400,twelve_data
2025-06-20,DDOG,131.059998,131.765,127.050003,127.5,127.5,5224300,twelve_data
2025-06-23,DDOG,127.12,129.92999,125.5,129.52,129.52,4531500,twelve_data
2025-06-24,DDOG,131.16,131.625,129.8945,130.83,130.83,3000083,tiingo
2025-06-25,DDOG,131.16,132.69,129.88,130.24001,130.24001,3782800,twelve_data
2025-06-26,DDOG,131.35001,132.50999,128.99001,131.12,131.12,3884800,twelve_data
2025-06-27,DDOG,131.74001,133.22,130.71001,132.080002,132.080002,4557100,twelve_data
2025-06-30,DDOG,133.37,135.41,132.96001,134.33,134.33,3615000,twelve_data
2025-07-01,DDOG,133.66,135.5,130.28,132.33,132.33,4164023,tiingo
2025-07-02,DDOG,131.5,135.39,131.0,135.01,135.01,4959225,tiingo
2025-07-03,DDOG,147.45,156.53,146.91,155.14999,155.14999,29996700,twelve_data
2025-07-07,DDOG,155.0,157.375,151.64999,152.41,152.41,16225100,twelve_data
2025-07-08,DDOG,146.06,147.85,142.74,145.94,145.94,86386002,tiingo
2025-07-09,DDOG,145.39999,146.070007,141.92999,142.75,142.75,9054600,twelve_data
2025-07-10,DDOG,142.851,143.0,136.81,137.49001,137.49001,9700400,twelve_data
2025-07-11,DDOG,137.49,139.62,137.1,137.37,137.37,6324160,tiingo
2025-07-14,DDOG,136.0099945,141.0,135.839,138.8,138.8,6486600,twelve_data
2025-07-15,DDOG,139.089996,141.94,139.0,140.56,140.56,4952200,twelve_data
2025-07-16,DDOG,139.5,140.24001,137.86,139.36,139.36,4045200,twelve_data
2025-07-17,DDOG,139.85001,144.32001,139.815,143.14999,143.14999,5309800,twelve_data
2025-07-18,DDOG,143.28999,145.67,142.67,145.020004,145.020004,3609900,twelve_data
2025-07-21,DDOG,145.42,146.12,143.64,145.27,145.27,3683700,twelve_data
2025-07-22,DDOG,144.74001,145.89999,142.77,144.89,144.89,3694000,twelve_data
2025-07-23,DDOG,145.17999,145.23,141.75,144.0,144.0,3448500,twelve_data
2025-07-24,DDOG,145.0,147.86,144.715,146.56,146.56,2931900,twelve_data
2025-07-25,DDOG,147.465,150.39999,146.55499,149.84,149.84,4924600,twelve_data
2025-07-28,DDOG,150.89999,151.64999,149.66,150.77,150.77,2648600,twelve_data
2025-07-29,DDOG,150.99001,152.24001,148.60001,150.27,150.27,2875800,twelve_data
2025-07-30,DDOG,150.26,150.795,148.14,148.88,148.88,3940295,tiingo
2025-07-31,DDOG,143.0,143.41,137.675,139.98,139.98,10859500,twelve_data
2025-08-01,DDOG,137.47501,138.67999,134.13,135.60001,135.60001,6067300,twelve_data
2025-08-04,DDOG,137.2,139.14,136.14999,139.13,139.13,3501100,twelve_data
2025-08-05,DDOG,139.66,139.99,132.72,132.94,132.94,5551421,tiingo
2025-08-06,DDOG,133.10001,137.33,133.10001,136.96001,136.96001,7405500,twelve_data
2025-08-07,DDOG,147.75,149.0,131.2,136.38,136.38,16640900,twelve_data
2025-08-08,DDOG,136.59,139.75,129.36,130.91,130.91,10874900,twelve_data
2025-08-11,DDOG,129.46001,132.55,128.42,128.83,128.83,8536100,twelve_data
2025-08-12,DDOG,128.89999,129.89999,126.275,128.96001,128.96001,6829400,twelve_data
2025-08-13,DDOG,129.7,129.86,126.98,128.71,128.71,4753794,tiingo
2025-08-14,DDOG,127.67,127.9,124.18,124.52,124.52,6438900,twelve_data
2025-08-15,DDOG,124.71,128.22,123.42,127.25,127.25,4566500,twelve_data
2025-08-18,DDOG,127.68,129.55,127.18,129.070007,129.070007,2625400,twelve_data
2025-08-19,DDOG,129.46001,131.23,127.84,128.99001,128.99001,4477100,twelve_data
2025-08-20,DDOG,128.47,128.729,125.56,128.46001,128.46001,3914700,twelve_data
2025-08-21,DDOG,128.059998,129.24001,126.674,129.14999,129.14999,2965100,twelve_data
2025-08-22,DDOG,129.0099945,132.38,128.080002,131.22,131.22,3826900,twelve_data
2025-08-25,DDOG,130.50999,130.89,128.089996,128.38,128.38,2621600,twelve_data
2025-08-26,DDOG,128.56,129.020004,126.25,126.31,126.31,5024400,twelve_data
2025-08-27,DDOG,128.070007,131.86,128.0099945,131.73,131.73,6071200,twelve_data
2025-08-28,DDOG,134.37,141.36,134.12,140.96001,140.96001,9304200,twelve_data
2025-08-29,DDOG,139.96,142.5,136.04,136.68,136.68,5105401,tiingo
2025-09-02,DDOG,134.48,135.60001,132.0,134.69,134.69,4848400,twelve_data
2025-09-03,DDOG,134.3,134.4517,131.12,132.6,132.6,3714796,tiingo
2025-09-04,DDOG,131.97,132.32,129.06,131.78,131.78,2955513,tiingo
2025-09-05,DDOG,132.74001,136.25,132.395,136.080002,136.080002,4851100,twelve_data
2025-09-08,DDOG,136.28999,136.91499,134.64999,136.44,136.44,4757600,twelve_data
2025-09-09,DDOG,136.50999,140.67999,136.48,140.46001,140.46001,4493200,twelve_data
2025-09-10,DDOG,141.34,145.155,138.69,139.13,139.13,4859400,twelve_data
2025-09-11,DDOG,139.83,141.04,138.5532,139.15,139.15,2819248,tiingo
2025-09-12,DDOG,138.905,139.81,136.24,136.5,136.5,3034125,tiingo
2025-09-15,DDOG,136.8,139.8481,136.1,138.65,138.65,4719334,tiingo
2025-09-16,DDOG,135.85001,136.14999,132.69,134.59,134.59,5104100,twelve_data
2025-09-17,DDOG,134.75999,136.53999,132.28,134.23,134.23,3558500,twelve_data
2025-09-18,DDOG,135.23,137.27,134.53,136.81,136.81,3718499,tiingo
