date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,FANG,123.09,129.03,121.03,129.01,124.9062692887,3928692,tiingo
2025-04-14,FANG,131.805,132.96,125.87,127.64,123.5798481669,2523736,tiingo
2025-04-15,FANG,126.69,130.0191,126.69,127.14,123.0957528669,1690735,tiingo
2025-04-16,FANG,127.73,132.58,127.71,130.22,126.0777799145,2047402,tiingo
2025-04-17,FANG,132.58,139.2247,132.58,137.64,133.2617541655,3667402,tiingo
2025-04-21,FANG,134.18,134.35,130.325,132.35,128.1400258922,2180288,tiingo
2025-04-22,FANG,135.115,137.9699,134.38,136.54,132.1967445057,1731904,tiingo
2025-04-23,FANG,137.79,140.0,134.3901,135.54,131.2285539058,2130424,tiingo
2025-04-24,FANG,136.94,137.81,135.11,136.16,131.8288320777,2054466,tiingo
2025-04-25,FANG,135.11,137.25,134.85,136.76,132.4097464376,1608658,tiingo
2025-04-28,FANG,136.41,138.6,136.24,137.82,133.4360284735,1664772,tiingo
2025-04-29,FANG,137.81,138.005,135.3443,136.65,132.3032454717,1665530,tiingo
2025-04-30,FANG,134.44,134.6,130.51,132.01,127.8108410883,1980001,tiingo
2025-05-01,FANG,131.31,136.4,130.9,134.83,130.5411385799,2158108,tiingo
2025-05-02,FANG,136.56,137.85,133.825,136.81,132.4581559676,2367967,tiingo
2025-05-05,FANG,134.0,135.06,132.05,133.08,128.8468050301,2865786,tiingo
2025-05-06,FANG,133.9,137.0,131.32,131.98,127.7817953703,3776111,tiingo
2025-05-07,FANG,132.7699,132.8899,127.75,129.57,125.4484560246,2549974,tiingo
2025-05-08,FANG,130.48,137.33,130.48,136.18,131.8481958897,2554974,tiingo
2025-05-09,FANG,138.0,139.35,136.65,137.89,133.5038018155,1944506,tiingo
2025-05-12,FANG,144.84,147.75,142.07,142.92,138.3738005328,2264663,tiingo
2025-05-13,FANG,143.61,147.69,142.9,146.17,141.5204199824,2010165,tiingo
2025-05-14,FANG,144.53,145.95,143.98,144.82,140.2133626726,1621508,tiingo
2025-05-15,FANG,140.19,142.02,138.52,141.95,138.4028462508,2596057,tiingo
2025-05-16,FANG,142.77,142.77,139.22,141.13,137.6033370298,2291949,tiingo
2025-05-19,FANG,139.93,140.24,137.6201,139.35,135.8678170134,1476615,tiingo
2025-05-20,FANG,139.18,139.8183,137.44,138.35,134.8928057682,1104870,tiingo
2025-05-21,FANG,138.35,138.67,136.12,136.31,132.9037828281,1650204,tiingo
2025-05-22,FANG,134.76,136.86,132.2,136.29,132.8842826032,1929303,tiingo
2025-05-23,FANG,134.31,136.62,133.75,135.86,132.4650277678,1766269,tiingo
2025-05-27,FANG,137.79,138.1124,135.54,137.49,134.0542960974,1787327,tiingo
2025-05-28,FANG,139.22,139.22,135.94,136.28,132.8745324907,1904852,tiingo
2025-05-29,FANG,137.47,138.19,136.13,137.81,134.3662996958,2103329,tiingo
2025-05-30,FANG,136.64,136.705,133.75,134.55,131.1877630366,4362973,tiingo
2025-06-02,FANG,138.45,139.03,135.86,137.59,134.1517972219,2118545,tiingo
2025-06-03,FANG,138.0,143.3,135.875,142.28,138.7245999617,2770727,tiingo
2025-06-04,FANG,142.14,144.0,138.38,139.35,135.8678170134,2443969,tiingo
2025-06-05,FANG,140.26,140.4,136.83,137.45,134.0152956476,2064417,tiingo
2025-06-06,FANG,139.27,141.2075,139.0,140.56,137.04758062,1776691,tiingo
2025-06-09,FANG,141.42,143.32,140.35,142.13,138.5783482749,1735560,tiingo
2025-06-10,FANG,143.0,147.56,142.75,145.57,141.9323869583,2282275,tiingo
2025-06-11,FANG,145.8,149.36,144.3,148.92,145.1986746296,3217732,tiingo
2025-06-12,FANG,147.15,149.39,145.89,149.33,145.5984292401,1758740,tiingo
2025-06-13,FANG,157.34,158.0,152.5221,154.91,151.0389919881,5208059,tiingo
2025-06-16,FANG,154.14,155.2168,148.83,151.03,147.2559483569,3828747,tiingo
2025-06-17,FANG,153.07,156.03,151.11,152.93,149.1084697227,3360019,tiingo
2025-06-18,FANG,153.43,155.11,148.44,148.78,145.0621730553,2978502,tiingo
2025-06-20,FANG,150.33,150.7,148.11,148.85,145.1304238424,4309676,tiingo
2025-06-23,FANG,151.0,151.0,140.78,141.15,137.6228372547,4574211,tiingo
2025-06-24,FANG,138.28,141.23,137.1,139.35,135.8678170134,3222743,tiingo
2025-06-25,FANG,139.02,140.64,137.74,138.04,134.5905522822,2068612,tiingo
2025-06-26,FANG,138.715,141.6,137.77,140.87,137.349834106,1582120,tiingo
2025-06-27,FANG,140.59,141.32,138.986,139.77,136.2773217364,2781654,tiingo
2025-06-30,FANG,139.16,139.16,136.95,137.4,133.9665450853,2386187,tiingo
2025-07-01,FANG,137.8,141.9,136.4,140.2,136.6965765718,2014180,tiingo
2025-07-02,FANG,141.97,142.87,138.95,141.97,138.4223464757,1852564,tiingo
2025-07-03,FANG,141.7,142.21,140.25,140.9,137.3790844434,1199623,tiingo
2025-07-07,FANG,140.29,141.205,135.99,137.92,134.4735509328,1717625,tiingo
2025-07-08,FANG,137.64,145.24,137.345,143.76,140.1676166046,2482274,tiingo
2025-07-09,FANG,143.54,144.0,141.51,142.12,138.5685981625,1237388,tiingo
2025-07-10,FANG,141.09,143.2,139.36,143.03,139.4558583956,1798707,tiingo
2025-07-11,FANG,142.69,145.46,141.94,144.33,140.7233730143,1333621,tiingo
2025-07-14,FANG,143.77,143.77,140.3,141.96,138.4125963633,1549993,tiingo
2025-07-15,FANG,142.29,142.66,137.84,137.88,134.434550483,2913459,tiingo
2025-07-16,FANG,137.78,138.66,134.66,136.47,133.0597846273,2179932,tiingo
2025-07-17,FANG,136.49,141.2583,136.31,140.93,137.4083347808,1727925,tiingo
2025-07-18,FANG,143.0,145.09,141.32,141.37,137.8373397286,2388591,tiingo
2025-07-21,FANG,141.28,141.67,139.75,139.84,136.3455725235,1296646,tiingo
2025-07-22,FANG,140.17,143.45,140.011,141.82,138.2760947889,1540618,tiingo
2025-07-23,FANG,142.6,144.08,141.6,143.69,140.0993658174,1249124,tiingo
2025-07-24,FANG,143.2,146.17,142.4353,145.3,141.6691339221,1851451,tiingo
2025-07-25,FANG,145.6,146.17,143.26,144.61,140.996376163,1035678,tiingo
2025-07-28,FANG,145.99,150.99,145.99,150.52,146.7586926219,1686754,tiingo
2025-07-29,FANG,150.52,153.05,149.22,152.5,148.6892148873,2587222,tiingo
2025-07-30,FANG,151.61,151.9324,149.49,151.0,147.2266980195,2019317,tiingo
2025-07-31,FANG,149.0,152.1999,147.76,148.66,144.9451717059,1866087,tiingo
2025-08-01,FANG,148.44,148.9899,144.82,146.14,142.488143368,2830958,tiingo
2025-08-04,FANG,145.0,148.19,144.7,147.78,144.0871618101,2536094,tiingo
2025-08-05,FANG,147.78,147.78,140.69,145.68,142.0396381953,3845223,tiingo
