date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,FER,43.97,44.48,42.995,44.25,43.0959553285,194958,tiingo
2025-04-14,FER,43.725,45.0,43.725,44.6,43.4368272915,126584,tiingo
2025-04-15,FER,44.5,45.2467,44.41,44.97,43.7971776525,120965,tiingo
2025-04-16,FER,44.94,45.71,44.9,45.11,43.9335264377,104448,tiingo
2025-04-17,FER,45.33,46.32,45.15,45.95,44.751619149,91656,tiingo
2025-04-21,FER,50.84,56.43,44.47,44.96,43.7874384535,50949,tiingo
2025-04-22,FER,45.57,46.525,45.57,46.17,44.9658815258,120978,tiingo
2025-04-23,FER,46.11,46.4699,45.87,46.115,44.9123159316,117450,tiingo
2025-04-24,FER,46.605,47.915,46.5,47.84,46.5923277495,188036,tiingo
2025-04-25,FER,47.95,48.5899,47.945,48.38,47.1182444925,116120,tiingo
2025-04-28,FER,48.15,49.48,48.07,48.705,47.4347684581,159683,tiingo
2025-04-29,FER,48.39,48.815,48.27,48.41,47.1474620893,185178,tiingo
2025-04-30,FER,48.35,49.72,48.13,49.65,48.3551227584,140388,tiingo
2025-05-01,FER,50.2,50.495,49.14,49.19,47.9071196069,41306,tiingo
2025-05-02,FER,49.84,50.17,49.64,49.77,48.4719931457,139444,tiingo
2025-05-05,FER,49.51,49.97,49.34,49.52,48.2285131721,132164,tiingo
2025-05-06,FER,49.16,49.7,49.11,49.29,48.0045115964,136916,tiingo
2025-05-07,FER,49.46,50.06,49.38,49.43,48.1408603816,113426,tiingo
2025-05-08,FER,49.03,49.7644,48.64,48.92,47.6441612354,170014,tiingo
2025-05-09,FER,49.19,50.195,49.05,49.44,48.1505995805,166170,tiingo
2025-05-12,FER,48.28,49.25,47.85,48.93,47.6539004344,283625,tiingo
2025-05-13,FER,48.56,49.2042,48.04,48.52,47.2545932777,201997,tiingo
2025-05-14,FER,50.22,51.0,49.85,51.0,49.6699146159,197891,tiingo
2025-05-15,FER,49.71,50.31,49.56,50.03,48.7252123183,211126,tiingo
2025-05-16,FER,50.18,51.395,50.07,50.93,49.6017402232,230395,tiingo
2025-05-19,FER,50.81,51.435,50.785,51.04,49.7088714116,88594,tiingo
2025-05-20,FER,52.09,52.63,52.05,52.63,51.2574040438,95746,tiingo
2025-05-21,FER,52.9,53.365,52.53,52.58,51.2087080491,87487,tiingo
2025-05-22,FER,52.52,52.53,52.01,52.24,51.2291603668,109491,tiingo
2025-05-23,FER,51.57,52.51,51.57,52.18,51.1703213618,103198,tiingo
2025-05-27,FER,52.93,53.099998,51.87,51.9,51.9,221800,twelve_data
2025-05-28,FER,51.38,51.89,51.3,51.55,51.55,152400,twelve_data
2025-05-29,FER,51.43,51.6985,51.28,51.52,51.52,138000,twelve_data
2025-05-30,FER,51.23,51.7921,50.83,51.3,51.3,94700,twelve_data
2025-06-02,FER,50.97,52.14,50.93,52.09,51.0820628543,107820,tiingo
2025-06-03,FER,51.060001,51.48,50.7902,50.99,50.99,181200,twelve_data
2025-06-04,FER,50.95,51.64,50.845,51.23,50.2387037824,125475,tiingo
2025-06-05,FER,51.45,51.71,51.11,51.29,51.29,116600,twelve_data
2025-06-06,FER,51.21,52.595,51.08,51.37,50.3759947941,206797,tiingo
2025-06-09,FER,51.060001,51.98,50.94,50.96,50.96,156200,twelve_data
2025-06-10,FER,51.78,51.81,51.38,51.67,51.67,178500,twelve_data
2025-06-11,FER,51.46,51.89,51.19,51.24,51.24,205700,twelve_data
2025-06-12,FER,51.87,52.0099983,51.65,51.89,51.89,126100,twelve_data
2025-06-13,FER,51.0099983,51.88,51.0099983,51.27,51.27,94900,twelve_data
