date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,FTNT,96.01,98.18,94.97,97.73,97.73,5503251,tiingo
2025-04-14,FTNT,99.89,100.5,95.36,96.85,96.85,4616038,tiingo
2025-04-15,FTNT,97.39,99.24,97.195,99.2,99.2,3584029,tiingo
2025-04-16,FTNT,97.2,98.6,94.8,96.07,96.07,5678499,tiingo
2025-04-17,FTNT,96.825,97.35,95.8,96.13,96.13,2979241,tiingo
2025-04-21,FTNT,94.87,95.71,91.33,92.72,92.72,3071546,tiingo
2025-04-22,FTNT,93.51,95.06,91.24,94.37,94.37,4621048,tiingo
2025-04-23,FTNT,97.45,99.54,96.29,97.0,97.0,4330101,tiingo
2025-04-24,FTNT,96.99,101.19,96.75,100.72,100.72,4087897,tiingo
2025-04-25,FTNT,100.27,101.92,99.9927,101.8,101.8,3350024,tiingo
2025-04-28,FTNT,102.39,103.08,100.94,102.64,102.64,3079459,tiingo
2025-04-29,FTNT,102.02,104.535,101.97,104.21,104.21,3128882,tiingo
2025-04-30,FTNT,101.86,103.98,100.34,103.76,103.76,5456902,tiingo
2025-05-01,FTNT,104.875,106.41,104.14,104.21,104.21,4088319,tiingo
2025-05-02,FTNT,105.705,106.65,104.63,106.18,106.18,3795580,tiingo
2025-05-05,FTNT,104.57,109.33,104.46,108.69,108.69,5447124,tiingo
2025-05-06,FTNT,105.985,108.51,105.43,107.14,107.14,4775150,tiingo
2025-05-07,FTNT,106.04,107.44,105.47,106.72,106.72,6913469,tiingo
2025-05-08,FTNT,97.6,99.27,93.2501,97.74,97.74,15635131,tiingo
2025-05-09,FTNT,98.33,98.38,95.42,97.42,97.42,5721214,tiingo
2025-05-12,FTNT,99.85,102.13,99.19,102.04,102.04,6251519,tiingo
2025-05-13,FTNT,101.485,105.5,101.28,105.05,105.05,5890029,tiingo
2025-05-14,FTNT,105.1,105.97,102.68,103.23,103.23,4513852,tiingo
2025-05-15,FTNT,102.5,103.395,101.34,102.56,102.56,4680209,tiingo
2025-05-16,FTNT,103.23,105.11,102.69,104.59,104.59,4510482,tiingo
2025-05-19,FTNT,103.555,104.95,103.5,104.75,104.75,3562604,tiingo
2025-05-20,FTNT,104.89,104.89,103.2,104.79,104.79,3958293,tiingo
2025-05-21,FTNT,103.695,104.78,102.75,102.84,102.84,4423738,tiingo
2025-05-22,FTNT,103.33,104.69,103.08,103.62,103.62,3655115,tiingo
2025-05-23,FTNT,102.16,103.53,101.58,103.16,103.16,3769215,tiingo
2025-05-27,FTNT,104.2,106.059998,104.17,104.74,104.74,4249100,twelve_data
2025-05-28,FTNT,104.74,105.58,104.22,104.51,104.51,3740100,twelve_data
2025-05-29,FTNT,105.22,105.5,100.9,102.040001,102.040001,4731600,twelve_data
2025-05-30,FTNT,102.2,102.48,100.54,101.78,101.78,17093000,twelve_data
2025-06-02,FTNT,101.1,102.52,99.85,102.47,102.47,5242986,tiingo
2025-06-03,FTNT,102.26,103.17,102.059998,102.88,102.88,3789900,twelve_data
2025-06-04,FTNT,102.5,102.84,101.32,101.62,101.62,3393049,tiingo
2025-06-05,FTNT,102.07,103.98,101.75,103.5,103.5,3368100,twelve_data
2025-06-06,FTNT,104.32,105.2,103.725,104.94,104.94,3296652,tiingo
2025-06-09,FTNT,104.73,105.0,101.94,102.080002,102.080002,3904800,twelve_data
2025-06-10,FTNT,102.33,102.9,101.07,101.63,101.63,3789300,twelve_data
2025-06-11,FTNT,101.42,104.010002,100.14,102.019997,102.019997,4220300,twelve_data
2025-06-12,FTNT,101.84,102.79,101.47,101.66,101.66,2946600,twelve_data
2025-06-13,FTNT,100.78,103.34,100.31,100.83,100.83,3425200,twelve_data
2025-06-16,FTNT,101.099998,103.23,101.099998,101.95,101.95,3519800,twelve_data
2025-06-17,FTNT,101.53,104.5,101.3,102.88,102.88,4096000,twelve_data
2025-06-18,FTNT,103.26,103.4,99.84,100.82,100.82,4337300,twelve_data
2025-06-20,FTNT,101.32,101.99,98.86,99.85,99.85,6944000,twelve_data
2025-06-23,FTNT,99.78,103.46,98.6,103.15,103.15,4523500,twelve_data
2025-06-24,FTNT,104.32,104.99,103.39,104.42,104.42,3540704,tiingo
2025-06-25,FTNT,104.87,105.79,103.52,103.69,103.69,2791900,twelve_data
2025-06-26,FTNT,103.73,104.74,103.099998,103.86,103.86,2816300,twelve_data
2025-06-27,FTNT,103.92,104.47,102.94,103.11,103.11,5706100,twelve_data
2025-06-30,FTNT,103.9,105.96,103.41,105.72,105.72,4095400,twelve_data
2025-07-01,FTNT,105.355,105.85,100.91,102.43,102.43,6138018,tiingo
2025-07-02,FTNT,101.81,102.65,100.91,102.21,102.21,3749274,tiingo
2025-07-03,FTNT,102.68,106.12,102.62,105.66,105.66,2864100,twelve_data
2025-07-07,FTNT,105.6,107.56,105.019997,106.65,106.65,4762200,twelve_data
2025-07-08,FTNT,106.97,107.825,103.36,107.54,107.54,5288539,tiingo
2025-07-09,FTNT,108.65,108.77,105.62,107.65,107.65,4442500,twelve_data
2025-07-10,FTNT,107.71,108.089996,99.91,100.2,100.2,5972600,twelve_data
2025-07-11,FTNT,100.0,100.6181,98.7,99.06,99.06,4131965,tiingo
2025-07-14,FTNT,99.36,103.56,99.25,102.97,102.97,6019600,twelve_data
2025-07-15,FTNT,103.41,105.44,103.38,104.93,104.93,4172800,twelve_data
2025-07-16,FTNT,104.93,105.19,101.55,103.44,103.44,3509300,twelve_data
2025-07-17,FTNT,103.5,105.46,103.35,104.92,104.92,3480900,twelve_data
