date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,GEHC,63.92,64.785,63.24,64.39,64.2415324581,4896309,tiingo
2025-04-15,GEHC,64.5,64.8,62.66,63.1,62.9545068816,5405796,tiingo
2025-04-16,GEHC,63.1,63.695,60.7,61.48,61.3382422042,6207059,tiingo
2025-04-17,GEHC,61.99,62.84,61.7,62.37,62.2261900825,4473983,tiingo
2025-04-21,GEHC,61.73,61.805,59.95,60.48,60.3405479588,5755164,tiingo
2025-04-22,GEHC,61.59,62.34,60.75,61.65,61.5078502259,4508835,tiingo
2025-04-23,GEHC,64.5,67.08,64.275,64.89,64.7403795808,6292782,tiingo
2025-04-24,GEHC,65.04,67.39,64.77,67.08,66.9253299781,6555822,tiingo
2025-04-25,GEHC,69.0,70.82,67.93,68.42,68.2971595655,5508673,tiingo
2025-04-28,GEHC,68.33,68.8,67.28,68.07,67.9477879512,3896577,tiingo
2025-04-29,GEHC,67.88,68.54,67.11,68.09,67.9677520435,5692078,tiingo
2025-04-30,GEHC,72.5,72.6,69.84,70.33,70.2037303747,12759271,tiingo
2025-05-01,GEHC,70.32,70.92,67.63,67.67,67.5485061063,8115286,tiingo
2025-05-02,GEHC,69.9,71.21,69.37,70.53,70.4033712972,7209670,tiingo
2025-05-05,GEHC,69.93,70.59,69.19,69.37,69.2454539471,5927749,tiingo
2025-05-06,GEHC,68.48,68.98,67.07,67.09,66.9695474313,5677386,tiingo
2025-05-07,GEHC,67.475,69.3096,66.95,68.82,68.6964414104,5304868,tiingo
2025-05-08,GEHC,69.49,71.4,69.11,70.5,70.3734251588,6022322,tiingo
2025-05-09,GEHC,70.75,71.81,69.79,69.87,69.7445562531,5724417,tiingo
2025-05-12,GEHC,76.95,77.75,73.51,74.11,73.9769438088,8031240,tiingo
2025-05-13,GEHC,74.35,75.69,73.67,73.83,73.6974465174,4750991,tiingo
2025-05-14,GEHC,73.51,73.945,72.72,72.84,72.7092239513,3849434,tiingo
2025-05-15,GEHC,72.28,73.06,71.555,72.91,72.7790982742,3448298,tiingo
2025-05-16,GEHC,72.91,73.23,72.045,73.13,72.9987032889,3309522,tiingo
2025-05-19,GEHC,72.24,73.29,71.88,73.1,72.9687571505,2418453,tiingo
2025-05-20,GEHC,72.6,73.0,71.79,71.85,71.7210013853,3268425,tiingo
2025-05-21,GEHC,71.42,71.49,69.41,69.58,69.4550769156,3226105,tiingo
2025-05-22,GEHC,69.41,70.115,68.2234,69.44,69.3153282699,2835362,tiingo
2025-05-23,GEHC,68.5,69.36,68.44,69.16,69.0358309785,2486599,tiingo
2025-05-27,GEHC,70.38,71.39,69.77,71.010002,71.010002,3183800,twelve_data
2025-05-28,GEHC,71.010002,71.45,70.5,71.15,71.15,2448600,twelve_data
2025-05-29,GEHC,71.8,72.0,70.78,71.53,71.53,2807600,twelve_data
2025-05-30,GEHC,71.34,71.34,69.59,70.54,70.4133533433,7095548,tiingo
2025-06-02,GEHC,70.43,70.45,69.86,70.15,70.0240535446,2396311,tiingo
2025-06-03,GEHC,70.0,71.3,69.31,71.16,71.16,2445300,twelve_data
2025-06-04,GEHC,71.35,71.55,70.93,71.13,71.0022940645,1672626,tiingo
2025-06-05,GEHC,71.31,71.98,70.85,71.55,71.55,1898800,twelve_data
2025-06-06,GEHC,72.02,72.45,70.88,71.62,71.4914143245,2152751,tiingo
2025-06-09,GEHC,71.85,72.99,71.475,71.67,71.67,2075600,twelve_data
2025-06-10,GEHC,71.89,74.12,71.76,73.92,73.92,4533500,twelve_data
2025-06-11,GEHC,74.0049973,74.16,72.84,73.4,73.4,3051600,twelve_data
2025-06-12,GEHC,73.21,73.795,72.33,73.11,73.11,3574800,twelve_data
2025-06-13,GEHC,72.19,72.79,71.91,72.25,72.25,2976900,twelve_data
2025-06-16,GEHC,72.35,73.12,71.68,72.86,72.86,3046900,twelve_data
2025-06-17,GEHC,72.37,72.71,70.895,71.14,71.14,2918100,twelve_data
2025-06-18,GEHC,71.25,72.17,70.99,71.89,71.89,3496300,twelve_data
2025-06-20,GEHC,72.6,72.61,71.215,71.28,71.28,6306600,twelve_data
2025-06-23,GEHC,71.28,71.385,69.49,71.16,71.16,3142300,twelve_data
2025-06-24,GEHC,71.58,72.29,71.41,71.98,71.8507679848,8746751,tiingo
2025-06-25,GEHC,72.010002,72.85,71.099998,72.75,72.75,5681100,twelve_data
2025-06-26,GEHC,73.0,75.29,72.92,74.86,74.86,5091900,twelve_data
2025-06-27,GEHC,75.2,75.57,74.080002,74.38,74.38,6817100,twelve_data
2025-06-30,GEHC,74.0,74.58,73.572,74.07,74.07,2952400,twelve_data
2025-07-01,GEHC,73.82,76.825,73.61,75.95,75.95,3298700,twelve_data
2025-07-02,GEHC,75.78,76.16,75.36,76.12,76.12,2526100,twelve_data
2025-07-03,GEHC,76.18,76.53,75.69,76.07,76.07,1800500,twelve_data
2025-07-07,GEHC,75.61,76.49,74.38,74.61,74.4760461149,3528598,tiingo
2025-07-08,GEHC,74.66,76.68,74.5,75.2,75.2,3522500,twelve_data
2025-07-09,GEHC,75.85,76.11,74.88,75.51,75.51,2574300,twelve_data
2025-07-10,GEHC,75.51,77.32,75.13,76.5,76.5,2738500,twelve_data
2025-07-11,GEHC,75.67,75.862,74.94,75.13,75.13,1897900,twelve_data
2025-07-14,GEHC,74.81,74.875,73.88,74.45,74.45,2236700,twelve_data
2025-07-15,GEHC,74.79,74.93,73.66,74.39,74.2564411002,4637462,tiingo
2025-07-16,GEHC,74.44,76.21,74.2,75.45,75.3145379891,6398549,tiingo
2025-07-17,GEHC,75.29,76.58,74.81,76.24,76.24,3968000,twelve_data
2025-07-18,GEHC,76.84,76.855,75.45,75.96,75.96,3383600,twelve_data
2025-07-21,GEHC,75.72,75.9,74.095001,74.16,74.16,3902800,twelve_data
2025-07-22,GEHC,74.16,76.78,74.11,76.49,76.49,4674300,twelve_data
2025-07-23,GEHC,77.6,77.8,76.7,77.25,77.25,2337000,twelve_data
2025-07-24,GEHC,77.0,77.855,76.315,76.77,76.6321680772,2392686,tiingo
2025-07-25,GEHC,76.76,77.83,75.97,77.61,77.5055971129,3132745,tiingo
2025-07-28,GEHC,77.37,78.77,76.981,77.74,77.74,3950900,twelve_data
