date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,GILD,102.18,104.7894,100.76,103.63,100.9333917754,8683685,tiingo
2025-04-14,GILD,103.975,107.18,103.975,106.5,103.7287100654,6335306,tiingo
2025-04-15,GILD,106.4,106.4998,104.87,105.68,102.9300476968,7577282,tiingo
2025-04-16,GILD,105.93,106.4,104.35,104.88,102.1508648982,7116050,tiingo
2025-04-17,GILD,104.74,105.75,103.52,104.54,101.8197122088,8066776,tiingo
2025-04-21,GILD,104.1,105.225,103.09,104.33,101.6151767242,6720995,tiingo
2025-04-22,GILD,104.895,106.44,104.78,105.51,102.7644713521,7540744,tiingo
2025-04-23,GILD,105.95,106.635,99.32,106.38,103.6118326456,8178745,tiingo
2025-04-24,GILD,106.105,107.56,105.74,106.15,103.387817591,10133169,tiingo
2025-04-25,GILD,102.68,104.2,93.37,103.17,100.4853616662,14208233,tiingo
2025-04-28,GILD,103.855,106.54,103.135,106.34,103.5728735057,9458853,tiingo
2025-04-29,GILD,105.68,107.17,104.11,104.21,101.4982993044,7646381,tiingo
2025-04-30,GILD,105.33,106.81,103.8,106.54,103.7676692053,9628528,tiingo
2025-05-01,GILD,105.505,105.86,103.16,103.25,100.563279946,7270898,tiingo
2025-05-02,GILD,104.87,105.17,102.475,103.68,100.9820907003,7033837,tiingo
2025-05-05,GILD,103.72,103.845,102.455,102.81,100.1347294068,5487254,tiingo
2025-05-06,GILD,102.33,102.73,97.33,97.88,95.3330154103,11409437,tiingo
2025-05-07,GILD,97.87,99.7,97.33,98.9,96.3264734786,8126794,tiingo
2025-05-08,GILD,97.25,98.44,95.295,98.16,95.6057293899,12994843,tiingo
2025-05-09,GILD,98.07,98.65,96.2,96.91,94.388256267,13141070,tiingo
2025-05-12,GILD,96.79,104.66,96.185,103.82,101.11844769,12935865,tiingo
2025-05-13,GILD,102.555,102.825,100.73,101.43,98.7906390792,8443025,tiingo
2025-05-14,GILD,100.93,101.73,98.08,98.38,95.8200046595,10047054,tiingo
2025-05-15,GILD,99.53,100.62,97.86,100.34,97.7290025161,9678894,tiingo
2025-05-16,GILD,100.61,102.55,100.23,102.5,99.8327960723,6398441,tiingo
2025-05-19,GILD,103.0,106.25,102.84,106.16,103.397557376,8561428,tiingo
2025-05-20,GILD,105.76,109.255,105.76,109.11,106.2707939459,10712067,tiingo
2025-05-21,GILD,108.11,108.77,107.39,107.72,104.9169638333,7968878,tiingo
2025-05-22,GILD,107.25,107.95,106.13,106.74,103.962464905,7069437,tiingo
2025-05-23,GILD,105.85,107.84,105.58,107.37,104.5760713589,6037524,tiingo
2025-05-27,GILD,108.3,109.55,108.04,109.09,106.2513143759,7929947,tiingo
2025-05-28,GILD,109.115,109.45,107.23,108.44,105.618228352,4598301,tiingo
2025-05-29,GILD,108.59,111.24,108.12,111.11,108.2187509424,5597110,tiingo
2025-05-30,GILD,111.62,111.62,109.5795,110.08,107.2155530892,11913187,tiingo
