date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,HON,192.78,199.41,191.6001,198.55,182.2124370589,5102934,tiingo
2025-04-14,HON,199.02,201.36,198.2,200.25,183.7725536189,4492187,tiingo
2025-04-15,HON,200.83,202.36,198.39,198.81,182.451043121,3019515,tiingo
2025-04-16,HON,197.5,198.59,192.51,193.28,177.3760757227,4129331,tiingo
2025-04-17,HON,195.25,198.33,194.975,196.6,180.4228915929,3215569,tiingo
2025-04-21,HON,194.98,195.8,192.12,194.23,178.2479055651,4948636,tiingo
2025-04-22,HON,195.86,199.65,195.41,198.37,182.0472482466,4346696,tiingo
2025-04-23,HON,199.63,201.28,196.82,197.31,181.0744696856,4157918,tiingo
2025-04-24,HON,197.33,201.595,196.2401,200.74,184.2222342745,3239729,tiingo
2025-04-25,HON,199.2,200.58,197.79,199.16,182.7722435892,3639403,tiingo
2025-04-28,HON,199.57,201.72,197.99,200.66,184.1488170246,5690612,tiingo
2025-04-29,HON,207.45,212.43,206.86,211.49,194.0876772278,8744588,tiingo
2025-04-30,HON,211.12,211.66,205.79,210.5,193.1791387605,5031993,tiingo
2025-05-01,HON,210.4,211.53,209.77,210.74,193.3993905101,3591602,tiingo
2025-05-02,HON,212.18,214.94,212.015,214.13,196.510446474,4378676,tiingo
2025-05-05,HON,213.07,215.54,212.47,214.25,196.6205723488,6285205,tiingo
2025-05-06,HON,212.725,213.2875,209.485,209.93,192.656040855,5129432,tiingo
2025-05-07,HON,213.9,216.77,213.13,214.61,196.9509499733,4334159,tiingo
2025-05-08,HON,215.7,216.66,213.78,214.54,196.8867098797,3901856,tiingo
2025-05-09,HON,214.54,214.875,212.67,213.03,195.5009592881,2394408,tiingo
2025-05-12,HON,218.0,219.46,216.53,219.34,201.2917448728,4032539,tiingo
2025-05-13,HON,219.76,220.37,218.06,218.22,200.2639033744,3858344,tiingo
2025-05-14,HON,216.37,218.2,215.82,217.18,199.3094791259,3234995,tiingo
2025-05-15,HON,217.7,222.98,217.7,222.29,203.9990059623,4133192,tiingo
2025-05-16,HON,222.3,222.99,220.622,222.88,205.5774768348,2895966,tiingo
2025-05-19,HON,221.61,225.1,220.62,224.94,207.4775558113,3415205,tiingo
2025-05-20,HON,223.26,225.26,223.26,225.06,207.5882400235,3333884,tiingo
2025-05-21,HON,224.43,224.96,221.51,221.87,204.6458847153,3611425,tiingo
2025-05-22,HON,221.39,225.03,221.19,223.63,206.2692531612,2915477,tiingo
2025-05-23,HON,220.82,223.0,220.82,222.03,204.7934636649,2537518,tiingo
2025-05-27,HON,224.42,226.76,222.33,226.46,208.8795558328,3091020,tiingo
2025-05-28,HON,226.46,227.8876,224.18,224.61,207.1731742277,2582653,tiingo
2025-05-29,HON,225.54,225.91,223.24,225.19,207.7081479201,6740470,tiingo
2025-05-30,HON,226.65,227.02,223.765,226.67,209.0732532042,8299561,tiingo
2025-06-02,HON,225.0,225.94,223.03,225.52,208.0125295037,2531738,tiingo
2025-06-03,HON,225.0,227.22,224.99,226.77,209.1654900477,2809400,tiingo
2025-06-04,HON,227.48,228.77,226.19,227.45,209.7927005836,1832734,tiingo
2025-06-05,HON,227.47,227.92,226.12,226.67,209.0732532042,3250130,tiingo
2025-06-06,HON,228.745,230.47,228.15,228.78,211.0194506024,2215865,tiingo
2025-06-09,HON,228.69,228.7,226.53,227.13,209.4975426844,2561469,tiingo
2025-06-10,HON,227.12,227.61,225.73,226.26,208.6950821458,2665547,tiingo
2025-06-11,HON,225.92,226.8,221.6515,225.82,208.2892400343,2493650,tiingo
2025-06-12,HON,225.03,226.71,223.77,226.05,208.5013847744,1599246,tiingo
2025-06-13,HON,224.9,226.13,223.5101,224.29,206.8780163284,2497074,tiingo
2025-06-16,HON,225.57,226.4,223.53,224.09,206.6935426414,2438970,tiingo
2025-06-17,HON,223.6,224.125,221.48,221.79,204.5720952405,3105666,tiingo
2025-06-18,HON,222.16,223.59,220.8884,221.87,204.6458847153,3598571,tiingo
2025-06-20,HON,223.39,223.4,220.2,221.8,204.5813189248,5875079,tiingo
2025-06-23,HON,223.32,225.0,221.735,224.74,207.2930821243,2580125,tiingo
2025-06-24,HON,225.59,226.11,223.65,224.6,207.1639505434,3583919,tiingo
2025-06-25,HON,224.68,224.68,221.15,221.79,204.5720952405,3004011,tiingo
2025-06-26,HON,222.82,226.485,222.13,226.38,208.805766358,2629868,tiingo
2025-06-27,HON,226.17,228.96,225.7899,228.85,211.0840163929,4994527,tiingo
2025-06-30,HON,228.85,233.56,228.32,232.88,214.8011611867,4061139,tiingo
2025-07-01,HON,233.58,238.88,233.1923,238.77,220.23391127,3921616,tiingo
2025-07-02,HON,238.16,240.52,236.915,239.26,220.6858718032,4103296,tiingo
2025-07-03,HON,239.89,241.3,239.39,240.4,221.7373718193,1903189,tiingo
2025-07-07,HON,239.87,240.9,237.94,239.35,220.7688849624,2710591,tiingo
2025-07-08,HON,239.275,241.65,239.03,239.8,221.1839507582,2768023,tiingo
2025-07-09,HON,240.7,241.72,236.72,238.72,220.1877928482,2177173,tiingo
2025-07-10,HON,237.82,239.375,236.51,236.77,218.3891743996,2264534,tiingo
2025-07-11,HON,234.37,236.05,234.0,235.93,217.614384914,2417501,tiingo
2025-07-14,HON,236.5,238.78,234.63,238.06,219.579029681,2911405,tiingo
2025-07-15,HON,237.19,237.6099,235.19,235.3,217.0332927999,2355252,tiingo
2025-07-16,HON,235.46,237.0,233.01,236.88,218.4906349275,2824650,tiingo
2025-07-17,HON,236.61,238.69,236.17,238.37,219.8649638959,2506750,tiingo
2025-07-18,HON,239.72,239.72,235.24,236.54,218.1770296595,3613970,tiingo
2025-07-21,HON,236.54,238.349,235.18,235.22,216.9595033251,2894201,tiingo
2025-07-22,HON,235.14,237.07,234.33,236.58,218.2139243969,3409052,tiingo
2025-07-23,HON,237.6,240.51,237.23,239.27,220.6950954876,3829055,tiingo
2025-07-24,HON,226.12,230.59,223.8,224.48,207.0532663311,11194274,tiingo
2025-07-25,HON,226.32,226.6,222.29,224.24,206.8318979067,5969065,tiingo
2025-07-28,HON,225.125,227.75,224.72,225.08,207.6066873922,4823085,tiingo
2025-07-29,HON,225.69,226.0,221.24,221.72,204.50752945,3764531,tiingo
2025-07-30,HON,222.39,224.39,221.22,222.16,204.9133715615,4746076,tiingo
2025-07-31,HON,221.56,223.73,221.3,222.35,205.0886215642,3054755,tiingo
2025-08-01,HON,221.365,221.635,217.16,217.71,200.8088320249,3966973,tiingo
2025-08-04,HON,218.32,220.81,217.8,220.79,203.6497268053,3452301,tiingo
2025-08-05,HON,220.02,221.37,219.51,221.06,203.8987662828,2479838,tiingo
2025-08-06,HON,221.65,221.9,219.0,219.23,202.2108320464,2792915,tiingo
2025-08-07,HON,220.28,220.51,215.61,216.58,199.7665556931,2902482,tiingo
2025-08-08,HON,216.77,217.7,216.0,216.31,199.5175162156,3059683,tiingo
2025-08-11,HON,216.31,216.585,214.2,216.45,199.6466477966,2411339,tiingo
2025-08-12,HON,216.64,217.28,215.55,217.01,200.1631741203,4350630,tiingo
2025-08-13,HON,217.365,219.94,217.21,219.74,202.6812399483,3628086,tiingo
2025-08-14,HON,219.09,219.09,217.28,218.2,201.2607925581,2972363,tiingo
2025-08-15,HON,218.02,218.02,215.78,216.77,200.9840820276,2741216,tiingo
2025-08-18,HON,216.73,217.405,215.92,216.4,200.6410266678,4113375,tiingo
2025-08-19,HON,216.26,218.17,215.47,216.74,200.9562667281,2376704,tiingo
2025-08-20,HON,217.06,219.515,216.22,217.0,201.1973326567,4061461,tiingo
2025-08-21,HON,216.49,217.77,215.0,217.42,201.5867468489,2687434,tiingo
2025-08-22,HON,219.56,223.08,218.68,222.83,206.6027725156,3282819,tiingo
2025-08-25,HON,221.74,222.42,220.5,220.61,204.5444403566,2257151,tiingo
2025-08-26,HON,220.22,222.81,219.84,222.56,206.3524348206,4057191,tiingo
2025-08-27,HON,221.62,222.72,220.6901,221.25,205.1378334115,2111835,tiingo
2025-08-28,HON,221.7,221.9,219.78,221.35,205.2305510763,2600365,tiingo
2025-08-29,HON,221.07,221.6,219.18,219.5,203.5152742771,1991132,tiingo
2025-09-02,HON,217.03,218.12,215.4,217.6,201.7536386456,3251972,tiingo
2025-09-03,HON,217.18,217.225,212.56,214.0,198.4158027121,3517660,tiingo
2025-09-04,HON,213.725,215.63,212.1,215.16,199.491327624,4655506,tiingo
2025-09-05,HON,214.98,216.29,213.37,214.25,198.6475968742,4104850,tiingo
2025-09-08,HON,214.82,215.2,212.54,214.75,199.1111851983,4563837,tiingo
2025-09-09,HON,214.96,215.31,211.94,214.2,198.6012380417,2945447,tiingo
2025-09-10,HON,213.97,214.34,211.375,211.7,196.2832964213,4285490,tiingo
2025-09-11,HON,211.92,216.16,211.47,215.31,199.6304041212,5580513,tiingo
2025-09-12,HON,214.05,214.58,210.9381,211.46,196.0607740257,3169206,tiingo
2025-09-15,HON,211.76,212.93,210.69,211.74,196.3203834872,3791991,tiingo
2025-09-16,HON,211.68,213.32,210.6,210.95,195.5879139351,3339819,tiingo
2025-09-17,HON,211.67,213.65,210.25,211.68,196.2647528883,5412333,tiingo
2025-09-18,HON,211.085,213.4,210.05,210.2,194.892531449,4453555,tiingo
