date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,ISRG,489.27,496.605,480.29,493.6,493.6,2843731,tiingo
2025-04-14,ISRG,502.27,506.142,487.2022,490.13,490.13,1518495,tiingo
2025-04-15,ISRG,487.46,494.64,483.69,488.27,488.27,1733370,tiingo
2025-04-16,ISRG,483.9,492.04,477.62,481.34,481.34,1990811,tiingo
2025-04-17,ISRG,484.85,489.245,481.39,482.74,482.74,1625851,tiingo
2025-04-21,ISRG,475.94,478.9,463.05,468.32,468.32,2648532,tiingo
2025-04-22,ISRG,475.53,482.59,464.71,478.74,478.74,3114427,tiingo
2025-04-23,ISRG,500.0,517.31,485.09,487.93,487.93,3769985,tiingo
2025-04-24,ISRG,490.82,511.755,489.43,508.13,508.13,2287128,tiingo
2025-04-25,ISRG,513.18,515.36,505.7517,514.59,514.59,2016172,tiingo
2025-04-28,ISRG,515.91,518.4,508.17,514.01,514.01,1388123,tiingo
2025-04-29,ISRG,512.9,516.78,507.51,514.89,514.89,1321642,tiingo
2025-04-30,ISRG,509.99,517.6,501.67,515.8,515.8,1652193,tiingo
2025-05-01,ISRG,518.12,524.44,512.67,517.18,517.18,1673361,tiingo
2025-05-02,ISRG,526.74,535.6,525.02,529.42,529.42,1440695,tiingo
2025-05-05,ISRG,528.32,536.0599,522.945,531.82,531.82,1375990,tiingo
2025-05-06,ISRG,526.16,533.56,523.59,530.46,530.46,1128128,tiingo
2025-05-07,ISRG,532.74,539.05,528.87,536.15,536.15,1311721,tiingo
2025-05-08,ISRG,540.0,546.559,538.01,538.16,538.16,1472798,tiingo
2025-05-09,ISRG,540.0,542.7403,532.9,536.51,536.51,925686,tiingo
2025-05-12,ISRG,551.97,561.615,547.68,561.43,561.43,2037100,tiingo
2025-05-13,ISRG,561.67,568.69,559.88,563.95,563.95,1529396,tiingo
2025-05-14,ISRG,563.0,566.8,560.29,565.94,565.94,1409900,tiingo
2025-05-15,ISRG,559.32,564.06,549.55,560.28,560.28,1794742,tiingo
2025-05-16,ISRG,563.575,563.94,555.62,563.6,563.6,1422892,tiingo
2025-05-19,ISRG,554.34,562.605,553.94,561.63,561.63,1420405,tiingo
2025-05-20,ISRG,557.29,558.0,553.0,557.16,557.16,1234950,tiingo
2025-05-21,ISRG,556.56,558.76,545.525,547.07,547.07,1507978,tiingo
2025-05-22,ISRG,544.81,546.0356,540.785,542.67,542.67,1129129,tiingo
2025-05-23,ISRG,535.5,542.0663,529.15,539.54,539.54,1138633,tiingo
2025-05-27,ISRG,548.66,553.16,547.0858,550.19,550.19,1244613,tiingo
2025-05-28,ISRG,550.51,556.16,549.43,552.41,552.41,1012083,tiingo
2025-05-29,ISRG,556.47,559.8,551.4,555.75,555.75,1139292,tiingo
2025-05-30,ISRG,554.52,555.0,545.73,552.34,552.34,2091285,tiingo
2025-06-02,ISRG,549.06,554.697,542.52,553.29,553.29,1059656,tiingo
2025-06-03,ISRG,550.68,555.13,548.015,551.85,551.85,1714425,tiingo
2025-06-04,ISRG,552.575,559.69,550.9301,557.95,557.95,1147608,tiingo
2025-06-05,ISRG,560.7,563.9442,557.21,558.06,558.06,1243772,tiingo
2025-06-06,ISRG,562.18,564.15,555.76,557.08,557.08,1104248,tiingo
2025-06-09,ISRG,531.5,531.5875,498.1672,526.15,526.15,4806226,tiingo
2025-06-10,ISRG,525.81,531.93,520.3,529.6,529.6,2027596,tiingo
2025-06-11,ISRG,529.14,529.3401,521.5,522.41,522.41,1676780,tiingo
2025-06-12,ISRG,520.255,522.0,511.7601,513.0,513.0,2392799,tiingo
2025-06-13,ISRG,503.29,518.17,500.29,512.18,512.18,2183018,tiingo
2025-06-16,ISRG,514.0,523.53,514.0,519.04,519.04,1514611,tiingo
2025-06-17,ISRG,515.81,517.72,508.99,512.11,512.11,1506320,tiingo
2025-06-18,ISRG,512.11,513.96,506.535,509.49,509.49,1174182,tiingo
2025-06-20,ISRG,514.7,515.01,508.76,509.36,509.36,2829911,tiingo
2025-06-23,ISRG,508.0,515.36,503.18,515.09,515.09,1218823,tiingo
2025-06-24,ISRG,518.805,523.97,510.78,523.08,523.08,1593846,tiingo
2025-06-25,ISRG,524.3,528.14,521.26,521.63,521.63,1178142,tiingo
2025-06-26,ISRG,527.01,539.6342,525.84,534.19,534.19,1966309,tiingo
