date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,KHC,29.44,29.89,29.34,29.8,27.5545693452,8231058,tiingo
2025-04-15,KHC,29.9,30.005,29.375,29.42,27.2032023535,7747372,tiingo
2025-04-16,KHC,29.6,29.65,28.67,28.81,26.6391658669,8217942,tiingo
2025-04-17,KHC,28.98,29.57,28.84,29.46,27.2401883527,7779466,tiingo
2025-04-21,KHC,29.56,29.98,29.393,29.94,27.6840203421,6921197,tiingo
2025-04-22,KHC,29.95,30.42,29.83,30.2,27.9244293364,8982514,tiingo
2025-04-23,KHC,30.13,30.415,29.76,30.09,27.8227178388,7552405,tiingo
2025-04-24,KHC,30.11,30.12,29.45,29.64,27.4066253487,8345503,tiingo
2025-04-25,KHC,29.645,29.74,29.29,29.49,27.267927852,8152812,tiingo
2025-04-28,KHC,29.39,29.46,28.71,28.81,26.6391658669,19240304,tiingo
2025-04-29,KHC,28.895,29.085,28.52,28.87,26.6946448656,12555081,tiingo
2025-04-30,KHC,29.095,29.29,28.74,29.1,26.9073143606,8557846,tiingo
2025-05-01,KHC,28.895,28.94,28.39,28.5,26.3525243738,9696163,tiingo
2025-05-02,KHC,28.61,28.795,28.4302,28.64,26.4819753707,8674688,tiingo
2025-05-05,KHC,28.6,28.655,28.36,28.59,26.4357428718,7861147,tiingo
2025-05-06,KHC,28.56,28.73,28.345,28.4,26.260059376,6381527,tiingo
2025-05-07,KHC,28.45,28.47,28.05,28.23,26.1028688797,8767779,tiingo
2025-05-08,KHC,28.26,28.585,28.2019,28.49,26.343277874,8218549,tiingo
2025-05-09,KHC,28.32,28.36,28.03,28.07,25.9549248832,6662381,tiingo
2025-05-12,KHC,28.12,28.47,27.8,28.15,26.0288968814,16321639,tiingo
2025-05-13,KHC,28.15,28.19,27.4107,27.59,25.5110928938,14980296,tiingo
2025-05-14,KHC,27.555,27.56,27.14,27.17,25.122739903,12003836,tiingo
2025-05-15,KHC,27.33,27.51,27.16,27.49,25.4186278959,9242880,tiingo
2025-05-16,KHC,27.47,27.78,27.335,27.74,25.6497903905,8897073,tiingo
2025-05-19,KHC,27.8,27.9,27.55,27.88,25.7792413874,9664252,tiingo
2025-05-20,KHC,27.88,28.115,27.82,27.9,25.7977343869,9569790,tiingo
2025-05-21,KHC,28.11,28.11,26.62,26.63,24.6234289148,21072921,tiingo
2025-05-22,KHC,26.64,26.64,26.18,26.5,24.5032244177,16284446,tiingo
2025-05-23,KHC,26.49,26.5199,26.01,26.3,24.3182944221,10300135,tiingo
2025-05-27,KHC,26.48,26.835,26.38,26.83,24.8083589104,11200908,tiingo
2025-05-28,KHC,26.825,26.88,26.455,26.54,24.5402104168,9098193,tiingo
2025-05-29,KHC,26.55,27.03,26.54,27.02,24.9840424063,12549834,tiingo
2025-05-30,KHC,26.57,26.89,26.51,26.73,25.0857539039,17519467,tiingo
2025-06-02,KHC,26.65,26.74,26.33,26.63,24.9919052173,10484186,tiingo
2025-06-03,KHC,26.5,26.92,26.22,26.79,25.1420631158,13357081,tiingo
2025-06-04,KHC,26.86,26.98,26.68,26.7,25.0575992979,14246932,tiingo
2025-06-05,KHC,26.66,26.74,26.41,26.62,24.9825203487,11703166,tiingo
2025-06-06,KHC,26.72,26.91,26.5728,26.73,25.0857539039,6556189,tiingo
2025-06-09,KHC,26.705,26.755,26.2532,26.48,24.8511321876,12632834,tiingo
2025-06-10,KHC,26.5,26.81,26.36,26.59,24.9543657427,10787161,tiingo
2025-06-11,KHC,26.53,26.645,26.305,26.42,24.7948229757,10180021,tiingo
2025-06-12,KHC,26.4,26.47,26.17,26.46,24.8323624503,7437375,tiingo
2025-06-13,KHC,26.42,26.8,26.04,26.08,24.4757374415,12764155,tiingo
2025-06-16,KHC,26.12,26.21,25.53,25.79,24.2035762507,13461246,tiingo
2025-06-17,KHC,25.82,26.105,25.69,25.75,24.1660367761,13994258,tiingo
2025-06-18,KHC,25.7,25.97,25.585,25.68,24.1003426955,12394898,tiingo
2025-06-20,KHC,25.785,26.115,25.62,25.8,24.2129611193,24954349,tiingo
2025-06-23,KHC,25.82,26.08,25.62,25.92,24.3255795431,15043855,tiingo
2025-06-24,KHC,25.945,26.1,25.79,26.03,24.4288130983,13082722,tiingo
2025-06-25,KHC,26.0,26.035,25.6846,25.73,24.1472670388,17547353,tiingo
2025-06-26,KHC,25.84,26.2,25.6948,25.79,24.2035762507,16070985,tiingo
2025-06-27,KHC,25.85,25.92,25.44,25.61,24.034648615,34119274,tiingo
2025-06-30,KHC,25.625,25.87,25.5,25.82,24.2317308566,18624283,tiingo
2025-07-01,KHC,25.855,26.865,25.83,26.61,24.97313548,23442279,tiingo
2025-07-02,KHC,26.66,27.12,26.505,27.06,25.3954545693,17011567,tiingo
2025-07-03,KHC,27.09,27.15,26.575,26.66,25.0200598233,9176852,tiingo
2025-07-07,KHC,26.6,26.67,25.98,26.08,24.4757374415,13326554,tiingo
2025-07-08,KHC,26.06,26.64,25.94,26.43,24.8042078443,12625389,tiingo
2025-07-09,KHC,26.46,26.57,26.05,26.45,24.8229775816,13838809,tiingo
2025-07-10,KHC,26.14,26.75,25.85,26.47,24.8417473189,15838009,tiingo
2025-07-11,KHC,26.28,27.57,25.94,27.14,25.4705335185,52440899,tiingo
2025-07-14,KHC,27.26,27.84,27.14,27.8,26.0899348495,37271849,tiingo
2025-07-15,KHC,27.77,27.94,27.08,27.12,25.4517637812,20365030,tiingo
2025-07-16,KHC,27.23,27.62,27.09,27.58,25.8834677392,19950497,tiingo
2025-07-17,KHC,27.7,28.15,27.6281,28.13,26.399635515,17564503,tiingo
2025-07-18,KHC,28.195,28.215,27.69,27.82,26.1087045868,18389287,tiingo
2025-07-21,KHC,27.96,28.02,27.44,27.48,25.7896190527,17895824,tiingo
2025-07-22,KHC,27.53,28.809,27.5,28.78,27.0096519773,18294836,tiingo
2025-07-23,KHC,28.9,29.15,28.75,28.94,27.1598098757,12814381,tiingo
2025-07-24,KHC,28.99,29.13,28.715,28.78,27.0096519773,7411034,tiingo
2025-07-25,KHC,28.75,28.81,28.362,28.68,26.9158032908,8521860,tiingo
2025-07-28,KHC,28.56,28.57,28.05,28.25,26.5122539388,10067045,tiingo
2025-07-29,KHC,28.25,28.62,28.22,28.56,26.803184867,14007056,tiingo
2025-07-30,KHC,28.785,29.19,28.16,28.49,26.7374907864,17783369,tiingo
2025-07-31,KHC,28.055,28.055,27.42,27.46,25.7708493154,17627063,tiingo
2025-08-01,KHC,27.7,27.82,27.06,27.41,25.7239249721,16940505,tiingo
2025-08-04,KHC,27.22,27.25,26.615,26.8,25.1514479844,14299548,tiingo
2025-08-05,KHC,26.8,27.295,26.8,27.04,25.376684832,10630262,tiingo
2025-08-06,KHC,27.055,27.3955,26.85,27.26,25.5831519424,9055131,tiingo
2025-08-07,KHC,27.35,27.76,27.17,27.65,25.9491618197,9892151,tiingo
2025-08-08,KHC,27.62,27.895,27.53,27.76,26.0523953749,9266811,tiingo
2025-08-11,KHC,27.82,28.03,27.085,27.43,25.7426947094,13917731,tiingo
2025-08-12,KHC,27.46,27.75,27.21,27.35,25.6676157602,13478530,tiingo
2025-08-13,KHC,27.36,28.03,27.3,28.02,26.2964019598,12530308,tiingo
2025-08-14,KHC,27.86,27.88,27.515,27.65,25.9491618197,15035299,tiingo
2025-08-15,KHC,27.75,27.807,27.455,27.67,25.967931557,8136158,tiingo
2025-08-18,KHC,27.61,27.62,27.1635,27.27,25.592536811,7899924,tiingo
2025-08-19,KHC,27.3848,27.7599,27.325,27.67,25.967931557,8281939,tiingo
2025-08-20,KHC,27.81,28.03,27.29,27.42,25.7333098408,8522426,tiingo
2025-08-21,KHC,27.3149,27.56,27.12,27.5,25.80838879,6098349,tiingo
2025-08-22,KHC,27.64,28.1,27.62,28.06,26.3339414344,10699957,tiingo
2025-08-25,KHC,28.0,28.01,27.65,27.69,25.9867012943,9780208,tiingo
2025-08-26,KHC,27.6,27.74,27.32,27.7,25.996086163,17469861,tiingo
2025-08-27,KHC,27.61,27.93,27.53,27.89,26.1743986674,9144852,tiingo
2025-08-28,KHC,27.91,27.95,27.38,27.64,25.9397769511,11454082,tiingo
2025-08-29,KHC,27.2563,28.08,27.19,27.97,26.6248723626,23601304,tiingo
2025-09-02,KHC,27.8,27.91,25.84,26.02,24.768651372,43401011,tiingo
2025-09-03,KHC,26.25,27.0,26.11,26.93,25.6348878343,18883581,tiingo
2025-09-04,KHC,26.95,27.245,26.7246,26.96,25.6634450803,13238772,tiingo
2025-09-05,KHC,26.945,27.51,26.92,27.29,25.9775747864,14754336,tiingo
2025-09-08,KHC,27.14,27.15,26.53,26.9,25.6063305883,17984188,tiingo
2025-09-09,KHC,26.79,27.0,26.66,26.67,25.3873917022,8218903,tiingo
2025-09-10,KHC,26.61,26.73,26.3321,26.65,25.3683535382,13538166,tiingo
2025-09-11,KHC,26.7,26.94,26.5,26.52,25.2446054722,10763383,tiingo
2025-09-12,KHC,26.57,26.57,26.045,26.13,24.873361274,17152324,tiingo
2025-09-15,KHC,26.23,26.37,25.62,25.63,24.3974071739,23134647,tiingo
2025-09-16,KHC,25.63,26.05,25.61,25.93,24.682979634,18271404,tiingo
2025-09-17,KHC,25.92,26.2499,25.67,25.73,24.4925979939,13239242,tiingo
2025-09-18,KHC,25.73,26.22,25.66,26.08,24.825765864,21000716,tiingo
2025-09-19,KHC,26.235,26.56,26.17,26.42,25.1494146521,33012526,tiingo
2025-09-22,KHC,26.38,26.52,26.26,26.38,25.1113383241,14522775,tiingo
2025-09-23,KHC,26.45,26.69,26.43,26.56,25.2826818002,14221968,tiingo
2025-09-24,KHC,26.48,26.85,26.43,26.74,25.4540252762,13109470,tiingo
2025-09-25,KHC,26.89,26.89,25.77,25.81,24.5687506499,13950894,tiingo
2025-09-26,KHC,25.83,26.15,25.82,26.05,24.797208618,15286089,tiingo
2025-09-29,KHC,26.065,26.0687,25.3518,25.7,24.4640407479,19230346,tiingo
2025-09-30,KHC,25.71,26.13,25.496,26.04,24.787689536,23559653,tiingo
2025-10-01,KHC,26.025,26.365,25.925,26.28,25.0161475041,12862259,tiingo
2025-10-02,KHC,26.2,26.315,25.85,26.07,24.816246782,10210690,tiingo
2025-10-03,KHC,26.07,26.24,25.9717,26.06,24.8067277,8737848,tiingo
2025-10-06,KHC,25.91,25.96,25.24,25.27,24.0547202218,12580274,tiingo
2025-10-07,KHC,25.29,25.4775,24.97,25.42,24.1975064518,17810225,tiingo
2025-10-08,KHC,25.3,25.369,24.95,25.08,23.8738576637,11753498,tiingo
2025-10-09,KHC,25.05,25.11,24.85,25.04,23.8357813357,11100621,tiingo
2025-10-10,KHC,25.09,25.29,24.98,25.15,23.9404912377,9752663,tiingo
2025-10-13,KHC,25.08,25.17,24.8,25.11,23.9024149097,11558778,tiingo
2025-10-14,KHC,25.055,25.47,25.04,25.44,24.2165446158,11240017,tiingo
2025-10-15,KHC,25.36,25.485,24.985,25.19,23.9785675658,12688318,tiingo
2025-10-16,KHC,25.245,25.44,25.04,25.13,23.9214530737,13798409,tiingo
2025-10-17,KHC,25.23,25.55,25.1548,25.52,24.2926972719,15967141,tiingo
2025-10-20,KHC,25.58,25.88,25.53,25.71,24.4735598299,10077559,tiingo
2025-10-21,KHC,25.81,25.86,25.54,25.58,24.3498117639,12593632,tiingo
2025-10-22,KHC,25.54,25.95,25.425,25.64,24.4069262559,8860295,tiingo
2025-10-23,KHC,25.62,25.65,25.245,25.41,24.1879873698,11379601,tiingo
2025-10-24,KHC,25.56,25.6,25.21,25.25,24.0356820578,8618827,tiingo
2025-10-27,KHC,25.26,25.63,25.26,25.59,24.3593308459,12261283,tiingo
2025-10-28,KHC,25.49,25.67,25.305,25.52,24.2926972719,16389648,tiingo
2025-10-29,KHC,25.01,25.22,24.105,24.38,23.2075219235,44944188,tiingo
2025-10-30,KHC,24.32,24.775,24.1,24.58,23.3979035636,30901856,tiingo
