date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,KLAC,681.5,684.3,659.45,669.97,664.0772641824,987398,tiingo
2025-04-15,KLAC,669.42,682.105,665.0,676.21,670.2623801257,790353,tiingo
2025-04-16,KLAC,638.25,659.05,619.31,642.19,636.5416037812,2020845,tiingo
2025-04-17,KLAC,649.03,649.19,631.62,634.43,628.8498570313,1224272,tiingo
2025-04-21,KLAC,623.43,627.21,607.7,620.8,615.339739995,1346051,tiingo
2025-04-22,KLAC,626.69,639.85,625.85,636.36,630.762881674,1372380,tiingo
2025-04-23,KLAC,664.24,672.7,652.8801,657.11,651.3303745943,945287,tiingo
2025-04-24,KLAC,674.11,690.57,664.195,689.42,683.3561912812,1304003,tiingo
2025-04-25,KLAC,680.0,700.305,678.915,694.61,688.5005425224,631825,tiingo
2025-04-28,KLAC,687.7,699.1368,679.045,693.72,687.6183705369,736049,tiingo
2025-04-29,KLAC,683.63,695.35,681.74,687.95,681.8991206984,726535,tiingo
2025-04-30,KLAC,677.0,704.99,674.2,702.69,696.5094747054,1172296,tiingo
2025-05-01,KLAC,689.2,693.035,674.76,676.31,670.3615005735,1463539,tiingo
2025-05-02,KLAC,694.25,707.84,692.91,698.16,692.0193184196,851859,tiingo
2025-05-05,KLAC,691.02,701.61,687.12,693.29,687.1921526114,812006,tiingo
2025-05-06,KLAC,680.86,690.0,677.61,679.42,673.4441465003,905422,tiingo
2025-05-07,KLAC,680.49,696.46,675.27,694.35,688.2428293581,962896,tiingo
2025-05-08,KLAC,703.32,710.495,692.8,703.33,697.1438455713,906968,tiingo
2025-05-09,KLAC,706.14,711.3,696.73,701.2,695.032580033,955138,tiingo
2025-05-12,KLAC,745.0,762.795,741.61,760.47,753.7812694491,2110538,tiingo
2025-05-13,KLAC,760.0,798.02,755.65,795.9,788.8996441076,1805186,tiingo
2025-05-14,KLAC,786.75,805.39,786.75,805.0,797.9196048582,1171626,tiingo
2025-05-15,KLAC,797.27,810.61,795.57,806.0,798.9108093363,1129781,tiingo
2025-05-16,KLAC,807.13,807.13,784.08,791.17,784.2112469263,1132031,tiingo
2025-05-19,KLAC,780.685,789.57,775.0241,787.01,781.9711248058,1142004,tiingo
2025-05-20,KLAC,779.63,790.86,777.18,790.29,785.2301244238,949268,tiingo
2025-05-21,KLAC,778.32,799.72,775.18,778.94,773.9527934286,1236816,tiingo
2025-05-22,KLAC,766.46,781.76,762.0001,767.51,762.5959746378,682541,tiingo
2025-05-23,KLAC,747.75,761.1,744.87,757.17,752.3221770616,941948,tiingo
2025-05-27,KLAC,774.71,792.18,768.5983,789.06,784.0079995671,1292643,tiingo
2025-05-28,KLAC,789.06,796.3,776.1943,777.5,772.5220131085,905670,tiingo
2025-05-29,KLAC,792.98,794.795,768.68,773.97,769.0146141294,932526,tiingo
2025-05-30,KLAC,772.78003,773.54999,740.44,756.88,756.88,1717700,twelve_data
2025-06-02,KLAC,752.4,764.6473,751.96,762.44,757.5584355942,864627,tiingo
2025-06-03,KLAC,762.05,779.585,756.335,775.79,770.8229614784,943393,tiingo
2025-06-04,KLAC,781.62,786.93,773.5967,782.09,777.0826253788,839689,tiingo
2025-06-05,KLAC,788.41,796.51,777.42,791.89,786.8198803351,1619412,tiingo
2025-06-06,KLAC,801.24,813.97,799.77,808.0,802.8267351662,996383,tiingo
2025-06-09,KLAC,811.0,835.0,811.0,829.29,823.9804247598,1529929,tiingo
2025-06-10,KLAC,829.29,857.16,826.76,856.59,851.105634995,1515658,tiingo
2025-06-11,KLAC,865.08,873.525,858.8,872.0,866.416971615,1650372,tiingo
2025-06-12,KLAC,866.5,879.155,866.5,875.0,869.3977639485,1091652,tiingo
2025-06-13,KLAC,859.0,876.45,856.9397,867.67,862.1146946802,1832402,tiingo
2025-06-16,KLAC,876.0,893.31,875.62,892.38,892.38,1619400,twelve_data
2025-06-17,KLAC,890.0,914.83002,887.71997,893.0,893.0,1334000,twelve_data
2025-06-18,KLAC,894.885,898.1499,867.31,871.16,865.5823497616,1431634,tiingo
2025-06-20,KLAC,883.83,883.83,834.85,850.0,844.5578278357,2347835,tiingo
2025-06-23,KLAC,852.92,859.62,841.18,856.28,850.7976197872,1427715,tiingo
2025-06-24,KLAC,871.24,890.57,869.56,889.03,883.337936095,1145108,tiingo
2025-06-25,KLAC,895.01001,902.94,887.73999,893.46002,893.46002,772000,twelve_data
2025-06-26,KLAC,897.47,907.255,893.3,902.94,897.1588765482,864906,tiingo
2025-06-27,KLAC,905.0,907.95001,884.64001,889.87,889.87,1175500,twelve_data
2025-06-30,KLAC,891.15997,898.25,884.34003,895.73999,895.73999,786700,twelve_data
2025-07-01,KLAC,888.78,904.99,882.3,898.85,893.0950630001,1079379,tiingo
2025-07-02,KLAC,888.21002,921.95001,885.059998,921.099976,921.099976,1051000,twelve_data
2025-07-03,KLAC,920.0,928.02002,916.049988,924.58002,924.58002,489400,twelve_data
2025-07-07,KLAC,916.96,923.5,905.905,912.62,906.7768998111,901222,tiingo
2025-07-08,KLAC,910.915,927.38,908.265,919.22,913.3346429448,862615,tiingo
2025-07-09,KLAC,919.22,931.96,915.51,923.18,917.2692888251,601043,tiingo
2025-07-10,KLAC,922.89,932.17,919.37,928.62,922.6744589233,798521,tiingo
2025-07-11,KLAC,925.5,930.175,921.21,924.58,918.6603252474,570483,tiingo
2025-07-14,KLAC,916.71997,926.76001,906.26001,921.84003,921.84003,567800,twelve_data
2025-07-15,KLAC,934.0,942.34003,929.65002,936.53003,936.53003,746200,twelve_data
2025-07-16,KLAC,913.12,936.38,897.38,933.48999,933.48999,1226900,twelve_data
2025-07-17,KLAC,924.01001,942.96997,910.0,937.080017,937.080017,1135300,twelve_data
2025-07-18,KLAC,945.87,945.87,924.82001,931.12,931.12,682000,twelve_data
2025-07-21,KLAC,928.46,945.005,925.65,937.76,931.7559395661,674127,tiingo
2025-07-22,KLAC,938.66998,938.66998,890.0,892.21997,892.21997,1619800,twelve_data
2025-07-23,KLAC,899.39001,900.0,879.81,897.090027,897.090027,1207500,twelve_data
2025-07-24,KLAC,901.81,912.315,894.2,904.18,898.3909373794,549939,tiingo
2025-07-25,KLAC,892.34003,905.0,888.070007,902.090027,902.090027,808000,twelve_data
2025-07-28,KLAC,917.36,931.94,915.0001,923.15,917.2394809018,840288,tiingo
2025-07-29,KLAC,928.59,936.97,915.1,916.09,910.2246829435,1027519,tiingo
2025-07-30,KLAC,922.65,927.82,913.38,924.99,919.0677001997,1058172,tiingo
2025-07-31,KLAC,864.45001,897.19,860.0,879.030029,879.030029,2284100,twelve_data
2025-08-01,KLAC,856.20001,894.15997,855.28003,886.64001,886.64001,1474600,twelve_data
2025-08-04,KLAC,896.75,917.78003,891.0,915.62,915.62,1064500,twelve_data
2025-08-05,KLAC,917.0,921.98999,875.96002,883.40997,883.40997,1178300,twelve_data
2025-08-06,KLAC,883.40997,889.12,869.21997,888.28003,888.28003,935000,twelve_data
2025-08-07,KLAC,912.4,917.5284,904.9779,912.06,906.2204852421,717323,tiingo
2025-08-08,KLAC,913.0,917.94,905.67999,914.79999,914.79999,719500,twelve_data
2025-08-11,KLAC,922.15,933.34,907.635,910.18,904.3525220464,814190,tiingo
2025-08-12,KLAC,913.68,939.26,907.48,935.53,929.5402172648,1028198,tiingo
2025-08-13,KLAC,940.0,952.35,937.55,949.48,943.4009016158,900843,tiingo
2025-08-14,KLAC,941.66,959.26,934.915,955.41,949.2929344617,1005313,tiingo
2025-08-15,KLAC,924.23,924.23,873.1583,874.94,869.3381481018,2064549,tiingo
2025-08-18,KLAC,873.039978,883.76001,870.42999,883.39001,883.39001,853800,twelve_data
2025-08-19,KLAC,883.39001,889.25,874.13,876.080017,876.080017,986700,twelve_data
2025-08-20,KLAC,878.53003,880.22998,860.21002,878.44,878.44,978500,twelve_data
2025-08-21,KLAC,876.44,881.28998,866.62,872.39001,872.39001,730500,twelve_data
2025-08-22,KLAC,872.39,893.83,869.23,870.28,866.5678026291,946707,tiingo
2025-08-25,KLAC,870.27,886.75,866.0201,879.55,875.7982612521,469251,tiingo
2025-08-26,KLAC,881.265,892.8799,881.265,888.1,884.3117910499,812334,tiingo
2025-08-27,KLAC,885.89,890.63,879.985,888.89,885.0984212886,528658,tiingo
2025-08-28,KLAC,893.01,897.0,885.0,894.0,890.1866244777,964270,tiingo
2025-08-29,KLAC,881.5,885.0,864.81,872.0,872.0,954300,twelve_data
2025-09-02,KLAC,845.84003,852.84998,836.72998,846.34998,846.34998,1241600,twelve_data
2025-09-03,KLAC,847.66,847.66,832.24,843.9,840.3003270657,931410,tiingo
2025-09-04,KLAC,843.2,876.66,839.0,873.29,869.5649634118,813491,tiingo
2025-09-05,KLAC,879.63,906.26,878.335,905.09,901.2293198529,1155573,tiingo
2025-09-08,KLAC,910.0,924.35,906.74,908.98,905.1027269773,886690,tiingo
2025-09-09,KLAC,910.75,922.75,910.22998,917.72998,917.72998,677800,twelve_data
2025-09-10,KLAC,921.85999,935.22998,914.90002,932.63,932.63,712800,twelve_data
2025-09-11,KLAC,940.0,963.89001,937.47998,959.28003,959.28003,1022100,twelve_data
2025-09-12,KLAC,957.47998,968.090027,955.0,964.02002,964.02002,583900,twelve_data
2025-09-15,KLAC,966.99,990.0,966.99,988.91,984.6917839063,845886,tiingo
2025-09-16,KLAC,993.5,1002.039978,975.059998,990.57001,990.57001,776100,twelve_data
2025-09-17,KLAC,990.38,1000.0,976.27,989.87,985.6476890064,723855,tiingo
2025-09-18,KLAC,1030.83,1076.79,1025.785,1046.69,1042.2253221192,1825038,tiingo
2025-09-19,KLAC,1051.90002,1052.47998,1029.31995,1044.81006,1044.81006,1586900,twelve_data
2025-09-22,KLAC,1038.89001,1072.96997,1037.5,1071.25,1071.25,1020700,twelve_data
2025-09-23,KLAC,1067.85,1075.52,1060.79,1071.2,1066.6307742064,829643,tiingo
2025-09-24,KLAC,1066.31995,1076.0,1057.64001,1068.67004,1068.67004,868000,twelve_data
2025-09-25,KLAC,1058.60999,1066.98999,1045.80005,1059.099976,1059.099976,710500,twelve_data
2025-09-26,KLAC,1056.54004,1068.66003,1046.16003,1064.29004,1064.29004,505400,twelve_data
2025-09-29,KLAC,1077.18005,1085.59998,1063.18005,1064.13,1064.13,769700,twelve_data
2025-09-30,KLAC,1063.80005,1079.87,1057.069946,1078.59998,1078.59998,886300,twelve_data
2025-10-01,KLAC,1075.18,1134.22,1069.78,1128.87,1124.0547816266,1188082,tiingo
2025-10-02,KLAC,1155.0,1155.0,1127.21997,1139.26001,1139.26001,924900,twelve_data
2025-10-03,KLAC,1128.0,1132.405,1099.17,1101.55,1096.8513156526,953743,tiingo
2025-10-06,KLAC,1121.68005,1152.12,1121.68005,1139.70996,1139.70996,946000,twelve_data
2025-10-07,KLAC,1140.81,1142.04,1083.0,1084.74,1080.1130190559,878785,tiingo
2025-10-08,KLAC,1063.51001,1077.32996,1059.01001,1062.58997,1062.58997,1476000,twelve_data
2025-10-09,KLAC,1062.59,1066.5,1037.24,1053.47,1048.9764018887,1247921,tiingo
2025-10-10,KLAC,1052.29004,1054.27002,980.96997,982.75,982.75,1576000,twelve_data
2025-10-13,KLAC,1016.25,1033.9,1014.9,1025.0,1020.6278412636,1227091,tiingo
2025-10-14,KLAC,998.55,1042.465,998.55,1025.71,1021.3348127439,1056057,tiingo
2025-10-15,KLAC,1057.08,1092.8924,1053.94,1087.01,1082.3733363238,1313727,tiingo
2025-10-16,KLAC,1100.15002,1117.0,1079.79004,1098.80005,1098.80005,1031100,twelve_data
2025-10-17,KLAC,1098.34998,1109.47998,1084.089966,1106.66003,1106.66003,879100,twelve_data
2025-10-20,KLAC,1130.06,1161.18,1126.5,1152.885,1147.9673451465,1078652,tiingo
2025-10-21,KLAC,1140.81006,1156.31995,1138.58997,1147.43005,1147.43005,744700,twelve_data
2025-10-22,KLAC,1147.43005,1147.43005,1090.33997,1114.31995,1114.31995,1361400,twelve_data
2025-10-23,KLAC,1106.66,1163.1,1106.66,1159.0,1154.0562614873,946795,tiingo
2025-10-24,KLAC,1166.0,1191.26,1160.6,1182.82,1177.7746567838,825488,tiingo
2025-10-27,KLAC,1200.0,1221.19995,1200.0,1215.13,1215.13,971100,twelve_data
2025-10-28,KLAC,1206.68,1209.6558,1195.79,1206.04,1200.8956113927,665675,tiingo
