date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,LIN,443.09,448.13,441.75,446.03,438.7501960575,1897990,tiingo
2025-04-15,LIN,449.37,454.51,447.94,450.97,443.6095686748,2321026,tiingo
2025-04-16,LIN,450.51,454.83,445.2456,447.99,440.6782062457,1828949,tiingo
2025-04-17,LIN,451.36,455.16,449.69,452.12,444.7407991424,1730215,tiingo
2025-04-21,LIN,450.54,452.47,440.265,443.85,436.6057765624,1303436,tiingo
2025-04-22,LIN,448.29,455.26,447.35,454.61,447.1901590245,1458629,tiingo
2025-04-23,LIN,454.39,457.81,445.5,448.21,440.8946155526,1973407,tiingo
2025-04-24,LIN,447.08,451.13,442.07,449.53,442.1930713937,2114487,tiingo
2025-04-25,LIN,447.92,449.35,443.1,448.4,441.0815144994,1866598,tiingo
2025-04-28,LIN,448.65,450.89,444.17,448.0,440.6880430324,1644902,tiingo
2025-04-29,LIN,448.84,452.3477,446.77,450.58,443.2259339945,1214237,tiingo
2025-04-30,LIN,449.365,455.27,444.92,453.23,445.8326824634,2670418,tiingo
2025-05-01,LIN,437.44,450.61,433.145,448.05,440.7372269658,2540397,tiingo
2025-05-02,LIN,453.7,457.14,452.11,454.95,447.5246097714,1548579,tiingo
2025-05-05,LIN,453.0,455.49,450.14,452.49,445.1047602494,1462273,tiingo
2025-05-06,LIN,452.855,453.53,446.24,447.05,439.7535482983,1441332,tiingo
2025-05-07,LIN,447.97,454.22,444.9,449.66,442.3209496204,1573910,tiingo
2025-05-08,LIN,449.93,458.0,449.53,453.23,445.8326824634,1626400,tiingo
2025-05-09,LIN,455.03,455.03,450.56,452.66,445.2719856229,1058926,tiingo
2025-05-12,LIN,456.47,458.0,452.37,454.42,447.0032600777,1945023,tiingo
2025-05-13,LIN,454.3,455.96,450.09,450.67,443.3144650746,1666379,tiingo
2025-05-14,LIN,447.23,448.67,439.57,445.97,438.6911753374,1941350,tiingo
2025-05-15,LIN,445.97,455.0,445.97,454.22,446.8065243442,2279549,tiingo
2025-05-16,LIN,455.76,458.36,451.955,457.77,450.2985836137,1850524,tiingo
2025-05-19,LIN,457.77,461.65,455.3,460.33,452.8168010025,1640507,tiingo
2025-05-20,LIN,461.36,461.71,457.86,459.85,452.3446352421,1329671,tiingo
2025-05-21,LIN,456.72,459.085,453.79,455.5,448.0656330385,1867558,tiingo
2025-05-22,LIN,456.08,459.11,453.625,459.0,451.5085083747,1654382,tiingo
2025-05-23,LIN,453.57,460.47,453.57,458.9,451.410140508,1627136,tiingo
2025-05-27,LIN,463.26,468.13,462.5055,467.95,460.3124324487,3330804,tiingo
2025-05-28,LIN,466.11,467.045,462.1,462.51,454.9612204976,2692904,tiingo
2025-05-29,LIN,463.95,464.9577,461.14,464.08,456.5055960055,1306844,tiingo
2025-05-30,LIN,466.54999,469.10001,460.62,467.57999,467.57999,4344700,twelve_data
2025-06-02,LIN,465.165,466.35,461.32,464.57,456.9875985526,1865696,tiingo
2025-06-03,LIN,462.31,472.28,462.0,471.82,464.1192688919,2606559,tiingo
2025-06-04,LIN,471.14,475.475,468.965,473.77,467.5129602947,2092877,tiingo
2025-06-05,LIN,474.0,474.8831,469.33,470.26,464.0493165633,1680570,tiingo
2025-06-06,LIN,473.4,475.23,471.252,472.71,466.4669596237,1352754,tiingo
2025-06-09,LIN,472.165,475.94,468.1,472.17,465.9340913573,1616184,tiingo
2025-06-10,LIN,472.39,476.0,471.74,475.56,469.2793199184,1859638,tiingo
2025-06-11,LIN,473.745,474.535,467.385,468.54,462.3520324556,2734175,tiingo
2025-06-12,LIN,468.42,472.145,466.46,470.53,464.3157506964,1572760,tiingo
2025-06-13,LIN,470.64,472.89,465.13,465.98,459.8258421557,1415831,tiingo
2025-06-16,LIN,466.81,469.56,464.88,466.60001,466.60001,1586500,twelve_data
2025-06-17,LIN,465.070007,465.57001,460.20001,460.89999,460.89999,1272700,twelve_data
2025-06-18,LIN,460.9,462.43,458.27,458.7,452.6419884906,1223232,tiingo
2025-06-20,LIN,462.49,463.2441,455.38,455.86,449.8394961267,4365028,tiingo
2025-06-23,LIN,457.31,460.06,452.95,459.75,453.6781212307,1611036,tiingo
2025-06-24,LIN,460.87,463.93,458.89,463.16,457.0430856536,1470666,tiingo
2025-06-25,LIN,461.73001,463.82001,459.73001,460.20001,460.20001,1608900,twelve_data
2025-06-26,LIN,460.82,466.435,458.51,464.46,458.3259166652,1982990,tiingo
2025-06-27,LIN,464.54001,467.37,461.85001,463.79001,463.79001,2643200,twelve_data
2025-06-30,LIN,466.20001,470.040009,463.54999,469.17999,469.17999,1856200,twelve_data
2025-07-01,LIN,469.79,477.84,468.97,476.75,470.4536036906,1856437,tiingo
