date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,MRVL,55.845,56.0312,51.3401,52.26,52.1184088397,19412994,tiingo
2025-04-15,MRVL,52.505,54.14,52.43,53.32,53.175536918,11297368,tiingo
2025-04-16,MRVL,50.475,52.44,49.7,51.93,51.7893029286,19820154,tiingo
2025-04-17,MRVL,52.01,52.49,50.79,51.7,51.5599260814,12283651,tiingo
2025-04-21,MRVL,50.3,50.71,48.09,49.38,49.2462117969,14037992,tiingo
2025-04-22,MRVL,50.105,51.465,49.78,50.62,50.4828521903,15732394,tiingo
2025-04-23,MRVL,54.845,55.95,53.3637,53.77,53.6243177059,18934594,tiingo
2025-04-24,MRVL,54.8,57.9657,54.46,57.33,57.1746723839,21404785,tiingo
2025-04-25,MRVL,56.98,59.26,56.76,58.92,58.7603645013,11929606,tiingo
2025-04-28,MRVL,58.29,58.87,56.7,58.7,58.5409605605,13839981,tiingo
2025-04-29,MRVL,58.21,59.7471,58.01,58.68,58.5210147477,14831858,tiingo
2025-04-30,MRVL,56.28,58.435,55.86,58.37,58.2118546493,14316625,tiingo
2025-05-01,MRVL,60.145,61.78,59.27,60.95,60.7848645002,17638207,tiingo
2025-05-02,MRVL,62.2,63.43,61.97,62.33,62.1611255832,15638639,tiingo
2025-05-05,MRVL,61.69,62.95,61.08,61.98,61.8120738593,9098876,tiingo
2025-05-06,MRVL,60.37,61.84,59.97,61.22,61.054132973,9818137,tiingo
2025-05-07,MRVL,55.16,56.44,53.775,56.31,56.1574359312,40378122,tiingo
2025-05-08,MRVL,58.055,59.03,56.6901,57.63,57.4738595758,18868845,tiingo
2025-05-09,MRVL,59.85,60.87,59.14,59.65,59.4883866684,14698340,tiingo
2025-05-12,MRVL,64.72,65.115,63.18,64.5,64.3252462718,20383053,tiingo
2025-05-13,MRVL,65.045,67.04,64.4,65.48,65.3025910988,19733707,tiingo
2025-05-14,MRVL,66.65,66.9192,64.95,65.9,65.7214531676,11472555,tiingo
2025-05-15,MRVL,65.1,65.96,63.94,65.2,65.0233497197,9962475,tiingo
2025-05-16,MRVL,65.095,65.14,63.5,63.76,63.5872511982,18712932,tiingo
2025-05-19,MRVL,61.1,62.97,60.64,62.56,62.3905024304,20323530,tiingo
2025-05-20,MRVL,60.95,61.42,59.8,61.42,61.2535911009,22326182,tiingo
2025-05-21,MRVL,60.945,62.4458,59.68,60.11,59.9471403627,14022832,tiingo
2025-05-22,MRVL,59.41,62.86,59.32,61.85,61.6824260761,16653149,tiingo
2025-05-23,MRVL,60.15,61.3,59.999,60.69,60.5255689338,17443157,tiingo
2025-05-27,MRVL,62.94,65.5199,62.46,63.82,63.6470886366,25511688,tiingo
2025-05-28,MRVL,64.8,65.8999,64.5,64.59,64.4150024293,23421175,tiingo
2025-05-29,MRVL,67.36,67.59,63.33,63.73,63.557332479,39014692,tiingo
2025-05-30,MRVL,60.795,60.9822,58.61,60.19,60.0269236139,48347484,tiingo
2025-06-02,MRVL,59.745,62.3,59.53,61.47,61.3034556329,18270250,tiingo
2025-06-03,MRVL,62.025,63.51,61.15,62.36,62.1910443024,19286571,tiingo
2025-06-04,MRVL,63.04,67.03,61.86,66.3,66.1203694235,26990198,tiingo
2025-06-05,MRVL,67.27,67.59,64.81,65.16,64.9834580941,23516955,tiingo
2025-06-06,MRVL,66.965,69.78,66.31,68.35,68.1648152353,22926335,tiingo
2025-06-09,MRVL,69.47,71.235,68.96,69.14,68.9526748408,19351772,tiingo
2025-06-10,MRVL,69.925,70.58,68.0607,68.84,68.6534876488,14948718,tiingo
2025-06-11,MRVL,69.39,70.24,67.64,68.24,68.0551132649,13885466,tiingo
2025-06-12,MRVL,67.94,70.06,67.77,69.64,69.4513201607,11862640,tiingo
2025-06-13,MRVL,68.06,68.965,66.97,67.19,67.007958093,14159786,tiingo
2025-06-16,MRVL,68.515,71.28,68.04,70.42,70.2292068598,19706137,tiingo
2025-06-17,MRVL,70.215,72.75,69.165,69.99,69.8003718846,25313412,tiingo
2025-06-18,MRVL,74.53,77.65,73.73,74.95,74.7469334584,55359767,tiingo
2025-06-20,MRVL,77.06,77.32,73.3,73.51,73.310834937,46009131,tiingo
2025-06-23,MRVL,72.99,73.18,69.18,70.78,70.5882314901,26862066,tiingo
2025-06-24,MRVL,72.385,75.435,71.91,75.21,75.0062290248,26999800,tiingo
2025-06-25,MRVL,76.37,76.4899,74.6,75.93,75.7242782855,19426652,tiingo
2025-06-26,MRVL,79.03,81.12,77.45,79.97,79.7533324706,37440580,tiingo
2025-06-27,MRVL,78.85,79.0,76.41,77.16,76.9509457725,27254025,tiingo
2025-06-30,MRVL,78.4,78.44,76.71,77.4,77.1902955261,17072919,tiingo
2025-07-01,MRVL,76.73,77.78,75.0394,76.24,76.0334383838,16702108,tiingo
2025-07-02,MRVL,76.19,79.09,73.78,74.25,74.0488300105,39388471,tiingo
2025-07-03,MRVL,74.83,75.34,74.125,75.18,74.9763103056,10217992,tiingo
2025-07-07,MRVL,74.43,74.8099,71.45,71.55,71.3561452828,22050920,tiingo
2025-07-08,MRVL,72.33,73.5,71.8,71.95,71.7550615388,16356821,tiingo
2025-07-09,MRVL,72.51,73.49,71.3,72.26,72.0642216372,18453463,tiingo
2025-07-10,MRVL,72.4,73.56,71.39,73.36,73.161241341,11542367,tiingo
2025-07-11,MRVL,72.565,73.18,72.12,72.71,72.5728398635,10136044,tiingo
2025-07-14,MRVL,72.105,72.95,70.48,72.51,72.3732171435,12029432,tiingo
2025-07-15,MRVL,73.75,74.01,72.1185,72.41,72.2734057835,15683138,tiingo
2025-07-16,MRVL,70.13,71.015,68.0,70.85,70.7163485673,26477225,tiingo
2025-07-17,MRVL,71.1,73.1299,70.1183,72.01,71.8741603434,15029989,tiingo
2025-07-18,MRVL,72.35,75.255,71.15,74.65,74.5091802477,16914838,tiingo
2025-07-21,MRVL,73.485,73.55,72.2,73.06,72.9221796235,15595299,tiingo
2025-07-22,MRVL,72.975,73.15,70.3,71.99,71.8541980714,12192278,tiingo
