date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,MU,74.67,74.78,69.97,71.02,70.8478300319,32634734,tiingo
2025-04-15,MU,71.12,72.8,70.55,71.04,70.867781547,19132748,tiingo
2025-04-16,MU,67.925,70.4505,67.17,69.33,69.161927008,28475005,tiingo
2025-04-17,MU,70.435,70.48,67.0,68.8,68.6332118585,20694057,tiingo
2025-04-21,MU,67.76,68.0,65.645,66.74,66.5782058058,19826149,tiingo
2025-04-22,MU,67.54,70.4,67.44,70.21,70.0397936713,20351236,tiingo
2025-04-23,MU,73.695,75.4,72.5,72.93,72.7531997216,26385505,tiingo
2025-04-24,MU,74.57,77.59,73.6,77.42,77.2323148559,23875592,tiingo
2025-04-25,MU,77.55,80.3,76.9,79.78,79.5865936348,19746209,tiingo
2025-04-28,MU,78.765,79.61,76.92,78.56,78.3695512152,16882413,tiingo
2025-04-29,MU,77.94,78.19,76.475,76.88,76.6936239489,17098049,tiingo
2025-04-30,MU,73.62,77.145,73.5,76.95,76.7634542517,19779295,tiingo
2025-05-01,MU,79.4,79.89,77.64,77.77,77.5814663697,15349220,tiingo
2025-05-02,MU,79.585,81.67,79.1,80.72,80.5243148433,18899715,tiingo
2025-05-05,MU,79.41,81.15,79.05,80.42,80.2250421172,12513586,tiingo
2025-05-06,MU,79.04,81.215,78.54,80.51,80.314823935,13173791,tiingo
2025-05-07,MU,80.99,82.87,80.2,82.62,82.4197087755,14919560,tiingo
2025-05-08,MU,84.25,86.21,83.36,85.15,84.9435754325,17580500,tiingo
2025-05-09,MU,85.57,86.27,84.68,85.86,85.6518542176,13017572,tiingo
2025-05-12,MU,92.81,94.2,91.95,92.29,92.0662663143,27765334,tiingo
2025-05-13,MU,92.545,97.41,92.545,96.93,96.6950178117,28009085,tiingo
2025-05-14,MU,96.3,97.65,94.32,95.32,95.0889208482,28044449,tiingo
2025-05-15,MU,94.01,95.61,92.17,95.45,95.2186056962,24196105,tiingo
2025-05-16,MU,95.9,98.19,95.7,98.0,97.7624238683,22609277,tiingo
2025-05-19,MU,95.71,99.02,95.7,98.65,98.4108481082,14380066,tiingo
2025-05-20,MU,97.92,98.63,96.97,98.1,97.8621814436,12331253,tiingo
2025-05-21,MU,97.16,98.82,95.26,95.84,95.6076602401,15764282,tiingo
2025-05-22,MU,95.41,97.22,94.37,94.83,94.6001087288,13245249,tiingo
2025-05-23,MU,92.26,93.84,90.93,93.37,93.1436481284,16544976,tiingo
2025-05-27,MU,95.18,96.7,94.19,96.38,96.1463511472,17612618,tiingo
2025-05-28,MU,96.7,97.21,95.6,96.18,95.9468359964,10500295,tiingo
2025-05-29,MU,98.59,99.63,96.11,96.8,96.5653329638,14640052,tiingo
2025-05-30,MU,96.040001,96.61,92.22,94.46,94.46,23758200,twelve_data
2025-06-02,MU,94.58,99.24,94.4,98.18,97.9419875039,16850336,tiingo
2025-06-03,MU,98.355,102.93,96.96,102.25,102.0021208217,22757621,tiingo
2025-06-04,MU,102.38,103.91,101.7,103.25,102.9996965755,14595879,tiingo
2025-06-05,MU,106.3,109.03,105.53,106.29,106.0323268669,28863453,tiingo
2025-06-06,MU,108.08,111.05,108.0401,108.56,108.2968238279,20710120,tiingo
2025-06-09,MU,109.51,112.53,108.58,110.95,110.6810298794,20159672,tiingo
2025-06-10,MU,111.53,114.9231,111.23,114.14,113.8632965339,22949441,tiingo
2025-06-11,MU,115.6,117.26,114.73,116.03,115.7487147085,21614059,tiingo
2025-06-12,MU,114.105,116.48,113.52,116.18,115.8983510716,17076501,tiingo
2025-06-13,MU,113.8,117.1,113.66,115.6,115.3197571344,17453016,tiingo
2025-06-16,MU,117.81,120.96,117.32,119.84,119.84,21374100,twelve_data
2025-06-17,MU,119.6,123.51,119.35,120.34,120.34,20837700,twelve_data
2025-06-18,MU,120.46,122.98,120.18,121.82,121.5246783228,20180011,tiingo
2025-06-20,MU,122.77,124.16,120.38,123.6,123.3003631645,29290388,tiingo
2025-06-23,MU,123.67,124.5091,119.81,122.08,121.7840480187,23399222,tiingo
2025-06-24,MU,125.11,128.1,124.96,127.91,127.5999146632,26420607,tiingo
2025-06-25,MU,126.61,127.5,125.62,127.25,127.25,39407000,twelve_data
2025-06-26,MU,129.53,129.85,123.79,126.0,125.6945449735,62678063,tiingo
2025-06-27,MU,125.14,127.54,123.39,124.76,124.76,36888600,twelve_data
2025-06-30,MU,124.9,125.080002,121.85,123.25,123.25,22799700,twelve_data
2025-07-01,MU,122.345,123.9899,119.08,120.89,120.5969328718,24825833,tiingo
2025-07-02,MU,120.5,123.0,118.059998,121.74,121.74,29303800,twelve_data
2025-07-03,MU,122.33,123.63,121.83,122.29,122.29,13247900,twelve_data
2025-07-07,MU,121.18,121.505,118.911,119.92,119.7440056023,19148367,tiingo
2025-07-08,MU,122.445,125.45,121.95,124.42,124.2374014096,26238160,tiingo
2025-07-09,MU,124.815,126.15,121.28,122.24,122.0606007741,20463955,tiingo
2025-07-10,MU,124.28,124.35,122.02,123.11,122.9293239635,15378419,tiingo
2025-07-11,MU,122.125,124.81,121.24,124.53,124.3472399738,15820592,tiingo
2025-07-14,MU,120.38,120.44,117.019997,118.61,118.61,32117700,twelve_data
2025-07-15,MU,120.94,121.39,119.12,120.11,120.11,24958900,twelve_data
2025-07-16,MU,119.029999,119.089996,114.81,116.43,116.43,30614800,twelve_data
2025-07-17,MU,113.93,114.2,110.95,113.26,113.26,34702400,twelve_data
2025-07-18,MU,114.24,114.8,113.28,114.39,114.39,19349900,twelve_data
2025-07-21,MU,113.585,115.92,112.67,113.23,113.0638238355,22189833,tiingo
2025-07-22,MU,112.86,113.0,108.13,109.22,109.22,27917600,twelve_data
2025-07-23,MU,109.44,110.29,108.88,109.83,109.83,17810000,twelve_data
2025-07-24,MU,111.06,112.73,110.25,111.73,111.566025233,20293061,tiingo
2025-07-25,MU,110.99,111.5,108.83,111.26,111.26,16372300,twelve_data
2025-07-28,MU,111.72,112.0,109.86,111.25,111.0867296803,12932264,tiingo
2025-07-29,MU,112.045,113.54,110.67,111.96,111.7956876854,16653250,tiingo
2025-07-30,MU,112.6,114.89,112.41,114.74,114.5716077619,16378824,tiingo
2025-07-31,MU,112.19,112.27,106.94,109.14,109.14,29224300,twelve_data
2025-08-01,MU,105.49,106.5,103.38,104.88,104.88,24003300,twelve_data
2025-08-04,MU,106.019997,107.88,105.46,107.77,107.77,14780600,twelve_data
2025-08-05,MU,109.3,110.64,106.83,109.059998,109.059998,17836000,twelve_data
2025-08-06,MU,107.9,108.96,106.75,108.78,108.78,13021900,twelve_data
2025-08-07,MU,114.14,115.28,110.79,111.87,111.7058197693,18986483,tiingo
2025-08-08,MU,112.17,119.33,111.67,118.89,118.89,28962200,twelve_data
2025-08-11,MU,124.97,127.28,121.65,123.72,123.5384287285,35065759,tiingo
2025-08-12,MU,124.7,128.55,123.0424,127.75,127.562514307,25990637,tiingo
2025-08-13,MU,127.58,128.6,123.35,124.27,124.0876215494,18438169,tiingo
2025-08-14,MU,123.2,125.74,121.4,125.29,125.106124599,12235946,tiingo
2025-08-15,MU,123.17,123.38,119.44,120.87,120.6926113839,18986654,tiingo
2025-08-18,MU,121.35,123.68,120.66,123.55,123.55,12208800,twelve_data
2025-08-19,MU,122.94,124.24,121.31,122.050003,122.050003,11491200,twelve_data
2025-08-20,MU,118.7,118.91,113.46,117.21,117.21,25795000,twelve_data
2025-08-21,MU,117.0,117.73,115.61,115.79,115.79,13174900,twelve_data
2025-08-22,MU,117.65,120.7,116.51,117.68,117.5072930227,17038258,tiingo
2025-08-25,MU,117.68,118.08,116.1,116.42,116.2491421966,8674832,tiingo
2025-08-26,MU,116.09,118.36,115.81,116.5,116.3290247888,12584324,tiingo
2025-08-27,MU,116.85,118.73,116.44,117.75,117.5771902908,15349289,tiingo
2025-08-28,MU,118.88,122.571,118.73,122.0,121.8209529977,17295541,tiingo
2025-08-29,MU,122.6,122.77,118.059998,119.010002,119.010002,16774000,twelve_data
2025-09-02,MU,115.86,118.56,114.25,118.48,118.48,13771900,twelve_data
2025-09-03,MU,119.36,119.44,117.295,118.72,118.5457667204,11607241,tiingo
2025-09-04,MU,118.85,124.41,118.52,124.21,124.0277096053,18589051,tiingo
2025-09-05,MU,127.77,131.41,125.66,131.37,131.1772016009,28416041,tiingo
2025-09-08,MU,130.55,132.2586,128.4,131.46,131.267069517,19492587,tiingo
2025-09-09,MU,131.75999,138.0,131.56,135.24001,135.24001,20705000,twelve_data
2025-09-10,MU,140.020004,142.24001,138.34,140.0,140.0,25791300,twelve_data
2025-09-11,MU,147.72,156.25999,147.61,150.57001,150.57001,52446400,twelve_data
2025-09-12,MU,153.55,158.28,153.21001,157.23,157.23,32288300,twelve_data
2025-09-15,MU,156.96,160.3399,156.55,157.77,157.5384570036,20101397,tiingo
2025-09-16,MU,157.98,159.56,157.17,158.82001,158.82001,16911600,twelve_data
2025-09-17,MU,157.405,160.59,155.26,159.99,159.7551989352,18843556,tiingo
2025-09-18,MU,162.99,170.45,162.6,168.89,168.6421373097,28212796,tiingo
2025-09-19,MU,162.75,163.7,159.38,162.73,162.73,37309900,twelve_data
2025-09-22,MU,164.38,167.25999,161.59,164.62,164.62,25851200,twelve_data
2025-09-23,MU,165.68,168.99,165.23,166.41,166.1657769536,43316501,tiingo
2025-09-24,MU,165.080002,166.0,158.3,161.71001,161.71001,57096400,twelve_data
2025-09-25,MU,157.39,158.95,154.64999,156.83,156.83,32209200,twelve_data
2025-09-26,MU,158.52,158.92,155.17999,157.27,157.27,24045000,twelve_data
2025-09-29,MU,160.0,165.8,159.97,163.89999,163.89999,26506500,twelve_data
2025-09-30,MU,164.11,168.95,163.96001,167.32001,167.32001,20092500,twelve_data
2025-10-01,MU,165.6,182.39,165.5,182.15,181.8826769551,41674762,tiingo
2025-10-02,MU,184.96001,186.17999,181.21001,183.75,183.75,25122200,twelve_data
2025-10-03,MU,185.21,191.8499,184.92,187.83,187.6691722225,29399259,tiingo
2025-10-06,MU,195.0099945,201.0,189.42999,190.96001,190.96001,36392300,twelve_data
2025-10-07,MU,194.85,195.2999,183.24,185.69,185.5310045786,27828161,tiingo
2025-10-08,MU,188.99001,196.95,188.8,196.53999,196.53999,26833900,twelve_data
