date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,NFLX,932.7,948.98,919.4979,931.28,93.128,4035895,tiingo
2025-04-15,NFLX,950.0,993.4499,948.0,976.28,97.628,7711982,tiingo
2025-04-16,NFLX,976.28,981.21,949.165,961.63,96.163,6066113,tiingo
2025-04-17,NFLX,969.0,984.7015,956.0,973.03,97.303,8893735,tiingo
2025-04-21,NFLX,984.4,1018.9999,973.05,987.91,98.791,9775747,tiingo
2025-04-22,NFLX,1005.3,1064.97,1004.52,1040.34,104.034,9368873,tiingo
2025-04-23,NFLX,1047.225,1061.25,1032.0001,1049.59,104.959,6471876,tiingo
2025-04-24,NFLX,1048.0,1101.0,1047.02,1096.87,109.687,6381896,tiingo
2025-04-25,NFLX,1097.04,1106.7984,1091.0001,1101.53,110.153,3950008,tiingo
2025-04-28,NFLX,1100.0,1114.0,1082.62,1110.38,111.038,3831088,tiingo
2025-04-29,NFLX,1103.92,1127.81,1095.48,1125.64,112.564,3777329,tiingo
2025-04-30,NFLX,1112.65,1133.2005,1101.1101,1131.72,113.172,4266676,tiingo
2025-05-01,NFLX,1122.52,1142.42,1111.8301,1133.47,113.347,3499497,tiingo
2025-05-02,NFLX,1136.66,1159.44,1133.32,1156.49,115.649,3774282,tiingo
2025-05-05,NFLX,1114.795,1144.02,1107.01,1134.06,113.406,5662317,tiingo
2025-05-06,NFLX,1129.43,1147.66,1126.4,1137.69,113.769,3256682,tiingo
2025-05-07,NFLX,1139.175,1164.0,1138.0,1155.41,115.541,4352394,tiingo
2025-05-08,NFLX,1161.62,1162.2939,1139.2,1144.43,114.443,3760872,tiingo
2025-05-09,NFLX,1147.1,1151.0,1133.22,1140.22,114.022,2569633,tiingo
2025-05-12,NFLX,1124.26,1130.0,1102.9301,1110.0,111.0,6479079,tiingo
2025-05-13,NFLX,1114.46,1147.88,1106.3,1138.44,113.844,3997869,tiingo
2025-05-14,NFLX,1129.595,1152.9003,1128.4,1150.99,115.099,3910147,tiingo
2025-05-15,NFLX,1147.74,1187.8019,1147.647,1177.98,117.798,4464041,tiingo
2025-05-16,NFLX,1193.14,1196.5,1179.39,1191.53,119.153,4698353,tiingo
