date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,ODFL,154.82,154.82,146.14,152.23,151.0105886638,2640983,tiingo
2025-04-14,ODFL,154.28,155.85,151.95,155.11,153.867518936,1189184,tiingo
2025-04-15,ODFL,155.3,156.48,151.465,152.85,151.625622264,1001757,tiingo
2025-04-16,ODFL,151.07,151.89,145.9,147.85,146.6656738746,1927977,tiingo
2025-04-17,ODFL,149.39,154.825,149.05,153.75,152.5184129741,1456548,tiingo
2025-04-21,ODFL,151.47,152.74,147.05,149.87,148.669493024,1791328,tiingo
2025-04-22,ODFL,150.275,153.17,148.64,152.07,150.8518703153,1840270,tiingo
2025-04-23,ODFL,159.12,167.89,151.6,153.23,152.0025783416,3069909,tiingo
2025-04-24,ODFL,151.66,159.18,150.9,158.9,157.6271598152,1834905,tiingo
2025-04-25,ODFL,149.28,151.52,144.9,146.74,145.5645653322,4094902,tiingo
2025-04-28,ODFL,147.01,149.53,145.7874,149.0,147.8064620042,2699025,tiingo
2025-04-29,ODFL,147.96,150.04,146.57,149.65,148.4512552948,2026262,tiingo
2025-04-30,ODFL,149.15,153.66,146.37,153.28,152.0521778255,2958826,tiingo
2025-05-01,ODFL,152.86,154.188129,149.61,150.56,149.3539659017,2153662,tiingo
2025-05-02,ODFL,153.0,160.82,152.25,158.01,156.7442890019,2628116,tiingo
2025-05-05,ODFL,156.89,158.73,156.06,156.23,154.9785473753,1272152,tiingo
2025-05-06,ODFL,154.0,155.64,152.52,153.35,152.121617103,1012344,tiingo
2025-05-07,ODFL,153.96,156.5,153.96,155.59,154.3436739814,1173939,tiingo
2025-05-08,ODFL,156.1,161.425,155.54,160.12,158.8373872222,1733883,tiingo
2025-05-09,ODFL,159.75,160.29,157.34,158.28,157.0121262149,1058013,tiingo
2025-05-12,ODFL,169.855,176.85,168.0,176.07,174.6596225844,3596790,tiingo
2025-05-13,ODFL,175.96,176.365,171.24,171.34,169.967511408,1841039,tiingo
2025-05-14,ODFL,170.47,172.0,168.37,171.65,170.2750282082,1470379,tiingo
2025-05-15,ODFL,170.55,171.3299,168.8,169.93,168.5688059622,1652468,tiingo
2025-05-16,ODFL,171.19,171.54,168.95,171.28,169.9079920274,1098425,tiingo
2025-05-19,ODFL,168.99,172.39,167.84,171.61,170.2353486211,2107141,tiingo
2025-05-20,ODFL,170.4,171.72,168.81,169.6,168.2414493685,1886569,tiingo
2025-05-21,ODFL,166.94,168.65,164.1624,164.19,162.8747852112,2048843,tiingo
2025-05-22,ODFL,164.135,164.56,162.34,163.6,162.2895113013,1264386,tiingo
2025-05-23,ODFL,159.67,162.65,158.5701,161.56,160.2658523584,896068,tiingo
2025-05-27,ODFL,164.71,164.71,161.07,164.21,162.8946250048,2223405,tiingo
2025-05-28,ODFL,165.0,165.13,162.155,162.43,161.1288833781,1015774,tiingo
2025-05-29,ODFL,163.92,164.08,160.905,162.01,160.7122477134,1301848,tiingo
2025-05-30,ODFL,161.85,162.45,158.96,160.17,158.8869867061,2898004,tiingo
2025-06-02,ODFL,161.95,161.955,157.26,160.0,158.7183484609,1563520,tiingo
2025-06-03,ODFL,159.61,163.525,158.28,163.03,161.7240771849,1367691,tiingo
2025-06-04,ODFL,162.37,163.19,160.01,161.49,160.4741701907,1318195,tiingo
2025-06-05,ODFL,160.14,161.53,157.935,159.68,158.6755557375,1320105,tiingo
2025-06-06,ODFL,162.545,163.32,159.74,160.33,159.3214670053,1232649,tiingo
2025-06-09,ODFL,161.11,163.89,159.42,162.21,161.1896411334,1199035,tiingo
2025-06-10,ODFL,163.87,168.14,162.93,167.89,166.8339119037,1916581,tiingo
2025-06-11,ODFL,168.53,170.255,161.57,162.11,161.0902701692,1710526,tiingo
2025-06-12,ODFL,161.48,163.05,159.415,162.41,161.388383062,1306115,tiingo
2025-06-13,ODFL,160.16,161.99,159.65,160.18,159.1724105589,1530716,tiingo
2025-06-16,ODFL,161.2,161.4,158.25,159.45,158.4470025197,1998441,tiingo
2025-06-17,ODFL,160.5,160.5,156.06,156.67,155.6844897132,1298820,tiingo
2025-06-18,ODFL,156.82,158.91,155.715,156.03,155.0485155419,1281213,tiingo
2025-06-20,ODFL,157.24,159.31,155.55,156.46,155.4758106882,2545790,tiingo
2025-06-23,ODFL,155.87,161.4411,155.05,161.36,160.3449879372,1256551,tiingo
2025-06-24,ODFL,162.22,163.77,161.46,161.97,160.9511508192,1177256,tiingo
2025-06-25,ODFL,161.88,162.08,159.13,160.35,159.3413411981,1400551,tiingo
2025-06-26,ODFL,160.93,162.16,159.925,160.99,159.9773153694,1672032,tiingo
2025-06-27,ODFL,161.57,164.16,161.36,163.68,162.6503943081,6623121,tiingo
2025-06-30,ODFL,163.82,164.45,161.32,162.3,161.2790750013,1884808,tiingo
2025-07-01,ODFL,162.05,172.24,160.565,168.45,167.3903893035,2076776,tiingo
2025-07-02,ODFL,168.64,171.06,166.945,169.85,168.7815828032,1465236,tiingo
2025-07-03,ODFL,170.51,172.62,169.77,171.03,169.9541601816,1369300,tiingo
2025-07-07,ODFL,169.75,170.665,163.63,164.31,163.276431383,1496908,tiingo
2025-07-08,ODFL,164.09,169.385,163.855,167.38,166.3271199859,1971044,tiingo
2025-07-09,ODFL,167.5,169.1175,166.3,168.01,166.9531570608,896612,tiingo
2025-07-10,ODFL,167.995,173.26,167.345,171.12,170.0435940494,1262378,tiingo
2025-07-11,ODFL,169.7,170.53,167.27,167.73,166.6749183608,1137576,tiingo
2025-07-14,ODFL,166.52,167.5999,164.48,165.73,164.6874990755,1017262,tiingo
2025-07-15,ODFL,166.64,166.81,161.2,161.35,160.3350508408,1142468,tiingo
2025-07-16,ODFL,163.68,164.5,159.2,160.83,159.8183218266,1452403,tiingo
2025-07-17,ODFL,161.02,163.885,160.83,162.23,161.2095153263,1770150,tiingo
2025-07-18,ODFL,165.51,165.68,160.45,162.09,161.0703959763,1548679,tiingo
2025-07-21,ODFL,162.82,165.86,162.25,163.25,162.2230991618,1080302,tiingo
2025-07-22,ODFL,164.56,167.3,162.67,166.89,165.840202261,1229020,tiingo
2025-07-23,ODFL,167.76,168.9999,165.84,165.99,164.9458635826,1577615,tiingo
2025-07-24,ODFL,166.52,168.07,164.49,167.79,166.7345409394,1315691,tiingo
2025-07-25,ODFL,173.37,174.79,163.78,167.09,166.0389441895,1747307,tiingo
2025-07-28,ODFL,166.48,167.555,164.16,164.32,163.2863684794,1634019,tiingo
2025-07-29,ODFL,164.32,165.45,161.55,162.12,161.1002072656,2771715,tiingo
2025-07-30,ODFL,152.5,152.5,144.5,146.46,145.5387142618,5557072,tiingo
2025-07-31,ODFL,148.79,151.53,147.5,149.25,148.3111641648,4285312,tiingo
2025-08-01,ODFL,148.14,148.16,141.73,141.85,140.9577128092,2654029,tiingo
2025-08-04,ODFL,142.04,145.15,141.88,144.36,143.4519240122,1694074,tiingo
2025-08-05,ODFL,144.38,147.97,144.08,147.15,146.2243739152,1790680,tiingo
2025-08-06,ODFL,147.27,150.91,146.8,149.93,148.9868867218,2849389,tiingo
2025-08-07,ODFL,150.54,152.49,144.71,145.33,144.4158223656,1806171,tiingo
2025-08-08,ODFL,145.45,146.6899,143.78,144.46,143.5512949765,1440300,tiingo
2025-08-11,ODFL,144.53,146.08,140.91,143.02,142.1203530911,2070971,tiingo
2025-08-12,ODFL,143.49,149.68,143.04,149.23,148.2912899719,1568162,tiingo
2025-08-13,ODFL,149.1,153.55,148.6054,153.46,152.4946817603,1983135,tiingo
2025-08-14,ODFL,151.99,152.72,149.31,151.11,150.1594641001,1662213,tiingo
2025-08-15,ODFL,152.12,153.315,151.02,151.14,150.1892753894,1499675,tiingo
2025-08-18,ODFL,151.32,152.39,149.96,150.46,149.5135528324,1136028,tiingo
2025-08-19,ODFL,151.9,157.63,151.33,154.8,153.8262526814,2958964,tiingo
2025-08-20,ODFL,153.88,154.415,150.13,150.24,149.294936711,1512194,tiingo
2025-08-21,ODFL,149.32,149.98,147.17,149.75,148.8080189861,2049958,tiingo
2025-08-22,ODFL,150.21,160.06,149.99,159.125,158.1240468859,1962335,tiingo
2025-08-25,ODFL,158.52,158.865,154.69,155.47,154.492038142,1721302,tiingo
2025-08-26,ODFL,154.44,156.59,153.815,154.48,153.5082655958,2155643,tiingo
2025-08-27,ODFL,153.81,155.985,152.55,153.82,152.8524172316,1974994,tiingo
2025-08-28,ODFL,154.36,154.395,147.44,149.7,148.7583335039,1977569,tiingo
2025-08-29,ODFL,149.62,151.13,148.2,150.97,150.0203447501,1679373,tiingo
2025-09-02,ODFL,148.65,151.26,148.03,149.9,148.9570754325,1794136,tiingo
2025-09-03,ODFL,149.05,150.54,147.7672,148.11,147.4565738721,1408243,tiingo
2025-09-04,ODFL,145.93,148.97,140.71,148.81,148.1534856384,3284603,tiingo
2025-09-05,ODFL,149.27,154.148,148.79,150.71,150.0451032899,1891945,tiingo
2025-09-08,ODFL,150.9,151.295,147.62,151.11,150.4433385849,1603219,tiingo
2025-09-09,ODFL,150.65,150.65,147.74,148.22,147.5660885782,1311034,tiingo
2025-09-10,ODFL,147.02,148.68,144.88,146.31,145.6645150444,1199171,tiingo
2025-09-11,ODFL,145.73,150.84,145.59,149.4,148.7408826986,1682362,tiingo
2025-09-12,ODFL,149.14,149.39,144.465,144.89,144.250779747,1863976,tiingo
2025-09-15,ODFL,145.33,147.01,143.81,145.25,144.6091915125,1582357,tiingo
2025-09-16,ODFL,145.8,147.39,144.63,147.02,146.3713826931,1707689,tiingo
2025-09-17,ODFL,146.67,149.88,141.54,141.79,141.1644562104,1977483,tiingo
2025-09-18,ODFL,142.27,144.48,141.1221,142.39,141.761809153,2222863,tiingo
2025-09-19,ODFL,142.85,142.963,140.09,140.84,140.2186473847,4264091,tiingo
2025-09-22,ODFL,140.83,140.83,138.655,138.93,138.3170738508,2093141,tiingo
2025-09-23,ODFL,139.08,141.615,138.66,139.34,138.7252650283,1541324,tiingo
2025-09-24,ODFL,139.07,142.21,139.07,141.06,140.4376767969,1667225,tiingo
