date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,PANW,171.66,173.53,168.68,169.98,169.98,5103311,tiingo
2025-04-15,PANW,170.5,174.94,169.98,173.55,173.55,4147466,tiingo
2025-04-16,PANW,171.535,173.85,167.92,169.76,169.76,5405198,tiingo
2025-04-17,PANW,171.14,171.365,167.13,167.69,167.69,4784631,tiingo
2025-04-21,PANW,165.09,165.95,157.6,160.05,160.05,4555124,tiingo
2025-04-22,PANW,162.46,165.36,160.27,163.63,163.63,4005327,tiingo
2025-04-23,PANW,168.74,172.52,167.33,168.32,168.32,4924435,tiingo
2025-04-24,PANW,169.345,176.45,169.07,176.04,176.04,4023389,tiingo
2025-04-25,PANW,176.49,179.5,175.33,178.98,178.98,3536822,tiingo
2025-04-28,PANW,178.62,182.2,178.09,181.54,181.54,3551869,tiingo
2025-04-29,PANW,182.96,187.31,182.095,186.65,186.65,5112323,tiingo
2025-04-30,PANW,184.98,187.63,182.3696,186.93,186.93,6163155,tiingo
2025-05-01,PANW,188.64,189.1623,186.03,186.27,186.27,4627143,tiingo
2025-05-02,PANW,190.0,191.6999,187.27,187.7,187.7,3842206,tiingo
2025-05-05,PANW,186.0,190.98,185.47,188.13,188.13,3804317,tiingo
2025-05-06,PANW,186.8,190.27,186.02,188.69,188.69,3031903,tiingo
2025-05-07,PANW,188.8,189.31,186.35,188.14,188.14,3713849,tiingo
2025-05-08,PANW,187.69,188.98,184.35,188.53,188.53,3677239,tiingo
2025-05-09,PANW,188.755,189.79,184.64,186.93,186.93,3211041,tiingo
2025-05-12,PANW,191.615,193.665,189.515,193.5,193.5,4580843,tiingo
2025-05-13,PANW,192.725,195.42,191.875,192.0,192.0,5556527,tiingo
2025-05-14,PANW,191.83,192.2007,189.425,190.9,190.9,5445821,tiingo
2025-05-15,PANW,189.79,194.19,189.59,192.9,192.9,5460097,tiingo
2025-05-16,PANW,191.045,193.7906,190.91,192.98,192.98,4210924,tiingo
2025-05-19,PANW,190.49,194.4,190.17,194.3,194.3,4419514,tiingo
2025-05-20,PANW,194.635,194.93,192.66,194.48,194.48,9533438,tiingo
2025-05-21,PANW,184.76,185.3,178.64,181.26,181.26,19049689,tiingo
2025-05-22,PANW,183.01,187.65,182.46,186.14,186.14,7613395,tiingo
2025-05-23,PANW,183.605,187.65,183.2201,186.75,186.75,4902866,tiingo
2025-05-27,PANW,188.67,189.1,186.529,187.46,187.46,5331677,tiingo
2025-05-28,PANW,187.76,189.84,187.47,187.8,187.8,3869008,tiingo
2025-05-29,PANW,189.0,189.1475,182.89,185.82,185.82,4499556,tiingo
2025-05-30,PANW,187.020004,192.73,186.73,192.42,192.42,11419700,twelve_data
2025-06-02,PANW,192.14,195.29,191.48,194.86,194.86,4411538,tiingo
2025-06-03,PANW,195.0,198.4534,194.88,197.12,197.12,4820893,tiingo
2025-06-04,PANW,195.22,197.25,193.47,194.07,194.07,3360595,tiingo
2025-06-05,PANW,194.11,199.5,194.11,197.11,197.11,3549790,tiingo
2025-06-06,PANW,199.0,200.88,198.2,199.6,199.6,3306209,tiingo
2025-06-09,PANW,199.04,199.1956,196.19,196.33,196.33,2566463,tiingo
2025-06-10,PANW,195.65,197.0422,193.6,195.95,195.95,2971944,tiingo
2025-06-11,PANW,195.71,197.44,194.06,194.39,194.39,3462978,tiingo
2025-06-12,PANW,194.57,199.3985,194.31,197.67,197.67,4159496,tiingo
2025-06-13,PANW,196.37,199.95,195.07,196.27,196.27,3818451,tiingo
2025-06-16,PANW,196.85001,199.74001,196.85001,198.11,198.11,4138000,twelve_data
2025-06-17,PANW,197.99001,202.75,197.5,202.050003,202.050003,4132900,twelve_data
2025-06-18,PANW,202.29,202.885,198.8801,199.78,199.78,3324502,tiingo
2025-06-20,PANW,201.05,201.05,197.71,199.24,199.24,8289229,tiingo
2025-06-23,PANW,199.56,203.87,196.0001,203.32,203.32,4478798,tiingo
2025-06-24,PANW,204.0,204.8,201.42,201.69,201.69,4951793,tiingo
2025-06-25,PANW,202.8,204.81,202.48,204.3,204.3,3242300,twelve_data
2025-06-26,PANW,204.59,206.7399,201.54,202.34,202.34,5264863,tiingo
2025-06-27,PANW,202.34,203.25999,198.75,200.57001,200.57001,5346400,twelve_data
2025-06-30,PANW,201.24001,204.91,201.020004,204.64,204.64,4350800,twelve_data
2025-07-01,PANW,203.97,204.35,195.081,197.58,197.58,6840597,tiingo
2025-07-02,PANW,196.44,197.92,194.91,196.97,196.97,3367200,twelve_data
2025-07-03,PANW,197.86,202.98,197.86,201.82001,201.82001,2561700,twelve_data
2025-07-07,PANW,200.89,202.1879,199.67,201.42,201.42,3483128,tiingo
2025-07-08,PANW,202.0,204.51,200.69,203.99,203.99,3411426,tiingo
2025-07-09,PANW,204.8,206.18,202.43,206.06,206.06,3089967,tiingo
2025-07-10,PANW,204.03,205.0,191.17,192.07,192.07,9248970,tiingo
2025-07-11,PANW,192.91,193.0,186.7,187.39,187.39,7412270,tiingo
2025-07-14,PANW,186.88,191.44,186.0,190.72,190.72,5050200,twelve_data
2025-07-15,PANW,190.71001,193.52,190.2,192.25,192.25,3963200,twelve_data
2025-07-16,PANW,192.95,193.88,190.7,192.59,192.59,3119600,twelve_data
2025-07-17,PANW,193.19,197.60001,193.080002,196.28,196.28,4300400,twelve_data
2025-07-18,PANW,197.12,197.44,194.78,195.78,195.78,2978900,twelve_data
2025-07-21,PANW,195.935,203.2,194.6,199.88,199.88,7642519,tiingo
2025-07-22,PANW,199.89,201.42999,196.31,196.73,196.73,3658300,twelve_data
2025-07-23,PANW,197.83,199.89999,194.77,199.22,199.22,3050500,twelve_data
2025-07-24,PANW,199.0,201.45,198.43,201.16,201.16,2887811,tiingo
2025-07-25,PANW,201.33,205.27,200.64999,203.27,203.27,3459200,twelve_data
2025-07-28,PANW,203.77,204.9499,202.51,204.5,204.5,2134717,tiingo
2025-07-29,PANW,206.0,210.39,193.1,193.84,193.84,13615217,tiingo
2025-07-30,PANW,180.27,186.12,176.56,183.03,183.03,42277248,tiingo
2025-07-31,PANW,183.91,183.94,172.92999,173.60001,173.60001,29824700,twelve_data
2025-08-01,PANW,173.13,176.029999,168.36,172.88,172.88,16242900,twelve_data
2025-08-04,PANW,174.48,174.48,170.050003,171.0,171.0,11191600,twelve_data
2025-08-05,PANW,171.5,171.67999,168.17999,169.089996,169.089996,8645700,twelve_data
2025-08-06,PANW,169.25,173.63,168.39999,172.89,172.89,9890900,twelve_data
2025-08-07,PANW,173.5,173.5,165.21,168.1,168.1,14553490,tiingo
2025-08-08,PANW,168.89,170.46001,166.56,167.059998,167.059998,9842200,twelve_data
2025-08-11,PANW,167.2,170.8994,166.21,168.17,168.17,10219730,tiingo
2025-08-12,PANW,171.22,175.58,170.25,175.4,175.4,11539922,tiingo
2025-08-13,PANW,180.15,180.39,175.78,176.86,176.86,11947487,tiingo
2025-08-14,PANW,177.0,177.85,173.455,173.55,173.55,8784615,tiingo
2025-08-15,PANW,174.36,177.36,173.5,177.09,177.09,9548581,tiingo
2025-08-18,PANW,178.059998,178.19,174.69,176.17,176.17,17895500,twelve_data
2025-08-19,PANW,187.81,189.0,180.71001,181.56,181.56,27834500,twelve_data
2025-08-20,PANW,181.92999,187.64999,181.47,184.42999,184.42999,13637500,twelve_data
2025-08-21,PANW,184.12,184.35001,180.020004,183.32001,183.32001,8181300,twelve_data
2025-08-22,PANW,183.65,187.1099,182.935,185.88,185.88,6861721,tiingo
2025-08-25,PANW,185.18,186.07,181.91,184.55,184.55,5801233,tiingo
2025-08-26,PANW,184.22,186.6578,183.99,184.23,184.23,8319130,tiingo
2025-08-27,PANW,185.0,188.21,184.69,187.61,187.61,5990604,tiingo
2025-08-28,PANW,187.44,191.57,187.2,191.02,191.02,6031842,tiingo
2025-08-29,PANW,191.37,192.78999,190.029999,190.52,190.52,5195200,twelve_data
