date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,PYPL,63.7,63.9,61.69,62.27,61.7376362662,8997462,tiingo
2025-04-15,PYPL,62.36,62.79,61.645,62.0,61.4699445721,9140768,tiingo
2025-04-16,PYPL,61.375,61.46,59.72,60.24,59.7249913069,9833606,tiingo
2025-04-17,PYPL,60.35,61.47,60.1322,61.0,60.4784938532,9023742,tiingo
2025-04-21,PYPL,60.24,60.96,59.455,60.285,59.7696065892,7354085,tiingo
2025-04-22,PYPL,60.73,61.91,59.95,61.42,60.8949031552,9390144,tiingo
2025-04-23,PYPL,62.715,64.57,62.17,62.46,61.9260119028,9838865,tiingo
2025-04-24,PYPL,62.9,64.83,62.76,64.77,64.2162630635,10876971,tiingo
2025-04-25,PYPL,64.485,65.42,64.485,65.34,64.7813899733,8693362,tiingo
2025-04-28,PYPL,65.305,65.82,64.13,64.93,64.3748951785,14251515,tiingo
2025-04-29,PYPL,66.37,67.43,64.36,66.32,65.7530116778,19706804,tiingo
2025-04-30,PYPL,65.155,65.99,63.54,65.84,65.2771153327,10293798,tiingo
2025-05-01,PYPL,65.62,66.12,64.85,65.41,64.8507915236,10072972,tiingo
2025-05-02,PYPL,66.135,67.76,65.98,67.24,66.6651463392,10081506,tiingo
2025-05-05,PYPL,66.96,69.36,66.91,68.54,67.9540322738,12000307,tiingo
2025-05-06,PYPL,67.95,68.93,67.8,68.05,67.4682214215,7659394,tiingo
2025-05-07,PYPL,68.335,68.94,67.72,68.69,68.1027498816,8106537,tiingo
2025-05-08,PYPL,69.3,70.946,69.3,70.48,69.8774466685,11791492,tiingo
2025-05-09,PYPL,70.87,71.32,70.01,70.26,69.6593275103,7470489,tiingo
2025-05-12,PYPL,72.97,74.15,71.85,72.31,71.6918014841,12513047,tiingo
2025-05-13,PYPL,72.41,72.65,71.89,72.29,71.6719724697,8076183,tiingo
2025-05-14,PYPL,72.66,73.34,72.2403,72.68,72.05863825,7724048,tiingo
2025-05-15,PYPL,72.34,72.67,71.44,71.57,70.9581279521,8116475,tiingo
2025-05-16,PYPL,71.47,72.22,71.08,72.18,71.5629128906,8717851,tiingo
2025-05-19,PYPL,71.16,72.54,71.11,72.32,71.7017159912,7434931,tiingo
2025-05-20,PYPL,71.89,72.78,71.74,72.61,71.9892366997,8403163,tiingo
2025-05-21,PYPL,72.2,73.2042,71.505,71.65,71.0374440096,8094345,tiingo
2025-05-22,PYPL,71.475,71.985,71.2801,71.45,70.8391538658,6451026,tiingo
2025-05-23,PYPL,69.46,70.14,69.41,69.85,69.2528327155,7683598,tiingo
