date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,QCOM,142.75,143.11,136.83,139.19,135.4925790503,6930331,tiingo
2025-04-15,QCOM,139.46,140.835,138.03,138.6,134.9182517162,6346797,tiingo
2025-04-16,QCOM,133.68,137.31,131.79,135.74,132.1342242998,10417222,tiingo
2025-04-17,QCOM,137.38,138.15,135.71,136.66,133.0297855666,7135854,tiingo
2025-04-21,QCOM,134.73,136.55,133.36,136.14,132.5235987636,8128290,tiingo
2025-04-22,QCOM,136.745,139.1,136.49,138.74,135.0545327785,8227962,tiingo
2025-04-23,QCOM,142.58,143.88,139.78,140.46,136.728842973,9073488,tiingo
2025-04-24,QCOM,142.78,147.82,141.99,147.21,143.29953705,8810602,tiingo
2025-04-25,QCOM,146.08,149.2,146.08,148.56,144.6136758655,5145633,tiingo
2025-04-28,QCOM,148.18,149.3,145.4398,147.62,143.6986458755,5743480,tiingo
2025-04-29,QCOM,146.66,148.26,145.52,146.88,142.9783031174,6691951,tiingo
2025-04-30,QCOM,145.195,148.85,143.88,148.46,144.5163322495,10851867,tiingo
2025-05-01,QCOM,138.785,138.96,134.87,135.21,131.6183031352,22836553,tiingo
2025-05-02,QCOM,137.85,141.41,137.29,139.81,136.0961094692,13185574,tiingo
2025-05-05,QCOM,138.3,140.77,138.29,139.44,135.7359380902,7165260,tiingo
2025-05-06,QCOM,137.82,140.8,137.46,139.9,136.1837187236,6957862,tiingo
2025-05-07,QCOM,140.38,144.7,140.245,144.3,140.4668378257,10202537,tiingo
2025-05-08,QCOM,145.64,147.5,143.89,145.1,141.2455867534,8489076,tiingo
2025-05-09,QCOM,145.66,146.983,144.6,145.18,141.3234616461,6217069,tiingo
2025-05-12,QCOM,154.08,154.36,149.83,152.12,148.0791085935,11414646,tiingo
2025-05-13,QCOM,152.005,153.29,150.96,151.34,147.3198283891,10160946,tiingo
2025-05-14,QCOM,151.925,153.27,150.43,152.98,148.9162636908,6971196,tiingo
2025-05-15,QCOM,151.71,153.39,150.18,152.61,148.5560923117,6941187,tiingo
2025-05-16,QCOM,152.87,153.055,151.3,152.5,148.4490143342,6667966,tiingo
2025-05-19,QCOM,150.55,153.82,150.11,153.7,149.6171377256,7241083,tiingo
2025-05-20,QCOM,153.035,153.89,151.925,153.82,149.7339500648,5269482,tiingo
2025-05-21,QCOM,153.58,156.13,150.8308,151.31,147.2906253043,9684483,tiingo
2025-05-22,QCOM,151.39,151.58,147.22,147.37,143.4552868356,9539061,tiingo
2025-05-23,QCOM,143.42,146.485,141.77,145.38,141.518148878,8994607,tiingo
2025-05-27,QCOM,147.55,149.35,146.43,148.63,144.6818163966,9788753,tiingo
2025-05-28,QCOM,148.82,149.49,147.36,147.6,143.6791771523,7032262,tiingo
2025-05-29,QCOM,149.86,150.4999,147.24,148.34,144.3995199104,5984793,tiingo
2025-05-30,QCOM,148.0,148.02,143.48,145.2,141.3429303693,13755571,tiingo
2025-06-02,QCOM,144.8,147.205,144.48,146.63,142.7349440775,6419509,tiingo
2025-06-03,QCOM,146.71,149.78,145.515,148.94,144.9835816061,6164120,tiingo
