date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,QQQ,464.46,465.05,452.63,457.48,455.2939012796,43941179.0,tiingo
2025-04-15,QQQ,458.54,462.38,456.15,457.99,455.8014642105,35404210.0,tiingo
2025-04-16,QQQ,449.03,452.62,437.76,444.18,442.0574562175,48980552.0,tiingo
2025-04-17,QQQ,447.17,447.75,441.36,444.1,441.9778385028,44837047.0,tiingo
2025-04-21,QQQ,438.23,439.08,427.93,433.11,431.0403549515,44149313.0,tiingo
2025-04-22,QQQ,438.82,447.58,437.62,444.48,442.3560226474,52304388.0,tiingo
2025-04-23,QQQ,458.17,463.38,452.88,454.56,452.3878546945,55801136.0,tiingo
2025-04-24,QQQ,456.48,467.66,455.83,467.35,465.1167368257,45956136.0,tiingo
2025-04-25,QQQ,466.97,473.09,465.39,472.56,470.3018404929,38697063.0,tiingo
2025-04-28,QQQ,473.03,474.808,466.03,472.41,470.1525572779,33550778.0,tiingo
2025-04-29,QQQ,470.17,476.4243,469.59,475.53,473.2576481496,30613120.0,tiingo
2025-04-30,QQQ,467.13,477.2,462.43,475.47,473.1979348636,46810610.0,tiingo
2025-05-01,QQQ,483.41,487.18,480.74,481.68,479.378259964,43316539.0,tiingo
2025-05-02,QQQ,486.54,490.91,484.83,488.83,486.4940932117,39218082.0,tiingo
2025-05-05,QQQ,484.6,489.03,484.1,485.93,483.6079510553,28309490.0,tiingo
2025-05-06,QQQ,479.56,485.05,478.19,481.41,479.1095501771,32786310.0,tiingo
2025-05-07,QQQ,482.08,485.8,476.782,483.3,480.9905186859,38109864.0,tiingo
2025-05-08,QQQ,488.53,492.7,484.17,488.29,485.9566736378,39577592.0,tiingo
2025-05-09,QQQ,490.21,491.54,486.195,487.97,485.6382027791,27767416.0,tiingo
2025-05-12,QQQ,506.99,507.89,501.48,507.85,505.423204872,45090616.0,tiingo
2025-05-13,QQQ,509.16,517.39,508.42,515.59,513.1262187653,53269573.0,tiingo
