date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,ROST,138.82,142.47,137.66,141.51,140.0962160794,4388863,tiingo
2025-04-14,ROST,142.41,144.31,141.89,143.66,142.224736075,2995745,tiingo
2025-04-15,ROST,143.22,144.14,140.67,141.03,139.6210116153,2570240,tiingo
2025-04-16,ROST,141.75,142.265,137.725,138.68,137.2944897597,2512522,tiingo
2025-04-17,ROST,139.41,140.46,138.22,139.63,138.2349985949,2287583,tiingo
2025-04-21,ROST,139.14,139.14,133.695,135.49,134.1363600919,3161321,tiingo
2025-04-22,ROST,136.5,138.7299,136.21,137.89,136.5123824125,2523363,tiingo
2025-04-23,ROST,140.61,141.67,137.71,138.22,136.8390854816,2294456,tiingo
2025-04-24,ROST,137.09,140.335,135.7701,139.93,138.532001385,2484949,tiingo
2025-04-25,ROST,140.46,142.63,138.5903,139.71,138.3141993389,2289834,tiingo
2025-04-28,ROST,139.915,142.0,138.79,139.37,137.9775961769,2515773,tiingo
2025-04-29,ROST,138.79,141.18,138.75,140.78,139.3735092902,2165909,tiingo
2025-04-30,ROST,138.87,139.575,137.25,139.0,137.6112927358,4037324,tiingo
2025-05-01,ROST,138.39,139.95,138.39,138.93,137.5419920847,2342707,tiingo
2025-05-02,ROST,140.33,141.89,140.16,140.49,139.0864065931,2133455,tiingo
2025-05-05,ROST,140.04,142.24,139.61,141.47,140.0566157074,2263931,tiingo
2025-05-06,ROST,140.27,142.0,140.105,141.61,140.1952170094,1856378,tiingo
2025-05-07,ROST,141.215,143.905,140.455,143.03,141.6010302158,2723262,tiingo
2025-05-08,ROST,144.065,145.27,143.07,143.37,141.9376333779,2049636,tiingo
2025-05-09,ROST,143.37,143.9196,141.77,142.28,140.8585232406,1727919,tiingo
2025-05-12,ROST,147.26,149.31,145.92,149.26,147.7687881564,2663189,tiingo
2025-05-13,ROST,148.93,150.075,148.08,149.33,147.8380888074,1658358,tiingo
2025-05-14,ROST,148.88,151.03,148.45,150.66,149.1548011768,2491704,tiingo
2025-05-15,ROST,150.29,151.98,149.66,151.89,150.3725126161,2438262,tiingo
2025-05-16,ROST,152.045,153.11,150.88,152.92,151.3922221953,2065028,tiingo
2025-05-19,ROST,152.0,154.3495,151.6001,154.26,152.7188346577,1896566,tiingo
2025-05-20,ROST,153.435,155.58,153.305,154.24,152.6990344717,2166611,tiingo
2025-05-21,ROST,151.51,153.91,151.115,152.68,151.1546199633,2878472,tiingo
2025-05-22,ROST,153.38,153.38,151.99,152.25,150.7289159642,3996026,tiingo
2025-05-23,ROST,134.6,139.9,129.195,137.26,135.8886765533,18535046,tiingo
2025-05-27,ROST,138.070007,145.50999,138.070007,141.28999,141.28999,7636000,twelve_data
2025-05-28,ROST,140.83,142.55,139.5,139.7,139.7,3596800,twelve_data
2025-05-29,ROST,142.12,142.64999,138.75,138.92999,138.92999,3913700,twelve_data
2025-05-30,ROST,138.92999,140.71001,138.23,140.089996,140.089996,4225900,twelve_data
2025-06-02,ROST,139.87,142.44,138.06,142.42,140.9971245426,3073256,tiingo
2025-06-03,ROST,141.64,144.55,141.64,144.029999,144.029999,3161600,twelve_data
2025-06-04,ROST,143.97,144.42,142.02,142.51,141.0862253797,2260587,tiingo
2025-06-05,ROST,142.28,142.61,140.72,142.24001,142.24001,1620700,twelve_data
2025-06-06,ROST,143.2,144.085,141.42,143.8,142.363337377,1496449,tiingo
2025-06-09,ROST,143.60001,143.66,141.2,142.16,142.16,2782300,twelve_data
2025-06-10,ROST,141.24001,142.14,139.2,140.080002,140.080002,2159600,twelve_data
2025-06-11,ROST,140.14999,140.14999,135.28,136.39,136.39,4645100,twelve_data
2025-06-12,ROST,136.2,136.59,132.94,133.47,133.47,6157800,twelve_data
2025-06-13,ROST,132.8,134.56,131.31,131.85001,131.85001,2996900,twelve_data
2025-06-16,ROST,133.14999,133.2,130.98,131.14999,131.14999,3537400,twelve_data
2025-06-17,ROST,130.25999,131.050003,128.39999,129.050003,129.050003,3971400,twelve_data
2025-06-18,ROST,129.13,129.78999,127.96,128.050003,128.050003,3833200,twelve_data
2025-06-20,ROST,128.74001,129.35001,127.099998,127.67,127.67,7112800,twelve_data
2025-06-23,ROST,127.24,128.47,125.3,127.87,127.87,4898100,twelve_data
2025-06-24,ROST,128.38,129.1567,127.1,128.33,127.4152150102,4515775,tiingo
2025-06-25,ROST,128.52,128.72,126.96,127.28,127.28,2017600,twelve_data
2025-06-26,ROST,127.040001,127.25,124.49,126.62,126.62,4160000,twelve_data
2025-06-27,ROST,127.41,129.59,127.0,127.9,127.9,4422900,twelve_data
2025-06-30,ROST,128.23,128.66,126.79,127.58,127.58,2553500,twelve_data
2025-07-01,ROST,127.41,131.66,127.31,129.97,129.0435244672,2976509,tiingo
2025-07-02,ROST,135.39,135.855,130.3375,131.52,130.5824754784,3684238,tiingo
2025-07-03,ROST,131.35001,132.13,130.24001,131.55,131.55,2343800,twelve_data
2025-07-07,ROST,131.11,131.75,129.38,130.77,130.77,2504600,twelve_data
2025-07-08,ROST,130.5,131.895,130.29,131.56,130.6221903432,2737162,tiingo
2025-07-09,ROST,131.64,132.34,130.25,131.21001,131.21001,2211500,twelve_data
2025-07-10,ROST,131.0099945,132.99001,130.67999,130.86,130.86,3142900,twelve_data
2025-07-11,ROST,130.4,131.84,129.55,131.17,130.2349704114,2171549,tiingo
2025-07-14,ROST,130.88,131.24001,129.55,131.17,131.17,2485600,twelve_data
2025-07-15,ROST,131.17,131.34,127.55,127.59,127.59,2082400,twelve_data
2025-07-16,ROST,127.65,129.35001,126.32,129.10001,129.10001,3697800,twelve_data
2025-07-17,ROST,129.38,130.88,128.82001,130.48,130.48,2105400,twelve_data
2025-07-18,ROST,131.41,131.44,129.48,129.94,129.94,2714100,twelve_data
2025-07-21,ROST,130.53,134.56,130.49001,134.020004,134.020004,2749200,twelve_data
2025-07-22,ROST,134.020004,136.089996,133.14,135.75999,135.75999,2077000,twelve_data
2025-07-23,ROST,136.44,137.25999,135.75,137.17,137.17,2350100,twelve_data
2025-07-24,ROST,136.78,138.059998,134.89,136.44,136.44,2311600,twelve_data
2025-07-25,ROST,137.27,138.52,136.62,138.33,138.33,1644100,twelve_data
2025-07-28,ROST,138.78,140.99001,138.67999,140.82001,140.82001,2687600,twelve_data
2025-07-29,ROST,141.39,141.39,139.10001,139.56,139.56,2118800,twelve_data
2025-07-30,ROST,140.0,140.06,137.9,138.48,137.4928619545,2231752,tiingo
2025-07-31,ROST,137.23,138.7,136.34,136.53999,136.53999,2519300,twelve_data
2025-08-01,ROST,136.0,137.61,134.37,137.0099945,137.0099945,2220600,twelve_data
2025-08-04,ROST,137.58,142.5,137.58,141.97,141.97,2686100,twelve_data
2025-08-05,ROST,141.3,142.77,140.71,141.79,140.7792670171,2055954,tiingo
2025-08-06,ROST,142.28,146.8,141.91,146.55,146.55,2955200,twelve_data
2025-08-07,ROST,146.55,147.50999,144.41,145.14999,145.14999,2107100,twelve_data
2025-08-08,ROST,145.22,146.070007,144.080002,145.22,145.22,2295700,twelve_data
2025-08-11,ROST,146.029999,147.67999,144.78,146.49001,146.49001,2399300,twelve_data
2025-08-12,ROST,146.59,148.58,146.0,148.0,148.0,2346800,twelve_data
2025-08-13,ROST,147.94,150.585,147.57,150.28,149.2087470719,2795692,tiingo
