date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,SBUX,84.43,85.82,82.08,85.43,82.6174387183,10059728,tiingo
2025-04-14,SBUX,86.32,86.77,83.4,85.49,82.6754633739,8880494,tiingo
2025-04-15,SBUX,85.5,86.055,83.46,83.71,80.9540652594,7088577,tiingo
2025-04-16,SBUX,83.3,83.52,79.89,80.76,78.1011863618,13080847,tiingo
2025-04-17,SBUX,81.25,82.55,81.2,81.5,78.8168237802,9787506,tiingo
2025-04-21,SBUX,80.36,80.82,78.13,80.68,78.0238201544,10595620,tiingo
2025-04-22,SBUX,81.91,83.49,81.62,81.75,79.0585931783,10408576,tiingo
2025-04-23,SBUX,84.0,85.74,82.65,82.81,80.0836954262,9114434,tiingo
2025-04-24,SBUX,82.39,84.14,81.58,83.86,81.0991268983,6798096,tiingo
2025-04-25,SBUX,83.63,83.99,82.46,83.81,81.0507730186,5799429,tiingo
2025-04-28,SBUX,84.33,85.055,83.27,83.9,81.137810002,7091355,tiingo
2025-04-29,SBUX,83.64,85.07,83.2,84.85,82.0565337147,16356940,tiingo
2025-04-30,SBUX,76.37,80.28,75.5,80.05,77.4145612712,41297025,tiingo
2025-05-01,SBUX,80.71,82.705,80.27,82.01,79.3100333523,18326734,tiingo
2025-05-02,SBUX,82.59,84.83,82.05,84.69,81.9018012999,13512926,tiingo
2025-05-05,SBUX,83.995,84.078,81.59,81.66,78.971556195,13361872,tiingo
2025-05-06,SBUX,81.0,83.37,80.61,82.78,80.0546830985,10709518,tiingo
2025-05-07,SBUX,82.97,83.23,82.14,82.71,79.986987667,8227253,tiingo
2025-05-08,SBUX,83.34,83.6,81.69,82.19,79.484107319,8759817,tiingo
2025-05-09,SBUX,82.41,82.67,80.2,80.3,77.6563306693,8210711,tiingo
2025-05-12,SBUX,83.65,86.54,83.64,85.67,82.8495373405,17241549,tiingo
2025-05-13,SBUX,85.87,87.14,85.1,86.88,84.0197012273,11533703,tiingo
2025-05-14,SBUX,86.71,87.63,85.74,86.535,83.6860594579,12741545,tiingo
2025-05-15,SBUX,86.54,87.78,85.82,87.26,84.3871907124,13721889,tiingo
2025-05-16,SBUX,86.62,86.91,84.275,85.57,83.3427469126,13109490,tiingo
2025-05-19,SBUX,84.45,85.14,84.11,84.61,82.4077342091,9568067,tiingo
2025-05-20,SBUX,84.52,86.15,84.45,85.59,83.3622263439,9310599,tiingo
2025-05-21,SBUX,84.41,85.5082,82.51,82.98,80.8201605564,10875431,tiingo
2025-05-22,SBUX,83.215,84.48,82.72,83.97,81.7843924068,8440409,tiingo
2025-05-23,SBUX,82.58,84.825,82.57,84.4,82.2032001803,7088243,tiingo
2025-05-27,SBUX,85.43,87.09,85.22,87.01,84.7452659678,10922300,tiingo
2025-05-28,SBUX,87.43,87.595,84.54,86.0,83.761554686,12328514,tiingo
2025-05-29,SBUX,84.9,85.7007,83.699,84.05,81.8623101321,10312548,tiingo
