date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,SHOP,84.725,85.2099,78.0,83.71,83.71,18099213,tiingo
2025-04-14,SHOP,87.06,88.27,81.915,82.77,82.77,10460435,tiingo
2025-04-15,SHOP,82.71,84.68,81.93,83.91,83.91,6986379,tiingo
2025-04-16,SHOP,81.61,85.35,81.32,83.96,83.96,8811928,tiingo
2025-04-17,SHOP,84.0,85.08,81.8401,83.65,83.65,11592872,tiingo
2025-04-21,SHOP,82.27,83.14,80.35,81.64,81.64,8153036,tiingo
2025-04-22,SHOP,82.99,86.61,81.64,85.71,85.71,8663969,tiingo
2025-04-23,SHOP,91.53,95.45,89.92,90.96,90.96,14028990,tiingo
2025-04-24,SHOP,90.645,95.265,89.41,95.12,95.12,7847323,tiingo
2025-04-25,SHOP,95.79,98.64,95.3601,97.12,97.12,7824831,tiingo
2025-04-28,SHOP,96.85,99.07,96.5,98.57,98.57,5892885,tiingo
2025-04-29,SHOP,98.83,99.8174,97.84,98.92,98.92,6797168,tiingo
2025-04-30,SHOP,96.135,96.135,92.4,95.0,95.0,13233226,tiingo
2025-05-01,SHOP,98.215,98.89,95.55,97.01,97.01,8287955,tiingo
2025-05-02,SHOP,98.1,100.49,97.63,99.25,99.25,11140777,tiingo
2025-05-05,SHOP,95.4,99.46,95.242,98.38,98.38,7652412,tiingo
2025-05-06,SHOP,97.05,97.4,93.5801,93.83,93.83,13082116,tiingo
2025-05-07,SHOP,94.665,96.6,94.23,94.5,94.5,14790664,tiingo
2025-05-08,SHOP,89.685,95.82,88.14,94.0,94.0,36455375,tiingo
2025-05-09,SHOP,94.47,94.91,88.9,91.77,91.77,15360731,tiingo
2025-05-12,SHOP,104.0,106.35,99.01,104.34,104.34,30713689,tiingo
2025-05-13,SHOP,106.35,109.0,106.06,107.68,107.68,14517909,tiingo
2025-05-14,SHOP,108.41,111.88,108.25,111.45,111.45,16383983,tiingo
2025-05-15,SHOP,109.925,111.73,108.39,110.21,110.21,13577332,tiingo
2025-05-16,SHOP,111.56,112.38,109.7974,110.75,110.75,96081410,tiingo
2025-05-19,SHOP,108.81,109.92,106.82,109.1,109.1,9809745,tiingo
2025-05-20,SHOP,108.63,109.09,104.6127,106.43,106.43,8294533,tiingo
2025-05-21,SHOP,104.99,105.5799,101.55,102.32,102.32,9251257,tiingo
2025-05-22,SHOP,102.42,104.76,101.78,103.29,103.29,6216351,tiingo
2025-05-23,SHOP,100.81,102.96,100.31,101.51,101.51,5999459,tiingo
2025-05-27,SHOP,104.355,107.48,103.9,106.74,106.74,7556564,tiingo
2025-05-28,SHOP,106.53,108.14,105.5701,107.11,107.11,6823365,tiingo
2025-05-29,SHOP,109.695,110.68,107.15,107.7,107.7,6642102,tiingo
2025-05-30,SHOP,107.315,107.69,103.91,107.22,107.22,12183300,twelve_data
2025-06-02,SHOP,106.255,107.35,103.73,106.54,106.54,5341427,tiingo
2025-06-03,SHOP,104.8,106.56,104.29,105.11,105.11,7236201,tiingo
2025-06-04,SHOP,105.44,105.75,102.81,103.58,103.58,7465147,tiingo
2025-06-05,SHOP,104.0,106.56,103.1,105.03,105.03,11098124,tiingo
2025-06-06,SHOP,106.991,112.08,106.66,111.41,111.41,8736334,tiingo
2025-06-09,SHOP,110.42,111.0,107.76,107.8,107.8,7738770,tiingo
2025-06-10,SHOP,108.36,110.61,107.35,110.26,110.26,6548526,tiingo
2025-06-11,SHOP,111.625,117.3599,111.29,114.13,114.13,14078071,tiingo
2025-06-12,SHOP,113.25,113.57,108.87,109.21,109.21,8669282,tiingo
2025-06-13,SHOP,105.53,107.01,104.66,105.34,105.34,7979447,tiingo
2025-06-16,SHOP,107.96,109.48,107.010002,108.37,108.37,7266600,twelve_data
2025-06-17,SHOP,107.3,108.54,106.34,106.53,106.53,4910900,twelve_data
2025-06-18,SHOP,106.52,107.7002,105.3,105.97,105.97,5960442,tiingo
2025-06-20,SHOP,107.72,109.12,105.73,106.4,106.4,10354895,tiingo
2025-06-23,SHOP,106.195,110.06,103.9117,109.98,109.98,8834016,tiingo
2025-06-24,SHOP,112.23,115.16,111.85,114.42,114.42,8907543,tiingo
2025-06-25,SHOP,114.28,114.5,112.86,113.89,113.89,9134700,twelve_data
2025-06-26,SHOP,113.76,113.76,108.33,113.07,113.07,11368234,tiingo
2025-06-27,SHOP,113.089996,115.059998,111.91,113.65,113.65,6377900,twelve_data
2025-06-30,SHOP,115.089996,116.6,113.96,115.35,115.35,7107500,twelve_data
2025-07-01,SHOP,114.31,116.12,112.07,112.67,112.67,5537867,tiingo
2025-07-02,SHOP,111.8,117.175,111.78,114.77,114.77,6726100,twelve_data
2025-07-03,SHOP,114.98,117.46,114.97,116.52,116.52,3773600,twelve_data
2025-07-07,SHOP,115.95,117.07,114.89,116.66,116.66,5420494,tiingo
2025-07-08,SHOP,117.414,118.35,111.33,112.48,112.48,7718012,tiingo
2025-07-09,SHOP,113.17,114.93,112.59,114.32,114.32,6125808,tiingo
2025-07-10,SHOP,114.46,116.54,112.36,115.16,115.16,6837733,tiingo
2025-07-11,SHOP,114.03,116.31,111.39,112.11,112.11,5582784,tiingo
2025-07-14,SHOP,112.9,118.46,111.725,116.74,116.74,10225366,tiingo
2025-07-15,SHOP,116.99,118.65,114.65,115.050003,115.050003,5440500,twelve_data
2025-07-16,SHOP,114.29,120.18,112.59,120.0,120.0,12714100,twelve_data
2025-07-17,SHOP,120.040001,127.34,119.67,126.75,126.75,13380600,twelve_data
2025-07-18,SHOP,127.83,129.080002,125.89,127.07,127.07,8473600,twelve_data
2025-07-21,SHOP,126.835,129.28999,126.6,128.42999,128.42999,6419800,twelve_data
2025-07-22,SHOP,126.595,127.238,122.54,123.71,123.71,9045397,tiingo
