date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,SNPS,407.07,425.705,402.8301,421.21,421.21,1745748,tiingo
2025-04-14,SNPS,428.9,430.55,416.0,421.98,421.98,1119621,tiingo
2025-04-15,SNPS,423.09,430.32,422.2283,425.65,425.65,1016070,tiingo
2025-04-16,SNPS,416.19,423.56,408.62,415.65,415.65,1064375,tiingo
2025-04-17,SNPS,421.38,421.78,412.1,413.32,413.32,1002463,tiingo
2025-04-21,SNPS,406.26,407.29,396.03,402.36,402.36,901557,tiingo
2025-04-22,SNPS,407.69,417.16,402.855,413.4,413.4,946540,tiingo
2025-04-23,SNPS,432.34,441.38,420.17,422.23,422.23,1008147,tiingo
2025-04-24,SNPS,426.16,440.185,423.0,438.9,438.9,1093021,tiingo
2025-04-25,SNPS,435.64,447.31,433.31,446.62,446.62,1032145,tiingo
2025-04-28,SNPS,444.39,447.46,436.88,443.97,443.97,1117134,tiingo
2025-04-29,SNPS,445.83,462.43,444.24,460.77,460.77,1415418,tiingo
2025-04-30,SNPS,449.67,460.71,448.65,459.01,459.01,1339198,tiingo
2025-05-01,SNPS,462.47,467.73,457.7,459.36,459.36,1137680,tiingo
2025-05-02,SNPS,469.85,476.435,467.585,472.28,472.28,1294009,tiingo
2025-05-05,SNPS,469.17,482.87,465.59,477.41,477.41,1074753,tiingo
2025-05-06,SNPS,468.76,478.535,467.86,473.55,473.55,834409,tiingo
2025-05-07,SNPS,474.15,483.855,473.114,480.54,480.54,899671,tiingo
2025-05-08,SNPS,485.0,491.32,482.72,484.5,484.5,1011946,tiingo
2025-05-09,SNPS,487.11,487.835,479.035,482.9,482.9,571662,tiingo
2025-05-12,SNPS,503.66,506.66,497.05,505.59,505.59,1099988,tiingo
2025-05-13,SNPS,506.58,516.58,505.58,515.71,515.71,823434,tiingo
2025-05-14,SNPS,512.36,518.0826,512.36,517.66,517.66,881661,tiingo
2025-05-15,SNPS,516.63,521.1,512.19,514.48,514.48,826697,tiingo
2025-05-16,SNPS,514.48,516.67,509.74,514.43,514.43,948144,tiingo
2025-05-19,SNPS,507.5,518.47,504.14,516.01,516.01,848761,tiingo
2025-05-20,SNPS,512.5,515.73,508.0,515.61,515.61,740820,tiingo
2025-05-21,SNPS,507.22,514.02,501.275,501.46,501.46,866234,tiingo
2025-05-22,SNPS,500.74,506.5899,497.12,503.48,503.48,774906,tiingo
2025-05-23,SNPS,495.32,501.97,493.725,498.85,498.85,670213,tiingo
2025-05-27,SNPS,507.14001,515.080017,504.35999,511.79001,511.79001,1251900,twelve_data
2025-05-28,SNPS,511.019989,514.98999,445.0,462.42999,462.42999,4806200,twelve_data
2025-05-29,SNPS,473.0,487.98999,437.69,454.98999,454.98999,4314300,twelve_data
2025-05-30,SNPS,450.36,465.76,447.48,463.98,463.98,3356647,tiingo
2025-06-02,SNPS,459.92,466.46,452.49,466.15,466.15,1299357,tiingo
2025-06-03,SNPS,464.56,471.95999,461.12,466.26001,466.26001,1295200,twelve_data
2025-06-04,SNPS,467.32,474.215,463.6032,473.19,473.19,972566,tiingo
2025-06-05,SNPS,475.60001,490.67001,472.88,482.20001,482.20001,1676800,twelve_data
2025-06-06,SNPS,486.32,490.755,482.48,486.0,486.0,943237,tiingo
2025-06-09,SNPS,503.88,512.0,495.01001,495.76999,495.76999,1612100,twelve_data
2025-06-10,SNPS,495.76999,504.53,493.28,504.39999,504.39999,1085000,twelve_data
2025-06-11,SNPS,503.25,505.98001,498.23999,500.73001,500.73001,1104800,twelve_data
2025-06-12,SNPS,497.26,500.89,494.72,494.99,494.99,867947,tiingo
2025-06-13,SNPS,486.44,488.6525,477.53,478.86,478.86,1162636,tiingo
2025-06-16,SNPS,480.5,482.82999,473.75,479.41,479.41,1386400,twelve_data
2025-06-17,SNPS,477.81,484.53,473.82001,475.39999,475.39999,765500,twelve_data
2025-06-18,SNPS,473.33,478.49,468.76,473.62,473.62,1040704,tiingo
2025-06-20,SNPS,480.0,482.53,468.54,470.53,470.53,1511213,tiingo
2025-06-23,SNPS,468.89,474.2,460.89,470.98,470.98,897712,tiingo
2025-06-24,SNPS,474.3,481.0,472.56,478.98,478.98,866291,tiingo
2025-06-25,SNPS,478.98,487.68,474.0,487.27,487.27,868074,tiingo
2025-06-26,SNPS,489.01001,496.70999,486.059998,495.70001,495.70001,1019300,twelve_data
2025-06-27,SNPS,500.01001,521.69,500.01001,502.63,502.63,2153600,twelve_data
2025-06-30,SNPS,505.89,517.4,503.92,512.68,512.68,1343857,tiingo
2025-07-01,SNPS,509.215,522.85,506.08,521.78,521.78,1512846,tiingo
2025-07-02,SNPS,517.18,526.09,514.0,523.11,523.11,979181,tiingo
2025-07-03,SNPS,544.7,555.0,536.35,548.74,548.74,2020024,tiingo
2025-07-07,SNPS,544.11,545.08,534.34,536.52,536.52,1391033,tiingo
2025-07-08,SNPS,540.67,552.35,538.98,551.51,551.51,1314790,tiingo
2025-07-09,SNPS,552.38,554.425,544.06,550.95,550.95,840004,tiingo
2025-07-10,SNPS,552.49,569.44,545.825,566.19,566.19,1775454,tiingo
2025-07-11,SNPS,563.97,572.91,559.14,559.28,559.28,1358518,tiingo
2025-07-14,SNPS,575.0,579.0,542.48999,549.53003,549.53003,5084300,twelve_data
2025-07-15,SNPS,553.89,570.38,549.0,569.1,569.1,3178745,tiingo
2025-07-16,SNPS,569.25,574.97998,550.62,571.20001,571.20001,7936000,twelve_data
2025-07-17,SNPS,567.505,590.0,562.995,589.01,589.01,3621099,tiingo
2025-07-18,SNPS,588.205,600.895,578.87,584.76,584.76,3682373,tiingo
