date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-14,VRSK,293.12,296.5,291.38,295.1,292.82095764,837585,tiingo
2025-04-15,VRSK,295.38,297.61,294.46,295.05,292.7713437875,612756,tiingo
2025-04-16,VRSK,295.31,297.315,290.23,292.23,289.9731225047,954892,tiingo
2025-04-17,VRSK,292.72,295.738,290.5711,293.02,290.7570213747,502884,tiingo
2025-04-21,VRSK,291.64,294.6999,281.87,284.35,282.1539793458,841441,tiingo
2025-04-22,VRSK,285.84,293.4,284.755,292.7,290.4394927185,643412,tiingo
2025-04-23,VRSK,292.74,297.1,288.83,290.05,287.8099585343,885749,tiingo
2025-04-24,VRSK,289.08,290.28,284.6,288.24,286.0139370727,717771,tiingo
2025-04-25,VRSK,287.6,287.825,283.21,286.05,283.8408503318,1016027,tiingo
2025-04-28,VRSK,285.86,289.165,283.675,288.41,286.1826241713,777144,tiingo
2025-04-29,VRSK,287.32,293.11,286.165,292.37,290.1120412918,596788,tiingo
2025-04-30,VRSK,291.83,297.23,288.8901,296.43,294.1406861173,806202,tiingo
2025-05-01,VRSK,294.5,296.34,291.74,294.51,292.2355141801,809545,tiingo
2025-05-02,VRSK,297.96,298.69,291.56,293.9,291.6302251792,849642,tiingo
2025-05-05,VRSK,293.14,294.9993,290.99,294.75,292.4736606723,645190,tiingo
2025-05-06,VRSK,294.26,297.54,292.27,296.19,293.9025396252,880029,tiingo
2025-05-07,VRSK,302.58,312.62,300.75,309.9,307.5066579893,1510864,tiingo
2025-05-08,VRSK,312.0,312.82,307.39,307.85,305.4724900355,948224,tiingo
2025-05-09,VRSK,307.85,310.33,305.8308,309.5,307.109747169,707179,tiingo
2025-05-12,VRSK,309.82,310.67,301.04,303.65,301.3049264229,990485,tiingo
2025-05-13,VRSK,303.65,304.5284,301.18,301.57,299.2409901575,846808,tiingo
2025-05-14,VRSK,299.93,302.25,296.97,301.27,298.9433070424,835459,tiingo
2025-05-15,VRSK,302.17,307.71,302.06,307.36,304.9862742807,680941,tiingo
2025-05-16,VRSK,307.88,309.78,305.2101,309.57,307.1792065626,749842,tiingo
2025-05-19,VRSK,309.76,314.645,309.76,314.35,311.9222908646,740735,tiingo
2025-05-20,VRSK,312.38,314.02,310.785,313.1,310.6819445513,508319,tiingo
2025-05-21,VRSK,312.52,314.01,311.14,312.33,309.9178912223,566242,tiingo
2025-05-22,VRSK,311.69,315.11,309.9564,314.34,311.9123680941,699681,tiingo
2025-05-23,VRSK,312.84,314.59,311.59,313.77,311.3467701752,548022,tiingo
2025-05-27,VRSK,314.88,317.1,313.02,316.16,313.7183123262,687323,tiingo
2025-05-28,VRSK,316.16,317.8138,314.3,315.96,313.5198569161,613322,tiingo
2025-05-29,VRSK,315.79,316.49,312.45,314.32,311.892522553,774120,tiingo
2025-05-30,VRSK,315.56,316.37,313.68,314.14,311.7139126839,1204511,tiingo
2025-06-02,VRSK,312.69,317.05,310.8675,316.99,314.5419022782,592941,tiingo
2025-06-03,VRSK,314.55,318.23,312.84,317.51,315.0578863445,868763,tiingo
2025-06-04,VRSK,318.1,321.58,316.8,321.33,318.8483846779,1006769,tiingo
2025-06-05,VRSK,322.83,322.92,320.13,320.59,318.1140996605,725298,tiingo
2025-06-06,VRSK,320.87,321.83,317.81,319.6,317.1317453803,530802,tiingo
2025-06-09,VRSK,318.42,318.42,310.85,313.27,310.8506316499,642347,tiingo
2025-06-10,VRSK,312.16,313.41,309.081,312.28,309.8682773698,509589,tiingo
2025-06-11,VRSK,312.28,312.89,309.33,311.49,309.0843784998,567823,tiingo
2025-06-12,VRSK,312.18,314.04,309.95,313.91,311.4856889623,521604,tiingo
2025-06-13,VRSK,312.07,314.575,309.64,310.41,308.4592439579,544037,tiingo
2025-06-16,VRSK,310.58,311.73,308.53,309.47,307.5251513406,706960,tiingo
2025-06-17,VRSK,308.9,309.28,306.17,307.23,305.299228508,537549,tiingo
2025-06-18,VRSK,307.64,307.64,305.28,306.27,304.3452615798,688609,tiingo
2025-06-20,VRSK,308.68,308.68,303.42,306.02,304.0968326922,1898165,tiingo
2025-06-23,VRSK,307.57,309.65,306.02,308.41,306.4718128573,786538,tiingo
2025-06-24,VRSK,309.14,312.4246,305.99,309.93,307.9822604937,863530,tiingo
2025-06-25,VRSK,309.47,309.47,302.82,304.17,302.2584589242,823672,tiingo
2025-06-26,VRSK,304.99,306.07,303.23,305.13,303.2124258525,633199,tiingo
2025-06-27,VRSK,305.28,309.04,304.595,308.66,306.7202417449,2480351,tiingo
2025-06-30,VRSK,306.71,311.77,306.6,311.5,309.5423939077,1054215,tiingo
2025-07-01,VRSK,311.34,314.8,309.91,312.95,310.9832814555,870624,tiingo
2025-07-02,VRSK,310.2,310.2,301.04,301.21,299.3170608954,1204153,tiingo
2025-07-03,VRSK,300.835,305.75,299.275,304.06,302.1491502137,963566,tiingo
2025-07-07,VRSK,304.06,308.19,302.85,308.17,306.2333211253,985087,tiingo
2025-07-08,VRSK,306.53,307.91,301.85,302.54,300.6387025773,998573,tiingo
2025-07-09,VRSK,302.74,304.305,301.7,303.72,301.8112869266,823258,tiingo
2025-07-10,VRSK,302.27,304.245,301.3,302.9,300.9964401754,724709,tiingo
2025-07-11,VRSK,302.16,302.59,299.37,300.51,298.6214600102,950224,tiingo
2025-07-14,VRSK,300.91,306.446,300.91,305.62,303.6993464721,648321,tiingo
2025-07-15,VRSK,303.88,305.73,299.86,300.14,298.2537852566,845774,tiingo
2025-07-16,VRSK,300.21,301.69,297.645,301.48,299.585364094,707106,tiingo
2025-07-17,VRSK,302.13,303.3399,300.46,302.6,300.6983255103,526780,tiingo
2025-07-18,VRSK,304.29,304.29,300.46,301.9,300.0027246251,1530448,tiingo
