date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,VRTX,477.11,486.97,468.3,484.22,484.22,1574307,tiingo
2025-04-14,VRTX,487.01,498.6399,484.2,495.83,495.83,1362389,tiingo
2025-04-15,VRTX,499.0,501.91,493.12,500.49,500.49,1031054,tiingo
2025-04-16,VRTX,500.97,502.22,483.43,485.89,485.89,1391451,tiingo
2025-04-17,VRTX,492.23,492.23,485.08,489.1,489.1,1205470,tiingo
2025-04-21,VRTX,488.0,490.83,472.9,477.52,477.52,1176467,tiingo
2025-04-22,VRTX,483.83,491.8,480.5639,490.47,490.47,1131506,tiingo
2025-04-23,VRTX,488.27,498.41,484.965,492.42,492.42,1247306,tiingo
2025-04-24,VRTX,492.42,494.1,486.65,492.47,492.47,1369113,tiingo
2025-04-25,VRTX,492.54,494.92,484.5,493.84,493.84,1561559,tiingo
2025-04-28,VRTX,495.4,498.65,490.37,496.49,496.49,1503471,tiingo
2025-04-29,VRTX,494.26,506.96,490.85,503.5,503.5,1254969,tiingo
2025-04-30,VRTX,500.79,510.77,497.34,509.5,509.5,1445874,tiingo
2025-05-01,VRTX,507.0,507.75,498.205,498.86,498.86,1452279,tiingo
2025-05-02,VRTX,505.86,509.0,498.03,501.15,501.15,1653616,tiingo
2025-05-05,VRTX,501.45,505.61,498.02,500.19,500.19,1669638,tiingo
2025-05-06,VRTX,465.555,467.85,428.545,450.03,450.03,8000682,tiingo
2025-05-07,VRTX,447.52,449.0,432.29,434.82,434.82,3997462,tiingo
2025-05-08,VRTX,430.165,432.135,423.4,429.6,429.6,2940973,tiingo
2025-05-09,VRTX,430.22,434.93,424.8,424.99,424.99,1642317,tiingo
2025-05-12,VRTX,425.3,441.0999,423.2,439.37,439.37,2095350,tiingo
2025-05-13,VRTX,437.53,442.12,429.54,432.0,432.0,2645767,tiingo
2025-05-14,VRTX,432.0,433.41,416.6,421.16,421.16,2058665,tiingo
2025-05-15,VRTX,424.69,434.42,421.76,434.38,434.38,1935671,tiingo
2025-05-16,VRTX,435.3,438.95,429.94,438.65,438.65,1505319,tiingo
2025-05-19,VRTX,437.49,441.625,435.15,440.66,440.66,1182816,tiingo
2025-05-20,VRTX,442.0,448.0,440.81,447.18,447.18,1510647,tiingo
2025-05-21,VRTX,444.37,445.158,433.77,435.32,435.32,1427347,tiingo
2025-05-22,VRTX,435.76,437.0,429.55,434.03,434.03,1618291,tiingo
2025-05-23,VRTX,428.68,436.59,427.43,436.0,436.0,1427494,tiingo
2025-05-27,VRTX,437.335,447.47,437.335,446.0,446.0,2048372,tiingo
2025-05-28,VRTX,446.4,451.64,443.405,445.1,445.1,1209533,tiingo
2025-05-29,VRTX,444.99,449.22,442.755,447.09,447.09,882693,tiingo
2025-05-30,VRTX,447.64001,447.98999,439.37,442.049988,442.049988,2581700,twelve_data
2025-06-02,VRTX,441.27,447.98,439.54,445.43,445.43,1179283,tiingo
2025-06-03,VRTX,444.3,449.845,439.5425,446.48,446.48,1683406,tiingo
2025-06-04,VRTX,448.04,453.87,445.84,445.85,445.85,840219,tiingo
2025-06-05,VRTX,445.01,447.485,437.45,443.82,443.82,1400553,tiingo
2025-06-06,VRTX,443.83,451.66,443.83,450.5,450.5,960500,tiingo
2025-06-09,VRTX,450.78,451.515,444.84,446.15,446.15,912586,tiingo
2025-06-10,VRTX,442.45,455.64,441.92,451.52,451.52,1286958,tiingo
2025-06-11,VRTX,451.3,460.33,450.1292,452.44,452.44,1016621,tiingo
2025-06-12,VRTX,453.19,460.06,451.94,460.06,460.06,1074625,tiingo
2025-06-13,VRTX,455.39,460.1,454.0,455.45,455.45,1021563,tiingo
2025-06-16,VRTX,456.38,457.23001,448.70999,450.91,450.91,1029900,twelve_data
2025-06-17,VRTX,449.42999,452.70999,440.75,441.98999,441.98999,1363300,twelve_data
2025-06-18,VRTX,443.41,451.63,440.0,448.4,448.4,1380456,tiingo
2025-06-20,VRTX,451.26,451.81,436.805,440.87,440.87,2167405,tiingo
2025-06-23,VRTX,441.69,445.0,439.5701,443.54,443.54,950068,tiingo
2025-06-24,VRTX,445.0,451.88,441.0,450.27,450.27,1068028,tiingo
2025-06-25,VRTX,450.48001,451.079987,442.76001,445.82001,445.82001,1077100,twelve_data
2025-06-26,VRTX,445.82,446.18,441.13,443.4,443.4,1169253,tiingo
2025-06-27,VRTX,442.98999,446.62,440.5,441.29999,441.29999,3615500,twelve_data
2025-06-30,VRTX,440.45001,446.45001,439.23001,445.20001,445.20001,1114600,twelve_data
2025-07-01,VRTX,445.5,456.97,443.49,452.16,452.16,1146672,tiingo
2025-07-02,VRTX,449.81,457.75,448.0,457.029999,457.029999,978300,twelve_data
2025-07-03,VRTX,458.45001,461.049988,456.57999,459.62,459.62,764000,twelve_data
2025-07-07,VRTX,460.0,461.245,455.79,459.41,459.41,1589764,tiingo
2025-07-08,VRTX,457.73,470.3447,456.77,466.36,466.36,1103845,tiingo
2025-07-09,VRTX,468.09,479.34,466.7901,478.965,478.965,1044895,tiingo
2025-07-10,VRTX,477.675,484.5626,475.91,479.53,479.53,932755,tiingo
2025-07-11,VRTX,476.49,478.27,467.97,468.85,468.85,892841,tiingo
2025-07-14,VRTX,467.69,475.27,467.0,472.35,472.35,730162,tiingo
2025-07-15,VRTX,473.0,475.29001,463.39999,464.20001,464.20001,988000,twelve_data
2025-07-16,VRTX,465.10001,470.94,465.10001,469.54999,469.54999,785400,twelve_data
2025-07-17,VRTX,466.32001,472.22,461.87,463.26999,463.26999,1251800,twelve_data
2025-07-18,VRTX,467.0,467.0,458.14001,459.81,459.81,975100,twelve_data
2025-07-21,VRTX,459.81,462.31,456.82999,458.48999,458.48999,801100,twelve_data
2025-07-22,VRTX,461.03,470.8,458.88,470.13,470.13,1005498,tiingo
2025-07-23,VRTX,472.54,478.74,471.305,476.95,476.95,909314,tiingo
2025-07-24,VRTX,477.14,480.0,472.03,472.27,472.27,907940,tiingo
2025-07-25,VRTX,472.66,472.70999,465.84,469.64999,469.64999,1176900,twelve_data
2025-07-28,VRTX,467.44,471.0,460.73,460.83,460.83,2107378,tiingo
2025-07-29,VRTX,464.32999,468.98001,460.54999,468.41,468.41,1151400,twelve_data
2025-07-30,VRTX,471.20001,474.76001,466.79999,469.16,469.16,993300,twelve_data
2025-07-31,VRTX,465.29001,470.59,455.45001,456.87,456.87,1480000,twelve_data
2025-08-01,VRTX,457.39001,464.23001,453.51001,462.13,462.13,1857300,twelve_data
2025-08-04,VRTX,466.51001,473.37,462.059998,472.26999,472.26999,2326800,twelve_data
2025-08-05,VRTX,408.22,414.88,373.19,374.98001,374.98001,10729400,twelve_data
2025-08-06,VRTX,375.76001,390.56,372.35001,385.64999,385.64999,4726600,twelve_data
2025-08-07,VRTX,385.0,388.3199,374.4544,375.63,375.63,3995538,tiingo
2025-08-08,VRTX,377.03,381.0,364.66,366.54,366.54,3680284,tiingo
2025-08-11,VRTX,362.97,380.20001,362.5,374.45999,374.45999,2792600,twelve_data
2025-08-12,VRTX,377.60999,388.25,375.0,387.76999,387.76999,2044300,twelve_data
2025-08-13,VRTX,391.46,396.72,386.7875,395.92,395.92,1913811,tiingo
2025-08-14,VRTX,393.67999,395.59,388.70999,390.29999,390.29999,1703600,twelve_data
2025-08-15,VRTX,391.49,395.76,388.71,392.79,392.79,1408940,tiingo
2025-08-18,VRTX,392.79999,395.60999,389.20999,389.88,389.88,1382500,twelve_data
2025-08-19,VRTX,389.66,395.84,388.925,390.76,390.76,1700021,tiingo
2025-08-20,VRTX,392.42,400.94,391.945,394.36,394.36,1669746,tiingo
2025-08-21,VRTX,394.78,399.0,393.865,397.46,397.46,1852098,tiingo
2025-08-22,VRTX,400.0,403.58,394.32,395.12,395.12,1404020,tiingo
2025-08-25,VRTX,395.51999,396.13,387.60001,388.94,388.94,1175100,twelve_data
2025-08-26,VRTX,387.0,390.54,383.64,387.18,387.18,1907306,tiingo
2025-08-27,VRTX,386.69,390.37,385.99,389.08,389.08,1911387,tiingo
2025-08-28,VRTX,389.24,392.45,388.0,392.05,392.05,1526147,tiingo
2025-08-29,VRTX,392.13,394.53,389.385,391.02,391.02,1310033,tiingo
2025-09-02,VRTX,391.019989,401.56,390.51001,401.0,401.0,1859400,twelve_data
2025-09-03,VRTX,400.09,402.39,393.0501,396.62,396.62,1237175,tiingo
2025-09-04,VRTX,397.54001,400.35999,394.75,396.92999,396.92999,1053000,twelve_data
2025-09-05,VRTX,397.87,402.74,393.43,396.12,396.12,1171303,tiingo
2025-09-08,VRTX,395.28,396.0,390.98001,395.25,395.25,1365500,twelve_data
2025-09-09,VRTX,395.01,397.31,391.715,396.48,396.48,946768,tiingo
2025-09-10,VRTX,396.17,396.86,387.19,388.55,388.55,1512767,tiingo
2025-09-11,VRTX,388.55,398.5,388.55,397.37,397.37,1330247,tiingo
2025-09-12,VRTX,394.67999,396.82999,393.17001,394.53,394.53,978300,twelve_data
2025-09-15,VRTX,393.0,398.29001,391.92999,393.20999,393.20999,1404800,twelve_data
2025-09-16,VRTX,392.59,395.45,386.32,391.36,391.36,1698401,tiingo
2025-09-17,VRTX,392.94,396.31,386.44,387.15,387.15,2041392,tiingo
2025-09-18,VRTX,389.69,390.66,384.87,387.10999,387.10999,1979600,twelve_data
2025-09-19,VRTX,388.60001,389.45999,382.60001,383.12,383.12,3394000,twelve_data
2025-09-22,VRTX,384.07,386.08,381.61,383.13,383.13,1484912,tiingo
2025-09-23,VRTX,381.59,383.5,376.0,379.72,379.72,1568900,twelve_data
2025-09-24,VRTX,377.56,380.73001,374.17001,376.62,376.62,1530600,twelve_data
2025-09-25,VRTX,383.20001,387.48001,377.019989,381.87,381.87,2635400,twelve_data
2025-09-26,VRTX,381.91,387.48,379.72,385.735,385.735,1838743,tiingo
2025-09-29,VRTX,386.88,399.1,384.394,395.31,395.31,2082433,tiingo
2025-09-30,VRTX,394.94,397.65,385.855,391.64,391.64,2260508,tiingo
2025-10-01,VRTX,393.62,407.5,392.495,404.21,404.21,1995641,tiingo
2025-10-02,VRTX,404.21,410.995,402.815,408.85,408.85,1642232,tiingo
2025-10-03,VRTX,411.72,411.91,403.040009,403.29999,403.29999,1315800,twelve_data
2025-10-06,VRTX,404.66,405.45001,400.73999,402.89999,402.89999,1191100,twelve_data
2025-10-07,VRTX,402.84,413.29001,400.85999,410.28,410.28,1589400,twelve_data
2025-10-08,VRTX,410.92999,422.73001,410.019989,421.14999,421.14999,1930200,twelve_data
2025-10-09,VRTX,419.31,421.01,414.28,414.86,414.86,880586,tiingo
2025-10-10,VRTX,413.32999,414.22,406.10001,407.79001,407.79001,1148600,twelve_data
2025-10-13,VRTX,404.21,409.4699,402.58,407.37,407.37,880933,tiingo
2025-10-14,VRTX,406.079987,415.54999,405.45999,412.22,412.22,1048300,twelve_data
2025-10-15,VRTX,412.17001,413.57001,407.049988,407.89999,407.89999,1273200,twelve_data
