date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,WBD,8.12,8.14,7.61,7.97,7.97,36414775,tiingo
2025-04-14,WBD,8.1,8.33,7.985,8.02,8.02,38009057,tiingo
2025-04-15,WBD,8.02,8.32,7.98,8.25,8.25,38578298,tiingo
2025-04-16,WBD,8.275,8.34,7.77,7.92,7.92,49152262,tiingo
2025-04-17,WBD,8.01,8.19,7.95,8.11,8.11,31300748,tiingo
2025-04-21,WBD,8.06,8.11,7.75,7.94,7.94,27148760,tiingo
2025-04-22,WBD,8.055,8.125,7.915,7.95,7.95,42184512,tiingo
2025-04-23,WBD,8.32,8.78,8.285,8.33,8.33,57586506,tiingo
2025-04-24,WBD,8.32,8.64,8.2629,8.5,8.5,30082693,tiingo
2025-04-25,WBD,8.5,8.655,8.43,8.59,8.59,24513698,tiingo
2025-04-28,WBD,8.59,8.88,8.53,8.7,8.7,37596749,tiingo
2025-04-29,WBD,8.645,8.835,8.595,8.77,8.77,25474116,tiingo
2025-04-30,WBD,8.64,8.7,8.2809,8.67,8.67,40878728,tiingo
2025-05-01,WBD,8.685,8.699,8.31,8.43,8.43,45438492,tiingo
2025-05-02,WBD,8.52,8.67,8.43,8.54,8.54,31725510,tiingo
2025-05-05,WBD,8.175,8.53,8.075,8.37,8.37,42739687,tiingo
2025-05-06,WBD,8.182,8.46,8.13,8.43,8.43,38438715,tiingo
2025-05-07,WBD,8.5,8.65,8.4349,8.56,8.56,52292332,tiingo
2025-05-08,WBD,8.16,9.3,8.06,9.01,9.01,69402576,tiingo
2025-05-09,WBD,9.01,9.29,8.91,9.07,9.07,30000498,tiingo
2025-05-12,WBD,9.55,9.785,9.2,9.23,9.23,47028760,tiingo
2025-05-13,WBD,9.28,9.345,9.14,9.18,9.18,35665551,tiingo
2025-05-14,WBD,9.12,9.21,9.02,9.21,9.21,32979575,tiingo
2025-05-15,WBD,9.11,9.25,9.05,9.14,9.14,24005528,tiingo
2025-05-16,WBD,9.135,9.19,8.82,9.16,9.16,33118826,tiingo
2025-05-19,WBD,9.03,9.07,8.84,9.05,9.05,33356262,tiingo
2025-05-20,WBD,9.05,9.34,8.98,9.23,9.23,38319714,tiingo
2025-05-21,WBD,9.1,9.18,8.88,8.95,8.95,46832001,tiingo
2025-05-22,WBD,8.945,9.06,8.83,9.02,9.02,28787815,tiingo
2025-05-23,WBD,8.85,9.05,8.84,9.0,9.0,21961589,tiingo
2025-05-27,WBD,9.22,9.64,9.15,9.55,9.55,31726400,twelve_data
2025-05-28,WBD,9.54,10.13,9.48,10.02,10.02,59164100,twelve_data
2025-05-29,WBD,10.18,10.19,9.75,10.04,10.04,44033800,twelve_data
2025-05-30,WBD,10.02,10.02,9.66,9.97,9.97,52970700,twelve_data
2025-06-02,WBD,9.925,10.015,9.75,10.0,10.0,46464718,tiingo
2025-06-03,WBD,9.97,10.1,9.74,9.94,9.94,31616200,twelve_data
2025-06-04,WBD,9.95,10.0099,9.69,9.79,9.79,34162242,tiingo
2025-06-05,WBD,9.79,10.06,9.62,9.65,9.65,44345100,twelve_data
2025-06-06,WBD,9.81,10.03,9.7701,9.82,9.82,30034495,tiingo
2025-06-09,WBD,10.62,11.1,9.38,9.53,9.53,155057800,twelve_data
2025-06-10,WBD,9.55,10.12,9.11,10.01,10.01,71415700,twelve_data
2025-06-11,WBD,10.16,10.55,10.12,10.51,10.51,52112100,twelve_data
2025-06-12,WBD,10.51,10.89,10.13,10.16,10.16,58726200,twelve_data
2025-06-13,WBD,10.09,10.28,9.98,10.03,10.03,39383800,twelve_data
2025-06-16,WBD,10.14,10.8,10.04,10.76,10.76,46714400,twelve_data
2025-06-17,WBD,10.75,10.82,10.33,10.58,10.58,46816600,twelve_data
2025-06-18,WBD,10.58,10.75,10.42,10.57,10.57,45179700,twelve_data
2025-06-20,WBD,10.73,11.06,10.39,10.52,10.52,106521700,twelve_data
