date,symbol,open,high,low,close,adjusted_close,volume,source
2025-04-11,WDC,34.36,35.07,33.42,34.4,34.2558719602,8654125,tiingo
2025-04-14,WDC,36.46,36.62,35.28,35.82,35.6699224888,9947418,tiingo
2025-04-15,WDC,35.81,36.33,35.48,35.93,35.7794616143,6199499,tiingo
2025-04-16,WDC,35.79,36.25,35.0,35.62,35.4707604425,7265439,tiingo
2025-04-17,WDC,36.18,36.7,35.51,36.51,36.3570315485,7393624,tiingo
2025-04-21,WDC,36.09,36.2772,35.51,35.96,35.8093359212,6676630,tiingo
2025-04-22,WDC,36.36,37.0,35.98,36.68,36.5263192878,5086929,tiingo
2025-04-23,WDC,38.33,39.095,37.47,37.7,37.5420457238,5526143,tiingo
2025-04-24,WDC,38.23,40.36,38.19,40.17,40.0016969954,5943864,tiingo
2025-04-25,WDC,40.2,41.07,39.9,40.78,40.6091412366,4158669,tiingo
2025-04-28,WDC,40.59,41.125,40.18,40.91,40.7385965666,5916486,tiingo
2025-04-29,WDC,40.71,41.25,40.585,40.62,40.4498115995,6871713,tiingo
2025-04-30,WDC,42.98,44.07,41.83,43.86,43.6762367493,15906049,tiingo
2025-05-01,WDC,44.7,45.15,43.86,43.95,43.7658596701,9378325,tiingo
2025-05-02,WDC,44.99,45.38,44.48,44.69,44.5027592413,8263610,tiingo
2025-05-05,WDC,43.95,45.61,43.95,45.03,44.84133472,7521973,tiingo
2025-05-06,WDC,44.58,44.91,44.11,44.29,44.1044351488,4952585,tiingo
2025-05-07,WDC,44.41,44.66,43.6,44.3,44.1143932511,7564655,tiingo
2025-05-08,WDC,44.95,45.1299,44.17,44.3,44.1143932511,5320670,tiingo
2025-05-09,WDC,44.6598,45.23,43.88,44.1,43.9152312048,4960149,tiingo
2025-05-12,WDC,46.88,47.49,46.395,46.57,46.3748824764,6957449,tiingo
2025-05-13,WDC,47.05,49.87,46.6801,49.01,48.804659441,8113728,tiingo
2025-05-14,WDC,48.83,49.84,48.575,49.2,48.993863385,8649645,tiingo
2025-05-15,WDC,49.17,49.765,48.81,49.75,49.5415590122,8249387,tiingo
2025-05-16,WDC,50.0,50.265,49.54,49.99,49.7805534678,4955613,tiingo
2025-05-19,WDC,49.06,50.8,49.02,50.72,50.5074949367,5283150,tiingo
2025-05-20,WDC,50.72,51.59,50.35,50.63,50.4178720159,4930421,tiingo
2025-05-21,WDC,50.125,51.255,49.325,49.49,49.2826483521,7278957,tiingo
2025-05-22,WDC,49.56,51.09,49.28,49.84,49.6311819331,5802959,tiingo
