symbol,price,change,changes_percentage,volume,datetime,provider,fetched_at
AAPL,295.63,4.050018,1.38899,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
AMAT,552.64001,55.63,11.19293,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
AMD,488.45001,36.050018,7.96862,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
AMZN,241.50999,3.50999,1.47479,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
AVGO,385.57001,13.47,3.61999,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
COST,975.69,-7.67999,-0.78098709,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
CSCO,121.83,3.029999,2.5505,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
GOOG,356.56,3.23999,0.91701295,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
GOOGL,357.76999,1.38998,0.39002865,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
INTC,116.96,9.92,9.26756,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
KLAC,2411.63989,2198.075897,1029.23524,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
LRCX,362.51999,40.72,12.65382,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
META,568.42999,-2.54999,-0.44659846,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
MSFT,390.34,-7.019989,-1.76666,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
MU,995.87,103.98999,11.65964,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
NFLX,81.27,-0.73000336,-0.890248,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
NVDA,204.87,4.45,2.22034,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
PLTR,131.080002,0.86999512,0.66814766,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
TSLA,399.14999,17.56,4.6018,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
WMT,120.5,-0.089996338,-0.07463002,,2026-06-11,twelve_data,2026-06-12T10:32:52+00:00
