dataset,provider,ok,rows,symbol_coverage_ratio,weight_coverage_ratio,missing_symbols,missing_top_weight_symbols,rate_limited,stopped_after_429,remaining_symbols_skipped,cache_rows_used,live_rows_fetched,fallback_provider,message
price_daily,alpha_vantage,True,100,1.0,1.0,,,False,False,0,0,0,,QQQ: 100 rows
macro_daily,fred,True,365,1.0,1.0,,,False,False,0,0,0,,DGS10: 365 rows
macro_daily,fred,True,365,1.0,1.0,,,False,False,0,0,0,,DGS2: 365 rows
macro_daily,fred,True,365,1.0,1.0,,,False,False,0,0,0,,DGS3MO: 365 rows
macro_daily,fred,True,365,1.0,1.0,,,False,False,0,0,0,,DFF: 365 rows
macro_daily,fred,True,365,1.0,1.0,,,False,False,0,0,0,,CPIAUCSL: 365 rows
macro_daily,fred,True,365,1.0,1.0,,,False,False,0,0,0,,PCEPI: 365 rows
macro_daily,fred,True,365,1.0,1.0,,,False,False,0,0,0,,UNRATE: 365 rows
qqq_holdings,invesco,True,104,1.0,1.0,,,False,False,0,0,0,,QQQ: holdings rows=104 effective_date=2026-06-04
qqq_equity_holdings,invesco_filter,True,98,0.9423076923076923,0.9876091402011571,"ARM,ASML,NQM6,NQM6_,PDD,USD",,False,False,0,0,0,,equity filter applied for breadth stock pool
fmp_summary,fmp,False,98,0.0,0.0,"NVDA,AAPL,MSFT,MU,AMZN,AMD,GOOGL,TSLA,GOOG,AVGO,META,WMT,INTC,CSCO,COST,LRCX,AMAT,NFLX,PLTR,KLAC,TXN,MRVL,QCOM,SNDK,LIN,PANW,ADI,STX,TMUS,WDC,PEP,AMGN,CRWD,APP,GILD,ISRG,SHOP,HON,BKNG,CDNS,VRTX,FTNT,SBUX,ADBE,MAR,CEG,SNPS,ADP,MNST,CSX,CMCSA,INTU,MELI,NXPI,MPWR,DDOG,MDLZ,ROST,ORLY,CTAS,AEP,LITE,WBD,DASH,BKR,REGN,PCAR,FANG,ABNB,FAST,MCHP,ODFL,EA,ADSK,XEL,FER,EXC,IDXX,CCEP,AXON,KDP,MSTR,ALNY,TTWO,PYPL,TRI,PAYX,ROP,WDAY,CPRT,GEHC,DXCM,KHC,CTSH,VRSK,INSM,ZS,CHTR",,True,True,0,0,0,,0/98 quotes fetched
breadth_metrics,fmp+tiingo_cache,True,8,0.5102040816326531,0.29478480780539196,"AAPL,ADI,ALNY,AMAT,AMD,AMZN,AVGO,AXON,CCEP,CHTR,COST,CPRT,CSCO,CTSH,DXCM,GEHC,GOOG,GOOGL,IDXX,INSM,INTC,KDP,KHC,KLAC,LIN,LRCX,META,MRVL,MSFT,MSTR,MU,NFLX,PANW,PAYX,PLTR,PYPL,QCOM,ROP,SNDK,STX,TRI,TSLA,TTWO,TXN,VRSK,WDAY,WMT,ZS","AAPL,MSFT,MU,AMZN,AMD,GOOGL,TSLA,GOOG,AVGO,META",False,False,0,14400,0,tiingo_history_only,50/98 symbols with history+quote coverage; coverage insufficient for top-weight symbols
