symbol,company_name,weight,price,change,changes_percentage,market_cap,pe,eps,provider,quote_time,is_missing
NVDA,NVIDIA Corp,0.08433591,,,,,,,,,True
AAPL,Apple Inc,0.07244039,,,,,,,,,True
MSFT,Microsoft Corp,0.05049571,,,,,,,,,True
MU,Micron Technology Inc,0.04905769,,,,,,,,,True
AMZN,Amazon.com Inc,0.04319211,,,,,,,,,True
AMD,Advanced Micro Devices Inc,0.03732949,,,,,,,,,True
GOOGL,Alphabet Inc Class A,0.034348369999999996,,,,,,,,,True
TSLA,Tesla Inc,0.03310853,,,,,,,,,True
GOOG,Alphabet Inc Class C,0.03183849,,,,,,,,,True
AVGO,Broadcom Inc,0.0314861,,,,,,,,,True
META,Meta Platforms Inc,0.02934593,,,,,,,,,True
WMT,Walmart Inc,0.02518224,,,,,,,,,True
INTC,Intel Corp,0.0244368,,,,,,,,,True
CSCO,Cisco Systems Inc,0.022473809999999997,,,,,,,,,True
COST,Costco Wholesale Corp,0.01889016,,,,,,,,,True
LRCX,Lam Research Corp,0.01837787,,,,,,,,,True
AMAT,Applied Materials Inc,0.01743618,,,,,,,,,True
NFLX,Netflix Inc,0.01506454,,,,,,,,,True
PLTR,Palantir Technologies Inc,0.01420458,,,,,,,,,True
KLAC,KLA Corp,0.01221992,,,,,,,,,True
