run_date,target_date,symbol,company_name,weight,latest_date,previous_date,latest_close,previous_close,daily_return,direction,is_complete,is_fresh,is_qualified,is_target_date,included_in_recent_breadth,included_in_strict_breadth,source
2026-06-13,2026-06-12,NVDA,NVIDIA Corp,0.08158725,2026-06-12,2026-06-11,205.19,204.87,0.0015619661248595929,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,AAPL,Apple Inc,0.07104144,2026-06-12,2026-06-11,291.13,295.63,-0.015221729865034006,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,MU,Micron Technology Inc,0.05064242,2026-06-12,2026-06-11,981.61,995.87,-0.01431913804010565,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,MSFT,Microsoft Corp,0.047440420000000004,2026-06-12,2026-06-11,390.74,390.34,0.0010247476558897795,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,AMZN,Amazon.com Inc,0.04243544,2026-06-12,2026-06-11,238.55,241.51,-0.012256221274481338,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,AMD,Advanced Micro Devices Inc,0.03598059,2026-06-12,2026-06-11,511.57,488.45,0.0473334015764153,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,GOOGL,Alphabet Inc Class A,0.03410962,2026-06-12,2026-06-11,359.68,357.77,0.005338625373843664,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,TSLA,Tesla Inc,0.03260589,2026-06-12,2026-06-11,406.43,399.15,0.018238757359388735,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,GOOG,Alphabet Inc Class C,0.03175952,2026-06-12,2026-06-11,358.16,356.56,0.0044873233116446976,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,AVGO,Broadcom Inc,0.02992026,2026-06-12,2026-06-11,382.07,385.57,-0.009077469720154552,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,META,Meta Platforms Inc,0.02744266,2026-06-12,2026-06-11,566.98,568.43,-0.002550885773094147,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,WMT,Walmart Inc,0.02660854,2026-06-12,2026-06-11,121.04,120.5,0.004481327800829993,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,INTC,Intel Corp,0.02639863,2026-06-12,2026-06-11,124.57,116.96,0.0650649794801641,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,CSCO,Cisco Systems Inc,0.0217446,2026-06-12,2026-06-11,121.1,121.83,-0.005991956004268273,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,LRCX,Lam Research Corp,0.02044665,2026-06-12,2026-06-11,366.81,362.52,0.011833829857663014,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,AMAT,Applied Materials Inc,0.01980873,2026-06-12,2026-06-11,567.25,552.64,0.026436740011580806,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,COST,Costco Wholesale Corp,0.01956992,2026-06-12,2026-06-11,982.35,975.69,0.0068259385665527805,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,NFLX,Netflix Inc,0.01549789,2026-06-12,2026-06-11,80.34,81.27,-0.011443337024732325,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,KLAC,KLA Corp,0.01427723,2026-06-12,2026-06-11,254.54,2411.64,-0.89445356686736,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,PLTR,Palantir Technologies Inc,0.01356621,2026-06-12,2026-06-11,127.99,131.08,-0.023573390296002583,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,SNDK,Sandisk Corp,0.01254304,2026-06-12,2026-06-11,1980.1,1881.51,0.052399402607480106,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,TXN,Texas Instruments Inc,0.012178169999999999,2026-06-12,2026-06-11,301.12,297.1,0.013530797711208242,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,MRVL,Marvell Technology Inc,0.01104528,2026-06-12,2026-06-11,279.7,280.71,-0.0035980193081828205,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,LIN,Linde PLC,0.010821579999999999,2026-06-12,2026-06-11,523.57,515.44,0.015772931864038497,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,PANW,Palo Alto Networks Inc,0.010302100000000002,2026-06-12,2026-06-11,279.62,279.53,0.0003219690194256053,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,QCOM,QUALCOMM Inc,0.0098256,2026-06-12,2026-06-11,211.72,202.96,0.04316121403232165,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,TMUS,T-Mobile US Inc,0.00924756,2026-06-12,2026-06-11,189.1,185.82,0.017651490689915006,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,ADI,Analog Devices Inc,0.00911179,2026-06-12,2026-06-11,417.79,412.13,0.013733530682066508,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,PEP,PepsiCo Inc,0.00896408,2026-06-12,2026-06-11,144.27,143.73,0.0037570444583596707,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,AMGN,Amgen Inc,0.0086204,2026-06-12,2026-06-11,355.2,354.06,0.0032197932553803543,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,STX,Seagate Technology Holdings PLC,0.00855015,2026-06-12,2026-06-11,931.04,868.09,0.07251552258406369,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,WDC,Western Digital Corp,0.00810725,2026-06-12,2026-06-11,562.925,529.29,0.06354739367832374,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,CRWD,Crowdstrike Holdings Inc,0.00787388,2026-06-12,2026-06-11,682.8,691.53,-0.012624181163507053,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,GILD,Gilead Sciences Inc,0.00705746,2026-06-12,2026-06-11,125.59,125.87,-0.002224517359180167,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,APP,AppLovin Corp,0.00663728,2026-06-12,2026-06-11,496.77,478.57,0.03802996426854999,up,True,True,True,True,True,True,tiingo
