symbol,company_name,weight,price,change,changes_percentage,market_cap,pe,eps,provider,quote_time,is_missing,error_type,attempted_symbol,was_api_success,was_parse_success,was_merge_success
NVDA,NVIDIA Corp,0.08120092,212.45,7.25999,3.53818,,,,twelve_data,1781530200,False,,NVDA,True,True,True
AAPL,Apple Inc,0.06952088,296.42001,5.29001,1.81706,,,,twelve_data,1781530200,False,,AAPL,True,True,True
MU,Micron Technology Inc,0.049603890000000005,1087.98999,106.38,10.8373,,,,twelve_data,1781530200,False,,MU,True,True,True
MSFT,Microsoft Corp,0.047190899999999994,399.76001,9.02002,2.30845,,,,twelve_data,1781530200,False,,MSFT,True,True,True
AMZN,Amazon.com Inc,0.04165224,246.020004,7.47,3.13142,,,,twelve_data,1781530200,False,,AMZN,True,True,True
AMD,Advanced Micro Devices Inc,0.03744712,547.26001,35.69,6.97656,,,,twelve_data,1781530200,False,,AMD,True,True,True
GOOGL,Alphabet Inc Class A,0.034076209999999996,369.35001,9.67001,2.6885,,,,twelve_data,1781530200,False,,GOOGL,True,True,True
TSLA,Tesla Inc,0.03299219,411.14999,4.72,1.16133,,,,twelve_data,1781530200,False,,TSLA,True,True,True
GOOG,Alphabet Inc Class C,0.03170153,367.10999,8.94998,2.49888,,,,twelve_data,1781530200,False,,GOOG,True,True,True
AVGO,Broadcom Inc,0.029462540000000002,393.94,11.87,3.10676,,,,twelve_data,1781530200,False,,AVGO,True,True,True
INTC,Intel Corp,0.027939759999999998,127.86,3.29,2.64109,,,,twelve_data,1781530200,False,,INTC,True,True,True
META,Meta Platforms Inc,0.027200850000000002,593.47998,26.5,4.67389,,,,twelve_data,1781530200,False,,META,True,True,True
WMT,Walmart Inc,0.02656001,120.82,-0.22000122,-0.1817591,,,,twelve_data,1781530200,False,,WMT,True,True,True
CSCO,Cisco Systems Inc,0.02147862,120.17,-0.93000031,-0.76796063,,,,twelve_data,1781530200,False,,CSCO,True,True,True
LRCX,Lam Research Corp,0.02055873,388.92001,22.11002,6.027648,,,,twelve_data,1781530200,False,,LRCX,True,True,True
AMAT,Applied Materials Inc,0.02020477,585.78003,18.53003,3.26664,,,,twelve_data,1781530200,False,,AMAT,True,True,True
COST,Costco Wholesale Corp,0.0195798,979.45001,-2.89996,-0.29520674,,,,twelve_data,1781530200,False,,COST,True,True,True
NFLX,Netflix Inc,0.015224370000000001,81.67,1.33,1.65547,,,,twelve_data,1781530200,False,,NFLX,True,True,True
KLAC,KLA Corp,0.0149744,256.42001,1.88002,0.73859519,,,,twelve_data,1781530200,False,,KLAC,True,True,True
PLTR,Palantir Technologies Inc,0.013163260000000001,134.71001,6.72001,5.25042,,,,twelve_data,1781530200,False,,PLTR,True,True,True
