date,symbol,company_name,weight,sector,security_type_code,security_type_name,source
2026-06-19,NVDA,NVIDIA Corp,0.08124779,,COM,Common Stock,invesco
2026-06-19,AAPL,Apple Inc,0.06934832,,COM,Common Stock,invesco
2026-06-19,MU,Micron Technology Inc,0.05584223,,COM,Common Stock,invesco
2026-06-19,MSFT,Microsoft Corp,0.044652370000000004,,COM,Common Stock,invesco
2026-06-19,AMZN,Amazon.com Inc,0.04158332,,COM,Common Stock,invesco
2026-06-19,AMD,Advanced Micro Devices Inc,0.03833218,,COM,Common Stock,invesco
2026-06-19,GOOGL,Alphabet Inc Class A,0.03395709,,COM,Common Stock,invesco
2026-06-19,TSLA,Tesla Inc,0.03168063,,COM,Common Stock,invesco
2026-06-19,GOOG,Alphabet Inc Class C,0.03167556,,COM,Common Stock,invesco
2026-06-19,AVGO,Broadcom Inc,0.03091117,,COM,Common Stock,invesco
2026-06-19,INTC,Intel Corp,0.029285890000000002,,COM,Common Stock,invesco
2026-06-19,META,Meta Platforms Inc,0.02701028,,COM,Common Stock,invesco
2026-06-19,WMT,Walmart Inc,0.02505703,,COM,Common Stock,invesco
2026-06-19,AMAT,Applied Materials Inc,0.02141996,,COM,Common Stock,invesco
2026-06-19,LRCX,Lam Research Corp,0.0212627,,COM,Common Stock,invesco
2026-06-19,CSCO,Cisco Systems Inc,0.02066105,,COM,Common Stock,invesco
2026-06-19,COST,Costco Wholesale Corp,0.01848012,,COM,Common Stock,invesco
2026-06-19,KLAC,KLA Corp,0.01488017,,COM,Common Stock,invesco
2026-06-19,NFLX,Netflix Inc,0.01428937,,COM,Common Stock,invesco
2026-06-19,SNDK,Sandisk Corp,0.01410392,,COM,Common Stock,invesco
2026-06-19,PLTR,Palantir Technologies Inc,0.01287556,,COM,Common Stock,invesco
2026-06-19,TXN,Texas Instruments Inc,0.01281552,,COM,Common Stock,invesco
2026-06-19,MRVL,Marvell Technology Inc,0.011834089999999998,,COM,Common Stock,invesco
2026-06-19,WDC,Western Digital Corp,0.01106548,,COM,Common Stock,invesco
2026-06-19,QCOM,QUALCOMM Inc,0.0105949,,COM,Common Stock,invesco
2026-06-19,LIN,Linde PLC,0.01037995,,COM,Common Stock,invesco
2026-06-19,PANW,Palo Alto Networks Inc,0.01027068,,COM,Common Stock,invesco
2026-06-19,STX,Seagate Technology Holdings PLC,0.010207679999999998,,COM,Common Stock,invesco
2026-06-19,ADI,Analog Devices Inc,0.00927692,,COM,Common Stock,invesco
2026-06-19,TMUS,T-Mobile US Inc,0.00875507,,COM,Common Stock,invesco
2026-06-19,PEP,PepsiCo Inc,0.00857774,,COM,Common Stock,invesco
2026-06-19,AMGN,Amgen Inc,0.00795968,,COM,Common Stock,invesco
2026-06-19,CRWD,Crowdstrike Holdings Inc,0.00755127,,COM,Common Stock,invesco
2026-06-19,GILD,Gilead Sciences Inc,0.00676435,,COM,Common Stock,invesco
2026-06-19,HON,Honeywell International Inc,0.00636705,,COM,Common Stock,invesco
2026-06-19,ISRG,Intuitive Surgical Inc,0.00631824,,COM,Common Stock,invesco
