date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-11,285.98,287.9,277.1,282.5,3467087,275.2365205415,277.0843914396,266.6901176378,271.8872545387,3467087,0.0,1.0,AMGN,tiingo
2025-04-14,293.92,295.18,285.21,286.77,2492955,282.8782366514,284.0909019283,274.4954473168,275.9968424215,2492955,0.0,1.0,AMGN,tiingo
2025-04-15,295.3,296.17,292.14,294.305,2593614,284.2063938594,285.0437103601,281.1651063396,283.2487732638,2593614,0.0,1.0,AMGN,tiingo
2025-04-16,282.64,294.75,281.03,294.74,2656374,272.021995125,283.6770558417,270.4724783824,283.6674315141,2656374,0.0,1.0,AMGN,tiingo
2025-04-17,277.29,278.68,268.5,277.04,4371880,266.8729798621,268.2107613977,258.4131959067,266.6323716722,4371880,0.0,1.0,AMGN,tiingo
2025-04-21,273.68,278.2525,270.36,277.29,1803577,263.3985976006,267.799321393,260.2033208392,266.8729798621,1803577,0.0,1.0,AMGN,tiingo
2025-04-22,278.4,278.73,274.49,275.7,2080977,267.9412802251,268.2588830357,264.1781681357,265.3427117746,2080977,0.0,1.0,AMGN,tiingo
2025-04-23,277.9,283.6,276.42,279.91,2679621,267.4600638453,272.9459305741,266.0356633614,269.3945536918,2679621,0.0,1.0,AMGN,tiingo
2025-04-24,279.84,282.26,274.42,278.47,2260455,269.3271833986,271.6562706765,264.1107978425,268.0086505182,2260455,0.0,1.0,AMGN,tiingo
2025-04-25,280.84,282.19,276.44,279.47,1994615,270.2896161581,271.5889003833,266.0549120166,268.9710832776,1994615,0.0,1.0,AMGN,tiingo
2025-04-28,283.09,284.1,280.0,280.63,2082462,272.4550898668,273.4271469538,269.4811726401,270.0875052786,2082462,0.0,1.0,AMGN,tiingo
2025-04-29,288.56,289.9,279.06,281.12,2147733,277.7195970609,279.0092569585,268.5764858463,270.5590973307,2147733,0.0,1.0,AMGN,tiingo
2025-04-30,290.92,292.0,286.09,289.44,2612306,279.9909383731,281.0303657533,275.3423881451,278.5665378892,2612306,0.0,1.0,AMGN,tiingo
2025-05-01,283.78,287.8814,282.07,287.04,2942685,273.1191684708,277.0664901903,271.4734084522,276.2566992665,2942685,0.0,1.0,AMGN,tiingo
2025-05-02,281.22,291.605,275.195,291.5,4537310,270.6553406066,280.6502048133,264.8566832311,280.5491493736,4537310,0.0,1.0,AMGN,tiingo
2025-05-05,280.06,281.97,276.09,281.57,2781413,269.5389186057,271.3771651762,265.7180605508,270.9921920724,2781413,0.0,1.0,AMGN,tiingo
2025-05-06,270.44,277.61,268.81,277.09,3253439,260.28031546,267.1809583451,258.7115500621,266.6804933102,3253439,0.0,1.0,AMGN,tiingo
2025-05-07,275.84,276.68,270.44,272.03,2366836,265.4774523609,266.2858958788,260.28031546,261.8105835475,2366836,0.0,1.0,AMGN,tiingo
2025-05-08,272.05,274.78,266.025,269.45,3618364,261.8298322027,264.4572736359,256.0311748271,259.3275070282,3618364,0.0,1.0,AMGN,tiingo
2025-05-09,265.86,273.475,265.66,270.66,3328886,255.8723734218,263.2012988849,255.6798868699,260.4920506671,3328886,0.0,1.0,AMGN,tiingo
2025-05-12,274.76,276.09,262.99,266.47,4216761,264.4380249807,265.7180605508,253.1101914023,256.4594574051,4216761,0.0,1.0,AMGN,tiingo
2025-05-13,270.45,273.915,268.53,273.83,2660741,260.2899397876,263.624769299,258.4420688895,263.5429625145,2660741,0.0,1.0,AMGN,tiingo
2025-05-14,262.28,270.34,261.43,269.84,3933026,252.4268641431,260.1840721841,251.6087962975,259.7028558043,3933026,0.0,1.0,AMGN,tiingo
2025-05-15,271.69,271.69,264.15,265.3,3995104,261.4833564093,261.4833564093,254.2266134032,255.3334110765,3995104,0.0,1.0,AMGN,tiingo
2025-05-16,272.41,272.54,267.73,270.66,2589330,264.4668979635,264.5931073418,259.9233603457,262.7679255637,2589330,2.38,1.0,AMGN,tiingo
2025-05-19,275.85,276.0,271.995,272.58,2189559,267.8065922809,267.9522184866,264.0639987944,264.6319409966,2189559,0.0,1.0,AMGN,tiingo
2025-05-20,275.01,276.9,274.28,275.91,2188611,266.991085529,268.8259757208,266.2823713279,267.8648427632,2188611,0.0,1.0,AMGN,tiingo
2025-05-21,271.34,275.59,270.5136,274.18,2559862,263.4280976962,267.5541735243,262.6257943869,266.1852871908,2559862,0.0,1.0,AMGN,tiingo
2025-05-22,271.9,272.44,269.1,271.34,1919809,263.9717688641,264.4960232047,261.2534130244,263.4280976962,1919809,0.0,1.0,AMGN,tiingo
2025-05-23,271.66,272.52,269.1283,269.48,2532123,263.738766935,264.5736905144,261.2808878352,261.6223327455,2532123,0.0,1.0,AMGN,tiingo
2025-05-27,279.45,279.63,273.115,273.7,2917522,271.3016212177,271.4763726645,265.1513411303,265.7192833325,2917522,0.0,1.0,AMGN,tiingo
2025-05-28,278.4,281.34,276.62,279.02,3863818,270.2822377778,273.1365114095,268.5541401368,270.884159428,3863818,0.0,1.0,AMGN,tiingo
2025-05-29,283.54,283.82,278.4,279.22,2802379,275.2723624264,275.5441980104,270.2822377778,271.0783277023,2802379,0.0,1.0,AMGN,tiingo
2025-05-30,288.18,288.81,281.04,282.61,5439225,279.7770663894,280.3886964533,272.8452589981,274.3694799511,5439225,0.0,1.0,AMGN,tiingo
2025-06-02,288.47,289.45,284.775,285.64,2394373,280.058610387,281.0100349309,276.47135152,277.3111293062,2394373,0.0,1.0,AMGN,tiingo
2025-06-03,289.57,291.76,283.04,285.52,2320446,281.1265358955,283.2526784987,274.7869417407,277.1946283416,2320446,0.0,1.0,AMGN,tiingo
2025-06-04,287.01,293.21,286.89,290.19,2338424,278.6411819849,284.6603984871,278.5246810203,281.7284575457,2338424,0.0,1.0,AMGN,tiingo
2025-06-05,287.1,291.3599,284.99,286.33,2522678,278.7285577083,282.864244866,276.6800824148,277.9810098524,2522678,0.0,1.0,AMGN,tiingo
2025-06-06,290.33,293.57,289.01,289.8,1996270,281.8643753377,285.0099013808,280.5828647276,281.3498294109,1996270,0.0,1.0,AMGN,tiingo
2025-06-09,289.98,291.66,287.5391,290.47,1967217,281.5245808578,283.1555943616,279.1548541545,282.0002931297,1967217,0.0,1.0,AMGN,tiingo
2025-06-10,293.43,295.64,289.79,290.0,2441506,284.8739835888,287.0195430195,281.3401209972,281.5439976852,2441506,0.0,1.0,AMGN,tiingo
2025-06-11,291.81,294.665,291.15,293.21,1828333,283.3012205673,286.0729726824,282.6604652622,284.6603984871,1828333,0.0,1.0,AMGN,tiingo
2025-06-12,297.29,297.44,292.68,294.21,2160004,288.6214312822,288.7670574879,284.1458525603,285.6312398585,2160004,0.0,1.0,AMGN,tiingo
