date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-11,249.95,263.0,239.0,258.295,8966853,249.95,263.0,239.0,258.295,8966853,0.0,1.0,APP,tiingo
2025-04-14,236.07,262.08,234.39,258.94,7438408,236.07,262.08,234.39,258.94,7438408,0.0,1.0,APP,tiingo
2025-04-15,245.47,248.18,230.5201,235.6,6784576,245.47,248.18,230.5201,235.6,6784576,0.0,1.0,APP,tiingo
2025-04-16,229.81,241.95,224.4,234.525,7300828,229.81,241.95,224.4,234.525,7300828,0.0,1.0,APP,tiingo
2025-04-17,238.22,239.95,226.1001,231.39,5285999,238.22,239.95,226.1001,231.39,5285999,0.0,1.0,APP,tiingo
2025-04-21,228.13,238.4953,222.0201,233.53,5778158,228.13,238.4953,222.0201,233.53,5778158,0.0,1.0,APP,tiingo
2025-04-22,237.71,243.56,227.05,232.0,6342282,237.71,243.56,227.05,232.0,6342282,0.0,1.0,APP,tiingo
2025-04-23,252.35,267.9999,250.1,255.505,7302645,252.35,267.9999,250.1,255.505,7302645,0.0,1.0,APP,tiingo
2025-04-24,267.88,275.92,252.0001,253.725,6773109,267.88,275.92,252.0001,253.725,6773109,0.0,1.0,APP,tiingo
2025-04-25,276.83,278.88,266.505,272.3,5770373,276.83,278.88,266.505,272.3,5770373,0.0,1.0,APP,tiingo
2025-04-28,284.98,286.8284,273.5,278.64,6313779,284.98,286.8284,273.5,278.64,6313779,0.0,1.0,APP,tiingo
2025-04-29,288.88,291.39,281.27,286.5,4797093,288.88,291.39,281.27,286.5,4797093,0.0,1.0,APP,tiingo
2025-04-30,269.31,273.81,246.0,247.91,9277913,269.31,273.81,246.0,247.91,9277913,0.0,1.0,APP,tiingo
2025-05-01,279.49,288.25,276.8,282.0,5912172,279.49,288.25,276.8,282.0,5912172,0.0,1.0,APP,tiingo
2025-05-02,307.58,309.342,286.845,291.99,6997990,307.58,309.342,286.845,291.99,6997990,0.0,1.0,APP,tiingo
2025-05-05,301.84,306.79,295.41,299.19,4444645,301.84,306.79,295.41,299.19,4444645,0.0,1.0,APP,tiingo
2025-05-06,304.62,307.27,290.96,294.645,4539519,304.62,307.27,290.96,294.645,4539519,0.0,1.0,APP,tiingo
2025-05-07,303.46,304.52,292.87,300.55,11732107,303.46,304.52,292.87,300.55,11732107,0.0,1.0,APP,tiingo
2025-05-08,339.51,357.64,335.1301,344.0,14355299,339.51,357.64,335.1301,344.0,14355299,0.0,1.0,APP,tiingo
2025-05-09,328.54,351.375,328.52,343.045,7760053,328.54,351.375,328.52,343.045,7760053,0.0,1.0,APP,tiingo
2025-05-12,347.9,358.67,343.37,350.56,7826646,347.9,358.67,343.37,350.56,7826646,0.0,1.0,APP,tiingo
2025-05-13,370.1,380.7,347.7,348.53,9729218,370.1,380.7,347.7,348.53,9729218,0.0,1.0,APP,tiingo
2025-05-14,376.54,379.5799,368.45,373.49,6324282,376.54,379.5799,368.45,373.49,6324282,0.0,1.0,APP,tiingo
2025-05-15,366.61,378.23,361.44,373.94,6322226,366.61,378.23,361.44,373.94,6322226,0.0,1.0,APP,tiingo
2025-05-16,362.34,373.73,358.0,369.26,4740227,362.34,373.73,358.0,369.26,4740227,0.0,1.0,APP,tiingo
2025-05-19,370.63,375.84,354.01,355.27,6224325,370.63,375.84,354.01,355.27,6224325,0.0,1.0,APP,tiingo
2025-05-20,363.055,371.4482,360.8637,371.4482,5533494,363.055,371.4482,360.8637,371.4482,5533494,0.0,1.0,APP,tiingo
2025-05-21,358.35,374.57,358.0,359.68,7567122,358.35,374.57,358.0,359.68,7567122,0.0,1.0,APP,tiingo
2025-05-22,351.47,367.47,350.817,360.52,5329383,351.47,367.47,350.817,360.52,5329383,0.0,1.0,APP,tiingo
2025-05-23,354.29,356.55,340.2,341.72,5318795,354.29,356.55,340.2,341.72,5318795,0.0,1.0,APP,tiingo
2025-05-27,380.91,384.36,355.16,362.0,7683415,380.91,384.36,355.16,362.0,7683415,0.0,1.0,APP,tiingo
2025-05-28,390.26,392.87,375.1201,381.38,6778341,390.26,392.87,375.1201,381.38,6778341,0.0,1.0,APP,tiingo
2025-05-29,384.23,402.903,381.43,400.095,5144707,384.23,402.903,381.43,400.095,5144707,0.0,1.0,APP,tiingo
2025-05-30,393.0,394.24,372.53,386.87,7840335,393.0,394.24,372.53,386.87,7840335,0.0,1.0,APP,tiingo
2025-06-02,401.91,402.25,381.6001,392.31,6202125,401.91,402.25,381.6001,392.31,6202125,0.0,1.0,APP,tiingo
2025-06-03,398.51,408.0,390.41,401.91,4651336,398.51,408.0,390.41,401.91,4651336,0.0,1.0,APP,tiingo
2025-06-04,416.52,417.45,398.21,398.39,4804645,416.52,417.45,398.21,398.39,4804645,0.0,1.0,APP,tiingo
2025-06-05,414.14,428.99,406.78,414.17,5986157,414.14,428.99,406.78,414.17,5986157,0.0,1.0,APP,tiingo
2025-06-06,417.89,426.52,413.2301,421.0,5495450,417.89,426.52,413.2301,421.0,5495450,0.0,1.0,APP,tiingo
2025-06-09,383.6,404.5,382.85,401.25,7829239,383.6,404.5,382.85,401.25,7829239,0.0,1.0,APP,tiingo
2025-06-10,383.61,396.77,374.68,390.0,4949317,383.61,396.77,374.68,390.0,4949317,0.0,1.0,APP,tiingo
2025-06-11,383.43,387.95,377.9,386.3,3598466,383.43,387.95,377.9,386.3,3598466,0.0,1.0,APP,tiingo
