date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-11,668.81,672.0,651.39,656.06,2163570,659.9177320116,663.0653188676,642.7293423469,647.3372516313,2163570,0.0,1.0,ASML,tiingo
2025-04-14,672.87,680.025,662.73,676.44,1574032,663.9237516465,670.9836212246,653.9185696028,667.4462861529,1574032,0.0,1.0,ASML,tiingo
2025-04-15,683.16,687.525,676.69,679.38,2105587,674.0769393416,678.3839038012,667.6929622388,670.347196923,2105587,0.0,1.0,ASML,tiingo
2025-04-16,634.93,653.13,624.165,647.0,4028280,626.4881888521,644.4462079047,615.8663165937,638.3977102787,4028280,0.0,1.0,ASML,tiingo
2025-04-17,640.16,647.66,636.93,644.36,1439852,631.6486525688,639.0489351455,628.4615975392,635.7928108118,1439852,0.0,1.0,ASML,tiingo
2025-04-21,624.69,633.66,614.062,632.0,1555135,616.3843363741,625.2350743357,605.8976426108,623.5971451254,1555135,0.0,1.0,ASML,tiingo
2025-04-22,638.69,645.61,631.0,638.81,1967022,630.1981971838,637.0261912412,622.6104407819,630.316601705,1967022,0.0,1.0,ASML,tiingo
2025-04-23,657.98,666.492,654.795,664.245,1849690,649.231723971,657.6305513433,646.0890706367,655.4134266833,1849690,0.0,1.0,ASML,tiingo
2025-04-24,675.0,678.32,662.5601,666.53,1770710,666.0254318982,669.3012903188,653.7509285349,657.6680461083,1770710,0.0,1.0,ASML,tiingo
2025-04-25,677.27,681.75,664.59,666.895,1281108,669.8749691045,674.3060525152,657.3334205223,659.6132525004,1281108,1.631409,1.0,ASML,tiingo
2025-04-28,672.76,674.44,661.08,672.17,1008014,667.4819941591,669.1488140506,655.8936272946,666.8966228877,1008014,2.090608,1.0,ASML,tiingo
2025-04-29,666.11,673.63,663.0,665.605,1104016,660.884165422,668.3451687458,657.7985643134,660.3831272999,1104016,0.0,1.0,ASML,tiingo
2025-04-30,668.08,669.5,651.46,657.59,1042119,662.8387101757,664.2475698459,646.3490991065,652.431007401,1042119,0.0,1.0,ASML,tiingo
2025-05-01,666.72,675.15,662.46,675.15,1066308,661.4893797874,669.8532438857,657.2628007769,669.8532438857,1066308,0.0,1.0,ASML,tiingo
2025-05-02,690.33,695.0,685.6,686.32,1215548,684.9141521908,689.5475146272,680.2212604725,680.9356118546,1215548,0.0,1.0,ASML,tiingo
2025-05-05,683.36,690.42,682.73,685.0,903997,677.9988339506,685.0034461135,677.3737764913,679.6259676541,903997,0.0,1.0,ASML,tiingo
2025-05-06,679.99,686.365,675.5,676.31,765138,674.6552726206,680.980258816,670.2004980297,671.0041433346,765138,0.0,1.0,ASML,tiingo
2025-05-07,700.39,701.96,683.455,685.78,1042544,694.8952284457,696.4529113204,678.0930886468,680.399848318,1042544,0.0,1.0,ASML,tiingo
2025-05-08,708.03,716.81,705.7044,711.115,1040537,702.4752903331,711.1864085754,700.167935369,705.5360875743,1040537,0.0,1.0,ASML,tiingo
2025-05-09,706.21,710.51,703.9,709.21,884243,700.669568784,704.9358339824,698.3776914332,703.6460328759,884243,0.0,1.0,ASML,tiingo
2025-05-12,750.2,750.52,729.38,730.42,2571454,744.3144539185,744.6319434216,723.6577931206,724.6896340058,2571454,0.0,1.0,ASML,tiingo
2025-05-13,763.9,764.87,744.54,745.26,1815615,757.9069732715,758.8693633279,738.6988583317,739.4132097138,1815615,0.0,1.0,ASML,tiingo
2025-05-14,768.91,773.7,764.27,765.0,1156129,762.877668305,767.6300893051,758.2740705095,758.9983434386,1156129,0.0,1.0,ASML,tiingo
2025-05-15,758.36,767.0,755.21,763.67,1510982,752.4104362485,760.9826528332,749.285148952,757.6787776912,1510982,0.0,1.0,ASML,tiingo
2025-05-16,748.1,753.445,742.21,752.88,1095121,742.2309290541,747.5339959112,736.387137887,746.9734285072,1095121,0.0,1.0,ASML,tiingo
2025-05-19,749.13,750.0,737.27,739.73,977869,743.2528483923,744.116022979,731.4858936823,733.9265942377,977869,0.0,1.0,ASML,tiingo
2025-05-20,748.76,748.98,741.3,745.63,777181,742.8857511543,743.1040251877,735.4842771124,739.7803069518,777181,0.0,1.0,ASML,tiingo
2025-05-21,737.17,755.7894,735.49,749.01,1058736,731.3866782126,749.8600033836,729.7198583211,743.1337898287,1058736,0.0,1.0,ASML,tiingo
2025-05-22,740.7,747.21,734.15,736.315,863926,734.8889842941,741.3479113735,728.3903710267,730.5383859464,863926,0.0,1.0,ASML,tiingo
2025-05-23,732.49,735.99,722.52,724.6,1525225,726.7433942292,730.2159356697,716.851611897,718.9152936674,1525225,0.0,1.0,ASML,tiingo
2025-05-27,756.79,761.21,749.95,751.365,1385099,750.8527533737,755.2380771358,744.0664152441,745.4703141408,1385099,0.0,1.0,ASML,tiingo
2025-05-28,746.51,756.39,744.81,752.14,1243956,740.6534030854,750.4558914948,738.9667401,746.2392340312,1243956,0.0,1.0,ASML,tiingo
2025-05-29,747.065,759.55,744.84,757.83,1166416,741.2040489424,753.5911003383,738.9965047409,751.8845942589,1166416,0.0,1.0,ASML,tiingo
2025-05-30,736.77,745.96,723.0,745.01,1785806,730.9898163336,740.1077180019,717.3278461517,739.1651710394,1785806,0.0,1.0,ASML,tiingo
2025-06-02,746.53,746.95,732.66,733.29,812602,740.6732461793,741.0899511522,726.9120605277,727.537117987,812602,0.0,1.0,ASML,tiingo
2025-06-03,747.25,748.55,732.2,732.66,1085080,741.3875975614,742.6773986679,726.455669367,726.9120605277,1085080,0.0,1.0,ASML,tiingo
2025-06-04,742.78,752.77,740.41,751.18,1160375,736.9526660644,746.8642914905,734.6012594318,745.2867655218,1160375,0.0,1.0,ASML,tiingo
2025-06-05,747.76,756.46,744.0,754.13,1507318,741.893596457,750.5253423236,738.1630947952,748.2136218789,1507318,0.0,1.0,ASML,tiingo
2025-06-06,753.02,762.1,752.8,756.055,1345389,747.1123301649,756.1210948164,746.8940561314,750.1235196712,1345389,0.0,1.0,ASML,tiingo
2025-06-09,770.2,782.2,757.06,757.06,1769425,764.1575478646,776.0634042322,751.120635142,751.120635142,1769425,0.0,1.0,ASML,tiingo
2025-06-10,784.97,788.29,776.49,779.11,1715548,778.8116727438,782.1056263388,770.3982009106,772.9976462176,1715548,0.0,1.0,ASML,tiingo
2025-06-11,784.09,797.25,780.69,790.05,1365886,777.9385766101,790.9953324267,774.5652506393,783.8518186061,1365886,0.0,1.0,ASML,tiingo
2025-06-12,786.21,789.57,782.34,785.44,999568,780.0419445684,783.3755843514,776.2023058898,779.2779854515,999568,0.0,1.0,ASML,tiingo
2025-06-13,761.0,772.93,759.87,766.89,1742859,755.0297246494,766.8661301882,753.9085898414,760.8735158165,1742859,0.0,1.0,ASML,tiingo
2025-06-16,775.23,779.19,765.975,766.37,1454490,769.148085992,773.0770185933,759.9656942684,760.3575953739,1454490,0.0,1.0,ASML,tiingo
2025-06-17,759.86,773.21,758.21,766.78,1422774,753.8986682944,767.1439335034,752.2616130439,760.7643787998,1422774,0.0,1.0,ASML,tiingo
2025-06-18,761.64,768.0,754.24,764.73,1372544,755.6647036556,761.9748075305,748.3227588956,758.7304616703,1372544,0.0,1.0,ASML,tiingo
2025-06-20,756.53,769.0145,736.2532,768.365,2303859,750.5947931524,762.9813484709,730.4770707861,762.336943995,2303859,0.0,1.0,ASML,tiingo
2025-06-23,779.72,780.75,759.805,761.26,1302753,773.6028605829,774.6247799211,753.8440997861,755.2876848707,1302753,0.0,1.0,ASML,tiingo
2025-06-24,813.36,813.46,786.11,786.11,2039644,806.9789446003,807.07816007,779.9427290987,779.9427290987,2039644,0.0,1.0,ASML,tiingo
2025-06-25,815.24,819.54,806.22,816.745,1400090,808.8441954312,813.1104606296,799.8949600615,810.3373882506,1400090,0.0,1.0,ASML,tiingo
2025-06-26,798.09,800.88,786.495,799.76,1705753,791.8287423724,794.5968539779,780.3247086572,793.4856407169,1705753,0.0,1.0,ASML,tiingo
2025-06-27,795.95,805.49,788.4501,802.94,1201022,789.7055313202,799.1706871325,782.2644703059,796.6406926543,1201022,0.0,1.0,ASML,tiingo
2025-06-30,801.39,802.44,794.0418,796.48,1080826,795.1028528735,796.1446153057,787.8123017268,790.2313733097,1080826,0.0,1.0,ASML,tiingo
2025-07-01,790.47,795.5,782.535,788.05,1066115,784.2685235789,789.2590617064,776.3957760558,781.8675092115,1066115,0.0,1.0,ASML,tiingo
2025-07-02,799.59,800.5,772.86,776.24,1382989,793.3169744184,794.2198351929,766.7966793594,770.1501622363,1382989,0.0,1.0,ASML,tiingo
2025-07-03,794.5,798.525,786.61,786.965,910715,788.2669070091,792.2603296657,780.4388064473,780.7910213649,910715,0.0,1.0,ASML,tiingo
2025-07-07,785.09,793.49,783.8,785.455,1363742,778.9307313074,787.2648307648,777.6508517479,779.292867772,1363742,0.0,1.0,ASML,tiingo
2025-07-08,794.1,798.39,778.73,782.655,1327752,787.8700451302,792.1263887816,772.6206274326,776.5148346195,1327752,0.0,1.0,ASML,tiingo
2025-07-09,799.83,800.895,792.47,792.91,1334286,793.5550915457,794.6117362983,786.2528329736,786.6893810404,1334286,0.0,1.0,ASML,tiingo
2025-07-10,802.09,811.1,798.0,808.93,1500053,795.7973611616,804.7366749843,791.7394484496,802.5836992912,1500053,0.0,1.0,ASML,tiingo
2025-07-11,801.93,803.19,796.5201,797.07,932666,795.6386164101,796.8887313287,790.2711587131,790.8167445812,932666,0.0,1.0,ASML,tiingo
2025-07-14,806.73,812.771,789.865,797.62,1456895,800.4009589571,806.3945654835,783.6682699871,791.3624296647,1456895,0.0,1.0,ASML,tiingo
2025-07-15,823.02,826.56,814.21,822.975,2099641,816.5631589762,820.0753866047,807.822276093,816.5185120148,2099641,0.0,1.0,ASML,tiingo
2025-07-16,754.45,760.8999,730.6,754.36,10789554,748.531111382,754.9304099642,724.8682218513,748.4418174592,10789554,0.0,1.0,ASML,tiingo
2025-07-17,744.91,756.85,742.0,746.815,4078476,739.0659555697,750.9122826555,736.1787854006,740.9560102681,4078476,0.0,1.0,ASML,tiingo
2025-07-18,734.58,752.09,734.33,752.08,2567221,728.8169975465,746.1896262964,728.5689588722,746.1797047494,2567221,0.0,1.0,ASML,tiingo
2025-07-21,719.68,732.9,719.32,731.0,2650344,714.0338925567,727.1501776551,713.6767168657,725.2650837302,2650344,0.0,1.0,ASML,tiingo
2025-07-22,705.48,719.06,701.189,718.305,3425061,699.945295855,713.4187566444,695.6879600488,712.6696798479,3425061,0.0,1.0,ASML,tiingo
2025-07-23,716.93,719.9725,708.13,715.21,3379367,711.3054671391,714.3240978057,702.5745058028,709.5989610597,3379367,0.0,1.0,ASML,tiingo
2025-07-24,725.08,726.63,718.355,723.01,2037055,719.3915279221,720.929367703,712.7192875828,717.3377676987,2037055,0.0,1.0,ASML,tiingo
2025-07-25,711.25,713.15,706.6002,709.135,2312071,705.6700284584,707.5551223833,701.0567075469,703.5716212736,2312071,0.0,1.0,ASML,tiingo
2025-07-28,729.99,735.41,728.49,735.145,2253865,724.2630074859,729.6404859453,722.77477544,729.3775649505,2253865,0.0,1.0,ASML,tiingo
2025-07-29,718.49,726.92,715.7,722.73,2292900,714.6946675851,723.0801371779,711.9194054067,718.9122703222,2292900,1.856,1.0,ASML,tiingo
2025-07-30,721.45,724.02,715.5,716.89,1407034,717.63903176,720.1954560606,711.7204618814,713.1031193824,1407034,0.0,1.0,ASML,tiingo
2025-07-31,694.71,707.54,691.21,706.395,2892155,691.0402824229,703.8025095731,687.5587707296,702.6635578905,2892155,0.0,1.0,ASML,tiingo
2025-08-01,689.82,693.43,683.48,690.0,1627113,686.1761132285,689.7670438608,679.8696034754,686.3551624013,1627113,0.0,1.0,ASML,tiingo
2025-08-04,699.36,699.45,692.9,695.58,1025554,695.6657193869,695.7552439733,689.2398435187,691.9056867581,1025554,0.0,1.0,ASML,tiingo
2025-08-05,689.63,695.63,684.24,694.72,1261219,685.9871168794,691.9554226395,680.6255888717,691.0502295992,1261219,0.0,1.0,ASML,tiingo
2025-08-06,690.96,692.43,685.44,687.65,1218701,687.3100913229,688.7723262341,681.8192500237,684.0175759786,1218701,0.0,1.0,ASML,tiingo
2025-08-07,713.12,716.9,706.615,714.02,1723821,709.3530339299,713.1130665587,702.8823957684,710.2482797939,1723821,0.0,1.0,ASML,tiingo
2025-08-08,722.32,723.5,710.45,712.41,1042936,718.5044360952,719.6782028947,706.6971378667,708.646784415,1042936,0.0,1.0,ASML,tiingo
2025-08-11,721.31,731.86,719.5163,724.0,1179742,717.4997712923,727.9940422537,715.7155462854,720.175561708,1179742,0.0,1.0,ASML,tiingo
2025-08-12,741.79,743.3499,723.48,725.53,1463882,737.8715882865,739.4232483123,719.6583085422,721.6974796768,1463882,0.0,1.0,ASML,tiingo
2025-08-13,755.57,756.2,747.54,750.63,2011885,751.578797182,752.2054692868,743.5912146398,746.6648921062,2011885,0.0,1.0,ASML,tiingo
2025-08-14,755.21,757.0,744.56,747.28,1577397,751.2206988364,753.0012433881,740.6269561124,743.3325880569,1577397,0.0,1.0,ASML,tiingo
2025-08-15,742.16,747.15,736.655,738.495,1635071,738.2396338083,743.2032747654,732.7637132735,734.5939937066,1635071,0.0,1.0,ASML,tiingo
2025-08-18,747.55,748.0,739.44,739.67,1086381,743.6011618161,744.0487847481,735.5340018638,735.7627869179,1086381,0.0,1.0,ASML,tiingo
2025-08-19,743.61,755.69,741.71,751.535,1121286,739.681974367,751.6981632972,737.7920108763,747.5651115584,1121286,0.0,1.0,ASML,tiingo
2025-08-20,749.49,753.435,738.175,750.8,1368382,745.5309140118,749.455075049,734.2756840661,746.8339941028,1368382,0.0,1.0,ASML,tiingo
2025-08-21,735.4,741.5,732.11,739.36,952689,731.5153426521,737.5831201747,728.2427216603,735.4544244537,952689,0.0,1.0,ASML,tiingo
2025-08-22,754.89,761.57,740.37,741.68,1455979,750.9023891958,757.547102942,736.4590892566,737.7621693475,1455979,0.0,1.0,ASML,tiingo
2025-08-25,754.46,758.26,752.09,754.75,731124,750.4746606164,754.2545875977,748.1171798412,750.7631287281,731124,0.0,1.0,ASML,tiingo
2025-08-26,763.2,763.5,755.91,758.77,860093,759.1684926735,759.4669079615,751.917001175,754.7618935873,860093,0.0,1.0,ASML,tiingo
