date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-11,33.72,34.0,33.22,33.955,26811934,28.6208514321,28.8585097477,28.1964615829,28.8203146613,30258728,0.0,1.0,CMCSA,tiingo
2025-04-14,34.15,34.45,33.25,33.38,20432806,28.9858267025,29.240460612,28.2219249739,28.3322663347,23059534,0.0,1.0,CMCSA,tiingo
2025-04-15,34.4,34.76,34.26,34.44,17989854,29.1980216271,29.5035823185,29.0791924693,29.231972815,20302530,0.0,1.0,CMCSA,tiingo
2025-04-16,33.55,34.455,33.36,34.3,20687019,28.4765588834,29.2447045105,28.3152907407,29.1131436572,23346428,0.0,1.0,CMCSA,tiingo
2025-04-17,34.01,34.295,33.72,33.78,21576016,28.8669975447,29.1088997588,28.6208514321,28.671778214,24349709,0.0,1.0,CMCSA,tiingo
2025-04-21,33.6,34.01,33.25,33.75,22945350,28.5189978683,28.8669975447,28.2219249739,28.6463148231,25895077,0.0,1.0,CMCSA,tiingo
2025-04-22,34.2,34.25,33.73,33.85,23108450,29.0282656874,29.0707046723,28.6293392291,28.7311927929,26079144,0.0,1.0,CMCSA,tiingo
2025-04-23,34.47,35.03,34.39,34.525,28164613,29.257436206,29.7327528371,29.1895338301,29.3041190894,31785300,0.0,1.0,CMCSA,tiingo
2025-04-24,33.19,33.35,31.44,31.98,44282341,28.170998192,28.3068029437,26.6856337196,27.1439747568,49975034,0.0,1.0,CMCSA,tiingo
2025-04-25,33.9,33.94,33.125,33.52,29368755,28.7736317779,28.8075829658,28.1158275116,28.4510954924,33144240,0.0,1.0,CMCSA,tiingo
2025-04-28,33.77,34.235,33.62,33.9,27895670,28.6632904171,29.0579729768,28.5359734623,28.7736317779,31481783,0.0,1.0,CMCSA,tiingo
2025-04-29,33.94,34.06,33.6,33.645,22741567,28.8075829658,28.9094365296,28.5189978683,28.5571929548,25665097,0.0,1.0,CMCSA,tiingo
2025-04-30,34.2,34.27,33.155,33.77,28174763,29.0282656874,29.0876802663,28.1412909025,28.6632904171,31796755,0.0,1.0,CMCSA,tiingo
2025-05-01,33.82,34.23,33.675,33.85,20277687,28.705729402,29.0537290784,28.5826563457,28.7311927929,22884474,0.0,1.0,CMCSA,tiingo
2025-05-02,34.46,34.53,33.985,34.0,24824295,29.248948409,29.3083629879,28.8457780522,28.8585097477,28015569,0.0,1.0,CMCSA,tiingo
2025-05-05,34.45,34.68,33.975,34.07,20326062,29.240460612,29.4356799427,28.8372902552,28.9179243266,22939068,0.0,1.0,CMCSA,tiingo
2025-05-06,34.49,34.605,34.07,34.25,16103946,29.2744118,29.3720214653,28.9179243266,29.0707046723,18174180,0.0,1.0,CMCSA,tiingo
2025-05-07,34.39,34.8813,34.205,34.63,25154385,29.1895338301,29.606539296,29.0325095859,29.3932409577,28388093,0.0,1.0,CMCSA,tiingo
2025-05-08,34.22,34.72,34.15,34.485,35269366,29.0452412814,29.4696311306,28.9858267025,29.2701679015,39803401,0.0,1.0,CMCSA,tiingo
2025-05-09,34.25,34.45,34.15,34.34,16919698,29.0707046723,29.240460612,28.9858267025,29.1470948452,19094801,0.0,1.0,CMCSA,tiingo
2025-05-12,34.72,35.405,34.53,34.81,23093139,29.4696311306,30.051045224,29.3083629879,29.5460213035,26061865,0.0,1.0,CMCSA,tiingo
2025-05-13,34.79,35.11,34.485,34.85,19071472,29.5290457095,29.800655213,29.2701679015,29.5799724914,21523195,0.0,1.0,CMCSA,tiingo
2025-05-14,34.56,34.815,34.35,34.66,18156416,29.3338263788,29.550265202,29.1555826422,29.4187043487,20490504,0.0,1.0,CMCSA,tiingo
