date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-11,28.01,28.08,27.35,27.745,15001963,27.5067581929,27.5755005376,26.8586160863,27.2465193168,15001963,0.0,1.0,CSX,tiingo
2025-04-14,28.27,28.45,27.96,28.2,17079735,27.7620869016,27.9388529307,27.4576565182,27.693344557,17079735,0.0,1.0,CSX,tiingo
2025-04-15,27.9,28.445,27.835,28.22,15163551,27.3987345085,27.9339427632,27.3349023313,27.7129852269,15163551,0.0,1.0,CSX,tiingo
2025-04-16,27.35,27.96,27.16,27.595,25311463,26.8586160863,27.4576565182,26.6720297223,27.0992142925,25311463,0.0,1.0,CSX,tiingo
2025-04-17,27.68,28.02,27.27,27.29,21437658,27.1826871396,27.5165785279,26.7800534067,26.7996940766,21437658,0.0,1.0,CSX,tiingo
2025-04-21,27.46,27.535,27.0,27.39,28499453,26.9666397707,27.0402922829,26.5149043631,26.8978974261,28499453,0.0,1.0,CSX,tiingo
2025-04-22,27.78,27.91,27.47,27.62,16208586,27.2808904891,27.4085548435,26.9764601057,27.1237651299,16208586,0.0,1.0,CSX,tiingo
2025-04-23,27.59,28.51,27.46,28.275,15917932,27.0943041251,27.9977749404,26.9666397707,27.7669970691,15917932,0.0,1.0,CSX,tiingo
2025-04-24,28.14,28.18,27.18,27.4,13572782,27.6344225473,27.6737038871,26.6916703922,26.907717761,13572782,0.0,1.0,CSX,tiingo
2025-04-25,27.84,28.07,27.67,27.9,14351477,27.3398124988,27.5656802026,27.1728668047,27.3987345085,14351477,0.0,1.0,CSX,tiingo
2025-04-28,27.87,28.02,27.59,27.845,12632506,27.3692735037,27.5165785279,27.0943041251,27.3447226663,12632506,0.0,1.0,CSX,tiingo
2025-04-29,28.05,28.11,27.7,27.75,9907327,27.5460395327,27.6049615424,27.2023278095,27.2514294843,9907327,0.0,1.0,CSX,tiingo
2025-04-30,28.07,28.116,27.515,27.89,12723548,27.5656802026,27.6108537434,27.020651613,27.3889141736,12723548,0.0,1.0,CSX,tiingo
2025-05-01,28.11,28.24,27.74,28.005,13020861,27.6049615424,27.7326258968,27.2416091493,27.5018480255,13020861,0.0,1.0,CSX,tiingo
2025-05-02,28.7,28.8,28.365,28.37,11526564,28.1843613044,28.2825646539,27.8553800836,27.8602902511,11526564,0.0,1.0,CSX,tiingo
2025-05-05,28.47,28.775,28.39,28.54,9480956,27.9584936006,28.2580138166,27.879930921,28.0272359453,9480956,0.0,1.0,CSX,tiingo
2025-05-06,28.09,28.43,28.045,28.325,8753712,27.5853208725,27.9192122608,27.5411293653,27.8160987438,8753712,0.0,1.0,CSX,tiingo
2025-05-07,28.37,28.495,28.13,28.25,11504064,27.8602902511,27.983044438,27.6246022123,27.7424462317,11504064,0.0,1.0,CSX,tiingo
2025-05-08,28.96,29.19,28.3311,28.57,13770267,28.4396900131,28.665557717,27.8220891482,28.0566969501,13770267,0.0,1.0,CSX,tiingo
2025-05-09,28.74,29.17,28.655,28.92,9630192,28.2236426442,28.6459170471,28.1401697972,28.4004086733,9630192,0.0,1.0,CSX,tiingo
