date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-11,142.93,143.44,137.935,139.39,3116908,142.1866914501,142.6940391912,137.2176679855,138.665101247,3116908,0.0,1.0,EA,tiingo
2025-04-14,145.5,146.21,142.506,143.16,2600586,144.7433261456,145.4496337852,141.7648964653,142.4154953334,2600586,0.0,1.0,EA,tiingo
2025-04-15,145.61,146.29,144.49,145.66,2277480,144.8527540898,145.5292177446,143.7385786583,144.9024940644,2277480,0.0,1.0,EA,tiingo
2025-04-16,142.97,145.78,142.69,145.49,2215855,142.2264834298,145.0218700035,141.9479395719,144.7333781507,2215855,0.0,1.0,EA,tiingo
2025-04-17,145.61,146.09,142.97,143.27,1761862,144.8527540898,145.3302578461,142.2264834298,142.5249232775,1761862,0.0,1.0,EA,tiingo
2025-04-21,141.93,145.02,141.04,145.02,2712343,141.1918919577,144.2658223893,140.3065204095,144.2658223893,2712343,0.0,1.0,EA,tiingo
2025-04-22,145.87,146.755,143.38,144.1,2361100,145.1114019578,145.9917995086,142.6343512217,143.3506068562,2361100,0.0,1.0,EA,tiingo
2025-04-23,143.73,146.47,142.83,146.09,2412022,142.982531044,145.7082816532,142.0872115009,145.3302578461,2412022,0.0,1.0,EA,tiingo
2025-04-24,146.19,146.62,143.37,144.8,2274743,145.4297377954,145.8575015771,142.6244032268,144.0469665009,2274743,0.0,1.0,EA,tiingo
2025-04-25,146.6,147.25,145.42,146.57,1836660,145.8376055873,146.4842252573,144.6637421862,145.8077616025,1836660,0.0,1.0,EA,tiingo
2025-04-28,146.72,147.44,145.49,146.67,2761820,145.9569815264,146.6732371609,144.7333781507,145.9072415517,2761820,0.0,1.0,EA,tiingo
2025-04-29,145.97,147.135,145.62,146.12,2233528,145.210881907,146.3698233157,144.8627020847,145.3601018309,2233528,0.0,1.0,EA,tiingo
2025-04-30,145.09,146.05,143.45,145.49,2802044,144.3354583537,145.2904658664,142.7039871862,144.7333781507,2802044,0.0,1.0,EA,tiingo
2025-05-01,145.1,146.93,143.98,145.18,3328770,144.3454063486,146.1658894198,143.2312309171,144.424990308,3328770,0.0,1.0,EA,tiingo
2025-05-02,151.1,154.915,147.85,149.0,5109195,150.3142033031,154.1093633666,147.0811049528,148.225124369,5109195,0.0,1.0,EA,tiingo
2025-05-05,154.74,155.34,150.72,151.33,4308783,153.9352734555,154.5321531509,149.936179496,150.5430071864,4308783,0.0,1.0,EA,tiingo
2025-05-06,154.54,155.77,152.26,152.845,3011753,153.736313557,154.9599169327,151.4681707143,152.0501284174,3011753,0.0,1.0,EA,tiingo
2025-05-07,155.5,160.7037,153.6716,158.005,5444708,154.6913210697,159.8679591884,152.8724296778,157.1832937982,5444708,0.0,1.0,EA,tiingo
2025-05-08,155.66,156.7,153.2,155.87,3982804,154.8504889885,155.8850804606,152.4032822372,155.0593968819,3982804,0.0,1.0,EA,tiingo
2025-05-09,153.3,156.2,153.07,155.67,2921878,152.5027621864,155.3876807144,152.2739583032,154.8604369834,2921878,0.0,1.0,EA,tiingo
2025-05-12,149.27,153.8,148.39,153.34,3736226,148.493720232,153.0001619326,147.6182966787,152.5425541661,3736226,0.0,1.0,EA,tiingo
2025-05-13,149.06,150.365,148.23,148.23,3582884,148.2848123386,149.5830256762,147.4591287599,147.4591287599,3582884,0.0,1.0,EA,tiingo
2025-05-14,147.23,148.96,146.53,148.07,2759480,146.4643292675,148.1853323893,145.7679696228,147.2999608411,2759480,0.0,1.0,EA,tiingo
2025-05-15,149.57,150.62,147.63,147.74,3711161,148.7921600797,149.8366995467,146.8622490644,146.9716770086,3711161,0.0,1.0,EA,tiingo
2025-05-16,151.54,151.73,149.2,149.79,3934769,150.7519150798,150.9409269833,148.4240842675,149.011015968,3934769,0.0,1.0,EA,tiingo
2025-05-19,150.48,152.205,149.04,149.7,4010139,149.6974276178,151.4134567422,148.2649163487,148.9214840137,4010139,0.0,1.0,EA,tiingo
2025-05-20,151.92,151.94,149.97,150.62,2172108,151.1299388869,151.1498348767,149.1900798767,149.8366995467,2172108,0.0,1.0,EA,tiingo
2025-05-21,150.5,151.52,150.31,150.72,2880389,149.7173236077,150.7320190899,149.5283117041,149.936179496,2880389,0.0,1.0,EA,tiingo
2025-05-22,146.63,151.41,146.47,151.16,4574625,145.867449572,150.6225911458,145.7082816532,150.3738912727,4574625,0.0,1.0,EA,tiingo
2025-05-23,146.89,147.925,146.46,146.87,2108705,146.1260974401,147.1557149147,145.6983336583,146.1062014502,2108705,0.0,1.0,EA,tiingo
2025-05-27,146.91,147.94,146.235,147.54,4489658,146.1459934299,147.1706369071,145.4745037725,146.7727171101,4489658,0.0,1.0,EA,tiingo
2025-05-28,146.88,147.85,146.39,146.96,2280566,146.3051613487,147.2713650967,145.817079043,146.3848482557,2280566,0.19,1.0,EA,tiingo
2025-05-29,142.84,147.105,141.19,146.88,3517092,142.2809725425,146.5292807748,140.6374300846,146.3051613487,3517092,0.0,1.0,EA,tiingo
2025-05-30,143.78,144.07,141.61,143.19,5555324,143.2172937004,143.5061587385,141.0557863466,142.6296027609,5555324,0.0,1.0,EA,tiingo
2025-06-02,145.88,146.2,143.51,143.61,3418176,145.3090750105,145.6278226387,142.9483503891,143.0479590229,3418176,0.0,1.0,EA,tiingo
2025-06-03,146.24,146.27,144.6671,145.23,2863817,145.6676660923,145.6975486824,144.100921891,144.6616188907,2863817,0.0,1.0,EA,tiingo
2025-06-04,148.46,148.95,145.7301,146.06,2928015,147.878977763,148.3670600687,145.1597616684,145.4883705514,2928015,0.0,1.0,EA,tiingo
2025-06-05,147.88,148.97,146.87,148.9,2610254,147.3012476869,148.3869817954,146.2952004853,148.3172557518,2610254,0.0,1.0,EA,tiingo
