date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-11,1389.79,1394.38,1357.4015,1373.36,374726,92.6526666667,92.9586666667,90.4934333333,91.5573333333,5620890,0.0,1.0,ORLY,tiingo
2025-04-14,1414.2,1421.345,1394.045,1396.8,447286,94.28,94.7563333333,92.9363333333,93.12,6709290,0.0,1.0,ORLY,tiingo
2025-04-15,1397.93,1428.71,1392.0,1418.27,362243,93.1953333333,95.2473333333,92.8,94.5513333333,5433645,0.0,1.0,ORLY,tiingo
2025-04-16,1364.36,1408.55,1361.6,1402.79,397041,90.9573333333,93.9033333333,90.7733333333,93.5193333333,5955615,0.0,1.0,ORLY,tiingo
2025-04-17,1390.9,1398.77,1370.68,1378.52,429000,92.7266666667,93.2513333333,91.3786666667,91.9013333333,6435000,0.0,1.0,ORLY,tiingo
2025-04-21,1368.5,1396.805,1347.5156,1392.0,319466,91.2333333333,93.1203333333,89.8343733333,92.8,4791990,0.0,1.0,ORLY,tiingo
2025-04-22,1393.54,1397.66,1374.11,1377.03,399996,92.9026666667,93.1773333333,91.6073333333,91.802,5999940,0.0,1.0,ORLY,tiingo
2025-04-23,1380.5,1405.9,1371.98,1401.08,597426,92.0333333333,93.7266666667,91.4653333333,93.4053333333,8961390,0.0,1.0,ORLY,tiingo
2025-04-24,1352.17,1365.53,1333.14,1358.88,1108842,90.1446666667,91.0353333333,88.876,90.592,16632630,0.0,1.0,ORLY,tiingo
2025-04-25,1347.0,1359.44,1328.71,1350.95,532206,89.8,90.6293333333,88.5806666667,90.0633333333,7983090,0.0,1.0,ORLY,tiingo
2025-04-28,1370.16,1373.1759,1352.48,1352.48,492900,91.344,91.54506,90.1653333333,90.1653333333,7393500,0.0,1.0,ORLY,tiingo
2025-04-29,1399.23,1402.435,1362.22,1362.22,404987,93.282,93.4956666667,90.8146666667,90.8146666667,6074805,0.0,1.0,ORLY,tiingo
2025-04-30,1415.2,1417.51,1384.0,1395.67,418675,94.3466666667,94.5006666667,92.2666666667,93.0446666667,6280125,0.0,1.0,ORLY,tiingo
2025-05-01,1407.68,1413.85,1387.0968,1405.0,351403,93.8453333333,94.2566666667,92.47312,93.6666666667,5271045,0.0,1.0,ORLY,tiingo
2025-05-02,1406.36,1438.27,1402.51,1423.39,285442,93.7573333333,95.8846666667,93.5006666667,94.8926666667,4281630,0.0,1.0,ORLY,tiingo
2025-05-05,1387.14,1404.21,1385.04,1400.76,335576,92.476,93.614,92.336,93.384,5033640,0.0,1.0,ORLY,tiingo
2025-05-06,1386.64,1392.08,1379.93,1385.05,378690,92.4426666667,92.8053333333,91.9953333333,92.3366666667,5680350,0.0,1.0,ORLY,tiingo
2025-05-07,1378.09,1395.82,1374.555,1386.27,338377,91.8726666667,93.0546666667,91.637,92.418,5075655,0.0,1.0,ORLY,tiingo
2025-05-08,1360.15,1385.48,1358.205,1380.0,297472,90.6766666667,92.3653333333,90.547,92.0,4462080,0.0,1.0,ORLY,tiingo
2025-05-09,1359.34,1365.02,1347.6,1360.215,271962,90.6226666667,91.0013333333,89.84,90.681,4079430,0.0,1.0,ORLY,tiingo
2025-05-12,1339.61,1373.48,1308.41,1373.48,573782,89.3073333333,91.5653333333,87.2273333333,91.5653333333,8606730,0.0,1.0,ORLY,tiingo
2025-05-13,1320.8,1344.77,1315.41,1343.72,695784,88.0533333333,89.6513333333,87.694,89.5813333333,10436760,0.0,1.0,ORLY,tiingo
2025-05-14,1325.73,1331.63,1312.0,1312.0,423263,88.382,88.7753333333,87.4666666667,87.4666666667,6348945,0.0,1.0,ORLY,tiingo
2025-05-15,1370.13,1370.13,1328.85,1328.85,446625,91.342,91.342,88.59,88.59,6699375,0.0,1.0,ORLY,tiingo
2025-05-16,1381.66,1382.44,1365.04,1373.18,322490,92.1106666667,92.1626666667,91.0026666667,91.5453333333,4837350,0.0,1.0,ORLY,tiingo
2025-05-19,1393.9,1396.7899,1378.78,1379.0,310212,92.9266666667,93.1193266667,91.9186666667,91.9333333333,4653180,0.0,1.0,ORLY,tiingo
2025-05-20,1386.22,1398.58,1384.7,1384.99,254001,92.4146666667,93.2386666667,92.3133333333,92.3326666667,3810015,0.0,1.0,ORLY,tiingo
2025-05-21,1370.49,1389.22,1364.87,1375.6,240109,91.366,92.6146666667,90.9913333333,91.7066666667,3601635,0.0,1.0,ORLY,tiingo
2025-05-22,1364.79,1382.65,1356.49,1379.49,305583,90.986,92.1766666667,90.4326666667,91.966,4583745,0.0,1.0,ORLY,tiingo
2025-05-23,1374.37,1381.56,1358.62,1360.87,287391,91.6246666667,92.104,90.5746666667,90.7246666667,4310865,0.0,1.0,ORLY,tiingo
2025-05-27,1361.38,1389.09,1356.02,1375.0,438046,90.7586666667,92.606,90.4013333333,91.6666666667,6570690,0.0,1.0,ORLY,tiingo
2025-05-28,1357.56,1373.78,1356.4,1361.0,291486,90.504,91.5853333333,90.4266666667,90.7333333333,4372290,0.0,1.0,ORLY,tiingo
2025-05-29,1352.06,1360.73,1343.975,1356.18,300209,90.1373333333,90.7153333333,89.5983333333,90.412,4503135,0.0,1.0,ORLY,tiingo
2025-05-30,1367.5,1372.935,1352.905,1355.16,719290,91.1666666667,91.529,90.1936666667,90.344,10789350,0.0,1.0,ORLY,tiingo
2025-06-02,1370.68,1373.5099,1351.75,1357.15,584266,91.3786666667,91.5673266667,90.1166666667,90.4766666667,8763990,0.0,1.0,ORLY,tiingo
2025-06-03,1372.07,1378.09,1352.5,1364.5,464085,91.4713333333,91.8726666667,90.1666666667,90.9666666667,6961275,0.0,1.0,ORLY,tiingo
2025-06-04,1366.59,1378.5761,1347.51,1372.07,306301,91.106,91.9050733333,89.834,91.4713333333,4594515,0.0,1.0,ORLY,tiingo
2025-06-05,1371.8,1375.06,1358.86,1362.94,266024,91.4533333333,91.6706666667,90.5906666667,90.8626666667,3990360,0.0,1.0,ORLY,tiingo
2025-06-06,1377.72,1394.41,1367.375,1378.78,333777,91.848,92.9606666667,91.1583333333,91.9186666667,5006655,0.0,1.0,ORLY,tiingo
2025-06-09,1348.1,1376.215,1332.3,1375.0,372411,89.8733333333,91.7476666667,88.82,91.6666666667,5586165,0.0,1.0,ORLY,tiingo
2025-06-10,91.71,92.12,89.61,90.0,5190679,91.71,92.12,89.61,90.0,5190679,0.0,15.0,ORLY,tiingo
2025-06-11,90.01,91.8716,89.53,91.71,5804062,90.01,91.8716,89.53,91.71,5804062,0.0,1.0,ORLY,tiingo
2025-06-12,91.05,91.34,90.0,90.05,4604028,91.05,91.34,90.0,90.05,4604028,0.0,1.0,ORLY,tiingo
2025-06-13,89.91,91.64,89.4,90.695,4020387,89.91,91.64,89.4,90.695,4020387,0.0,1.0,ORLY,tiingo
2025-06-16,88.12,90.2799,87.655,89.91,6005537,88.12,90.2799,87.655,89.91,6005537,0.0,1.0,ORLY,tiingo
2025-06-17,88.8,89.58,87.7,87.91,5671857,88.8,89.58,87.7,87.91,5671857,0.0,1.0,ORLY,tiingo
2025-06-18,88.32,89.41,88.09,89.18,3862688,88.32,89.41,88.09,89.18,3862688,0.0,1.0,ORLY,tiingo
2025-06-20,89.69,89.83,88.37,88.92,9218846,89.69,89.83,88.37,88.92,9218846,0.0,1.0,ORLY,tiingo
2025-06-23,91.26,91.34,89.93,90.01,5008718,91.26,91.34,89.93,90.01,5008718,0.0,1.0,ORLY,tiingo
2025-06-24,89.18,91.3199,88.94,90.92,4188305,89.18,91.3199,88.94,90.92,4188305,0.0,1.0,ORLY,tiingo
2025-06-25,87.84,89.36,87.46,89.18,4525350,87.84,89.36,87.46,89.18,4525350,0.0,1.0,ORLY,tiingo
2025-06-26,88.23,88.56,86.94,87.93,5528240,88.23,88.56,86.94,87.93,5528240,0.0,1.0,ORLY,tiingo
2025-06-27,89.16,89.76,87.82,88.18,5843825,89.16,89.76,87.82,88.18,5843825,0.0,1.0,ORLY,tiingo
2025-06-30,90.13,90.35,88.98,89.52,5368222,90.13,90.35,88.98,89.52,5368222,0.0,1.0,ORLY,tiingo
2025-07-01,90.5,91.77,90.17,90.26,4547105,90.5,91.77,90.17,90.26,4547105,0.0,1.0,ORLY,tiingo
2025-07-02,89.32,90.35,88.91,90.07,3868557,89.32,90.35,88.91,90.07,3868557,0.0,1.0,ORLY,tiingo
2025-07-03,91.33,91.49,89.15,89.35,3187218,91.33,91.49,89.15,89.35,3187218,0.0,1.0,ORLY,tiingo
2025-07-07,92.67,92.86,90.77,91.1,4637930,92.67,92.86,90.77,91.1,4637930,0.0,1.0,ORLY,tiingo
2025-07-08,91.64,92.82,90.94,92.15,4045944,91.64,92.82,90.94,92.15,4045944,0.0,1.0,ORLY,tiingo
2025-07-09,92.58,92.74,90.77,91.69,4129192,92.58,92.74,90.77,91.69,4129192,0.0,1.0,ORLY,tiingo
2025-07-10,92.38,93.5,92.21,92.21,4635470,92.38,93.5,92.21,92.21,4635470,0.0,1.0,ORLY,tiingo
2025-07-11,91.62,92.19,90.75,92.04,3870989,91.62,92.19,90.75,92.04,3870989,0.0,1.0,ORLY,tiingo
2025-07-14,93.12,93.52,91.67,91.91,4598481,93.12,93.52,91.67,91.91,4598481,0.0,1.0,ORLY,tiingo
2025-07-15,91.19,93.05,91.16,92.55,3825690,91.19,93.05,91.16,92.55,3825690,0.0,1.0,ORLY,tiingo
2025-07-16,91.24,92.04,90.38,91.795,4018574,91.24,92.04,90.38,91.795,4018574,0.0,1.0,ORLY,tiingo
2025-07-17,91.59,92.62,91.03,91.03,3826387,91.59,92.62,91.03,91.03,3826387,0.0,1.0,ORLY,tiingo
2025-07-18,92.34,93.13,91.965,92.195,4003391,92.34,93.13,91.965,92.195,4003391,0.0,1.0,ORLY,tiingo
2025-07-21,94.15,94.64,92.185,92.26,5306847,94.15,94.64,92.185,92.26,5306847,0.0,1.0,ORLY,tiingo
2025-07-22,95.35,95.58,93.76,93.935,5070320,95.35,95.58,93.76,93.935,5070320,0.0,1.0,ORLY,tiingo
2025-07-23,95.42,95.52,94.43,95.09,5144720,95.42,95.52,94.43,95.09,5144720,0.0,1.0,ORLY,tiingo
2025-07-24,98.16,100.1,95.33,95.78,8587195,98.16,100.1,95.33,95.78,8587195,0.0,1.0,ORLY,tiingo
2025-07-25,97.66,99.65,97.43,99.24,5514115,97.66,99.65,97.43,99.24,5514115,0.0,1.0,ORLY,tiingo
2025-07-28,97.33,98.44,97.08,97.65,3657812,97.33,98.44,97.08,97.65,3657812,0.0,1.0,ORLY,tiingo
2025-07-29,98.9,99.59,97.455,97.65,4922472,98.9,99.59,97.455,97.65,4922472,0.0,1.0,ORLY,tiingo
2025-07-30,99.38,100.6,98.81,99.01,5164975,99.38,100.6,98.81,99.01,5164975,0.0,1.0,ORLY,tiingo
2025-07-31,98.32,99.97,98.1,98.76,5581758,98.32,99.97,98.1,98.76,5581758,0.0,1.0,ORLY,tiingo
2025-08-01,99.12,99.795,97.88,99.1,4719271,99.12,99.795,97.88,99.1,4719271,0.0,1.0,ORLY,tiingo
2025-08-04,101.37,101.74,99.12,99.41,4339358,101.37,101.74,99.12,99.41,4339358,0.0,1.0,ORLY,tiingo
2025-08-05,102.23,102.48,101.16,101.39,4039066,102.23,102.48,101.16,101.39,4039066,0.0,1.0,ORLY,tiingo
2025-08-06,104.44,104.67,102.56,102.66,6061792,104.44,104.67,102.56,102.66,6061792,0.0,1.0,ORLY,tiingo
2025-08-07,103.47,104.86,102.92,104.83,5632707,103.47,104.86,102.92,104.83,5632707,0.0,1.0,ORLY,tiingo
2025-08-08,103.33,104.18,103.19,103.38,3677004,103.33,104.18,103.19,103.38,3677004,0.0,1.0,ORLY,tiingo
2025-08-11,103.6,103.7081,102.8,103.36,4004921,103.6,103.7081,102.8,103.36,4004921,0.0,1.0,ORLY,tiingo
2025-08-12,101.89,103.49,101.415,103.25,4259072,101.89,103.49,101.415,103.25,4259072,0.0,1.0,ORLY,tiingo
2025-08-13,102.64,103.24,101.91,101.95,4102007,102.64,103.24,101.91,101.95,4102007,0.0,1.0,ORLY,tiingo
2025-08-14,101.5,103.3354,101.4,102.94,7244503,101.5,103.3354,101.4,102.94,7244503,0.0,1.0,ORLY,tiingo
2025-08-15,101.54,101.91,100.84,101.86,4281308,101.54,101.91,100.84,101.86,4281308,0.0,1.0,ORLY,tiingo
2025-08-18,101.39,102.12,100.99,101.91,4170676,101.39,102.12,100.99,101.91,4170676,0.0,1.0,ORLY,tiingo
2025-08-19,103.06,103.1,101.41,101.56,4250099,103.06,103.1,101.41,101.56,4250099,0.0,1.0,ORLY,tiingo
2025-08-20,104.0,104.53,103.135,103.89,5341050,104.0,104.53,103.135,103.89,5341050,0.0,1.0,ORLY,tiingo
2025-08-21,102.87,104.5,102.84,103.71,4173782,102.87,104.5,102.84,103.71,4173782,0.0,1.0,ORLY,tiingo
2025-08-22,102.31,104.0,102.03,103.37,3483902,102.31,104.0,102.03,103.37,3483902,0.0,1.0,ORLY,tiingo
2025-08-25,102.47,102.8714,101.8075,102.32,3102470,102.47,102.8714,101.8075,102.32,3102470,0.0,1.0,ORLY,tiingo
2025-08-26,103.18,103.98,102.0,102.43,4899048,103.18,103.98,102.0,102.43,4899048,0.0,1.0,ORLY,tiingo
2025-08-27,104.05,104.135,103.0401,103.525,3139205,104.05,104.135,103.0401,103.525,3139205,0.0,1.0,ORLY,tiingo
2025-08-28,103.99,104.12,103.2705,103.83,2961195,103.99,104.12,103.2705,103.83,2961195,0.0,1.0,ORLY,tiingo
2025-08-29,103.68,104.415,103.35,104.19,2952723,103.68,104.415,103.35,104.19,2952723,0.0,1.0,ORLY,tiingo
2025-09-02,103.19,104.35,102.87,103.75,3698028,103.19,104.35,102.87,103.75,3698028,0.0,1.0,ORLY,tiingo
2025-09-03,103.84,103.95,102.95,103.12,3083900,103.84,103.95,102.95,103.12,3083900,0.0,1.0,ORLY,tiingo
2025-09-04,105.04,105.13,103.77,104.02,3597911,105.04,105.13,103.77,104.02,3597911,0.0,1.0,ORLY,tiingo
2025-09-05,104.84,105.315,103.595,105.315,4202700,104.84,105.315,103.595,105.315,4202700,0.0,1.0,ORLY,tiingo
2025-09-08,106.4,106.545,104.89,104.94,4361074,106.4,106.545,104.89,104.94,4361074,0.0,1.0,ORLY,tiingo
2025-09-09,106.92,107.08,105.02,105.74,3533874,106.92,107.08,105.02,105.74,3533874,0.0,1.0,ORLY,tiingo
2025-09-10,105.11,107.2,104.65,106.66,4999967,105.11,107.2,104.65,106.66,4999967,0.0,1.0,ORLY,tiingo
2025-09-11,107.82,108.07,105.51,105.66,5271967,107.82,108.07,105.51,105.66,5271967,0.0,1.0,ORLY,tiingo
2025-09-12,107.5,108.42,107.2,107.43,4783128,107.5,108.42,107.2,107.43,4783128,0.0,1.0,ORLY,tiingo
2025-09-15,106.295,107.9,105.68,107.33,6955948,106.295,107.9,105.68,107.33,6955948,0.0,1.0,ORLY,tiingo
2025-09-16,105.39,107.155,105.38,106.21,5495945,105.39,107.155,105.38,106.21,5495945,0.0,1.0,ORLY,tiingo
2025-09-17,104.55,106.08,103.74,105.45,6557564,104.55,106.08,103.74,105.45,6557564,0.0,1.0,ORLY,tiingo
2025-09-18,103.69,105.385,103.475,104.245,6214967,103.69,105.385,103.475,104.245,6214967,0.0,1.0,ORLY,tiingo
2025-09-19,103.93,104.37,103.23,104.06,10047748,103.93,104.37,103.23,104.06,10047748,0.0,1.0,ORLY,tiingo
2025-09-22,103.45,104.61,103.18,103.335,4971013,103.45,104.61,103.18,103.335,4971013,0.0,1.0,ORLY,tiingo
2025-09-23,103.73,104.13,100.95,102.87,5495176,103.73,104.13,100.95,102.87,5495176,0.0,1.0,ORLY,tiingo
2025-09-24,103.47,104.11,102.73,103.66,4982412,103.47,104.11,102.73,103.66,4982412,0.0,1.0,ORLY,tiingo
2025-09-25,104.58,105.12,103.39,104.03,4415720,104.58,105.12,103.39,104.03,4415720,0.0,1.0,ORLY,tiingo
2025-09-26,106.1,106.3,104.3,105.04,3454276,106.1,106.3,104.3,105.04,3454276,0.0,1.0,ORLY,tiingo
2025-09-29,107.55,107.71,105.88,106.24,4527189,107.55,107.71,105.88,106.24,4527189,0.0,1.0,ORLY,tiingo
2025-09-30,107.81,108.715,107.5,107.5,5027587,107.81,108.715,107.5,107.5,5027587,0.0,1.0,ORLY,tiingo
2025-10-01,105.68,107.96,105.57,107.64,4144055,105.68,107.96,105.57,107.64,4144055,0.0,1.0,ORLY,tiingo
2025-10-02,104.97,105.385,103.7784,104.72,3388765,104.97,105.385,103.7784,104.72,3388765,0.0,1.0,ORLY,tiingo
2025-10-03,104.79,105.36,104.16,104.77,2715957,104.79,105.36,104.16,104.77,2715957,0.0,1.0,ORLY,tiingo
2025-10-06,103.3,105.23,102.53,104.91,4161291,103.3,105.23,102.53,104.91,4161291,0.0,1.0,ORLY,tiingo
2025-10-07,101.85,103.3,101.02,102.92,3967419,101.85,103.3,101.02,102.92,3967419,0.0,1.0,ORLY,tiingo
2025-10-08,100.76,101.75,100.665,101.75,3520296,100.76,101.75,100.665,101.75,3520296,0.0,1.0,ORLY,tiingo
2025-10-09,99.72,101.55,99.625,101.04,3832552,99.72,101.55,99.625,101.04,3832552,0.0,1.0,ORLY,tiingo
2025-10-10,102.15,102.64,99.68,99.92,5487685,102.15,102.64,99.68,99.92,5487685,0.0,1.0,ORLY,tiingo
2025-10-13,102.88,102.98,101.62,101.82,4088993,102.88,102.98,101.62,101.82,4088993,0.0,1.0,ORLY,tiingo
2025-10-14,103.05,104.06,102.305,103.14,4008615,103.05,104.06,102.305,103.14,4008615,0.0,1.0,ORLY,tiingo
2025-10-15,102.12,103.82,101.88,103.04,3958948,102.12,103.82,101.88,103.04,3958948,0.0,1.0,ORLY,tiingo
2025-10-16,101.17,102.7144,101.0,102.18,5148389,101.17,102.7144,101.0,102.18,5148389,0.0,1.0,ORLY,tiingo
2025-10-17,101.6,101.701,100.5,101.42,4359165,101.6,101.701,100.5,101.42,4359165,0.0,1.0,ORLY,tiingo
2025-10-20,100.97,102.02,99.6,102.02,4888407,100.97,102.02,99.6,102.02,4888407,0.0,1.0,ORLY,tiingo
2025-10-21,101.31,101.56,100.48,100.95,5042465,101.31,101.56,100.48,100.95,5042465,0.0,1.0,ORLY,tiingo
2025-10-22,101.21,101.735,100.0764,101.48,4836218,101.21,101.735,100.0764,101.48,4836218,0.0,1.0,ORLY,tiingo
2025-10-23,98.27,101.43,94.02,99.5,11597455,98.27,101.43,94.02,99.5,11597455,0.0,1.0,ORLY,tiingo
2025-10-24,97.27,99.49,97.175,99.47,5234692,97.27,99.49,97.175,99.47,5234692,0.0,1.0,ORLY,tiingo
2025-10-27,95.79,97.02,95.29,96.805,6512003,95.79,97.02,95.29,96.805,6512003,0.0,1.0,ORLY,tiingo
2025-10-28,96.3,97.92,95.62,95.67,5797583,96.3,97.92,95.62,95.67,5797583,0.0,1.0,ORLY,tiingo
2025-10-29,94.52,96.52,94.13,95.58,4976922,94.52,96.52,94.13,95.58,4976922,0.0,1.0,ORLY,tiingo
2025-10-30,95.15,96.37,94.5301,95.47,5747822,95.15,96.37,94.5301,95.47,5747822,0.0,1.0,ORLY,tiingo
2025-10-31,94.44,95.62,94.255,94.51,5746672,94.44,95.62,94.255,94.51,5746672,0.0,1.0,ORLY,tiingo
2025-11-03,91.7,94.275,90.18,93.975,11118372,91.7,94.275,90.18,93.975,11118372,0.0,1.0,ORLY,tiingo
2025-11-04,93.83,93.91,91.65,92.055,6563909,93.83,93.91,91.65,92.055,6563909,0.0,1.0,ORLY,tiingo
2025-11-05,94.94,96.38,94.1,94.66,6895572,94.94,96.38,94.1,94.66,6895572,0.0,1.0,ORLY,tiingo
2025-11-06,95.0,95.76,93.66,94.55,4814604,95.0,95.76,93.66,94.55,4814604,0.0,1.0,ORLY,tiingo
2025-11-07,97.09,97.39,95.02,95.7,6079800,97.09,97.39,95.02,95.7,6079800,0.0,1.0,ORLY,tiingo
2025-11-10,98.1,98.42,95.68,96.24,5319851,98.1,98.42,95.68,96.24,5319851,0.0,1.0,ORLY,tiingo
2025-11-11,99.22,99.42,97.88,98.49,4152092,99.22,99.42,97.88,98.49,4152092,0.0,1.0,ORLY,tiingo
2025-11-12,98.09,99.13,98.0,98.78,3279692,98.09,99.13,98.0,98.78,3279692,0.0,1.0,ORLY,tiingo
2025-11-13,98.35,99.76,98.13,98.13,4446168,98.35,99.76,98.13,98.13,4446168,0.0,1.0,ORLY,tiingo
2025-11-14,98.8,100.0,98.03,99.6,3351735,98.8,100.0,98.03,99.6,3351735,0.0,1.0,ORLY,tiingo
2025-11-17,99.56,99.67,98.6,99.26,4777483,99.56,99.67,98.6,99.26,4777483,0.0,1.0,ORLY,tiingo
