date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-11,90.5,91.98,87.97,89.45,21119886,90.5,91.98,87.97,89.45,21119886,0.0,1.0,PDD,tiingo
2025-04-14,94.78,99.1,93.365,93.365,20237475,94.78,99.1,93.365,93.365,20237475,0.0,1.0,PDD,tiingo
2025-04-15,94.07,96.54,93.69,95.0,9641559,94.07,96.54,93.69,95.0,9641559,0.0,1.0,PDD,tiingo
2025-04-16,92.35,93.41,91.53,92.39,11762185,92.35,93.41,91.53,92.39,11762185,0.0,1.0,PDD,tiingo
2025-04-17,93.69,94.24,92.2708,93.75,10680948,93.69,94.24,92.2708,93.75,10680948,0.0,1.0,PDD,tiingo
2025-04-21,94.36,94.55,92.68,93.13,6707489,94.36,94.55,92.68,93.13,6707489,0.0,1.0,PDD,tiingo
2025-04-22,98.34,100.78,95.64,96.68,11911018,98.34,100.78,95.64,96.68,11911018,0.0,1.0,PDD,tiingo
2025-04-23,100.43,105.71,100.32,102.135,14258233,100.43,105.71,100.32,102.135,14258233,0.0,1.0,PDD,tiingo
2025-04-24,103.27,103.82,98.755,99.985,8587215,103.27,103.82,98.755,99.985,8587215,0.0,1.0,PDD,tiingo
2025-04-25,104.01,104.12,102.15,102.92,5063331,104.01,104.12,102.15,102.92,5063331,0.0,1.0,PDD,tiingo
2025-04-28,103.09,105.17,101.89,103.66,4638334,103.09,105.17,101.89,103.66,4638334,0.0,1.0,PDD,tiingo
2025-04-29,104.15,105.1,103.14,103.315,5115792,104.15,105.1,103.14,103.315,5115792,0.0,1.0,PDD,tiingo
2025-04-30,105.57,105.68,102.81,102.93,5047492,105.57,105.68,102.81,102.93,5047492,0.0,1.0,PDD,tiingo
2025-05-01,105.97,107.04,105.16,106.355,3633165,105.97,107.04,105.16,106.355,3633165,0.0,1.0,PDD,tiingo
2025-05-02,110.92,111.605,109.085,109.9,9152557,110.92,111.605,109.085,109.9,9152557,0.0,1.0,PDD,tiingo
2025-05-05,110.85,111.17,107.82,108.53,4139840,110.85,111.17,107.82,108.53,4139840,0.0,1.0,PDD,tiingo
2025-05-06,111.32,112.56,109.76,109.85,4666939,111.32,112.56,109.76,109.85,4666939,0.0,1.0,PDD,tiingo
2025-05-07,109.39,109.72,108.33,109.49,5596945,109.39,109.72,108.33,109.49,5596945,0.0,1.0,PDD,tiingo
2025-05-08,109.9,111.3,109.39,110.13,4611975,109.9,111.3,109.39,110.13,4611975,0.0,1.0,PDD,tiingo
2025-05-09,109.65,111.66,108.852,110.06,3849518,109.65,111.66,108.852,110.06,3849518,0.0,1.0,PDD,tiingo
2025-05-12,116.38,120.09,116.01,117.46,15852788,116.38,120.09,116.01,117.46,15852788,0.0,1.0,PDD,tiingo
2025-05-13,119.45,121.89,115.55,116.82,9821436,119.45,121.89,115.55,116.82,9821436,0.0,1.0,PDD,tiingo
