date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-11,141.51,142.47,137.66,138.82,4388863,140.0962160794,141.0466250077,136.2846802734,137.4330910617,4388863,0.0,1.0,ROST,tiingo
2025-04-14,143.66,144.31,141.89,142.41,2995745,142.224736075,142.8682421201,140.4724196135,140.9872244496,2995745,0.0,1.0,ROST,tiingo
2025-04-15,141.03,144.14,140.67,143.22,2570240,139.6210116153,142.6999405391,139.2646082672,141.7891319829,2570240,0.0,1.0,ROST,tiingo
2025-04-16,138.68,142.265,137.725,141.75,2512522,137.2944897597,140.8436731011,136.3490308779,140.3338183115,2512522,0.0,1.0,ROST,tiingo
2025-04-17,139.63,140.46,138.22,139.41,2287583,138.2349985949,139.0567063141,136.8390854816,138.0171965489,2287583,0.0,1.0,ROST,tiingo
2025-04-21,135.49,139.14,133.695,139.14,3161321,134.1363600919,137.7498940378,132.3592933979,137.7498940378,3161321,0.0,1.0,ROST,tiingo
2025-04-22,137.89,138.7299,136.21,136.5,2523363,136.5123824125,137.3438912238,134.849166788,135.1362694851,2523363,0.0,1.0,ROST,tiingo
2025-04-23,138.22,141.67,137.71,140.61,2294456,136.8390854816,140.2546175675,136.3341807384,139.2052077092,2294456,0.0,1.0,ROST,tiingo
2025-04-24,139.93,140.335,135.7701,137.09,2484949,138.532001385,138.9329551516,134.4136616969,135.7203749723,2484949,0.0,1.0,ROST,tiingo
2025-04-25,139.71,142.63,138.5903,140.46,2289834,138.3141993389,141.2050264957,137.2056859254,139.0567063141,2289834,0.0,1.0,ROST,tiingo
2025-04-28,139.37,142.0,138.79,139.915,2515773,137.9775961769,140.5813206365,137.4033907827,138.5171512455,2515773,0.0,1.0,ROST,tiingo
2025-04-29,140.78,141.18,138.75,138.79,2165909,139.3735092902,139.7695130103,137.3637904107,137.4033907827,2165909,0.0,1.0,ROST,tiingo
2025-04-30,139.0,139.575,137.25,138.87,4037324,137.6112927358,138.1805480834,135.8787764603,137.4825915267,4037324,0.0,1.0,ROST,tiingo
