date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-11,85.43,85.82,82.08,84.43,10059728,82.6174387183,82.9945989794,79.3777287838,81.6503611259,10059728,0.0,1.0,SBUX,tiingo
2025-04-14,85.49,86.77,83.4,86.32,8880494,82.6754633739,83.9133226921,80.6542712058,83.4781377756,8880494,0.0,1.0,SBUX,tiingo
2025-04-15,83.71,86.055,83.46,85.5,7088577,80.9540652594,83.2218622136,80.7122958613,82.6851341498,7088577,0.0,1.0,SBUX,tiingo
2025-04-16,80.76,83.52,79.89,83.3,13080847,78.1011863618,80.7703205168,77.2598288565,80.5575634465,13080847,0.0,1.0,SBUX,tiingo
2025-04-17,81.5,82.55,81.2,81.25,9787506,78.8168237802,79.8322552522,78.5267005025,78.5750543821,9787506,0.0,1.0,SBUX,tiingo
2025-04-21,80.68,80.82,78.13,80.36,10595620,78.0238201544,78.1592110174,75.5577722938,77.7143553249,10595620,0.0,1.0,SBUX,tiingo
2025-04-22,81.75,83.49,81.62,81.91,10408576,79.0585931783,80.7413081891,78.9328730913,79.2133255931,10408576,0.0,1.0,SBUX,tiingo
2025-04-23,82.81,85.74,82.65,84.0,9114434,80.0836954262,82.917232772,79.9289630115,81.2345177612,9114434,0.0,1.0,SBUX,tiingo
2025-04-24,83.86,84.14,81.58,82.39,6798096,81.0991268983,81.3699086241,78.8941899876,79.6775228374,6798096,0.0,1.0,SBUX,tiingo
2025-04-25,83.81,83.99,82.46,83.63,5799429,81.0507730186,81.2248469853,79.7452182689,80.876699052,5799429,0.0,1.0,SBUX,tiingo
2025-04-28,83.9,85.055,83.27,84.33,7091355,81.137810002,82.2547846212,80.5285511187,81.5536533667,7091355,0.0,1.0,SBUX,tiingo
2025-04-29,84.85,85.07,83.2,83.64,16356940,82.0565337147,82.2692907851,80.4608556873,80.8863698279,16356940,0.0,1.0,SBUX,tiingo
2025-04-30,80.05,80.28,75.5,76.37,41297025,77.4145612712,77.6369891175,73.0143582258,73.8557157312,41297025,0.0,1.0,SBUX,tiingo
2025-05-01,82.01,82.705,80.27,80.71,18326734,79.3100333523,79.982152279,77.6273183416,78.0528324822,18326734,0.0,1.0,SBUX,tiingo
2025-05-02,84.69,84.83,82.05,82.59,13512926,81.9018012999,82.0371921629,79.348716456,79.8709383559,13512926,0.0,1.0,SBUX,tiingo
2025-05-05,81.66,84.078,81.59,83.995,13361872,78.971556195,81.3099498134,78.9038607635,81.2296823732,13361872,0.0,1.0,SBUX,tiingo
2025-05-06,82.78,83.37,80.61,81.0,10709518,80.0546830985,80.625258878,77.956124723,78.333284984,10709518,0.0,1.0,SBUX,tiingo
2025-05-07,82.71,83.23,82.14,82.97,8227253,79.986987667,80.4898680151,79.4357534393,80.238427841,8227253,0.0,1.0,SBUX,tiingo
2025-05-08,82.19,83.6,81.69,83.34,8759817,79.484107319,80.8476867242,79.0005685228,80.5962465502,8759817,0.0,1.0,SBUX,tiingo
2025-05-09,80.3,82.67,80.2,82.41,8210711,77.6563306693,79.9483045633,77.5596229101,79.6968643893,8210711,0.0,1.0,SBUX,tiingo
2025-05-12,85.67,86.54,83.64,83.65,17241549,82.8495373405,83.6908948459,80.8863698279,80.8960406039,17241549,0.0,1.0,SBUX,tiingo
2025-05-13,86.88,87.14,85.1,85.87,11533703,84.0197012273,84.2711414013,82.2983031128,83.042952859,11533703,0.0,1.0,SBUX,tiingo
2025-05-14,86.535,87.63,85.74,86.71,12741545,83.6860594579,84.7450094216,82.917232772,83.8552980366,12741545,0.0,1.0,SBUX,tiingo
2025-05-15,87.26,87.78,85.82,86.54,13721889,84.3871907124,84.8900710605,82.9945989794,83.6908948459,13721889,0.0,1.0,SBUX,tiingo
2025-05-16,85.57,86.91,84.275,86.62,13109490,83.3427469126,84.6478688112,82.0814537345,84.365417057,13109490,0.61,1.0,SBUX,tiingo
2025-05-19,84.61,85.14,84.11,84.45,9568067,82.4077342091,82.9239391392,81.9207484261,82.2518987586,9568067,0.0,1.0,SBUX,tiingo
2025-05-20,85.59,86.15,84.45,84.52,9310599,83.3622263439,83.907650421,82.2518987586,82.3200767682,9310599,0.0,1.0,SBUX,tiingo
2025-05-21,82.98,85.5082,82.51,84.41,10875431,80.8201605564,83.2825554698,80.3623939203,82.2129398959,10875431,0.0,1.0,SBUX,tiingo
2025-05-22,83.97,84.48,82.72,83.215,8440409,81.7843924068,82.2811179056,80.5669279492,81.0490438744,8440409,0.0,1.0,SBUX,tiingo
2025-05-23,84.4,84.825,82.57,82.58,7088243,82.2032001803,82.6171380959,80.4208322143,80.4305719299,7088243,0.0,1.0,SBUX,tiingo
2025-05-27,87.01,87.09,85.22,85.43,10922300,84.7452659678,84.8231836931,83.0018568645,83.2063908934,10922300,0.0,1.0,SBUX,tiingo
2025-05-28,86.0,87.595,84.54,87.43,12328514,83.761554686,85.315039334,82.3395561995,85.1543340256,12328514,0.0,1.0,SBUX,tiingo
