date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-11,484.22,486.97,468.3,477.11,1574307,484.22,486.97,468.3,477.11,1574307,0.0,1.0,VRTX,tiingo
2025-04-14,495.83,498.6399,484.2,487.01,1362389,495.83,498.6399,484.2,487.01,1362389,0.0,1.0,VRTX,tiingo
2025-04-15,500.49,501.91,493.12,499.0,1031054,500.49,501.91,493.12,499.0,1031054,0.0,1.0,VRTX,tiingo
2025-04-16,485.89,502.22,483.43,500.97,1391451,485.89,502.22,483.43,500.97,1391451,0.0,1.0,VRTX,tiingo
2025-04-17,489.1,492.23,485.08,492.23,1205470,489.1,492.23,485.08,492.23,1205470,0.0,1.0,VRTX,tiingo
2025-04-21,477.52,490.83,472.9,488.0,1176467,477.52,490.83,472.9,488.0,1176467,0.0,1.0,VRTX,tiingo
2025-04-22,490.47,491.8,480.5639,483.83,1131506,490.47,491.8,480.5639,483.83,1131506,0.0,1.0,VRTX,tiingo
2025-04-23,492.42,498.41,484.965,488.27,1247306,492.42,498.41,484.965,488.27,1247306,0.0,1.0,VRTX,tiingo
2025-04-24,492.47,494.1,486.65,492.42,1369113,492.47,494.1,486.65,492.42,1369113,0.0,1.0,VRTX,tiingo
2025-04-25,493.84,494.92,484.5,492.54,1561559,493.84,494.92,484.5,492.54,1561559,0.0,1.0,VRTX,tiingo
2025-04-28,496.49,498.65,490.37,495.4,1503471,496.49,498.65,490.37,495.4,1503471,0.0,1.0,VRTX,tiingo
2025-04-29,503.5,506.96,490.85,494.26,1254969,503.5,506.96,490.85,494.26,1254969,0.0,1.0,VRTX,tiingo
2025-04-30,509.5,510.77,497.34,500.79,1445874,509.5,510.77,497.34,500.79,1445874,0.0,1.0,VRTX,tiingo
2025-05-01,498.86,507.75,498.205,507.0,1452279,498.86,507.75,498.205,507.0,1452279,0.0,1.0,VRTX,tiingo
2025-05-02,501.15,509.0,498.03,505.86,1653616,501.15,509.0,498.03,505.86,1653616,0.0,1.0,VRTX,tiingo
2025-05-05,500.19,505.61,498.02,501.45,1669638,500.19,505.61,498.02,501.45,1669638,0.0,1.0,VRTX,tiingo
2025-05-06,450.03,467.85,428.545,465.555,8000682,450.03,467.85,428.545,465.555,8000682,0.0,1.0,VRTX,tiingo
2025-05-07,434.82,449.0,432.29,447.52,3997462,434.82,449.0,432.29,447.52,3997462,0.0,1.0,VRTX,tiingo
2025-05-08,429.6,432.135,423.4,430.165,2940973,429.6,432.135,423.4,430.165,2940973,0.0,1.0,VRTX,tiingo
2025-05-09,424.99,434.93,424.8,430.22,1642317,424.99,434.93,424.8,430.22,1642317,0.0,1.0,VRTX,tiingo
2025-05-12,439.37,441.0999,423.2,425.3,2095350,439.37,441.0999,423.2,425.3,2095350,0.0,1.0,VRTX,tiingo
2025-05-13,432.0,442.12,429.54,437.53,2645767,432.0,442.12,429.54,437.53,2645767,0.0,1.0,VRTX,tiingo
2025-05-14,421.16,433.41,416.6,432.0,2058665,421.16,433.41,416.6,432.0,2058665,0.0,1.0,VRTX,tiingo
2025-05-15,434.38,434.42,421.76,424.69,1935671,434.38,434.42,421.76,424.69,1935671,0.0,1.0,VRTX,tiingo
2025-05-16,438.65,438.95,429.94,435.3,1505319,438.65,438.95,429.94,435.3,1505319,0.0,1.0,VRTX,tiingo
2025-05-19,440.66,441.625,435.15,437.49,1182816,440.66,441.625,435.15,437.49,1182816,0.0,1.0,VRTX,tiingo
2025-05-20,447.18,448.0,440.81,442.0,1510647,447.18,448.0,440.81,442.0,1510647,0.0,1.0,VRTX,tiingo
2025-05-21,435.32,445.158,433.77,444.37,1427347,435.32,445.158,433.77,444.37,1427347,0.0,1.0,VRTX,tiingo
2025-05-22,434.03,437.0,429.55,435.76,1618291,434.03,437.0,429.55,435.76,1618291,0.0,1.0,VRTX,tiingo
2025-05-23,436.0,436.59,427.43,428.68,1427494,436.0,436.59,427.43,428.68,1427494,0.0,1.0,VRTX,tiingo
2025-05-27,446.0,447.47,437.335,437.335,2048372,446.0,447.47,437.335,437.335,2048372,0.0,1.0,VRTX,tiingo
2025-05-28,445.1,451.64,443.405,446.4,1209533,445.1,451.64,443.405,446.4,1209533,0.0,1.0,VRTX,tiingo
2025-05-29,447.09,449.22,442.755,444.99,882693,447.09,449.22,442.755,444.99,882693,0.0,1.0,VRTX,tiingo
2025-05-30,442.05,447.99,439.37,447.64,2581744,442.05,447.99,439.37,447.64,2581744,0.0,1.0,VRTX,tiingo
2025-06-02,445.43,447.98,439.54,441.27,1179283,445.43,447.98,439.54,441.27,1179283,0.0,1.0,VRTX,tiingo
2025-06-03,446.48,449.845,439.5425,444.3,1683406,446.48,449.845,439.5425,444.3,1683406,0.0,1.0,VRTX,tiingo
2025-06-04,445.85,453.87,445.84,448.04,840219,445.85,453.87,445.84,448.04,840219,0.0,1.0,VRTX,tiingo
2025-06-05,443.82,447.485,437.45,445.01,1400553,443.82,447.485,437.45,445.01,1400553,0.0,1.0,VRTX,tiingo
2025-06-06,450.5,451.66,443.83,443.83,960500,450.5,451.66,443.83,443.83,960500,0.0,1.0,VRTX,tiingo
2025-06-09,446.15,451.515,444.84,450.78,912586,446.15,451.515,444.84,450.78,912586,0.0,1.0,VRTX,tiingo
2025-06-10,451.52,455.64,441.92,442.45,1286958,451.52,455.64,441.92,442.45,1286958,0.0,1.0,VRTX,tiingo
2025-06-11,452.44,460.33,450.1292,451.3,1016621,452.44,460.33,450.1292,451.3,1016621,0.0,1.0,VRTX,tiingo
2025-06-12,460.06,460.06,451.94,453.19,1074625,460.06,460.06,451.94,453.19,1074625,0.0,1.0,VRTX,tiingo
2025-06-13,455.45,460.1,454.0,455.39,1021563,455.45,460.1,454.0,455.39,1021563,0.0,1.0,VRTX,tiingo
2025-06-16,450.91,457.23,448.71,456.38,1030124,450.91,457.23,448.71,456.38,1030124,0.0,1.0,VRTX,tiingo
2025-06-17,441.99,452.71,440.75,449.43,1363520,441.99,452.71,440.75,449.43,1363520,0.0,1.0,VRTX,tiingo
2025-06-18,448.4,451.63,440.0,443.41,1380456,448.4,451.63,440.0,443.41,1380456,0.0,1.0,VRTX,tiingo
2025-06-20,440.87,451.81,436.805,451.26,2167405,440.87,451.81,436.805,451.26,2167405,0.0,1.0,VRTX,tiingo
2025-06-23,443.54,445.0,439.5701,441.69,950068,443.54,445.0,439.5701,441.69,950068,0.0,1.0,VRTX,tiingo
2025-06-24,450.27,451.88,441.0,445.0,1068028,450.27,451.88,441.0,445.0,1068028,0.0,1.0,VRTX,tiingo
2025-06-25,445.82,451.08,442.76,450.48,1077249,445.82,451.08,442.76,450.48,1077249,0.0,1.0,VRTX,tiingo
2025-06-26,443.4,446.18,441.13,445.82,1169253,443.4,446.18,441.13,445.82,1169253,0.0,1.0,VRTX,tiingo
2025-06-27,441.3,446.62,440.5,442.99,3615487,441.3,446.62,440.5,442.99,3615487,0.0,1.0,VRTX,tiingo
2025-06-30,445.2,446.45,439.23,440.45,1114747,445.2,446.45,439.23,440.45,1114747,0.0,1.0,VRTX,tiingo
2025-07-01,452.16,456.97,443.49,445.5,1146672,452.16,456.97,443.49,445.5,1146672,0.0,1.0,VRTX,tiingo
2025-07-02,457.03,457.75,448.0,449.81,978365,457.03,457.75,448.0,449.81,978365,0.0,1.0,VRTX,tiingo
2025-07-03,459.62,461.05,456.575,458.45,763957,459.62,461.05,456.575,458.45,763957,0.0,1.0,VRTX,tiingo
2025-07-07,459.41,461.245,455.79,460.0,1589764,459.41,461.245,455.79,460.0,1589764,0.0,1.0,VRTX,tiingo
2025-07-08,466.36,470.3447,456.77,457.73,1103845,466.36,470.3447,456.77,457.73,1103845,0.0,1.0,VRTX,tiingo
2025-07-09,478.965,479.34,466.7901,468.09,1044895,478.965,479.34,466.7901,468.09,1044895,0.0,1.0,VRTX,tiingo
2025-07-10,479.53,484.5626,475.91,477.675,932755,479.53,484.5626,475.91,477.675,932755,0.0,1.0,VRTX,tiingo
2025-07-11,468.85,478.27,467.97,476.49,892841,468.85,478.27,467.97,476.49,892841,0.0,1.0,VRTX,tiingo
2025-07-14,472.35,475.27,467.0,467.69,730162,472.35,475.27,467.0,467.69,730162,0.0,1.0,VRTX,tiingo
2025-07-15,464.2,475.29,463.4,473.0,988192,464.2,475.29,463.4,473.0,988192,0.0,1.0,VRTX,tiingo
2025-07-16,469.55,470.94,465.1,465.1,785466,469.55,470.94,465.1,465.1,785466,0.0,1.0,VRTX,tiingo
2025-07-17,463.27,472.22,461.865,466.32,1252010,463.27,472.22,461.865,466.32,1252010,0.0,1.0,VRTX,tiingo
2025-07-18,459.81,467.0,458.14,467.0,975145,459.81,467.0,458.14,467.0,975145,0.0,1.0,VRTX,tiingo
2025-07-21,458.49,462.31,456.83,459.81,801137,458.49,462.31,456.83,459.81,801137,0.0,1.0,VRTX,tiingo
2025-07-22,470.13,470.8,458.88,461.03,1005498,470.13,470.8,458.88,461.03,1005498,0.0,1.0,VRTX,tiingo
2025-07-23,476.95,478.74,471.305,472.54,909314,476.95,478.74,471.305,472.54,909314,0.0,1.0,VRTX,tiingo
2025-07-24,472.27,480.0,472.03,477.14,907940,472.27,480.0,472.03,477.14,907940,0.0,1.0,VRTX,tiingo
2025-07-25,469.65,472.71,465.8414,472.66,1176917,469.65,472.71,465.8414,472.66,1176917,0.0,1.0,VRTX,tiingo
2025-07-28,460.83,471.0,460.73,467.44,2107378,460.83,471.0,460.73,467.44,2107378,0.0,1.0,VRTX,tiingo
2025-07-29,468.41,468.98,460.55,464.33,1151428,468.41,468.98,460.55,464.33,1151428,0.0,1.0,VRTX,tiingo
2025-07-30,469.16,474.761,466.8,471.2,993276,469.16,474.761,466.8,471.2,993276,0.0,1.0,VRTX,tiingo
2025-07-31,456.87,470.59,455.45,465.29,1480196,456.87,470.59,455.45,465.29,1480196,0.0,1.0,VRTX,tiingo
2025-08-01,462.13,464.225,453.51,457.39,1857348,462.13,464.225,453.51,457.39,1857348,0.0,1.0,VRTX,tiingo
2025-08-04,472.27,473.37,462.0575,466.505,2326770,472.27,473.37,462.0575,466.505,2326770,0.0,1.0,VRTX,tiingo
2025-08-05,374.98,414.8799,373.19,408.22,10729396,374.98,414.8799,373.19,408.22,10729396,0.0,1.0,VRTX,tiingo
2025-08-06,385.65,390.56,372.35,375.76,4726577,385.65,390.56,372.35,375.76,4726577,0.0,1.0,VRTX,tiingo
2025-08-07,375.63,388.3199,374.4544,385.0,3995538,375.63,388.3199,374.4544,385.0,3995538,0.0,1.0,VRTX,tiingo
2025-08-08,366.54,381.0,364.66,377.03,3680284,366.54,381.0,364.66,377.03,3680284,0.0,1.0,VRTX,tiingo
2025-08-11,374.46,380.2,362.5,362.97,2792708,374.46,380.2,362.5,362.97,2792708,0.0,1.0,VRTX,tiingo
2025-08-12,387.77,388.25,375.0,377.605,2044598,387.77,388.25,375.0,377.605,2044598,0.0,1.0,VRTX,tiingo
2025-08-13,395.92,396.72,386.7875,391.46,1913811,395.92,396.72,386.7875,391.46,1913811,0.0,1.0,VRTX,tiingo
2025-08-14,390.3,395.589,388.71,393.68,1703775,390.3,395.589,388.71,393.68,1703775,0.0,1.0,VRTX,tiingo
2025-08-15,392.79,395.76,388.71,391.49,1408940,392.79,395.76,388.71,391.49,1408940,0.0,1.0,VRTX,tiingo
2025-08-18,389.88,395.61,389.205,392.8,1382510,389.88,395.61,389.205,392.8,1382510,0.0,1.0,VRTX,tiingo
2025-08-19,390.76,395.84,388.925,389.66,1700021,390.76,395.84,388.925,389.66,1700021,0.0,1.0,VRTX,tiingo
2025-08-20,394.36,400.94,391.945,392.42,1669746,394.36,400.94,391.945,392.42,1669746,0.0,1.0,VRTX,tiingo
2025-08-21,397.46,399.0,393.865,394.78,1852098,397.46,399.0,393.865,394.78,1852098,0.0,1.0,VRTX,tiingo
2025-08-22,395.12,403.58,394.32,400.0,1404020,395.12,403.58,394.32,400.0,1404020,0.0,1.0,VRTX,tiingo
2025-08-25,388.94,396.13,387.595,395.515,1175449,388.94,396.13,387.595,395.515,1175449,0.0,1.0,VRTX,tiingo
2025-08-26,387.18,390.54,383.64,387.0,1907306,387.18,390.54,383.64,387.0,1907306,0.0,1.0,VRTX,tiingo
2025-08-27,389.08,390.37,385.99,386.69,1911387,389.08,390.37,385.99,386.69,1911387,0.0,1.0,VRTX,tiingo
2025-08-28,392.05,392.45,388.0,389.24,1526147,392.05,392.45,388.0,389.24,1526147,0.0,1.0,VRTX,tiingo
2025-08-29,391.02,394.53,389.385,392.13,1310033,391.02,394.53,389.385,392.13,1310033,0.0,1.0,VRTX,tiingo
2025-09-02,401.0,401.555,390.51,391.02,1859382,401.0,401.555,390.51,391.02,1859382,0.0,1.0,VRTX,tiingo
2025-09-03,396.62,402.39,393.0501,400.09,1237175,396.62,402.39,393.0501,400.09,1237175,0.0,1.0,VRTX,tiingo
2025-09-04,396.93,400.36,394.75,397.54,1053094,396.93,400.36,394.75,397.54,1053094,0.0,1.0,VRTX,tiingo
2025-09-05,396.12,402.74,393.43,397.87,1171303,396.12,402.74,393.43,397.87,1171303,0.0,1.0,VRTX,tiingo
2025-09-08,395.25,396.0,390.98,395.28,1365571,395.25,396.0,390.98,395.28,1365571,0.0,1.0,VRTX,tiingo
2025-09-09,396.48,397.31,391.715,395.01,946768,396.48,397.31,391.715,395.01,946768,0.0,1.0,VRTX,tiingo
2025-09-10,388.55,396.86,387.19,396.17,1512767,388.55,396.86,387.19,396.17,1512767,0.0,1.0,VRTX,tiingo
2025-09-11,397.37,398.5,388.55,388.55,1330247,397.37,398.5,388.55,388.55,1330247,0.0,1.0,VRTX,tiingo
2025-09-12,394.53,396.83,393.17,394.68,978686,394.53,396.83,393.17,394.68,978686,0.0,1.0,VRTX,tiingo
2025-09-15,393.21,398.29,391.93,393.0,1404793,393.21,398.29,391.93,393.0,1404793,0.0,1.0,VRTX,tiingo
2025-09-16,391.36,395.45,386.32,392.59,1698401,391.36,395.45,386.32,392.59,1698401,0.0,1.0,VRTX,tiingo
2025-09-17,387.15,396.31,386.44,392.94,2041392,387.15,396.31,386.44,392.94,2041392,0.0,1.0,VRTX,tiingo
2025-09-18,387.11,390.66,384.87,389.69,1979821,387.11,390.66,384.87,389.69,1979821,0.0,1.0,VRTX,tiingo
2025-09-19,383.12,389.46,382.6,388.6,3394221,383.12,389.46,382.6,388.6,3394221,0.0,1.0,VRTX,tiingo
2025-09-22,383.13,386.08,381.61,384.07,1484912,383.13,386.08,381.61,384.07,1484912,0.0,1.0,VRTX,tiingo
2025-09-23,379.72,383.5,376.0,381.59,1568917,379.72,383.5,376.0,381.59,1568917,0.0,1.0,VRTX,tiingo
2025-09-24,376.62,380.725,374.17,377.56,1530847,376.62,380.725,374.17,377.56,1530847,0.0,1.0,VRTX,tiingo
2025-09-25,381.87,387.48,377.02,383.2,2635422,381.87,387.48,377.02,383.2,2635422,0.0,1.0,VRTX,tiingo
2025-09-26,385.735,387.48,379.72,381.91,1838743,385.735,387.48,379.72,381.91,1838743,0.0,1.0,VRTX,tiingo
2025-09-29,395.31,399.1,384.394,386.88,2082433,395.31,399.1,384.394,386.88,2082433,0.0,1.0,VRTX,tiingo
2025-09-30,391.64,397.65,385.855,394.94,2260508,391.64,397.65,385.855,394.94,2260508,0.0,1.0,VRTX,tiingo
2025-10-01,404.21,407.5,392.495,393.62,1995641,404.21,407.5,392.495,393.62,1995641,0.0,1.0,VRTX,tiingo
2025-10-02,408.85,410.995,402.815,404.21,1642232,408.85,410.995,402.815,404.21,1642232,0.0,1.0,VRTX,tiingo
2025-10-03,403.3,411.91,403.04,411.72,1315986,403.3,411.91,403.04,411.72,1315986,0.0,1.0,VRTX,tiingo
2025-10-06,402.9,405.445,400.735,404.66,1191393,402.9,405.445,400.735,404.66,1191393,0.0,1.0,VRTX,tiingo
2025-10-07,410.28,413.288,400.86,402.84,1589483,410.28,413.288,400.86,402.84,1589483,0.0,1.0,VRTX,tiingo
2025-10-08,421.15,422.7255,410.02,410.93,1930626,421.15,422.7255,410.02,410.93,1930626,0.0,1.0,VRTX,tiingo
2025-10-09,414.86,421.01,414.28,419.31,880586,414.86,421.01,414.28,419.31,880586,0.0,1.0,VRTX,tiingo
2025-10-10,407.79,414.22,406.095,413.33,1148580,407.79,414.22,406.095,413.33,1148580,0.0,1.0,VRTX,tiingo
2025-10-13,407.37,409.4699,402.58,404.21,880933,407.37,409.4699,402.58,404.21,880933,0.0,1.0,VRTX,tiingo
2025-10-14,412.22,415.55,405.455,406.08,1048332,412.22,415.55,405.455,406.08,1048332,0.0,1.0,VRTX,tiingo
2025-10-15,407.9,413.57,407.05,412.17,1273273,407.9,413.57,407.05,412.17,1273273,0.0,1.0,VRTX,tiingo
2025-10-16,408.61,413.31,405.535,409.92,1314376,408.61,413.31,405.535,409.92,1314376,0.0,1.0,VRTX,tiingo
2025-10-17,416.81,419.37,406.76,407.36,1054386,416.81,419.37,406.76,407.36,1054386,0.0,1.0,VRTX,tiingo
2025-10-20,419.1,420.5,414.524,418.17,1083498,419.1,420.5,414.524,418.17,1083498,0.0,1.0,VRTX,tiingo
2025-10-21,426.27,426.97,417.57,417.57,1075953,426.27,426.97,417.57,417.57,1075953,0.0,1.0,VRTX,tiingo
2025-10-22,426.44,431.81,421.94,426.27,1697244,426.44,431.81,421.94,426.27,1697244,0.0,1.0,VRTX,tiingo
2025-10-23,422.63,432.76,421.26,427.85,1760904,422.63,432.76,421.26,427.85,1760904,0.0,1.0,VRTX,tiingo
2025-10-24,421.39,425.86,420.6,423.41,1004920,421.39,425.86,420.6,423.41,1004920,0.0,1.0,VRTX,tiingo
2025-10-27,420.17,423.605,418.76,422.0,1261917,420.17,423.605,418.76,422.0,1261917,0.0,1.0,VRTX,tiingo
2025-10-28,422.39,422.57,417.365,418.0,1219402,422.39,422.57,417.365,418.0,1219402,0.0,1.0,VRTX,tiingo
2025-10-29,417.21,422.98,415.77,418.02,1325187,417.21,422.98,415.77,418.02,1325187,0.0,1.0,VRTX,tiingo
2025-10-30,419.89,422.95,415.0,417.19,1234430,419.89,422.95,415.0,417.19,1234430,0.0,1.0,VRTX,tiingo
2025-10-31,425.57,426.96,415.76,416.28,1499268,425.57,426.96,415.76,416.28,1499268,0.0,1.0,VRTX,tiingo
2025-11-03,426.0,430.1,418.6,428.48,1939051,426.0,430.1,418.6,428.48,1939051,0.0,1.0,VRTX,tiingo
2025-11-04,421.67,430.71,403.16,418.55,2365549,421.67,430.71,403.16,418.55,2365549,0.0,1.0,VRTX,tiingo
2025-11-05,417.0,427.18,410.45,417.7,1409687,417.0,427.18,410.45,417.7,1409687,0.0,1.0,VRTX,tiingo
2025-11-06,416.25,424.25,410.29,414.1,1332003,416.25,424.25,410.29,414.1,1332003,0.0,1.0,VRTX,tiingo
2025-11-07,409.47,416.275,406.6734,415.61,1357940,409.47,416.275,406.6734,415.61,1357940,0.0,1.0,VRTX,tiingo
2025-11-10,421.2,422.23,410.5,412.38,1494401,421.2,422.23,410.5,412.38,1494401,0.0,1.0,VRTX,tiingo
