date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-11,7.97,8.14,7.61,8.12,36414775,7.97,8.14,7.61,8.12,36414775,0.0,1.0,WBD,tiingo
2025-04-14,8.02,8.33,7.985,8.1,38009057,8.02,8.33,7.985,8.1,38009057,0.0,1.0,WBD,tiingo
2025-04-15,8.25,8.32,7.98,8.02,38578298,8.25,8.32,7.98,8.02,38578298,0.0,1.0,WBD,tiingo
2025-04-16,7.92,8.34,7.77,8.275,49152262,7.92,8.34,7.77,8.275,49152262,0.0,1.0,WBD,tiingo
2025-04-17,8.11,8.19,7.95,8.01,31300748,8.11,8.19,7.95,8.01,31300748,0.0,1.0,WBD,tiingo
2025-04-21,7.94,8.11,7.75,8.06,27148760,7.94,8.11,7.75,8.06,27148760,0.0,1.0,WBD,tiingo
2025-04-22,7.95,8.125,7.915,8.055,42184512,7.95,8.125,7.915,8.055,42184512,0.0,1.0,WBD,tiingo
2025-04-23,8.33,8.78,8.285,8.32,57586506,8.33,8.78,8.285,8.32,57586506,0.0,1.0,WBD,tiingo
2025-04-24,8.5,8.64,8.2629,8.32,30082693,8.5,8.64,8.2629,8.32,30082693,0.0,1.0,WBD,tiingo
2025-04-25,8.59,8.655,8.43,8.5,24513698,8.59,8.655,8.43,8.5,24513698,0.0,1.0,WBD,tiingo
2025-04-28,8.7,8.88,8.53,8.59,37596749,8.7,8.88,8.53,8.59,37596749,0.0,1.0,WBD,tiingo
2025-04-29,8.77,8.835,8.595,8.645,25474116,8.77,8.835,8.595,8.645,25474116,0.0,1.0,WBD,tiingo
2025-04-30,8.67,8.7,8.2809,8.64,40878728,8.67,8.7,8.2809,8.64,40878728,0.0,1.0,WBD,tiingo
2025-05-01,8.43,8.699,8.31,8.685,45438492,8.43,8.699,8.31,8.685,45438492,0.0,1.0,WBD,tiingo
2025-05-02,8.54,8.67,8.43,8.52,31725510,8.54,8.67,8.43,8.52,31725510,0.0,1.0,WBD,tiingo
2025-05-05,8.37,8.53,8.075,8.175,42739687,8.37,8.53,8.075,8.175,42739687,0.0,1.0,WBD,tiingo
2025-05-06,8.43,8.46,8.13,8.182,38438715,8.43,8.46,8.13,8.182,38438715,0.0,1.0,WBD,tiingo
2025-05-07,8.56,8.65,8.4349,8.5,52292332,8.56,8.65,8.4349,8.5,52292332,0.0,1.0,WBD,tiingo
2025-05-08,9.01,9.3,8.06,8.16,69402576,9.01,9.3,8.06,8.16,69402576,0.0,1.0,WBD,tiingo
2025-05-09,9.07,9.29,8.91,9.01,30000498,9.07,9.29,8.91,9.01,30000498,0.0,1.0,WBD,tiingo
2025-05-12,9.23,9.785,9.2,9.55,47028760,9.23,9.785,9.2,9.55,47028760,0.0,1.0,WBD,tiingo
2025-05-13,9.18,9.345,9.14,9.28,35665551,9.18,9.345,9.14,9.28,35665551,0.0,1.0,WBD,tiingo
2025-05-14,9.21,9.21,9.02,9.12,32979575,9.21,9.21,9.02,9.12,32979575,0.0,1.0,WBD,tiingo
2025-05-15,9.14,9.25,9.05,9.11,24005528,9.14,9.25,9.05,9.11,24005528,0.0,1.0,WBD,tiingo
2025-05-16,9.16,9.19,8.82,9.135,33118826,9.16,9.19,8.82,9.135,33118826,0.0,1.0,WBD,tiingo
2025-05-19,9.05,9.07,8.84,9.03,33356262,9.05,9.07,8.84,9.03,33356262,0.0,1.0,WBD,tiingo
2025-05-20,9.23,9.34,8.98,9.05,38319714,9.23,9.34,8.98,9.05,38319714,0.0,1.0,WBD,tiingo
2025-05-21,8.95,9.18,8.88,9.1,46832001,8.95,9.18,8.88,9.1,46832001,0.0,1.0,WBD,tiingo
2025-05-22,9.02,9.06,8.83,8.945,28787815,9.02,9.06,8.83,8.945,28787815,0.0,1.0,WBD,tiingo
2025-05-23,9.0,9.05,8.84,8.85,21961589,9.0,9.05,8.84,8.85,21961589,0.0,1.0,WBD,tiingo
2025-05-27,9.55,9.64,9.15,9.219,31726420,9.55,9.64,9.15,9.219,31726420,0.0,1.0,WBD,tiingo
2025-05-28,10.02,10.13,9.48,9.54,59164116,10.02,10.13,9.48,9.54,59164116,0.0,1.0,WBD,tiingo
2025-05-29,10.04,10.19,9.7501,10.18,44033805,10.04,10.19,9.7501,10.18,44033805,0.0,1.0,WBD,tiingo
2025-05-30,9.97,10.02,9.66,10.02,52970653,9.97,10.02,9.66,10.02,52970653,0.0,1.0,WBD,tiingo
2025-06-02,10.0,10.015,9.75,9.925,46464718,10.0,10.015,9.75,9.925,46464718,0.0,1.0,WBD,tiingo
2025-06-03,9.94,10.1,9.74,9.97,31616241,9.94,10.1,9.74,9.97,31616241,0.0,1.0,WBD,tiingo
2025-06-04,9.79,10.0099,9.69,9.95,34162242,9.79,10.0099,9.69,9.95,34162242,0.0,1.0,WBD,tiingo
2025-06-05,9.65,10.055,9.62,9.79,44358607,9.65,10.055,9.62,9.79,44358607,0.0,1.0,WBD,tiingo
2025-06-06,9.82,10.03,9.7701,9.81,30034495,9.82,10.03,9.7701,9.81,30034495,0.0,1.0,WBD,tiingo
2025-06-09,9.53,11.1,9.38,10.62,155057824,9.53,11.1,9.38,10.62,155057824,0.0,1.0,WBD,tiingo
2025-06-10,10.01,10.12,9.11,9.545,71415738,10.01,10.12,9.11,9.545,71415738,0.0,1.0,WBD,tiingo
2025-06-11,10.51,10.545,10.12,10.16,52112098,10.51,10.545,10.12,10.16,52112098,0.0,1.0,WBD,tiingo
2025-06-12,10.16,10.89,10.13,10.51,58726244,10.16,10.89,10.13,10.51,58726244,0.0,1.0,WBD,tiingo
2025-06-13,10.03,10.28,9.98,10.085,39383832,10.03,10.28,9.98,10.085,39383832,0.0,1.0,WBD,tiingo
2025-06-16,10.76,10.795,10.04,10.14,46714416,10.76,10.795,10.04,10.14,46714416,0.0,1.0,WBD,tiingo
2025-06-17,10.58,10.82,10.33,10.75,46816565,10.58,10.82,10.33,10.75,46816565,0.0,1.0,WBD,tiingo
2025-06-18,10.57,10.7496,10.42,10.58,45179680,10.57,10.7496,10.42,10.58,45179680,0.0,1.0,WBD,tiingo
2025-06-20,10.52,11.06,10.39,10.73,106521704,10.52,11.06,10.39,10.73,106521704,0.0,1.0,WBD,tiingo
2025-06-23,10.68,10.71,10.27,10.45,41873529,10.68,10.71,10.27,10.45,41873529,0.0,1.0,WBD,tiingo
2025-06-24,10.9,11.1,10.75,10.785,67034402,10.9,11.1,10.75,10.785,67034402,0.0,1.0,WBD,tiingo
2025-06-25,10.87,11.05,10.83,10.895,42934914,10.87,11.05,10.83,10.895,42934914,0.0,1.0,WBD,tiingo
2025-06-26,11.15,11.21,10.75,10.89,72764474,11.15,11.21,10.75,10.89,72764474,0.0,1.0,WBD,tiingo
2025-06-27,11.3,11.72,11.17,11.17,86182532,11.3,11.72,11.17,11.17,86182532,0.0,1.0,WBD,tiingo
2025-06-30,11.46,11.63,11.29,11.41,43999005,11.46,11.63,11.29,11.41,43999005,0.0,1.0,WBD,tiingo
