date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-11,69.555,69.925,67.52,68.41,3148381,67.429510421,67.7882038126,65.456696767,66.3194997901,3148381,0.0,1.0,XEL,tiingo
2025-04-14,70.73,70.87,68.28,69.42,2515683,68.5686042999,68.7043261237,66.1934723822,67.2986358051,2515683,0.0,1.0,XEL,tiingo
2025-04-15,70.27,71.4788,70.21,71.16,2556862,68.1226611643,69.2945221692,68.0644946684,68.9854641875,2556862,0.0,1.0,XEL,tiingo
2025-04-16,69.1,70.82,68.86,70.48,2824027,66.9884144934,68.6558540438,66.7557485097,68.3262439001,2824027,0.0,1.0,XEL,tiingo
2025-04-17,70.13,71.03,69.495,69.7,2784549,67.9869393404,68.8594367796,67.3713439251,67.5700794529,2784549,0.0,1.0,XEL,tiingo
2025-04-21,68.97,70.2999,68.19,69.88,5664881,66.8623870856,68.1516474681,66.1062226383,67.7445789407,5664881,0.0,1.0,XEL,tiingo
2025-04-22,71.39,71.71,69.38,69.66,5162419,69.2084357552,69.5186570669,67.2598581412,67.5313017889,5162419,0.0,1.0,XEL,tiingo
2025-04-23,71.55,72.1,70.58,71.07,5639066,69.3635464111,69.8967392905,68.42318806,68.8982144435,5639066,0.0,1.0,XEL,tiingo
2025-04-24,70.29,71.48,69.01,70.34,6499723,68.1420499963,69.2956854991,66.9011647495,68.1905220762,6499723,0.0,1.0,XEL,tiingo
2025-04-25,69.0,70.545,68.41,70.5,4816862,66.8914703335,68.389257604,66.3194997901,68.3456327321,4816862,0.0,1.0,XEL,tiingo
2025-04-28,69.58,69.68,68.46,69.11,2994570,67.453746461,67.5506906209,66.3679718701,66.9981089094,2994570,0.0,1.0,XEL,tiingo
2025-04-29,70.67,70.77,69.22,69.56,2539303,68.5104378039,68.6073819638,67.1047474853,67.434357629,2539303,0.0,1.0,XEL,tiingo
2025-04-30,70.7,70.88,69.6,70.69,4468347,68.5395210519,68.7140205397,67.473135293,68.5298266359,4468347,0.0,1.0,XEL,tiingo
2025-05-01,70.4,71.39,70.0,70.7,3389198,68.2486885722,69.2084357552,67.8609119326,68.5395210519,3389198,0.0,1.0,XEL,tiingo
2025-05-02,70.77,71.035,69.98,70.73,3854528,68.6073819638,68.8642839876,67.8415231006,68.5686042999,3854528,0.0,1.0,XEL,tiingo
2025-05-05,70.89,71.14,69.96,70.415,5645613,68.7237149557,68.9660753555,67.8221342686,68.2632301962,5645613,0.0,1.0,XEL,tiingo
2025-05-06,71.06,71.4,70.45,70.62,2765389,68.8885200275,69.2181301712,68.2971606521,68.461965724,2765389,0.0,1.0,XEL,tiingo
2025-05-07,71.36,71.97,70.96,71.17,4552365,69.1793525073,69.7707118827,68.7915758676,68.9951586034,4552365,0.0,1.0,XEL,tiingo
2025-05-08,70.17,71.57,70.08,71.31,3159991,68.0257170044,69.3829352431,67.9384672605,69.1308804273,3159991,0.0,1.0,XEL,tiingo
2025-05-09,70.61,70.88,69.99,70.25,2479336,68.452271308,68.7140205397,67.8512175166,68.1032723323,2479336,0.0,1.0,XEL,tiingo
2025-05-12,67.78,70.405,67.43,70.35,4783677,65.7087515827,68.2535357802,65.369447023,68.2002164922,4783677,0.0,1.0,XEL,tiingo
