date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-14,574.83,590.0,571.715,578.0,666157,574.83,590.0,571.715,578.0,666157,0.0,1.0,AXON,tiingo
2025-04-15,578.42,584.17,572.82,575.1,330872,578.42,584.17,572.82,575.1,330872,0.0,1.0,AXON,tiingo
2025-04-16,571.85,581.105,564.68,572.01,368438,571.85,581.105,564.68,572.01,368438,0.0,1.0,AXON,tiingo
2025-04-17,559.53,578.2,556.39,578.2,519731,559.53,578.2,556.39,578.2,519731,0.0,1.0,AXON,tiingo
2025-04-21,541.93,556.63,531.22,550.0,478945,541.93,556.63,531.22,550.0,478945,0.0,1.0,AXON,tiingo
2025-04-22,555.52,561.8112,546.0,551.32,440802,555.52,561.8112,546.0,551.32,440802,0.0,1.0,AXON,tiingo
2025-04-23,576.9,594.4624,574.2,576.4,492948,576.9,594.4624,574.2,576.4,492948,0.0,1.0,AXON,tiingo
2025-04-24,590.67,593.8359,571.0,576.15,493331,590.67,593.8359,571.0,576.15,493331,0.0,1.0,AXON,tiingo
2025-04-25,603.78,603.98,590.72,590.72,556455,603.78,603.98,590.72,590.72,556455,0.0,1.0,AXON,tiingo
2025-04-28,602.46,614.0,594.54,605.66,456126,602.46,614.0,594.54,605.66,456126,0.0,1.0,AXON,tiingo
2025-04-29,611.13,612.03,598.81,603.57,399687,611.13,612.03,598.81,603.57,399687,0.0,1.0,AXON,tiingo
2025-04-30,613.3,614.76,585.49,591.59,519821,613.3,614.76,585.49,591.59,519821,0.0,1.0,AXON,tiingo
2025-05-01,621.1,627.7299,613.02,617.96,450462,621.1,627.7299,613.02,617.96,450462,0.0,1.0,AXON,tiingo
2025-05-02,628.16,638.35,626.46,632.18,507953,628.16,638.35,626.46,632.18,507953,0.0,1.0,AXON,tiingo
2025-05-05,621.4,631.1581,620.9901,624.99,358190,621.4,631.1581,620.9901,624.99,358190,0.0,1.0,AXON,tiingo
2025-05-06,601.67,612.775,597.5614,608.97,759283,601.67,612.775,597.5614,608.97,759283,0.0,1.0,AXON,tiingo
2025-05-07,601.82,607.5992,594.52,602.01,887360,601.82,607.5992,594.52,602.01,887360,0.0,1.0,AXON,tiingo
2025-05-08,686.83,698.265,644.605,646.38,1692978,686.83,698.265,644.605,646.38,1692978,0.0,1.0,AXON,tiingo
2025-05-09,684.59,697.39,677.61,684.01,642574,684.59,697.39,677.61,684.01,642574,0.0,1.0,AXON,tiingo
2025-05-12,693.1,703.0,667.0,700.0,878357,693.1,703.0,667.0,700.0,878357,0.0,1.0,AXON,tiingo
2025-05-13,724.77,732.1662,694.71,695.0,868804,724.77,732.1662,694.71,695.0,868804,0.0,1.0,AXON,tiingo
2025-05-14,728.53,730.76,715.5886,725.0,566253,728.53,730.76,715.5886,725.0,566253,0.0,1.0,AXON,tiingo
2025-05-15,728.39,732.222,722.0,725.495,570241,728.39,732.222,722.0,725.495,570241,0.0,1.0,AXON,tiingo
2025-05-16,733.18,735.68,724.7408,732.0,420469,733.18,735.68,724.7408,732.0,420469,0.0,1.0,AXON,tiingo
2025-05-19,742.32,742.34,721.0492,721.99,425566,742.32,742.34,721.0492,721.99,425566,0.0,1.0,AXON,tiingo
2025-05-20,742.75,744.51,734.89,741.41,383702,742.75,744.51,734.89,741.41,383702,0.0,1.0,AXON,tiingo
2025-05-21,735.38,748.8,730.01,738.0,570731,735.38,748.8,730.01,738.0,570731,0.0,1.0,AXON,tiingo
2025-05-22,723.75,735.0,722.03,734.07,510375,723.75,735.0,722.03,734.07,510375,0.0,1.0,AXON,tiingo
2025-05-23,731.37,735.4259,714.0,717.98,422654,731.37,735.4259,714.0,717.98,422654,0.0,1.0,AXON,tiingo
2025-05-27,746.08,748.14,736.63,740.58,477573,746.08,748.14,736.63,740.58,477573,0.0,1.0,AXON,tiingo
2025-05-28,751.0,755.05,743.6277,748.81,524938,751.0,755.05,743.6277,748.81,524938,0.0,1.0,AXON,tiingo
2025-05-29,730.29,754.8083,729.16,753.19,536596,730.29,754.8083,729.16,753.19,536596,0.0,1.0,AXON,tiingo
2025-05-30,750.36,751.99,729.14,731.01,1121126,750.36,751.99,729.14,731.01,1121126,0.0,1.0,AXON,tiingo
2025-06-02,758.57,765.0,742.8,755.0,521175,758.57,765.0,742.8,755.0,521175,0.0,1.0,AXON,tiingo
2025-06-03,759.07,766.26,750.0,761.0,503574,759.07,766.26,750.0,761.0,503574,0.0,1.0,AXON,tiingo
2025-06-04,780.0,780.62,757.45,760.0,558064,780.0,780.62,757.45,760.0,558064,0.0,1.0,AXON,tiingo
2025-06-05,788.36,793.2399,773.9901,780.53,683795,788.36,793.2399,773.9901,780.53,683795,0.0,1.0,AXON,tiingo
2025-06-06,791.85,798.16,784.6357,794.92,443740,791.85,798.16,784.6357,794.92,443740,0.0,1.0,AXON,tiingo
2025-06-09,783.8,806.64,775.8553,795.83,537362,783.8,806.64,775.8553,795.83,537362,0.0,1.0,AXON,tiingo
2025-06-10,762.66,787.61,751.25,778.54,600557,762.66,787.61,751.25,778.54,600557,0.0,1.0,AXON,tiingo
2025-06-11,778.36,782.785,746.9,764.67,487781,778.36,782.785,746.9,764.67,487781,0.0,1.0,AXON,tiingo
2025-06-12,775.2,781.12,772.605,773.16,350325,775.2,781.12,772.605,773.16,350325,0.0,1.0,AXON,tiingo
2025-06-13,780.63,786.7749,767.6,771.81,359099,780.63,786.7749,767.6,771.81,359099,0.0,1.0,AXON,tiingo
2025-06-16,780.61,797.5,779.28,786.37,470995,780.61,797.5,779.28,786.37,470995,0.0,1.0,AXON,tiingo
2025-06-17,777.54,782.7514,770.201,776.39,445749,777.54,782.7514,770.201,776.39,445749,0.0,1.0,AXON,tiingo
2025-06-18,770.79,779.8899,761.9,775.85,482933,770.79,779.8899,761.9,775.85,482933,0.0,1.0,AXON,tiingo
2025-06-20,777.32,781.0,767.0803,780.28,1182182,777.32,781.0,767.0803,780.28,1182182,0.0,1.0,AXON,tiingo
2025-06-23,783.24,791.38,767.3175,773.48,391501,783.24,791.38,767.3175,773.48,391501,0.0,1.0,AXON,tiingo
2025-06-24,794.25,799.66,758.24,785.0,743572,794.25,799.66,758.24,785.0,743572,0.0,1.0,AXON,tiingo
2025-06-25,785.07,801.0,780.66,800.0,440465,785.07,801.0,780.66,800.0,440465,0.0,1.0,AXON,tiingo
2025-06-26,803.95,805.48,791.81,791.81,484379,803.95,805.48,791.81,791.81,484379,0.0,1.0,AXON,tiingo
2025-06-27,818.6,820.83,802.2836,804.85,1010936,818.6,820.83,802.2836,804.85,1010936,0.0,1.0,AXON,tiingo
2025-06-30,827.94,830.21,816.855,818.75,530137,827.94,830.21,816.855,818.75,530137,0.0,1.0,AXON,tiingo
2025-07-01,775.38,829.5,765.5,825.89,997650,775.38,829.5,765.5,825.89,997650,0.0,1.0,AXON,tiingo
2025-07-02,774.55,782.9813,756.72,774.68,574326,774.55,782.9813,756.72,774.68,574326,0.0,1.0,AXON,tiingo
2025-07-03,795.48,797.89,780.0,781.77,268670,795.48,797.89,780.0,781.77,268670,0.0,1.0,AXON,tiingo
2025-07-07,802.16,804.4375,790.0,796.02,453034,802.16,804.4375,790.0,796.02,453034,0.0,1.0,AXON,tiingo
2025-07-08,790.22,815.0,774.0957,802.72,507791,790.22,815.0,774.0957,802.72,507791,0.0,1.0,AXON,tiingo
2025-07-09,805.86,809.99,785.0,794.3,339967,805.86,809.99,785.0,794.3,339967,0.0,1.0,AXON,tiingo
2025-07-10,732.99,803.0,728.43,802.11,1227628,732.99,803.0,728.43,802.11,1227628,0.0,1.0,AXON,tiingo
2025-07-11,729.62,753.018,723.001,740.33,1121522,729.62,753.018,723.001,740.33,1121522,0.0,1.0,AXON,tiingo
2025-07-14,750.26,752.97,723.99,727.1,538912,750.26,752.97,723.99,727.1,538912,0.0,1.0,AXON,tiingo
2025-07-15,745.87,753.57,740.16,752.74,373471,745.87,753.57,740.16,752.74,373471,0.0,1.0,AXON,tiingo
2025-07-16,742.77,748.27,725.05,743.56,516134,742.77,748.27,725.05,743.56,516134,0.0,1.0,AXON,tiingo
2025-07-17,745.86,753.25,739.79,744.8,341234,745.86,753.25,739.79,744.8,341234,0.0,1.0,AXON,tiingo
2025-07-18,756.09,757.9799,741.07,747.83,404325,756.09,757.9799,741.07,747.83,404325,0.0,1.0,AXON,tiingo
2025-07-21,751.55,758.25,741.91,755.92,377483,751.55,758.25,741.91,755.92,377483,0.0,1.0,AXON,tiingo
2025-07-22,720.74,749.01,720.18,749.01,759573,720.74,749.01,720.18,749.01,759573,0.0,1.0,AXON,tiingo
2025-07-23,705.22,728.95,694.72,725.8,1098487,705.22,728.95,694.72,725.8,1098487,0.0,1.0,AXON,tiingo
2025-07-24,709.26,715.745,695.0001,705.22,1105053,709.26,715.745,695.0001,705.22,1105053,0.0,1.0,AXON,tiingo
2025-07-25,735.01,742.23,709.82,711.39,723678,735.01,742.23,709.82,711.39,723678,0.0,1.0,AXON,tiingo
2025-07-28,736.29,747.3,722.07,740.36,627694,736.29,747.3,722.07,740.36,627694,0.0,1.0,AXON,tiingo
2025-07-29,728.74,742.19,725.79,742.19,383542,728.74,742.19,725.79,742.19,383542,0.0,1.0,AXON,tiingo
2025-07-30,748.6,749.8,725.0,728.74,448258,748.6,749.8,725.0,728.74,448258,0.0,1.0,AXON,tiingo
2025-07-31,755.49,762.05,747.24,752.62,513614,755.49,762.05,747.24,752.62,513614,0.0,1.0,AXON,tiingo
