date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-14,979.32,987.13,965.0,970.0,2219943,972.5750363145,980.3312457594,958.3536638111,963.319226836,2219943,0.0,1.0,COST,tiingo
2025-04-15,976.92,994.0,974.25,985.35,1788151,970.1915660625,987.1539293557,967.5399554072,978.5635053225,1788151,0.0,1.0,COST,tiingo
2025-04-16,967.75,978.65,959.24,972.13,2531715,961.0847234748,971.9096508691,952.6333352064,965.4345566846,2531715,0.0,1.0,COST,tiingo
2025-04-17,994.5,999.9183,971.99,973.275,2711124,987.6504856582,993.0314676857,965.2955209199,966.5716706173,2711124,0.0,1.0,COST,tiingo
2025-04-21,957.77,996.99,942.97,993.0,2841310,951.173459677,990.1233360446,936.4753931232,986.1608167507,2841310,0.0,1.0,COST,tiingo
2025-04-22,979.23,987.45,966.78,969.75,2230645,972.48565618,980.649041793,960.121404248,963.0709486848,2230645,0.0,1.0,COST,tiingo
2025-04-23,975.84,995.75,969.0,994.52,2109653,969.1190044491,988.8918764144,962.326114231,987.6703479103,2109653,0.0,1.0,COST,tiingo
2025-04-24,975.48,978.0,960.71,973.6,2468463,968.7614839113,971.2641276759,954.0932107357,966.894432214,2468463,0.0,1.0,COST,tiingo
2025-04-25,977.16,978.32,962.88,973.97,1780887,970.4299130877,971.5819237095,956.2482650885,967.2618838778,1780887,0.0,1.0,COST,tiingo
2025-04-28,978.54,985.3,968.7752,978.5,1616155,971.8004084826,978.5138496923,962.1028625174,971.7606839784,1616155,0.0,1.0,COST,tiingo
2025-04-29,991.7,993.21,971.06,978.0,1523146,984.8697703642,986.3693703977,964.3719261973,971.2641276759,1523146,0.0,1.0,COST,tiingo
2025-04-30,994.5,997.76,976.55,990.0,2212362,987.6504856582,990.8880327504,969.8241143987,983.1814789357,2212362,0.0,1.0,COST,tiingo
2025-05-01,999.04,1006.3799,985.0,990.1,1829874,992.1592168848,999.4485640941,978.2159159108,983.2807901962,1829874,0.0,1.0,COST,tiingo
2025-05-02,1008.3,1018.0,1004.605,1007.83,1547710,1002.6464859934,1012.2920983252,998.9722037701,1002.1791212722,1547710,1.3,1.0,COST,tiingo
2025-05-05,1014.89,1017.78,1002.5,1007.505,1952580,1009.1995360209,1012.07333186,996.8790064548,1001.8559435394,1952580,0.0,1.0,COST,tiingo
2025-05-06,1010.5,1016.23,1003.51,1008.45,1381248,1004.834150646,1010.5320226729,997.883343409,1002.795644947,1381248,0.0,1.0,COST,tiingo
2025-05-07,1007.15,1014.1,1001.4701,1011.18,1316596,1001.502934016,1008.413965532,995.8548810795,1005.5103379023,1316596,0.0,1.0,COST,tiingo
2025-05-08,1007.71,1017.0,991.4,1013.5,1882643,1002.0597941093,1011.2977053013,985.8412438896,1007.8173297177,1882643,0.0,1.0,COST,tiingo
2025-05-09,1008.09,1010.71,998.05,1004.61,1176656,1002.4376634584,1005.042973181,992.4539574985,998.9771757353,1176656,0.0,1.0,COST,tiingo
2025-05-12,1016.15,1016.91,992.24,1009.79,2069049,1010.452471231,1011.2082099292,986.6765340297,1004.128131599,2069049,0.0,1.0,COST,tiingo
2025-05-13,999.03,1023.83,987.6,1013.715,2917044,993.4284626619,1018.0894096545,982.0625503988,1008.0311242178,2917044,0.0,1.0,COST,tiingo
2025-05-14,991.54,999.86,990.52,998.755,2214978,985.980458913,994.2538088718,984.9661780286,993.1550045804,2214978,0.0,1.0,COST,tiingo
2025-05-15,1010.47,1014.0,983.0,992.65,2470690,1004.8043188553,1008.3145262296,977.4883424889,987.0842351695,2470690,0.0,1.0,COST,tiingo
2025-05-16,1025.83,1028.262,1009.0,1012.49,2033744,1020.0781957023,1022.4965595364,1003.3425611102,1006.8129927636,2033744,0.0,1.0,COST,tiingo
2025-05-19,1034.34,1034.99,1012.89,1018.6,1879788,1028.5404803357,1029.1868358012,1007.2107499731,1012.8887341396,1879788,0.0,1.0,COST,tiingo
2025-05-20,1036.82,1037.9999,1030.01,1030.01,2271232,1031.0065750349,1032.1798593638,1024.2347585422,1024.2347585422,2271232,0.0,1.0,COST,tiingo
2025-05-21,1025.3,1039.4699,1023.8,1030.94,1438885,1019.5511673997,1033.6416171089,1018.0595778638,1025.1595440544,1438885,0.0,1.0,COST,tiingo
2025-05-22,1018.13,1028.775,1014.12,1027.725,1660909,1012.4213694183,1023.0066831577,1008.4338533925,1021.9625704826,1660909,0.0,1.0,COST,tiingo
2025-05-23,1008.5,1015.11,1007.0,1012.0,1413916,1002.8453645982,1009.4183024862,1001.3537750624,1006.3257401818,1413916,0.0,1.0,COST,tiingo
2025-05-27,1017.79,1018.95,1010.93,1015.0,1868169,1012.0832757902,1013.2367716979,1005.2617396463,1009.3089192535,1868169,0.0,1.0,COST,tiingo
2025-05-28,1013.14,1024.62,1012.96,1017.05,1674743,1007.4593482291,1018.8749801434,1007.2803574848,1011.3474249525,1674743,0.0,1.0,COST,tiingo
2025-05-29,1008.74,1017.535,1003.6,1016.01,2023815,1003.0840189239,1011.8297055691,997.9728387811,1010.3132562077,2023815,0.0,1.0,COST,tiingo
2025-05-30,1040.18,1052.49,1002.0,1002.3,5403837,1034.3477355952,1046.5887137194,996.3818099429,996.6801278501,5403837,0.0,1.0,COST,tiingo
2025-06-02,1056.85,1060.5,1034.27,1034.27,2148004,1050.9242673035,1054.5538018408,1028.470872824,1028.470872824,2148004,0.0,1.0,COST,tiingo
2025-06-03,1055.59,1067.08,1043.2552,1054.15,1992850,1049.6713320934,1061.096907938,1037.4056930223,1048.239406139,1992850,0.0,1.0,COST,tiingo
2025-06-04,1051.69,1057.8299,1049.37,1055.0,1422086,1045.7931993002,1051.8986730277,1043.4862074848,1049.0846402093,1422086,0.0,1.0,COST,tiingo
2025-06-05,1010.81,1051.0499,1006.01,1050.0,3297524,1005.1424124834,1045.1566883256,1000.3693259687,1044.1126750899,3297524,0.0,1.0,COST,tiingo
2025-06-06,1014.94,1020.63,1008.61,1020.63,1855428,1009.2492556721,1014.9073519781,1002.9547478308,1014.9073519781,1855428,0.0,1.0,COST,tiingo
2025-06-09,1006.18,1013.35,996.9663,1012.42,1696711,1000.5383727828,1007.6681707641,991.3763337785,1006.7433852519,1696711,0.0,1.0,COST,tiingo
2025-06-10,1007.27,1011.51,997.7211,1006.93,2255019,1001.6222611788,1005.8384876001,992.1269016329,1001.2841675507,2255019,0.0,1.0,COST,tiingo
2025-06-11,996.78,1005.44,993.375,1002.44,2459835,991.1910783582,999.8025219451,987.8051701118,996.8193428734,2459835,0.0,1.0,COST,tiingo
2025-06-12,1002.71,1003.25,995.3603,999.0,1720138,997.0878289899,997.6248012228,989.7793385821,993.3986308712,1720138,0.0,1.0,COST,tiingo
2025-06-13,990.21,1003.5929,988.6738,999.08,1785964,984.6579161912,997.9657785907,983.1303296279,993.4781823131,1785964,0.0,1.0,COST,tiingo
2025-06-16,984.36,1001.85,981.4362,992.33,2109338,978.8407170014,996.2326509893,975.9333106781,986.7660294018,2109338,0.0,1.0,COST,tiingo
2025-06-17,977.72,986.1,976.2,983.0,1668225,972.2379473227,980.570960863,970.7264699264,977.4883424889,1668225,0.0,1.0,COST,tiingo
2025-06-18,974.9,982.65,974.07,980.0,1509613,969.4337589953,977.1403049305,968.6084127855,974.5051634172,1509613,0.0,1.0,COST,tiingo
2025-06-20,980.29,988.66,973.9,983.99,3255699,974.7935373941,983.1166070041,968.4393659714,978.4727915825,3255699,0.0,1.0,COST,tiingo
2025-06-23,1004.48,1004.87,981.26,983.15,2082928,998.8479046422,999.2357179215,975.7580986273,977.6375014425,2082928,0.0,1.0,COST,tiingo
2025-06-24,1001.92,1005.835,992.065,1005.835,2385103,996.302258501,1000.1953071895,986.5025152505,1000.1953071895,2385103,0.0,1.0,COST,tiingo
2025-06-25,986.54,1004.9799,986.0,1003.0,1827694,981.0084937935,999.3450017148,980.4715215606,997.3762029668,1827694,0.0,1.0,COST,tiingo
2025-06-26,982.91,987.725,976.5,987.725,2262786,977.3988471167,982.1868495268,971.0247878336,982.1868495268,2262786,0.0,1.0,COST,tiingo
2025-06-27,985.14,993.139412,980.3,982.24,2129190,979.61634356,987.5709030481,974.8034813244,976.7326037907,2129190,0.0,1.0,COST,tiingo
2025-06-30,989.94,991.74,979.7501,985.16,2127591,984.3894300747,986.1793375177,974.2566646005,979.6362314205,2127591,0.0,1.0,COST,tiingo
2025-07-01,985.96,996.839,974.5,990.0,2200576,980.4317458396,991.2497475466,969.0360017858,984.4490936562,2200576,0.0,1.0,COST,tiingo
2025-07-02,982.36,985.6999,976.865,983.87,1606122,976.8519309536,980.1731042141,971.3877412873,978.3534644197,1606122,0.0,1.0,COST,tiingo
2025-07-03,987.02,987.67,977.325,982.41,1101351,981.4858024449,982.1321579105,971.8451620783,976.9016506048,1101351,0.0,1.0,COST,tiingo
2025-07-07,992.18,992.8931,976.2,985.0,1832591,986.6168704482,987.3259721136,970.7264699264,979.4771285367,1832591,0.0,1.0,COST,tiingo
2025-07-08,985.84,995.87,983.925,989.5,1716151,980.3124186767,990.2861807064,978.408156036,983.9518971442,1716151,0.0,1.0,COST,tiingo
2025-07-09,982.09,988.39,972.28,988.39,2922574,976.5834448371,982.8481208877,966.8284492727,982.8481208877,2922574,0.0,1.0,COST,tiingo
2025-07-10,970.17,988.0,969.07,987.0,2903765,964.7302799923,982.4603076084,963.636447666,981.4659145845,2903765,0.0,1.0,COST,tiingo
2025-07-11,970.33,978.98,965.7,973.29,1941995,964.8893828761,973.4908825328,960.2853431755,967.8327862269,1941995,0.0,1.0,COST,tiingo
2025-07-14,980.91,981.49,969.62,971.1,1679303,975.4100610689,975.9868090228,964.1833638292,965.6550655045,1679303,0.0,1.0,COST,tiingo
2025-07-15,967.68,980.25,966.66,979.25,1878003,962.2542413628,974.7537616732,961.2399604784,973.7593686493,1878003,0.0,1.0,COST,tiingo
2025-07-16,951.37,969.589,950.13,967.99,2950277,946.0356911431,964.1525376454,944.8026437935,962.5625032002,2950277,0.0,1.0,COST,tiingo
2025-07-17,953.91,954.75,947.51,950.36,2280638,948.5614494238,949.3967395639,942.1973340709,945.031354189,2280638,0.0,1.0,COST,tiingo
2025-07-18,950.95,960.26,949.65,959.95,2115538,945.618046073,954.8758451255,944.325335142,954.5675832881,2115538,0.0,1.0,COST,tiingo
2025-07-21,947.56,955.76,946.6,951.51,1742426,942.247053722,950.401076518,941.2924364191,946.1749061664,1742426,0.0,1.0,COST,tiingo
2025-07-22,941.61,957.7,941.25,948.8,1799905,936.3304152299,952.3301989843,935.9724337413,943.4801010717,1799905,0.0,1.0,COST,tiingo
2025-07-23,941.19,948.5,936.0,942.375,2401619,935.9127701598,943.1817831645,930.7518703658,937.0911258931,2401619,0.0,1.0,COST,tiingo
2025-07-24,933.8,942.8999,933.49,941.33,2057072,928.5642057132,937.6130827914,928.2559438758,936.0519851832,2057072,0.0,1.0,COST,tiingo
2025-07-25,935.48,941.29,934.35,936.3,1827655,930.2347859934,936.0122094622,929.1111218764,931.050188273,1827655,0.0,1.0,COST,tiingo
2025-07-28,933.99,940.241,930.89,935.5,2006292,928.7531403878,934.9690911802,925.6705220137,930.2546738539,2006292,0.0,1.0,COST,tiingo
2025-07-29,934.57,941.785,927.38,933.99,2065880,929.3298883416,936.5044340091,922.1802024998,928.7531403878,2065880,0.0,1.0,COST,tiingo
2025-07-30,927.51,937.7499,925.135,935.0,1699609,922.3094735929,932.4919587183,919.9477901612,929.7574773419,1699609,0.0,1.0,COST,tiingo
2025-07-31,939.64,945.95,925.0,925.36,2564353,934.3714609728,940.6460809536,919.813547103,920.1715285916,2564353,0.0,1.0,COST,tiingo
2025-08-01,952.52,956.72,939.5,939.5,2934464,948.4719540516,952.654104775,935.5072868092,935.5072868092,2934464,1.3,1.0,COST,tiingo
2025-08-04,955.37,960.18,948.66,952.6,2389907,951.3098420425,956.0994003709,944.6283583868,948.5516140654,2389907,0.0,1.0,COST,tiingo
2025-08-05,943.63,951.5,935.68,951.325,2462286,939.6197350205,947.456288876,931.7035211513,947.2820325958,2462286,0.0,1.0,COST,tiingo
2025-08-06,968.56,970.55,942.6601,943.63,2752994,964.4437868142,966.4253296569,938.6539569285,939.6197350205,2752994,0.0,1.0,COST,tiingo
2025-08-07,977.45,982.0,970.96,974.68,1893275,973.2960058453,977.8266691289,966.8335872275,970.5377778682,1893275,0.0,1.0,COST,tiingo
2025-08-08,980.98,988.2,977.0,977.15,2189701,976.8110039533,984.0003201968,972.8479182678,972.9972807936,2189701,0.0,1.0,COST,tiingo
2025-08-11,988.74,989.58,976.32,983.16,2290125,984.5380252898,985.3744554344,972.1708081507,978.9817393287,2290125,0.0,1.0,COST,tiingo
2025-08-12,991.25,991.75,980.05,988.5,1589455,987.0373582221,987.5352333082,975.8849562931,984.2990452484,1589455,0.0,1.0,COST,tiingo
2025-08-13,978.85,986.4,970.1,983.96,2352567,974.6900560864,982.2079698867,965.9772420794,979.7783394665,2352567,0.0,1.0,COST,tiingo
2025-08-14,975.39,988.2925,975.18,980.6,1808742,971.2447604905,984.0924270877,971.0356529543,976.4326188878,1808742,0.0,1.0,COST,tiingo
2025-08-15,972.04,979.9999,967.215,979.14,1638281,967.9089974135,975.8350692095,963.1045028325,974.9788236364,1638281,0.0,1.0,COST,tiingo
2025-08-18,979.35,981.28,970.0,973.3,2078489,975.1879311725,977.1097290049,965.8776670622,969.1636426305,2078489,0.0,1.0,COST,tiingo
2025-08-19,980.85,988.5299,976.79,978.62,1673394,976.6815564309,984.3288181786,972.6388107316,974.4610335468,1673394,0.0,1.0,COST,tiingo
2025-08-20,994.57,999.3,979.0,979.0,2229573,990.3432487939,995.0531471085,974.8394186123,974.8394186123,2229573,0.0,1.0,COST,tiingo
2025-08-21,969.68,989.32,967.52,988.9,2145629,965.5590270071,985.1155603897,963.4082066351,984.6973453173,2145629,0.0,1.0,COST,tiingo
2025-08-22,958.54,973.5,953.11,971.54,3135979,954.4663700884,969.362792665,949.0594466532,967.4111223274,3135979,0.0,1.0,COST,tiingo
2025-08-25,941.58,958.3047,940.56,954.96,2284250,937.5784471674,954.2320700729,936.5627819918,950.9015844719,2284250,0.0,1.0,COST,tiingo
2025-08-26,941.34,944.05,933.245,941.34,4341253,937.3394671261,940.0379500928,929.2788694819,937.3394671261,4341253,0.0,1.0,COST,tiingo
2025-08-27,949.52,952.0,937.215,940.49,1893587,945.4847035349,947.9541639621,933.2319976657,936.4930794797,1893587,0.0,1.0,COST,tiingo
2025-08-28,944.96,950.9999,944.1301,950.285,2067919,940.9440827496,946.9583142148,940.1177096816,946.2464524167,2067919,0.0,1.0,COST,tiingo
2025-08-29,943.32,948.61,940.46,945.0,1608954,939.3110524671,944.5785708782,936.4632069745,940.9839127565,1608954,0.0,1.0,COST,tiingo
2025-09-02,938.82,944.5126,936.58,938.66,1793947,934.8301766921,940.4985841225,932.5996963063,934.6708566645,1793947,0.0,1.0,COST,tiingo
2025-09-03,949.78,950.09,936.5,939.0,1656311,945.7435985797,946.0522811331,932.5200362925,935.0094117231,1656311,0.0,1.0,COST,tiingo
2025-09-04,955.9,959.5,951.11,953.4,1471872,951.8375896338,955.4222902538,947.0679463088,949.3482142032,1471872,0.0,1.0,COST,tiingo
2025-09-05,963.48,969.55,956.2226,958.71,1928459,959.3853759393,965.4295794847,952.1588186393,954.6356476177,1928459,0.0,1.0,COST,tiingo
2025-09-08,971.85,972.34,958.5863,963.73,1737032,967.7198048808,968.2077224652,954.5124733214,959.6343134823,1737032,0.0,1.0,COST,tiingo
2025-09-09,979.25,979.87,963.11,970.0,1496835,975.0883561553,975.7057212621,959.0169483755,965.8776670622,1496835,0.0,1.0,COST,tiingo
2025-09-10,956.29,981.0,953.96,976.39,2277534,952.2259322009,976.8309189567,949.9058342996,972.2405106627,2277534,0.0,1.0,COST,tiingo
2025-09-11,964.32,965.16,954.28,957.8,1532027,960.2218060839,961.0582362286,950.2244743548,953.729514961,1532027,0.0,1.0,COST,tiingo
2025-09-12,967.9,969.57,960.0,960.29,1461618,963.7865917005,965.4494944881,955.9201653399,956.2089328898,1461618,0.0,1.0,COST,tiingo
2025-09-15,960.1,969.74,959.706,967.82,2199423,956.0197403571,965.6187720174,955.6274147893,963.7069316867,2199423,0.0,1.0,COST,tiingo
2025-09-16,952.07,959.5768,950.8,959.1,2012649,948.0238664741,955.498763867,946.7592637554,955.0239901849,2012649,0.0,1.0,COST,tiingo
2025-09-17,963.03,963.98,953.49,953.49,1556773,958.9372883618,959.8832510254,949.4378317187,949.4378317187,1556773,0.0,1.0,COST,tiingo
2025-09-18,952.36,962.5373,950.67,957.37,1860898,948.3126340241,958.4466822519,946.629816233,953.3013423869,1860898,0.0,1.0,COST,tiingo
2025-09-19,951.16,957.439,943.79,955.0,4606020,947.1177338174,953.3700491488,939.7790550481,950.9414144788,4606020,0.0,1.0,COST,tiingo
2025-09-22,943.26,949.9999,939.61,947.375,2794337,939.2513074568,945.9625640426,935.6168193282,943.3488194155,2794337,0.0,1.0,COST,tiingo
2025-09-23,943.6,944.99,933.5,942.76,3258514,939.5898625153,940.9739552547,929.5327857758,938.7534323707,3258514,0.0,1.0,COST,tiingo
2025-09-24,945.27,953.6599,943.11,944.275,2149803,941.252765303,949.607009673,939.101944931,940.2619938816,2149803,0.0,1.0,COST,tiingo
2025-09-25,943.31,953.0,935.6201,952.45,2991526,939.3010949654,948.9499141343,931.643875716,948.4022515396,2991526,0.0,1.0,COST,tiingo
2025-09-26,915.95,927.63,905.0501,925.55,4812869,912.0573702532,923.6877322648,901.2037929509,921.6165719066,4812869,0.0,1.0,COST,tiingo
2025-09-29,916.87,917.22,903.29,916.34,4107021,912.9734604117,913.3219729719,899.4511730728,912.4457128204,4107021,0.0,1.0,COST,tiingo
2025-09-30,925.63,930.505,913.37,916.25,3096697,921.6962319204,926.55051401,909.4883348089,912.3560953049,3096697,0.0,1.0,COST,tiingo
2025-10-01,917.34,924.0,911.17,923.0,2642054,913.4414629926,920.0731591397,907.29768443,919.0774089674,2642054,0.0,1.0,COST,tiingo
2025-10-02,916.77,918.51,910.01,912.56,2063842,912.8738853944,914.6064906941,906.1426142302,908.6817771694,2063842,0.0,1.0,COST,tiingo
2025-10-03,915.38,918.101,911.2,915.59,2319199,911.489792655,914.1992288737,907.3275569351,911.6989001912,2319199,0.0,1.0,COST,tiingo
2025-10-06,910.94,915.7799,904.251,915.5,2503975,907.0686618903,911.8879931489,900.4080889883,911.6092826757,2503975,0.0,1.0,COST,tiingo
2025-10-07,914.8,917.64,903.88,908.73,2601836,910.9122575551,913.7401880443,900.0386656744,904.8680540097,2601836,0.0,1.0,COST,tiingo
2025-10-08,914.8,916.3795,910.96,912.535,2376942,910.9122575551,912.4850449522,907.0885768938,908.656883415,2376942,0.0,1.0,COST,tiingo
2025-10-09,942.89,943.7699,927.2801,932.31,3742871,938.8828798931,939.7590404696,923.3393192796,928.3478430709,3742871,0.0,1.0,COST,tiingo
2025-10-10,930.01,945.45,929.0,944.42,3142539,926.0576176748,941.432000334,925.0519100008,940.4063776566,3142539,0.0,1.0,COST,tiingo
2025-10-13,935.56,935.98,923.0,929.0,2169648,931.5840311306,932.002246203,919.0774089674,925.0519100008,2169648,0.0,1.0,COST,tiingo
2025-10-14,946.51,947.42,935.9501,940.26,1925863,942.4874955165,943.3936281733,931.9724732728,936.2640569401,1925863,0.0,1.0,COST,tiingo
2025-10-15,954.99,964.0,945.2601,946.0,2009832,950.931456977,959.9031660288,941.2429073763,941.9796629287,2009832,0.0,1.0,COST,tiingo
2025-10-16,925.62,957.9,921.16,955.54,2721426,921.6862744187,953.8290899782,917.2452286505,951.4791195718,2721426,0.0,1.0,COST,tiingo
2025-10-17,936.33,938.8194,928.15,929.58,2502164,932.3507587632,934.829579242,924.2055223544,925.6294451007,2502164,0.0,1.0,COST,tiingo
2025-10-20,936.11,939.8,931.5,936.185,1523704,932.1316937253,935.8060118609,927.5412854314,932.2063749883,1523704,0.0,1.0,COST,tiingo
2025-10-21,937.5,943.37,935.0,936.11,1448215,933.5157864647,939.3608399757,931.0264110342,932.1316937253,1448215,0.0,1.0,COST,tiingo
2025-10-22,944.68,952.9999,932.5,940.0,2372365,940.6652727014,948.9498145593,928.5370356036,936.0051618953,2372365,0.0,1.0,COST,tiingo
2025-10-23,942.05,945.47,934.49,945.47,1974780,938.0464497484,941.4519153374,930.5185784463,941.4519153374,1974780,0.0,1.0,COST,tiingo
2025-10-24,932.14,943.0,930.15,940.0,1639373,928.1785655416,938.992412412,926.1970226989,936.0051618953,1639373,0.0,1.0,COST,tiingo
2025-10-27,929.85,933.2,925.1201,930.21,1967623,925.8982976472,929.2340607242,921.1884989076,926.2567677092,1967623,0.0,1.0,COST,tiingo
2025-10-28,924.16,930.72,920.2,926.87,2090768,920.2324791672,926.764600297,916.2893084852,922.930962134,2090768,0.0,1.0,COST,tiingo
2025-10-29,912.42,919.88,909.3,919.0,2449556,908.5423721452,915.9706684301,905.4356316079,915.0944082785,2449556,0.0,1.0,COST,tiingo
2025-10-30,920.18,923.0,910.37,912.69,2677064,916.2693934817,919.0774089674,906.5010842922,908.8112246917,2677064,0.0,1.0,COST,tiingo
2025-10-31,911.45,920.0,909.68,916.21,2456261,908.8709697021,917.396776703,907.1059780773,913.6175008511,2456261,1.3,1.0,COST,tiingo
2025-11-03,928.04,929.1899,908.38,912.4,3206606,925.414026795,926.5606730489,905.809656545,909.8182815911,3206606,0.0,1.0,COST,tiingo
2025-11-04,940.74,941.17,928.965,933.21,2554542,938.0780909952,938.5068742712,926.3364094238,930.5693978119,2554542,0.0,1.0,COST,tiingo
2025-11-05,935.03,945.28,927.44,940.0,2694057,932.3842479571,942.6052446541,924.8157245493,937.3401848922,2694057,0.0,1.0,COST,tiingo
2025-11-06,923.58,925.0,908.3,924.36,3247658,920.9666467688,922.3826287503,905.7298829123,921.7444396882,3247658,0.0,1.0,COST,tiingo
2025-11-07,922.74,937.0,920.79,929.53,2584010,920.1290236249,934.3486736638,918.1845413264,926.8998107051,2584010,0.0,1.0,COST,tiingo
2025-11-10,915.56,922.0,909.07,919.0,2612726,912.969340085,919.3911175219,906.4977041276,916.3996062935,2612726,0.0,1.0,COST,tiingo
2025-11-11,913.86,918.89,913.0,916.5,1663441,911.2741503889,916.2899175485,910.4165838367,913.9066802699,1663441,0.0,1.0,COST,tiingo
2025-11-12,914.0,918.1,911.67,915.465,1829740,911.4137542462,915.502152925,909.0903471922,912.8746088961,1829740,0.0,1.0,COST,tiingo
2025-11-13,925.08,926.75,911.72,916.35,2430607,922.462402383,924.1276769668,909.1402057126,913.7571047084,2430607,0.0,1.0,COST,tiingo
2025-11-14,922.98,928.89,915.1,927.125,1739059,920.3683445231,926.2616216431,912.5106416966,924.5016158704,1739059,0.0,1.0,COST,tiingo
2025-11-17,912.59,924.9,908.81,922.02,2481947,910.0077439689,922.2829117093,906.2384398211,919.4110609301,2481947,0.0,1.0,COST,tiingo
2025-11-18,895.08,918.91,894.17,912.59,2984688,892.5472900992,916.3098609566,891.6398650266,910.0077439689,2984688,0.0,1.0,COST,tiingo
2025-11-19,890.6,895.0,873.9704,895.0,3462344,888.0799666648,892.4675164665,871.4974216237,892.4675164665,3462344,0.0,1.0,COST,tiingo
2025-11-20,893.29,904.57,891.0,893.5,2648257,890.7623550663,902.010437285,888.4788348286,890.9717608523,2648257,0.0,1.0,COST,tiingo
2025-11-21,899.01,905.32,892.13,894.515,2870059,896.4661698084,902.7583150921,889.6056373913,891.9838888179,2870059,0.0,1.0,COST,tiingo
2025-11-24,886.12,901.3599,881.32,899.0,3661191,883.6126432305,898.8094205536,878.8262252651,896.4561981043,3661191,0.0,1.0,COST,tiingo
2025-11-25,894.33,895.72,885.13,886.66,2534731,891.7994122921,893.1854791613,882.6254445251,884.1511152516,2534731,0.0,1.0,COST,tiingo
2025-11-26,908.26,912.0,895.62,896.02,1936171,905.6899960959,909.4194134273,893.0857621203,893.4846302841,1936171,0.0,1.0,COST,tiingo
2025-11-28,913.59,914.2,903.0,905.015,1092608,911.0049143783,911.6131883281,900.4448797421,902.4541781172,1092608,0.0,1.0,COST,tiingo
2025-12-01,911.96,918.58,906.21,913.2,2149426,909.3795266109,915.9807947215,903.6457967565,910.6160179186,2149426,0.0,1.0,COST,tiingo
2025-12-02,922.03,923.0,905.0,911.96,2160592,919.4210326342,920.3882879313,902.4392205611,909.3795266109,2160592,0.0,1.0,COST,tiingo
2025-12-03,922.26,926.32,916.02,920.81,1886769,919.6503818283,923.6988936907,913.4280384733,918.2044847346,1886769,0.0,1.0,COST,tiingo
2025-12-04,895.855,907.96,888.08,907.025,3787830,893.3200971666,905.3908449731,885.567097233,904.4584906402,3787830,0.0,1.0,COST,tiingo
2025-12-05,894.68,905.89,893.0,897.25,2359794,892.1484219354,903.3267022255,890.4731756475,894.7111498878,2359794,0.0,1.0,COST,tiingo
2025-12-08,887.52,894.0,882.9,893.5,2371376,885.0086818037,891.470346057,880.401754512,890.9717608523,2371376,0.0,1.0,COST,tiingo
2025-12-09,888.44,889.02,881.51,886.85,1895036,885.9260785804,886.5044374179,879.0156876429,884.3405776294,1895036,0.0,1.0,COST,tiingo
2025-12-10,874.41,889.58,871.09,887.82,3318294,871.9357777357,887.0628528472,868.6251719763,885.3078329265,3318294,0.0,1.0,COST,tiingo
2025-12-11,884.48,886.0,872.5501,875.86,3041582,881.9772837589,883.4929827813,870.0811404911,873.3816748294,3041582,0.0,1.0,COST,tiingo
2025-12-12,884.47,888.6199,867.12,883.3,4808873,881.9673120549,886.1054695371,864.6664054507,880.8006226758,4808873,0.0,1.0,COST,tiingo
2025-12-15,860.56,887.49,851.4,882.11,4771436,858.1249675647,884.9787666914,848.990886614,879.6139898885,4771436,0.0,1.0,COST,tiingo
2025-12-16,860.39,863.59,844.06,857.435,3843318,857.9554485951,861.1463939053,841.6716558086,855.0088100351,3843318,0.0,1.0,COST,tiingo
2025-12-17,862.65,868.58,858.23,858.5,2363703,860.2090537204,866.1222742485,855.8015605106,856.0707965212,2363703,0.0,1.0,COST,tiingo
2025-12-18,857.59,863.15,852.51,860.295,2467502,855.1633714486,860.7076389252,850.0977457685,857.8607174062,2467502,0.0,1.0,COST,tiingo
2025-12-19,855.62,858.45,849.32,856.57,10097638,853.1989457419,856.0209380007,846.9167721623,854.1462576309,10097638,0.0,1.0,COST,tiingo
