date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-14,57.41,58.21,57.095,57.89,15657742,56.1276605821,56.9097913688,55.8196965848,56.5969390542,15657742,0.0,1.0,CSCO,tiingo
2025-04-15,57.2,57.91,57.06,57.87,18543575,55.9223512506,56.6164923238,55.7854783629,56.5773857845,18543575,0.0,1.0,CSCO,tiingo
2025-04-16,55.76,57.08,55.42,56.57,20551318,54.5145158345,55.8050316326,54.1821102501,55.3064232561,20551318,0.0,1.0,CSCO,tiingo
2025-04-17,55.76,56.405,55.685,56.2,15910364,54.5145158345,55.1451087813,54.4411910732,54.9446877672,15910364,0.0,1.0,CSCO,tiingo
2025-04-21,54.37,55.33,53.83,55.16,15578781,53.1555635926,54.0941205366,52.6276253115,53.9279177445,15578781,0.0,1.0,CSCO,tiingo
2025-04-22,55.04,55.275,54.585,55.22,19961797,53.8105981265,54.0403490451,53.3657612415,53.9865775535,19961797,0.0,1.0,CSCO,tiingo
2025-04-23,55.63,56.98,55.495,56.15,30231456,54.3874195817,55.7072652843,54.2554350114,54.895804593,30231456,0.0,1.0,CSCO,tiingo
2025-04-24,56.29,56.565,55.16,55.3,22782315,55.0326774807,55.3015349386,53.9279177445,54.0647906321,22782315,0.0,1.0,CSCO,tiingo
2025-04-25,56.71,56.78,56.07,56.21,16493787,55.4432961437,55.5117325876,54.8175915144,54.954464402,16493787,0.0,1.0,CSCO,tiingo
2025-04-28,56.84,57.33,56.415,56.525,23140581,55.5703923966,56.0494475034,55.1548854161,55.2624283993,23140581,0.0,1.0,CSCO,tiingo
2025-04-29,57.34,57.49,56.63,56.69,13466087,56.0592241383,56.2058736608,55.3650830651,55.4237428741,13466087,0.0,1.0,CSCO,tiingo
2025-04-30,57.73,57.905,56.46,57.1,19921236,56.4405128968,56.6116040064,55.1988802729,55.8245849023,19921236,0.0,1.0,CSCO,tiingo
2025-05-01,58.12,58.4674,57.68,57.78,16420751,56.8218016553,57.1614419495,56.3916297226,56.489396071,16420751,0.0,1.0,CSCO,tiingo
2025-05-02,59.33,59.415,58.735,59.06,18753540,58.0047744702,58.0878758663,57.4230646976,57.7408053297,18753540,0.0,1.0,CSCO,tiingo
2025-05-05,59.32,59.65,58.88,59.0,14758504,57.9949978354,58.3176267849,57.5648259027,57.6821455207,14758504,0.0,1.0,CSCO,tiingo
2025-05-06,59.22,59.51,58.58,58.625,13766484,57.8972314871,58.1807538973,57.2715268577,57.3155217145,13766484,0.0,1.0,CSCO,tiingo
2025-05-07,59.57,59.895,59.07,59.2,14081022,58.2394137063,58.5571543384,57.7505819646,57.8776782174,14081022,0.0,1.0,CSCO,tiingo
2025-05-08,59.71,60.28,59.425,59.955,16196656,58.3762865939,58.9335547795,58.0976525012,58.6158141474,16196656,0.0,1.0,CSCO,tiingo
2025-05-09,59.77,60.83,59.44,60.655,17480669,58.4349464029,59.4712696954,58.1123174534,59.3001785858,17480669,0.0,1.0,CSCO,tiingo
2025-05-12,61.67,61.85,61.12,61.61,23699990,60.2925070214,60.4684864484,59.7547921055,60.2338472124,23699990,0.0,1.0,CSCO,tiingo
2025-05-13,61.78,62.24,61.605,61.675,18591168,60.4000500046,60.849775207,60.228958895,60.2973953388,18591168,0.0,1.0,CSCO,tiingo
2025-05-14,61.29,61.87,60.845,61.63,34509182,59.9209948977,60.4880397181,59.4859346476,60.2534004821,34509182,0.0,1.0,CSCO,tiingo
2025-05-15,64.26,65.745,62.92,63.07,60718026,62.8246554434,64.2764857163,61.5145863757,61.6612358982,60718026,0.0,1.0,CSCO,tiingo
2025-05-16,63.62,64.03,62.975,63.91,30289903,62.198950814,62.5997928422,61.5683578673,62.4824732242,30289903,0.0,1.0,CSCO,tiingo
2025-05-19,63.92,64.13,63.18,63.43,16249009,62.4922498591,62.6975591906,61.7687788813,62.0131947522,16249009,0.0,1.0,CSCO,tiingo
2025-05-20,63.42,63.85,63.065,63.735,14995178,62.0034181174,62.4238134152,61.6563475808,62.3113821146,14995178,0.0,1.0,CSCO,tiingo
