date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-14,311.45,314.6,300.1,309.8,15635383,311.45,314.6,300.1,309.8,15635383,0.0,1.0,MSTR,tiingo
2025-04-15,310.72,319.75,306.81,312.22,11217784,310.72,319.75,306.81,312.22,11217784,0.0,1.0,MSTR,tiingo
2025-04-16,311.66,318.6,304.0,306.06,12847246,311.66,318.6,304.0,306.06,12847246,0.0,1.0,MSTR,tiingo
2025-04-17,317.2,320.0,306.0,313.89,13511095,317.2,320.0,306.0,313.89,13511095,0.0,1.0,MSTR,tiingo
2025-04-21,317.76,330.994,309.0,324.99,16053189,317.76,330.994,309.0,324.99,16053189,0.0,1.0,MSTR,tiingo
2025-04-22,343.03,348.9599,327.01,328.705,24036452,343.03,348.9599,327.01,328.705,24036452,0.0,1.0,MSTR,tiingo
2025-04-23,345.73,355.83,339.0,354.7,16690664,345.73,355.83,339.0,354.7,16690664,0.0,1.0,MSTR,tiingo
2025-04-24,350.34,351.03,343.2401,344.97,10781381,350.34,351.03,343.2401,344.97,10781381,0.0,1.0,MSTR,tiingo
2025-04-25,368.71,373.23,353.12,354.0,19338560,368.71,373.23,353.12,354.0,19338560,0.0,1.0,MSTR,tiingo
2025-04-28,369.25,373.66,354.53,373.29,11490917,369.25,373.66,354.53,373.29,11490917,0.0,1.0,MSTR,tiingo
2025-04-29,381.45,383.95,366.8,369.02,13038829,381.45,383.95,366.8,369.02,13038829,0.0,1.0,MSTR,tiingo
2025-04-30,380.11,384.0,362.3901,373.775,13762876,380.11,384.0,362.3901,373.775,13762876,0.0,1.0,MSTR,tiingo
2025-05-01,381.6,403.9,381.03,392.29,16944133,381.6,403.9,381.03,392.29,16944133,0.0,1.0,MSTR,tiingo
2025-05-02,394.37,401.7,387.51,393.875,15947978,394.37,401.7,387.51,393.875,15947978,0.0,1.0,MSTR,tiingo
2025-05-05,386.53,391.93,374.2,383.33,14424129,386.53,391.93,374.2,383.33,14424129,0.0,1.0,MSTR,tiingo
2025-05-06,385.6,387.86,377.77,378.56,9695615,385.6,387.86,377.77,378.56,9695615,0.0,1.0,MSTR,tiingo
2025-05-07,392.48,396.35,388.26,393.8,10607553,392.48,396.35,388.26,393.8,10607553,0.0,1.0,MSTR,tiingo
2025-05-08,414.38,423.105,404.5,408.165,22135578,414.38,423.105,404.5,408.165,22135578,0.0,1.0,MSTR,tiingo
2025-05-09,416.03,430.3499,406.22,420.0,17161815,416.03,430.3499,406.22,420.0,17161815,0.0,1.0,MSTR,tiingo
2025-05-12,404.9,422.04,400.83,420.92,16245468,404.9,422.04,400.83,420.92,16245468,0.0,1.0,MSTR,tiingo
2025-05-13,421.61,422.55,404.12,412.5499,12924974,421.61,422.55,404.12,412.5499,12924974,0.0,1.0,MSTR,tiingo
2025-05-14,416.75,425.94,410.41,420.395,10722652,416.75,425.94,410.41,420.395,10722652,0.0,1.0,MSTR,tiingo
2025-05-15,397.03,415.36,394.14,411.7,14674666,397.03,415.36,394.14,411.7,14674666,0.0,1.0,MSTR,tiingo
2025-05-16,399.8,406.8965,389.01,399.0,12461115,399.8,406.8965,389.01,399.0,12461115,0.0,1.0,MSTR,tiingo
2025-05-19,413.42,414.59,392.62,392.81,12821966,413.42,414.59,392.62,392.81,12821966,0.0,1.0,MSTR,tiingo
2025-05-20,416.92,417.85,406.1025,413.5,11532230,416.92,417.85,406.1025,413.5,11532230,0.0,1.0,MSTR,tiingo
2025-05-21,402.69,423.34,395.5285,415.92,18698520,402.69,423.34,395.5285,415.92,18698520,0.0,1.0,MSTR,tiingo
2025-05-22,399.46,426.32,398.91,413.2,16511372,399.46,426.32,398.91,413.2,16511372,0.0,1.0,MSTR,tiingo
2025-05-23,369.51,392.19,367.31,391.51,21448767,369.51,392.19,367.31,391.51,21448767,0.0,1.0,MSTR,tiingo
2025-05-27,372.2,381.3,364.18,381.115,14115975,372.2,381.3,364.18,381.115,14115975,0.0,1.0,MSTR,tiingo
2025-05-28,364.25,370.6523,358.5,368.53,9936835,364.25,370.6523,358.5,368.53,9936835,0.0,1.0,MSTR,tiingo
2025-05-29,370.63,373.86,362.74,370.785,10217575,370.63,373.86,362.74,370.785,10217575,0.0,1.0,MSTR,tiingo
2025-05-30,369.06,372.56,359.155,369.0,12564026,369.06,372.56,359.155,369.0,12564026,0.0,1.0,MSTR,tiingo
2025-06-02,372.27,378.43,367.019,367.885,8102772,372.27,378.43,367.019,367.885,8102772,0.0,1.0,MSTR,tiingo
2025-06-03,387.43,391.0099,371.37,379.4,11351756,387.43,391.0099,371.37,379.4,11351756,0.0,1.0,MSTR,tiingo
2025-06-04,378.1,386.12,375.66,385.8,8472192,378.1,386.12,375.66,385.8,8472192,0.0,1.0,MSTR,tiingo
2025-06-05,368.79,385.3799,364.3029,383.85,11957637,368.79,385.3799,364.3029,383.85,11957637,0.0,1.0,MSTR,tiingo
2025-06-06,374.47,380.6,369.71,377.4,9384245,374.47,380.6,369.71,377.4,9384245,0.0,1.0,MSTR,tiingo
2025-06-09,392.12,394.79,377.6,380.68,10924592,392.12,394.79,377.6,380.68,10924592,0.0,1.0,MSTR,tiingo
2025-06-10,391.18,394.0,383.6,393.24,7074796,391.18,394.0,383.6,393.24,7074796,0.0,1.0,MSTR,tiingo
2025-06-11,387.11,392.77,380.5,391.23,6812152,387.11,392.77,380.5,391.23,6812152,0.0,1.0,MSTR,tiingo
2025-06-12,379.76,391.22,373.9825,378.4,9423919,379.76,391.22,373.9825,378.4,9423919,0.0,1.0,MSTR,tiingo
2025-06-13,382.87,383.56,370.62,375.225,9378928,382.87,383.56,370.62,375.225,9378928,0.0,1.0,MSTR,tiingo
2025-06-16,382.25,388.15,377.4,387.61,8105204,382.25,388.15,377.4,387.61,8105204,0.0,1.0,MSTR,tiingo
2025-06-17,375.18,378.48,367.0001,375.255,11218473,375.18,378.48,367.0001,375.255,11218473,0.0,1.0,MSTR,tiingo
2025-06-18,369.03,374.9099,367.42,371.43,9200504,369.03,374.9099,367.42,371.43,9200504,0.0,1.0,MSTR,tiingo
2025-06-20,369.7,376.1,365.11,372.75,12821792,369.7,376.1,365.11,372.75,12821792,0.0,1.0,MSTR,tiingo
2025-06-23,367.18,370.3,358.8,362.48,10614707,367.18,370.3,358.8,362.48,10614707,0.0,1.0,MSTR,tiingo
2025-06-24,377.02,384.3559,371.0,373.68,10174889,377.02,384.3559,371.0,373.68,10174889,0.0,1.0,MSTR,tiingo
2025-06-25,388.67,389.49,379.31,384.83,10606562,388.67,389.49,379.31,384.83,10606562,0.0,1.0,MSTR,tiingo
2025-06-26,386.44,392.67,384.15,386.35,10202328,386.44,392.67,384.15,386.35,10202328,0.0,1.0,MSTR,tiingo
2025-06-27,383.88,397.99,383.41,385.225,18694416,383.88,397.99,383.41,385.225,18694416,0.0,1.0,MSTR,tiingo
2025-06-30,404.23,407.3901,384.25,389.78,13752875,404.23,407.3901,384.25,389.78,13752875,0.0,1.0,MSTR,tiingo
2025-07-01,373.3,397.8746,372.91,395.7,17289648,373.3,397.8746,372.91,395.7,17289648,0.0,1.0,MSTR,tiingo
2025-07-02,402.28,405.2986,379.88,383.34,17454404,402.28,405.2986,379.88,383.34,17454404,0.0,1.0,MSTR,tiingo
2025-07-03,403.99,414.6,400.4,400.87,10013902,403.99,414.6,400.4,400.87,10013902,0.0,1.0,MSTR,tiingo
2025-07-07,395.67,405.64,395.2,402.635,8848175,395.67,405.64,395.2,402.635,8848175,0.0,1.0,MSTR,tiingo
2025-07-08,396.94,402.1999,393.21,399.692,7022739,396.94,402.1999,393.21,399.692,7022739,0.0,1.0,MSTR,tiingo
2025-07-09,415.41,416.34,395.95,401.6,13065370,415.41,416.34,395.95,401.6,13065370,0.0,1.0,MSTR,tiingo
