date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-14,169.98,173.53,168.68,171.66,5103311,169.98,173.53,168.68,171.66,5103311,0.0,1.0,PANW,tiingo
2025-04-15,173.55,174.94,169.98,170.5,4147466,173.55,174.94,169.98,170.5,4147466,0.0,1.0,PANW,tiingo
2025-04-16,169.76,173.85,167.92,171.535,5405198,169.76,173.85,167.92,171.535,5405198,0.0,1.0,PANW,tiingo
2025-04-17,167.69,171.365,167.13,171.14,4784631,167.69,171.365,167.13,171.14,4784631,0.0,1.0,PANW,tiingo
2025-04-21,160.05,165.95,157.6,165.09,4555124,160.05,165.95,157.6,165.09,4555124,0.0,1.0,PANW,tiingo
2025-04-22,163.63,165.36,160.27,162.46,4005327,163.63,165.36,160.27,162.46,4005327,0.0,1.0,PANW,tiingo
2025-04-23,168.32,172.52,167.33,168.74,4924435,168.32,172.52,167.33,168.74,4924435,0.0,1.0,PANW,tiingo
2025-04-24,176.04,176.45,169.07,169.345,4023389,176.04,176.45,169.07,169.345,4023389,0.0,1.0,PANW,tiingo
2025-04-25,178.98,179.5,175.33,176.49,3536822,178.98,179.5,175.33,176.49,3536822,0.0,1.0,PANW,tiingo
2025-04-28,181.54,182.2,178.09,178.62,3551869,181.54,182.2,178.09,178.62,3551869,0.0,1.0,PANW,tiingo
2025-04-29,186.65,187.31,182.095,182.96,5112323,186.65,187.31,182.095,182.96,5112323,0.0,1.0,PANW,tiingo
2025-04-30,186.93,187.63,182.3696,184.98,6163155,186.93,187.63,182.3696,184.98,6163155,0.0,1.0,PANW,tiingo
2025-05-01,186.27,189.1623,186.03,188.64,4627143,186.27,189.1623,186.03,188.64,4627143,0.0,1.0,PANW,tiingo
2025-05-02,187.7,191.6999,187.27,190.0,3842206,187.7,191.6999,187.27,190.0,3842206,0.0,1.0,PANW,tiingo
2025-05-05,188.13,190.98,185.47,186.0,3804317,188.13,190.98,185.47,186.0,3804317,0.0,1.0,PANW,tiingo
2025-05-06,188.69,190.27,186.02,186.8,3031903,188.69,190.27,186.02,186.8,3031903,0.0,1.0,PANW,tiingo
2025-05-07,188.14,189.31,186.35,188.8,3713849,188.14,189.31,186.35,188.8,3713849,0.0,1.0,PANW,tiingo
2025-05-08,188.53,188.98,184.35,187.69,3677239,188.53,188.98,184.35,187.69,3677239,0.0,1.0,PANW,tiingo
2025-05-09,186.93,189.79,184.64,188.755,3211041,186.93,189.79,184.64,188.755,3211041,0.0,1.0,PANW,tiingo
2025-05-12,193.5,193.665,189.515,191.615,4580843,193.5,193.665,189.515,191.615,4580843,0.0,1.0,PANW,tiingo
2025-05-13,192.0,195.42,191.875,192.725,5556527,192.0,195.42,191.875,192.725,5556527,0.0,1.0,PANW,tiingo
2025-05-14,190.9,192.2007,189.425,191.83,5445821,190.9,192.2007,189.425,191.83,5445821,0.0,1.0,PANW,tiingo
2025-05-15,192.9,194.19,189.59,189.79,5460097,192.9,194.19,189.59,189.79,5460097,0.0,1.0,PANW,tiingo
2025-05-16,192.98,193.7906,190.91,191.045,4210924,192.98,193.7906,190.91,191.045,4210924,0.0,1.0,PANW,tiingo
2025-05-19,194.3,194.4,190.17,190.49,4419514,194.3,194.4,190.17,190.49,4419514,0.0,1.0,PANW,tiingo
2025-05-20,194.48,194.93,192.66,194.635,9533438,194.48,194.93,192.66,194.635,9533438,0.0,1.0,PANW,tiingo
2025-05-21,181.26,185.3,178.64,184.76,19049689,181.26,185.3,178.64,184.76,19049689,0.0,1.0,PANW,tiingo
2025-05-22,186.14,187.65,182.46,183.01,7613395,186.14,187.65,182.46,183.01,7613395,0.0,1.0,PANW,tiingo
2025-05-23,186.75,187.65,183.2201,183.605,4902866,186.75,187.65,183.2201,183.605,4902866,0.0,1.0,PANW,tiingo
2025-05-27,187.46,189.1,186.529,188.67,5331677,187.46,189.1,186.529,188.67,5331677,0.0,1.0,PANW,tiingo
2025-05-28,187.8,189.84,187.47,187.76,3869008,187.8,189.84,187.47,187.76,3869008,0.0,1.0,PANW,tiingo
2025-05-29,185.82,189.1475,182.89,189.0,4499556,185.82,189.1475,182.89,189.0,4499556,0.0,1.0,PANW,tiingo
2025-05-30,192.42,192.73,186.725,187.02,11419740,192.42,192.73,186.725,187.02,11419740,0.0,1.0,PANW,tiingo
2025-06-02,194.86,195.29,191.48,192.14,4411538,194.86,195.29,191.48,192.14,4411538,0.0,1.0,PANW,tiingo
2025-06-03,197.12,198.4534,194.88,195.0,4820893,197.12,198.4534,194.88,195.0,4820893,0.0,1.0,PANW,tiingo
2025-06-04,194.07,197.25,193.47,195.22,3360595,194.07,197.25,193.47,195.22,3360595,0.0,1.0,PANW,tiingo
2025-06-05,197.11,199.5,194.11,194.11,3549790,197.11,199.5,194.11,194.11,3549790,0.0,1.0,PANW,tiingo
2025-06-06,199.6,200.88,198.2,199.0,3306209,199.6,200.88,198.2,199.0,3306209,0.0,1.0,PANW,tiingo
2025-06-09,196.33,199.1956,196.19,199.04,2566463,196.33,199.1956,196.19,199.04,2566463,0.0,1.0,PANW,tiingo
2025-06-10,195.95,197.0422,193.6,195.65,2971944,195.95,197.0422,193.6,195.65,2971944,0.0,1.0,PANW,tiingo
2025-06-11,194.39,197.44,194.06,195.71,3462978,194.39,197.44,194.06,195.71,3462978,0.0,1.0,PANW,tiingo
2025-06-12,197.67,199.3985,194.31,194.57,4159496,197.67,199.3985,194.31,194.57,4159496,0.0,1.0,PANW,tiingo
2025-06-13,196.27,199.95,195.07,196.37,3818451,196.27,199.95,195.07,196.37,3818451,0.0,1.0,PANW,tiingo
2025-06-16,198.11,199.74,196.85,196.85,4137994,198.11,199.74,196.85,196.85,4137994,0.0,1.0,PANW,tiingo
2025-06-17,202.05,202.7488,197.5,197.99,4132887,202.05,202.7488,197.5,197.99,4132887,0.0,1.0,PANW,tiingo
2025-06-18,199.78,202.885,198.8801,202.29,3324502,199.78,202.885,198.8801,202.29,3324502,0.0,1.0,PANW,tiingo
2025-06-20,199.24,201.05,197.71,201.05,8289229,199.24,201.05,197.71,201.05,8289229,0.0,1.0,PANW,tiingo
2025-06-23,203.32,203.87,196.0001,199.56,4478798,203.32,203.87,196.0001,199.56,4478798,0.0,1.0,PANW,tiingo
2025-06-24,201.69,204.8,201.42,204.0,4951793,201.69,204.8,201.42,204.0,4951793,0.0,1.0,PANW,tiingo
2025-06-25,204.3,204.81,202.4772,202.8,3242332,204.3,204.81,202.4772,202.8,3242332,0.0,1.0,PANW,tiingo
2025-06-26,202.34,206.7399,201.54,204.59,5264863,202.34,206.7399,201.54,204.59,5264863,0.0,1.0,PANW,tiingo
2025-06-27,200.57,203.26,198.7497,202.34,5346395,200.57,203.26,198.7497,202.34,5346395,0.0,1.0,PANW,tiingo
2025-06-30,204.64,204.91,201.02,201.24,4350789,204.64,204.91,201.02,201.24,4350789,0.0,1.0,PANW,tiingo
2025-07-01,197.58,204.35,195.081,203.97,6840597,197.58,204.35,195.081,203.97,6840597,0.0,1.0,PANW,tiingo
2025-07-02,196.97,197.92,194.91,196.44,3367163,196.97,197.92,194.91,196.44,3367163,0.0,1.0,PANW,tiingo
2025-07-03,201.82,202.98,197.855,197.855,2561725,201.82,202.98,197.855,197.855,2561725,0.0,1.0,PANW,tiingo
2025-07-07,201.42,202.1879,199.67,200.89,3483128,201.42,202.1879,199.67,200.89,3483128,0.0,1.0,PANW,tiingo
2025-07-08,203.99,204.51,200.69,202.0,3411426,203.99,204.51,200.69,202.0,3411426,0.0,1.0,PANW,tiingo
2025-07-09,206.06,206.18,202.43,204.8,3089967,206.06,206.18,202.43,204.8,3089967,0.0,1.0,PANW,tiingo
2025-07-10,192.07,205.0,191.17,204.03,9248970,192.07,205.0,191.17,204.03,9248970,0.0,1.0,PANW,tiingo
2025-07-11,187.39,193.0,186.7,192.91,7412270,187.39,193.0,186.7,192.91,7412270,0.0,1.0,PANW,tiingo
2025-07-14,190.72,191.4416,186.001,186.88,5050218,190.72,191.4416,186.001,186.88,5050218,0.0,1.0,PANW,tiingo
2025-07-15,192.25,193.52,190.2,190.71,3963239,192.25,193.52,190.2,190.71,3963239,0.0,1.0,PANW,tiingo
2025-07-16,192.59,193.88,190.695,192.95,3119577,192.59,193.88,190.695,192.95,3119577,0.0,1.0,PANW,tiingo
2025-07-17,196.28,197.6,193.0798,193.19,4300392,196.28,197.6,193.0798,193.19,4300392,0.0,1.0,PANW,tiingo
2025-07-18,195.78,197.44,194.78,197.12,2978902,195.78,197.44,194.78,197.12,2978902,0.0,1.0,PANW,tiingo
2025-07-21,199.88,203.2,194.6,195.935,7642519,199.88,203.2,194.6,195.935,7642519,0.0,1.0,PANW,tiingo
2025-07-22,196.73,201.43,196.31,199.89,3658253,196.73,201.43,196.31,199.89,3658253,0.0,1.0,PANW,tiingo
